env,method,n_seeds,final_step,final_so_mean,final_so_std,peak_so_mean,final_sae_mean,final_sae_std,peak_sae_mean
RememberColor5-v0,MLP (no memory),3,9584640,0.0347,0.0455,0.1580,0.0243,0.0344,0.1111
RememberColor5-v0,GRU,3,9584640,0.1406,0.0516,0.1945,0.0677,0.0371,0.1562
RememberColor5-v0,LSTM,3,9584640,0.0694,0.0982,0.2482,0.0000,0.0000,0.1615
RememberColor5-v0,EBM-Robo (ours),3,9584640,0.2986,0.1127,0.3056,0.1719,0.0788,0.1858
RememberColor9-v0,MLP (no memory),3,9584640,0.0139,0.0123,0.1007,0.0087,0.0088,0.0504
RememberColor9-v0,GRU,3,9584640,0.0000,0.0000,0.1111,0.0000,0.0000,0.0382
RememberColor9-v0,LSTM,3,9584640,0.0434,0.0614,0.1840,0.0000,0.0000,0.0799
RememberColor9-v0,EBM-Robo (ours),3,9584640,0.1198,0.0185,0.1580,0.0729,0.0127,0.0851
RememberShape5-v0,MLP (no memory),3,9584640,0.0052,0.0042,0.2240,0.0017,0.0025,0.2031
RememberShape5-v0,GRU,3,9584640,0.0469,0.0517,0.1406,0.0174,0.0177,0.1059
RememberShape5-v0,LSTM,3,9584640,0.0781,0.1068,0.2743,0.0122,0.0172,0.1788
RememberShape5-v0,EBM-Robo (ours),3,9584640,0.6771,0.0741,0.7275,0.2517,0.1044,0.3246
RememberShape9-v0,MLP (no memory),3,9584640,0.0017,0.0025,0.0990,0.0017,0.0025,0.0312
RememberShape9-v0,GRU,3,9584640,0.0000,0.0000,0.0972,0.0000,0.0000,0.0278
RememberShape9-v0,LSTM,3,9584640,0.0052,0.0042,0.1858,0.0000,0.0000,0.0781
RememberShape9-v0,EBM-Robo (ours),3,9584640,0.0729,0.0085,0.0955,0.0208,0.0186,0.0382
RememberShapeAndColor3x2-v0,MLP (no memory),3,9584640,0.0365,0.0516,0.1458,0.0208,0.0295,0.0816
RememberShapeAndColor3x2-v0,GRU,3,9584640,0.0312,0.0307,0.1458,0.0035,0.0049,0.0590
RememberShapeAndColor3x2-v0,LSTM,3,9584640,0.0781,0.1068,0.2309,0.0625,0.0884,0.1024
RememberShapeAndColor3x2-v0,EBM-Robo (ours),3,9584640,0.4236,0.2498,0.4236,0.1319,0.1025,0.1528
RememberShapeAndColor3x3-v0,MLP (no memory),3,9584640,0.0069,0.0049,0.0833,0.0052,0.0042,0.0208
RememberShapeAndColor3x3-v0,GRU,3,9584640,0.0069,0.0065,0.1389,0.0052,0.0074,0.0434
RememberShapeAndColor3x3-v0,LSTM,3,9584640,0.0226,0.0099,0.1893,0.0000,0.0000,0.0365
RememberShapeAndColor3x3-v0,EBM-Robo (ours),3,9584640,0.1597,0.0659,0.1719,0.0226,0.0210,0.0364
InterceptMedium-v0,MLP (no memory),3,9792000,0.7066,0.0732,0.7327,0.0833,0.0681,0.0833
InterceptMedium-v0,GRU,3,9792000,0.4913,0.3544,0.7170,0.1163,0.1230,0.3125
InterceptMedium-v0,LSTM,3,9792000,0.8959,0.0669,0.8959,0.2396,0.0879,0.2639
InterceptMedium-v0,EBM-Robo (ours),2,9792000,0.8490,0.1250,0.8490,0.1094,0.0885,0.1797
