iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 06:33:59,0.0,0.5507,120.0,0.0046,0.0
2,30720,train,2026-07-02 06:35:53,0.0,0.0089,120.0,0.0001,0.0
4,61440,train,2026-07-02 06:37:51,0.0,0.0138,120.0,0.0001,0.0
6,92160,train,2026-07-02 06:39:49,0.0,0.0179,120.0,0.0001,0.0
8,122880,train,2026-07-02 06:41:48,0.0,0.0172,120.0,0.0001,0.0
10,153600,train,2026-07-02 06:43:47,0.0,0.0165,120.0,0.0001,0.0
12,184320,train,2026-07-02 06:45:45,0.0,0.0105,120.0,0.0001,0.0
14,215040,train,2026-07-02 06:47:44,0.0,0.0117,120.0,0.0001,0.0
16,245760,train,2026-07-02 06:49:45,0.0,0.0117,120.0,0.0001,0.0
18,276480,train,2026-07-02 06:51:44,0.0,0.0158,120.0,0.0001,0.0
20,307200,train,2026-07-02 06:53:43,0.0,0.0131,120.0,0.0001,0.0
22,337920,train,2026-07-02 06:55:44,0.0,0.0212,120.0,0.0002,0.0
24,368640,train,2026-07-02 06:57:44,0.0,0.0183,120.0,0.0002,0.0
25,368640,eval,2026-07-02 06:59:51,0.0,0.2437,120.0,0.002,0.0
26,399360,train,2026-07-02 07:01:47,0.0,0.0232,120.0,0.0002,0.0
28,430080,train,2026-07-02 07:03:47,0.0,0.0269,120.0,0.0002,0.0
30,460800,train,2026-07-02 07:05:46,0.0,0.0316,120.0,0.0003,0.0
32,491520,train,2026-07-02 07:07:46,0.0,0.051,120.0,0.0004,0.0
34,522240,train,2026-07-02 07:09:45,0.0,0.0541,120.0,0.0005,0.0
36,552960,train,2026-07-02 07:11:44,0.0,0.0587,120.0,0.0005,0.0
38,583680,train,2026-07-02 07:13:45,0.0,0.0621,120.0,0.0005,0.0
40,614400,train,2026-07-02 07:15:44,0.0,0.0682,120.0,0.0006,0.0
42,645120,train,2026-07-02 07:17:44,0.0,0.0697,120.0,0.0006,0.0
44,675840,train,2026-07-02 07:19:46,0.0,0.0698,120.0,0.0006,0.0
46,706560,train,2026-07-02 07:21:45,0.0,0.0447,120.0,0.0004,0.0
48,737280,train,2026-07-02 07:23:45,0.0,0.0747,120.0,0.0006,0.0
49,737280,eval,2026-07-02 07:25:56,0.0,0.144,120.0,0.0012,0.0
50,768000,train,2026-07-02 07:27:53,0.0,0.1503,120.0,0.0013,0.0
52,798720,train,2026-07-02 07:29:53,0.0,0.2336,120.0,0.0019,0.0
54,829440,train,2026-07-02 07:31:52,0.0,0.0771,120.0,0.0006,0.0
56,860160,train,2026-07-02 07:33:51,0.0,0.0786,120.0,0.0007,0.0
58,890880,train,2026-07-02 07:35:50,0.0,0.0695,120.0,0.0006,0.0
60,921600,train,2026-07-02 07:37:51,0.0,0.0661,120.0,0.0006,0.0
62,952320,train,2026-07-02 07:39:51,0.0,0.1067,120.0,0.0009,0.0
64,983040,train,2026-07-02 07:41:50,0.0,0.2025,120.0,0.0017,0.0
66,1013760,train,2026-07-02 07:43:49,0.0,0.0818,120.0,0.0007,0.0
68,1044480,train,2026-07-02 07:45:47,0.0,0.072,120.0,0.0006,0.0
70,1075200,train,2026-07-02 07:47:45,0.0,0.1095,120.0,0.0009,0.0
72,1105920,train,2026-07-02 07:49:43,0.0,0.0436,120.0,0.0004,0.0
73,1105920,eval,2026-07-02 07:51:53,0.0,0.4071,120.0,0.0034,0.0
74,1136640,train,2026-07-02 07:53:51,0.0,0.1589,120.0,0.0013,0.0
76,1167360,train,2026-07-02 07:55:50,0.0,0.0613,120.0,0.0005,0.0
78,1198080,train,2026-07-02 07:57:49,0.0,0.0646,120.0,0.0005,0.0
80,1228800,train,2026-07-02 07:59:50,0.0,0.1565,120.0,0.0013,0.0
82,1259520,train,2026-07-02 08:01:51,0.0,0.0697,120.0,0.0006,0.0
84,1290240,train,2026-07-02 08:03:51,0.0,0.0878,120.0,0.0007,0.0
86,1320960,train,2026-07-02 08:05:51,0.0,0.0617,120.0,0.0005,0.0
88,1351680,train,2026-07-02 08:07:50,0.0,0.0872,120.0,0.0007,0.0
90,1382400,train,2026-07-02 08:09:50,0.0,0.1721,120.0,0.0014,0.0
92,1413120,train,2026-07-02 08:11:50,0.0,0.0934,120.0,0.0008,0.0
94,1443840,train,2026-07-02 08:13:49,0.0,0.1023,120.0,0.0009,0.0
96,1474560,train,2026-07-02 08:15:49,0.0,0.101,120.0,0.0008,0.0
97,1474560,eval,2026-07-02 08:18:02,0.0,0.2738,120.0,0.0023,0.0
98,1505280,train,2026-07-02 08:19:58,0.0,0.1321,120.0,0.0011,0.0
100,1536000,train,2026-07-02 08:21:58,0.0,0.1709,120.0,0.0014,0.0
102,1566720,train,2026-07-02 08:23:57,0.0,0.0827,120.0,0.0007,0.0
104,1597440,train,2026-07-02 08:25:57,0.0,0.0973,120.0,0.0008,0.0
106,1628160,train,2026-07-02 08:27:57,0.0,0.103,120.0,0.0009,0.0
108,1658880,train,2026-07-02 08:29:56,0.0,0.1002,120.0,0.0008,0.0
110,1689600,train,2026-07-02 08:31:56,0.0,0.1086,120.0,0.0009,0.0
112,1720320,train,2026-07-02 08:33:54,0.0,0.0884,120.0,0.0007,0.0
114,1751040,train,2026-07-02 08:35:55,0.0,0.0789,120.0,0.0007,0.0
116,1781760,train,2026-07-02 08:37:55,0.0,0.1617,120.0,0.0013,0.0
118,1812480,train,2026-07-02 08:39:53,0.0,0.1962,120.0,0.0016,0.0
120,1843200,train,2026-07-02 08:41:53,0.0,0.0389,120.0,0.0003,0.0
121,1843200,eval,2026-07-02 08:44:04,0.0,0.14,120.0,0.0012,0.0
122,1873920,train,2026-07-02 08:46:02,0.0,0.0137,120.0,0.0001,0.0
124,1904640,train,2026-07-02 08:48:03,0.0,0.1053,120.0,0.0009,0.0
126,1935360,train,2026-07-02 08:50:03,0.0,0.0239,120.0,0.0002,0.0
128,1966080,train,2026-07-02 08:52:03,0.0,0.0625,120.0,0.0005,0.0
130,1996800,train,2026-07-02 08:54:02,0.0,0.0989,120.0,0.0008,0.0
132,2027520,train,2026-07-02 08:56:01,0.0,0.1571,120.0,0.0013,0.0
134,2058240,train,2026-07-02 08:58:00,0.0,0.1067,120.0,0.0009,0.0
136,2088960,train,2026-07-02 09:00:00,0.0,0.0978,120.0,0.0008,0.0
138,2119680,train,2026-07-02 09:01:59,0.0,0.0965,120.0,0.0008,0.0
140,2150400,train,2026-07-02 09:03:58,0.0,0.0997,120.0,0.0008,0.0
142,2181120,train,2026-07-02 09:05:58,0.0,0.104,120.0,0.0009,0.0
144,2211840,train,2026-07-02 09:07:58,0.0,0.1219,120.0,0.001,0.0
145,2211840,eval,2026-07-02 09:10:11,0.0,0.8199,120.0,0.0068,0.0
146,2242560,train,2026-07-02 09:12:13,0.0,0.1767,120.0,0.0015,0.0
148,2273280,train,2026-07-02 09:14:12,0.0,0.2471,120.0,0.0021,0.0
150,2304000,train,2026-07-02 09:16:12,0.0,0.1018,120.0,0.0008,0.0
152,2334720,train,2026-07-02 09:18:10,0.0,0.094,120.0,0.0008,0.0
154,2365440,train,2026-07-02 09:20:09,0.0,0.0789,120.0,0.0007,0.0
156,2396160,train,2026-07-02 09:22:07,0.0,0.0704,120.0,0.0006,0.0
158,2426880,train,2026-07-02 09:24:06,0.0,0.0828,120.0,0.0007,0.0
160,2457600,train,2026-07-02 09:26:04,0.0,0.0762,120.0,0.0006,0.0
162,2488320,train,2026-07-02 09:28:02,0.0,0.0869,120.0,0.0007,0.0
164,2519040,train,2026-07-02 09:30:01,0.0,0.0715,120.0,0.0006,0.0
166,2549760,train,2026-07-02 09:31:59,0.0,0.092,120.0,0.0008,0.0
168,2580480,train,2026-07-02 09:33:58,0.0,0.0849,120.0,0.0007,0.0
