iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-08 12:35:18,0.0,0.7297,90.0,0.0081,0.0
1,23040,train,2026-07-08 12:35:48,0.0,0.7051,90.0,0.0078,0.0
2,46080,train,2026-07-08 12:36:36,0.0,0.7011,90.0,0.0078,0.0
3,69120,train,2026-07-08 12:37:24,0.0,0.7108,90.0,0.0079,0.0
4,92160,train,2026-07-08 12:38:12,0.0,0.6841,90.0,0.0076,0.0
5,115200,train,2026-07-08 12:39:01,0.0,0.7801,90.0,0.0087,0.0
6,138240,train,2026-07-08 12:39:50,0.0,0.7674,90.0,0.0085,0.0
7,161280,train,2026-07-08 12:40:39,0.0,0.8515,90.0,0.0095,0.0
8,184320,train,2026-07-08 12:41:28,0.0,0.8546,90.0,0.0095,0.0
9,207360,train,2026-07-08 12:42:17,0.0,0.9582,90.0,0.0106,0.0
10,230400,train,2026-07-08 12:43:06,0.0,0.9704,90.0,0.0108,0.0
11,253440,train,2026-07-08 12:43:55,0.0,1.0229,90.0,0.0114,0.0
12,276480,train,2026-07-08 12:44:46,0.0,1.003,90.0,0.0111,0.0
13,299520,train,2026-07-08 12:45:35,0.0,1.0305,90.0,0.0114,0.0
14,322560,train,2026-07-08 12:46:25,0.0,1.2433,90.0,0.0138,0.0
15,345600,train,2026-07-08 12:47:15,0.0039,1.5129,90.0,0.0168,0.0
16,368640,train,2026-07-08 12:48:05,0.0156,1.7882,90.0,0.0199,0.0039
17,368640,eval,2026-07-08 12:49:26,0.0104,2.5017,90.0,0.0278,0.0
17,391680,train,2026-07-08 12:49:57,0.0117,1.6143,90.0,0.0179,0.0
18,414720,train,2026-07-08 12:50:46,0.0078,1.6243,90.0,0.018,0.0
19,437760,train,2026-07-08 12:51:36,0.0312,2.3595,90.0,0.0262,0.0
20,460800,train,2026-07-08 12:52:26,0.0195,2.0481,90.0,0.0228,0.0
21,483840,train,2026-07-08 12:53:16,0.0273,2.5701,90.0,0.0286,0.0
22,506880,train,2026-07-08 12:54:06,0.0469,2.6583,90.0,0.0295,0.0039
23,529920,train,2026-07-08 12:54:56,0.0273,2.413,90.0,0.0268,0.0
24,552960,train,2026-07-08 12:55:46,0.0195,2.4872,90.0,0.0276,0.0039
25,576000,train,2026-07-08 12:56:35,0.0352,2.7684,90.0,0.0308,0.0
26,599040,train,2026-07-08 12:57:25,0.0469,2.8995,90.0,0.0322,0.0078
27,622080,train,2026-07-08 12:58:14,0.0469,3.2056,90.0,0.0356,0.0039
28,645120,train,2026-07-08 12:59:03,0.0898,3.8024,90.0,0.0422,0.0078
29,668160,train,2026-07-08 12:59:53,0.0625,3.4784,90.0,0.0386,0.0
30,691200,train,2026-07-08 13:00:42,0.043,3.0661,90.0,0.0341,0.0039
31,714240,train,2026-07-08 13:01:32,0.0469,3.1216,90.0,0.0347,0.0078
32,737280,train,2026-07-08 13:02:21,0.043,3.5665,90.0,0.0396,0.0078
33,737280,eval,2026-07-08 13:03:39,0.0,3.8454,90.0,0.0427,0.0
33,760320,train,2026-07-08 13:04:09,0.0703,3.8397,90.0,0.0427,0.0039
34,783360,train,2026-07-08 13:04:58,0.0547,3.34,90.0,0.0371,0.0156
35,806400,train,2026-07-08 13:05:47,0.0352,2.902,90.0,0.0322,0.0039
36,829440,train,2026-07-08 13:06:36,0.0391,2.7235,90.0,0.0303,0.0039
37,852480,train,2026-07-08 13:07:26,0.0234,2.4979,90.0,0.0278,0.0
38,875520,train,2026-07-08 13:08:15,0.0195,2.4186,90.0,0.0269,0.0039
39,898560,train,2026-07-08 13:09:05,0.0117,2.0896,90.0,0.0232,0.0039
40,921600,train,2026-07-08 13:09:54,0.0625,2.8838,90.0,0.032,0.0039
41,944640,train,2026-07-08 13:10:43,0.0234,2.6249,90.0,0.0292,0.0
42,967680,train,2026-07-08 13:11:32,0.0547,2.9629,90.0,0.0329,0.0
43,990720,train,2026-07-08 13:12:22,0.0859,4.1191,90.0,0.0458,0.0
44,1013760,train,2026-07-08 13:13:11,0.0625,3.5427,90.0,0.0394,0.0
45,1036800,train,2026-07-08 13:14:01,0.0781,4.6264,90.0,0.0514,0.0039
46,1059840,train,2026-07-08 13:14:50,0.0742,4.659,90.0,0.0518,0.0078
47,1082880,train,2026-07-08 13:15:40,0.0781,3.6091,90.0,0.0401,0.0039
48,1105920,train,2026-07-08 13:16:29,0.0664,3.6298,90.0,0.0403,0.0156
49,1105920,eval,2026-07-08 13:17:50,0.1979,8.9933,90.0,0.0999,0.0312
49,1128960,train,2026-07-08 13:18:19,0.0625,3.9321,90.0,0.0437,0.0
50,1152000,train,2026-07-08 13:19:08,0.1211,5.635,90.0,0.0626,0.0156
51,1175040,train,2026-07-08 13:19:58,0.125,5.5859,90.0,0.0621,0.0039
52,1198080,train,2026-07-08 13:20:47,0.1836,5.9885,90.0,0.0665,0.0078
53,1221120,train,2026-07-08 13:21:36,0.1406,5.5676,90.0,0.0619,0.0
54,1244160,train,2026-07-08 13:22:26,0.0898,4.8929,90.0,0.0544,0.0
55,1267200,train,2026-07-08 13:23:15,0.082,4.1239,90.0,0.0458,0.0
56,1290240,train,2026-07-08 13:24:04,0.1172,4.7222,90.0,0.0525,0.0
57,1313280,train,2026-07-08 13:24:54,0.1055,5.2023,90.0,0.0578,0.0078
58,1336320,train,2026-07-08 13:25:43,0.1641,5.9079,90.0,0.0656,0.0078
59,1359360,train,2026-07-08 13:26:32,0.1797,5.6912,90.0,0.0632,0.0039
60,1382400,train,2026-07-08 13:27:22,0.2109,6.8367,90.0,0.076,0.0
61,1405440,train,2026-07-08 13:28:11,0.1602,5.7342,90.0,0.0637,0.0039
62,1428480,train,2026-07-08 13:29:00,0.2148,6.9662,90.0,0.0774,0.0039
