iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 17:46:33,0.0,0.733,90.0,0.0081,0.0
1,23040,train,2026-07-02 17:47:02,0.0,0.8024,90.0,0.0089,0.0
2,46080,train,2026-07-02 17:47:50,0.0,0.7912,90.0,0.0088,0.0
3,69120,train,2026-07-02 17:48:38,0.0,0.8367,90.0,0.0093,0.0
4,92160,train,2026-07-02 17:49:30,0.0,0.8678,90.0,0.0096,0.0
5,115200,train,2026-07-02 17:50:18,0.0,0.9136,90.0,0.0102,0.0
6,138240,train,2026-07-02 17:51:06,0.0,0.9542,90.0,0.0106,0.0
7,161280,train,2026-07-02 17:51:54,0.0,0.9535,90.0,0.0106,0.0
8,184320,train,2026-07-02 17:52:42,0.0,0.8766,90.0,0.0097,0.0
9,207360,train,2026-07-02 17:53:30,0.0,0.8672,90.0,0.0096,0.0
10,230400,train,2026-07-02 17:54:19,0.0,0.9366,90.0,0.0104,0.0
11,253440,train,2026-07-02 17:55:16,0.0,0.8946,90.0,0.0099,0.0
12,276480,train,2026-07-02 17:56:04,0.0,0.9057,90.0,0.0101,0.0
13,299520,train,2026-07-02 17:56:52,0.0,0.9435,90.0,0.0105,0.0
14,322560,train,2026-07-02 17:57:40,0.0,0.935,90.0,0.0104,0.0
15,345600,train,2026-07-02 17:58:28,0.0,0.9356,90.0,0.0104,0.0
16,368640,train,2026-07-02 17:59:16,0.0,0.9225,90.0,0.0103,0.0
17,368640,eval,2026-07-02 18:00:32,0.0,0.9616,90.0,0.0107,0.0
17,391680,train,2026-07-02 18:01:01,0.0,0.9771,90.0,0.0109,0.0
18,414720,train,2026-07-02 18:01:49,0.0,1.0357,90.0,0.0115,0.0
19,437760,train,2026-07-02 18:02:37,0.0,1.1281,90.0,0.0125,0.0
20,460800,train,2026-07-02 18:03:25,0.0,1.0949,90.0,0.0122,0.0
21,483840,train,2026-07-02 18:04:13,0.0,1.0997,90.0,0.0122,0.0
22,506880,train,2026-07-02 18:05:01,0.0,1.1707,90.0,0.013,0.0
23,529920,train,2026-07-02 18:05:49,0.0,1.3035,90.0,0.0145,0.0
24,552960,train,2026-07-02 18:06:37,0.0039,1.471,90.0,0.0163,0.0
25,576000,train,2026-07-02 18:07:25,0.0,1.5783,90.0,0.0175,0.0
26,599040,train,2026-07-02 18:08:13,0.0078,1.6993,90.0,0.0189,0.0039
27,622080,train,2026-07-02 18:09:01,0.0,1.6922,90.0,0.0188,0.0
28,645120,train,2026-07-02 18:09:49,0.0,1.7775,90.0,0.0197,0.0
29,668160,train,2026-07-02 18:10:38,0.0,1.9094,90.0,0.0212,0.0
30,691200,train,2026-07-02 18:11:26,0.0039,2.0217,90.0,0.0225,0.0
31,714240,train,2026-07-02 18:12:14,0.0039,1.9748,90.0,0.0219,0.0
32,737280,train,2026-07-02 18:13:02,0.0,2.1661,90.0,0.0241,0.0
33,737280,eval,2026-07-02 18:14:20,0.0,2.6502,90.0,0.0294,0.0
33,760320,train,2026-07-02 18:14:49,0.0,2.0137,90.0,0.0224,0.0
34,783360,train,2026-07-02 18:15:37,0.0039,2.238,90.0,0.0249,0.0039
35,806400,train,2026-07-02 18:16:25,0.0039,2.2004,90.0,0.0244,0.0
36,829440,train,2026-07-02 18:17:14,0.0078,2.5827,90.0,0.0287,0.0039
37,852480,train,2026-07-02 18:18:03,0.0039,2.6699,90.0,0.0297,0.0
38,875520,train,2026-07-02 18:18:51,0.0156,2.6005,90.0,0.0289,0.0039
39,898560,train,2026-07-02 18:19:40,0.0234,2.663,90.0,0.0296,0.0039
40,921600,train,2026-07-02 18:20:28,0.043,3.2078,90.0,0.0356,0.0
41,944640,train,2026-07-02 18:21:17,0.0078,2.8514,90.0,0.0317,0.0
42,967680,train,2026-07-02 18:22:06,0.0391,3.527,90.0,0.0392,0.0078
