iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-21 06:18:37,0.0,0.749,90.0,0.0083,0.0
1,23040,train,2026-07-21 06:18:57,0.0,0.717,90.0,0.008,0.0
2,46080,train,2026-07-21 06:19:18,0.0,0.7702,90.0,0.0086,0.0
3,69120,train,2026-07-21 06:19:40,0.0,0.7664,90.0,0.0085,0.0
4,92160,train,2026-07-21 06:20:01,0.0,0.7335,90.0,0.0081,0.0
5,115200,train,2026-07-21 06:20:23,0.0,0.766,90.0,0.0085,0.0
6,138240,train,2026-07-21 06:20:44,0.0,0.7368,90.0,0.0082,0.0
7,161280,train,2026-07-21 06:21:06,0.0,0.7459,90.0,0.0083,0.0
8,184320,train,2026-07-21 06:21:30,0.0,0.7748,90.0,0.0086,0.0
9,207360,train,2026-07-21 06:21:51,0.0,0.7279,90.0,0.0081,0.0
10,230400,train,2026-07-21 06:22:12,0.0,0.7891,90.0,0.0088,0.0
11,253440,train,2026-07-21 06:22:44,0.0,0.7519,90.0,0.0084,0.0
12,276480,train,2026-07-21 06:23:15,0.0,0.8157,90.0,0.0091,0.0
13,299520,train,2026-07-21 06:23:47,0.0,0.9036,90.0,0.01,0.0
14,322560,train,2026-07-21 06:24:18,0.0,0.8937,90.0,0.0099,0.0
15,345600,train,2026-07-21 06:24:50,0.0,0.9461,90.0,0.0105,0.0
16,368640,train,2026-07-21 06:25:22,0.0,1.0122,90.0,0.0112,0.0
17,368640,eval,2026-07-21 06:26:30,0.0,1.0675,90.0,0.0119,0.0
17,391680,train,2026-07-21 06:26:50,0.0,1.0736,90.0,0.0119,0.0
18,414720,train,2026-07-21 06:27:22,0.0,1.0018,90.0,0.0111,0.0
19,437760,train,2026-07-21 06:27:55,0.0,1.024,90.0,0.0114,0.0
20,460800,train,2026-07-21 06:28:27,0.0,1.0771,90.0,0.012,0.0
21,483840,train,2026-07-21 06:28:59,0.0,1.0996,90.0,0.0122,0.0
22,506880,train,2026-07-21 06:29:31,0.0039,1.2732,90.0,0.0141,0.0
23,529920,train,2026-07-21 06:30:02,0.0,1.2704,90.0,0.0141,0.0
24,552960,train,2026-07-21 06:30:35,0.0,1.3339,90.0,0.0148,0.0
25,576000,train,2026-07-21 06:31:07,0.0039,1.5523,90.0,0.0172,0.0
26,599040,train,2026-07-21 06:31:39,0.0039,1.8126,90.0,0.0201,0.0
27,622080,train,2026-07-21 06:32:12,0.0234,2.3688,90.0,0.0263,0.0117
28,645120,train,2026-07-21 06:32:45,0.0391,2.9228,90.0,0.0325,0.0039
29,668160,train,2026-07-21 06:33:17,0.0312,2.6225,90.0,0.0291,0.0039
30,691200,train,2026-07-21 06:33:50,0.0273,2.7472,90.0,0.0305,0.0
31,714240,train,2026-07-21 06:34:22,0.0391,2.952,90.0,0.0328,0.0039
32,737280,train,2026-07-21 06:34:55,0.0508,3.2263,90.0,0.0358,0.0039
33,737280,eval,2026-07-21 06:36:11,0.0104,3.7675,90.0,0.0419,0.0
33,760320,train,2026-07-21 06:36:32,0.0156,2.4183,90.0,0.0269,0.0039
34,783360,train,2026-07-21 06:37:06,0.0508,3.1114,90.0,0.0346,0.0156
35,806400,train,2026-07-21 06:37:40,0.0625,3.2814,90.0,0.0365,0.0078
36,829440,train,2026-07-21 06:38:13,0.0391,2.5881,90.0,0.0288,0.0039
37,852480,train,2026-07-21 06:38:46,0.0352,2.8102,90.0,0.0312,0.0
38,875520,train,2026-07-21 06:39:20,0.0391,3.042,90.0,0.0338,0.0
39,898560,train,2026-07-21 06:39:53,0.0508,3.2044,90.0,0.0356,0.0039
40,921600,train,2026-07-21 06:40:16,0.043,3.49,90.0,0.0388,0.0078
41,944640,train,2026-07-21 06:40:40,0.0273,2.9466,90.0,0.0327,0.0
42,967680,train,2026-07-21 06:41:12,0.0469,3.1153,90.0,0.0346,0.0
43,990720,train,2026-07-21 06:41:45,0.043,2.961,90.0,0.0329,0.0
44,1013760,train,2026-07-21 06:42:17,0.0391,3.1559,90.0,0.0351,0.0
45,1036800,train,2026-07-21 06:42:50,0.0547,3.9417,90.0,0.0438,0.0
46,1059840,train,2026-07-21 06:43:23,0.0352,3.2376,90.0,0.036,0.0
47,1082880,train,2026-07-21 06:43:56,0.043,3.6199,90.0,0.0402,0.0078
48,1105920,train,2026-07-21 06:44:29,0.0703,4.2131,90.0,0.0468,0.0
49,1105920,eval,2026-07-21 06:45:44,0.0104,4.8801,90.0,0.0542,0.0104
49,1128960,train,2026-07-21 06:46:06,0.0742,4.1401,90.0,0.046,0.0156
50,1152000,train,2026-07-21 06:46:39,0.0352,3.9879,90.0,0.0443,0.0078
51,1175040,train,2026-07-21 06:47:13,0.0664,4.394,90.0,0.0488,0.0078
52,1198080,train,2026-07-21 06:47:46,0.0859,4.3842,90.0,0.0487,0.0
53,1221120,train,2026-07-21 06:48:20,0.0703,4.8864,90.0,0.0543,0.0117
54,1244160,train,2026-07-21 06:48:53,0.0547,4.8052,90.0,0.0534,0.0039
55,1267200,train,2026-07-21 06:49:26,0.082,4.8827,90.0,0.0543,0.0039
56,1290240,train,2026-07-21 06:49:59,0.0898,4.9347,90.0,0.0548,0.0078
57,1313280,train,2026-07-21 06:50:32,0.1016,5.1948,90.0,0.0577,0.0078
58,1336320,train,2026-07-21 06:51:05,0.1016,5.3214,90.0,0.0591,0.0039
59,1359360,train,2026-07-21 06:51:38,0.1055,5.1706,90.0,0.0575,0.0117
60,1382400,train,2026-07-21 06:52:11,0.1211,5.6315,90.0,0.0626,0.0156
61,1405440,train,2026-07-21 06:52:44,0.1602,5.9673,90.0,0.0663,0.0117
62,1428480,train,2026-07-21 06:53:16,0.1523,6.8531,90.0,0.0761,0.0156
63,1451520,train,2026-07-21 06:53:49,0.1289,6.0305,90.0,0.067,0.0078
64,1474560,train,2026-07-21 06:54:22,0.1211,6.1432,90.0,0.0683,0.0156
65,1474560,eval,2026-07-21 06:55:34,0.0312,4.6931,90.0,0.0521,0.0
65,1497600,train,2026-07-21 06:55:56,0.1641,6.0852,90.0,0.0676,0.0078
66,1520640,train,2026-07-21 06:56:29,0.1523,6.3941,90.0,0.071,0.0117
67,1543680,train,2026-07-21 06:57:03,0.2031,6.5077,90.0,0.0723,0.0117
68,1566720,train,2026-07-21 06:57:36,0.1992,6.4777,90.0,0.072,0.0039
69,1589760,train,2026-07-21 06:58:09,0.2344,7.3467,90.0,0.0816,0.0078
70,1612800,train,2026-07-21 06:58:41,0.1836,6.9328,90.0,0.077,0.0078
71,1635840,train,2026-07-21 06:59:05,0.1992,6.4186,90.0,0.0713,0.0039
72,1658880,train,2026-07-21 06:59:38,0.2266,7.3709,90.0,0.0819,0.0117
73,1681920,train,2026-07-21 07:00:11,0.2617,7.2953,90.0,0.0811,0.0117
74,1704960,train,2026-07-21 07:00:44,0.207,6.9923,90.0,0.0777,0.0156
75,1728000,train,2026-07-21 07:01:17,0.2305,6.7909,90.0,0.0755,0.0
76,1751040,train,2026-07-21 07:01:49,0.2461,7.1032,90.0,0.0789,0.0117
77,1774080,train,2026-07-21 07:02:22,0.2305,6.7303,90.0,0.0748,0.0078
78,1797120,train,2026-07-21 07:02:54,0.2734,7.3215,90.0,0.0814,0.0039
79,1820160,train,2026-07-21 07:03:27,0.2891,7.0149,90.0,0.0779,0.0078
80,1843200,train,2026-07-21 07:04:00,0.2383,6.9921,90.0,0.0777,0.0078
81,1843200,eval,2026-07-21 07:05:04,0.0625,4.7898,90.0,0.0532,0.0312
81,1866240,train,2026-07-21 07:05:25,0.2266,7.0457,90.0,0.0783,0.0156
82,1889280,train,2026-07-21 07:05:48,0.2461,7.0071,90.0,0.0779,0.0234
83,1912320,train,2026-07-21 07:06:15,0.2031,6.069,90.0,0.0674,0.0039
84,1935360,train,2026-07-21 07:06:48,0.2539,7.1559,90.0,0.0795,0.0117
85,1958400,train,2026-07-21 07:07:12,0.2344,5.9561,90.0,0.0662,0.0117
86,1981440,train,2026-07-21 07:07:35,0.1992,5.6603,90.0,0.0629,0.0039
87,2004480,train,2026-07-21 07:07:58,0.1836,5.1896,90.0,0.0577,0.0039
88,2027520,train,2026-07-21 07:08:31,0.2109,6.2866,90.0,0.0699,0.0039
89,2050560,train,2026-07-21 07:09:04,0.25,6.7216,90.0,0.0747,0.0
90,2073600,train,2026-07-21 07:09:27,0.1875,5.313,90.0,0.059,0.0
91,2096640,train,2026-07-21 07:10:00,0.2109,5.5892,90.0,0.0621,0.0039
92,2119680,train,2026-07-21 07:10:33,0.2305,5.7826,90.0,0.0643,0.0
93,2142720,train,2026-07-21 07:10:55,0.2578,6.6497,90.0,0.0739,0.0039
