iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-01 01:43:31,0.0,0.7313,90.0,0.0081,0.0
1,23040,train,2026-07-01 01:44:30,0.0,0.8007,90.0,0.0089,0.0
2,46080,train,2026-07-01 01:45:30,0.0,0.8217,90.0,0.0091,0.0
3,69120,train,2026-07-01 01:46:30,0.0,0.8327,90.0,0.0093,0.0
4,92160,train,2026-07-01 01:47:30,0.0,0.861,90.0,0.0096,0.0
5,115200,train,2026-07-01 01:48:30,0.0,0.8881,90.0,0.0099,0.0
6,138240,train,2026-07-01 01:49:31,0.0,0.9359,90.0,0.0104,0.0
7,161280,train,2026-07-01 01:50:31,0.0,0.9151,90.0,0.0102,0.0
8,184320,train,2026-07-01 01:51:31,0.0,0.953,90.0,0.0106,0.0
9,207360,train,2026-07-01 01:52:31,0.0,1.0105,90.0,0.0112,0.0
10,230400,train,2026-07-01 01:53:32,0.0,1.058,90.0,0.0118,0.0
11,253440,train,2026-07-01 01:54:32,0.0,1.1246,90.0,0.0125,0.0
12,276480,train,2026-07-01 01:55:32,0.0,1.06,90.0,0.0118,0.0
13,299520,train,2026-07-01 01:56:33,0.0,1.1653,90.0,0.0129,0.0
14,322560,train,2026-07-01 01:57:33,0.0,1.2507,90.0,0.0139,0.0
15,345600,train,2026-07-01 01:58:33,0.0,1.4113,90.0,0.0157,0.0
16,368640,train,2026-07-01 01:59:34,0.0,1.3571,90.0,0.0151,0.0
17,368640,eval,2026-07-01 02:00:46,0.0,1.5205,90.0,0.0169,0.0
17,391680,train,2026-07-01 02:01:45,0.0039,1.4643,90.0,0.0163,0.0
18,414720,train,2026-07-01 02:02:46,0.0039,1.547,90.0,0.0172,0.0
19,437760,train,2026-07-01 02:03:46,0.0,1.5369,90.0,0.0171,0.0
20,460800,train,2026-07-01 02:04:46,0.0039,1.674,90.0,0.0186,0.0
21,483840,train,2026-07-01 02:05:47,0.0117,1.9601,90.0,0.0218,0.0
22,506880,train,2026-07-01 02:06:47,0.0078,1.9605,90.0,0.0218,0.0
23,529920,train,2026-07-01 02:07:48,0.0039,1.9361,90.0,0.0215,0.0
24,552960,train,2026-07-01 02:08:49,0.0078,2.0176,90.0,0.0224,0.0039
25,576000,train,2026-07-01 02:09:49,0.0156,2.2622,90.0,0.0251,0.0039
26,599040,train,2026-07-01 02:10:50,0.0234,2.3597,90.0,0.0262,0.0
27,622080,train,2026-07-01 02:11:51,0.0156,2.6619,90.0,0.0296,0.0078
28,645120,train,2026-07-01 02:12:51,0.0312,2.871,90.0,0.0319,0.0
29,668160,train,2026-07-01 02:13:52,0.0508,3.4327,90.0,0.0381,0.0039
30,691200,train,2026-07-01 02:14:53,0.0352,3.0435,90.0,0.0338,0.0
31,714240,train,2026-07-01 02:15:54,0.0312,2.9394,90.0,0.0327,0.0
32,737280,train,2026-07-01 02:16:55,0.0312,2.8547,90.0,0.0317,0.0
33,737280,eval,2026-07-01 02:18:10,0.0,2.7375,90.0,0.0304,0.0
33,760320,train,2026-07-01 02:19:10,0.0273,2.9939,90.0,0.0333,0.0078
34,783360,train,2026-07-01 02:20:11,0.0391,2.7786,90.0,0.0309,0.0039
35,806400,train,2026-07-01 02:21:12,0.0391,2.693,90.0,0.0299,0.0039
36,829440,train,2026-07-01 02:22:13,0.0469,2.9272,90.0,0.0325,0.0
37,852480,train,2026-07-01 02:23:14,0.0391,3.1014,90.0,0.0345,0.0039
38,875520,train,2026-07-01 02:24:15,0.0508,3.5146,90.0,0.0391,0.0039
39,898560,train,2026-07-01 02:25:16,0.0469,3.1521,90.0,0.035,0.0
