iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 06:56:22,0.0,0.7422,90.0,0.0082,0.0
1,23040,train,2026-07-02 06:57:21,0.0,0.7144,90.0,0.0079,0.0
2,46080,train,2026-07-02 06:58:21,0.0,0.778,90.0,0.0086,0.0
3,69120,train,2026-07-02 06:59:21,0.0,0.8768,90.0,0.0097,0.0
4,92160,train,2026-07-02 07:00:21,0.0,0.9202,90.0,0.0102,0.0
5,115200,train,2026-07-02 07:01:22,0.0,0.9093,90.0,0.0101,0.0
6,138240,train,2026-07-02 07:02:22,0.0,0.9768,90.0,0.0109,0.0
7,161280,train,2026-07-02 07:03:22,0.0,1.1052,90.0,0.0123,0.0
8,184320,train,2026-07-02 07:04:22,0.0,1.1139,90.0,0.0124,0.0
9,207360,train,2026-07-02 07:05:23,0.0,1.2201,90.0,0.0136,0.0
10,230400,train,2026-07-02 07:06:24,0.0,1.2642,90.0,0.014,0.0
11,253440,train,2026-07-02 07:07:24,0.0,1.3744,90.0,0.0153,0.0
12,276480,train,2026-07-02 07:08:25,0.0,1.3437,90.0,0.0149,0.0
13,299520,train,2026-07-02 07:09:25,0.0,1.2576,90.0,0.014,0.0
14,322560,train,2026-07-02 07:10:26,0.0078,1.491,90.0,0.0166,0.0
15,345600,train,2026-07-02 07:11:27,0.0117,1.728,90.0,0.0192,0.0
16,368640,train,2026-07-02 07:12:27,0.0,1.5544,90.0,0.0173,0.0
17,368640,eval,2026-07-02 07:13:46,0.0104,2.8283,90.0,0.0314,0.0
17,391680,train,2026-07-02 07:14:46,0.0,1.8054,90.0,0.0201,0.0
18,414720,train,2026-07-02 07:15:47,0.0117,2.2104,90.0,0.0246,0.0
19,437760,train,2026-07-02 07:16:49,0.0195,2.4251,90.0,0.0269,0.0
20,460800,train,2026-07-02 07:17:50,0.0195,2.4817,90.0,0.0276,0.0
21,483840,train,2026-07-02 07:18:51,0.0156,2.6901,90.0,0.0299,0.0039
22,506880,train,2026-07-02 07:19:53,0.0312,2.5978,90.0,0.0289,0.0078
23,529920,train,2026-07-02 07:20:54,0.0117,2.6477,90.0,0.0294,0.0
24,552960,train,2026-07-02 07:21:55,0.0312,3.2217,90.0,0.0358,0.0078
25,576000,train,2026-07-02 07:22:56,0.0391,3.2583,90.0,0.0362,0.0078
26,599040,train,2026-07-02 07:23:57,0.0508,3.6201,90.0,0.0402,0.0078
27,622080,train,2026-07-02 07:24:58,0.043,3.3519,90.0,0.0372,0.0
28,645120,train,2026-07-02 07:25:59,0.043,3.3779,90.0,0.0375,0.0078
29,668160,train,2026-07-02 07:27:01,0.0352,3.5083,90.0,0.039,0.0
30,691200,train,2026-07-02 07:28:02,0.0508,3.9194,90.0,0.0435,0.0078
31,714240,train,2026-07-02 07:29:03,0.0664,4.5693,90.0,0.0508,0.0117
32,737280,train,2026-07-02 07:30:04,0.0703,4.4116,90.0,0.049,0.0078
33,737280,eval,2026-07-02 07:31:18,0.0104,3.7296,90.0,0.0414,0.0104
33,760320,train,2026-07-02 07:32:18,0.0508,4.0846,90.0,0.0454,0.0
34,783360,train,2026-07-02 07:33:19,0.0469,4.299,90.0,0.0478,0.0
35,806400,train,2026-07-02 07:34:20,0.0625,4.0796,90.0,0.0453,0.0078
36,829440,train,2026-07-02 07:35:21,0.0781,4.2495,90.0,0.0472,0.0156
37,852480,train,2026-07-02 07:36:22,0.0586,4.4317,90.0,0.0492,0.0
38,875520,train,2026-07-02 07:37:24,0.0703,4.3251,90.0,0.0481,0.0
39,898560,train,2026-07-02 07:38:25,0.0977,5.4267,90.0,0.0603,0.0156
40,921600,train,2026-07-02 07:39:26,0.0703,4.6812,90.0,0.052,0.0039
41,944640,train,2026-07-02 07:40:27,0.0508,4.0636,90.0,0.0452,0.0039
42,967680,train,2026-07-02 07:41:27,0.0547,4.5022,90.0,0.05,0.0117
43,990720,train,2026-07-02 07:42:28,0.0586,4.4318,90.0,0.0492,0.0039
44,1013760,train,2026-07-02 07:43:29,0.0742,4.8719,90.0,0.0541,0.0078
45,1036800,train,2026-07-02 07:44:30,0.0938,5.2564,90.0,0.0584,0.0117
46,1059840,train,2026-07-02 07:45:31,0.082,5.1876,90.0,0.0576,0.0078
47,1082880,train,2026-07-02 07:46:33,0.0664,4.5575,90.0,0.0506,0.0039
48,1105920,train,2026-07-02 07:47:34,0.0703,4.7527,90.0,0.0528,0.0039
49,1105920,eval,2026-07-02 07:48:47,0.0729,5.8952,90.0,0.0655,0.0312
49,1128960,train,2026-07-02 07:49:47,0.1211,6.5978,90.0,0.0733,0.0234
50,1152000,train,2026-07-02 07:50:49,0.1133,5.6386,90.0,0.0627,0.0156
51,1175040,train,2026-07-02 07:51:50,0.1094,5.7328,90.0,0.0637,0.0195
52,1198080,train,2026-07-02 07:52:51,0.1367,6.4805,90.0,0.072,0.0234
53,1221120,train,2026-07-02 07:53:52,0.1289,5.7455,90.0,0.0638,0.0156
54,1244160,train,2026-07-02 07:54:53,0.1406,5.7321,90.0,0.0637,0.0156
55,1267200,train,2026-07-02 07:55:54,0.1172,5.2121,90.0,0.0579,0.0039
56,1290240,train,2026-07-02 07:56:55,0.125,5.8037,90.0,0.0645,0.0156
57,1313280,train,2026-07-02 07:57:56,0.1641,6.2003,90.0,0.0689,0.0078
58,1336320,train,2026-07-02 07:58:57,0.1133,4.5663,90.0,0.0507,0.0117
59,1359360,train,2026-07-02 07:59:58,0.1484,5.8862,90.0,0.0654,0.0156
60,1382400,train,2026-07-02 08:00:59,0.1289,5.4169,90.0,0.0602,0.0156
61,1405440,train,2026-07-02 08:02:00,0.1172,6.2617,90.0,0.0696,0.0195
62,1428480,train,2026-07-02 08:03:01,0.1367,6.0327,90.0,0.067,0.0117
63,1451520,train,2026-07-02 08:04:02,0.1641,6.6312,90.0,0.0737,0.0078
64,1474560,train,2026-07-02 08:05:02,0.1523,6.3275,90.0,0.0703,0.0156
65,1474560,eval,2026-07-02 08:06:16,0.2083,10.3666,90.0,0.1152,0.0938
65,1497600,train,2026-07-02 08:07:15,0.168,6.818,90.0,0.0758,0.0039
66,1520640,train,2026-07-02 08:08:16,0.1484,6.4277,90.0,0.0714,0.0117
67,1543680,train,2026-07-02 08:09:17,0.1523,7.2487,90.0,0.0805,0.0078
68,1566720,train,2026-07-02 08:10:17,0.1758,6.7993,90.0,0.0755,0.0156
69,1589760,train,2026-07-02 08:11:18,0.1094,5.0966,90.0,0.0566,0.0117
70,1612800,train,2026-07-02 08:12:18,0.1641,6.7581,90.0,0.0751,0.0078
71,1635840,train,2026-07-02 08:13:19,0.1367,6.1936,90.0,0.0688,0.0039
72,1658880,train,2026-07-02 08:14:19,0.2266,8.3361,90.0,0.0926,0.0312
73,1681920,train,2026-07-02 08:15:20,0.1875,7.4261,90.0,0.0825,0.0156
74,1704960,train,2026-07-02 08:16:21,0.1484,6.2271,90.0,0.0692,0.0273
75,1728000,train,2026-07-02 08:17:21,0.1836,7.0739,90.0,0.0786,0.0039
76,1751040,train,2026-07-02 08:18:22,0.1836,7.5185,90.0,0.0835,0.0195
77,1774080,train,2026-07-02 08:19:22,0.1602,7.2626,90.0,0.0807,0.0234
78,1797120,train,2026-07-02 08:20:23,0.1914,7.8238,90.0,0.0869,0.0156
79,1820160,train,2026-07-02 08:21:23,0.1797,7.7942,90.0,0.0866,0.0312
80,1843200,train,2026-07-02 08:22:23,0.2227,9.3596,90.0,0.104,0.0195
81,1843200,eval,2026-07-02 08:23:35,0.3021,12.3982,90.0,0.1378,0.125
81,1866240,train,2026-07-02 08:24:35,0.2734,9.1638,90.0,0.1018,0.0195
82,1889280,train,2026-07-02 08:25:35,0.1953,8.3852,90.0,0.0932,0.0273
83,1912320,train,2026-07-02 08:26:35,0.1602,7.2445,90.0,0.0805,0.0156
84,1935360,train,2026-07-02 08:27:35,0.1836,7.3619,90.0,0.0818,0.0117
85,1958400,train,2026-07-02 08:28:35,0.2227,8.0776,90.0,0.0898,0.0078
86,1981440,train,2026-07-02 08:29:36,0.1719,6.6282,90.0,0.0736,0.0039
87,2004480,train,2026-07-02 08:30:36,0.2188,8.6548,90.0,0.0962,0.0312
88,2027520,train,2026-07-02 08:31:36,0.2109,8.2585,90.0,0.0918,0.0117
89,2050560,train,2026-07-02 08:32:36,0.2383,8.3027,90.0,0.0923,0.0234
90,2073600,train,2026-07-02 08:33:36,0.2266,7.5793,90.0,0.0842,0.0156
91,2096640,train,2026-07-02 08:34:37,0.2617,9.2287,90.0,0.1025,0.0234
92,2119680,train,2026-07-02 08:35:37,0.2852,8.6745,90.0,0.0964,0.0117
93,2142720,train,2026-07-02 08:36:38,0.25,7.8143,90.0,0.0868,0.0156
94,2165760,train,2026-07-02 08:37:38,0.2852,9.2734,90.0,0.103,0.0117
95,2188800,train,2026-07-02 08:38:38,0.2773,8.3029,90.0,0.0923,0.0156
96,2211840,train,2026-07-02 08:39:38,0.2852,8.3736,90.0,0.093,0.0078
97,2211840,eval,2026-07-02 08:40:50,0.2604,9.6514,90.0,0.1072,0.0417
97,2234880,train,2026-07-02 08:41:49,0.25,8.6549,90.0,0.0962,0.0234
98,2257920,train,2026-07-02 08:42:50,0.2422,8.6646,90.0,0.0963,0.0195
99,2280960,train,2026-07-02 08:43:51,0.2578,8.7599,90.0,0.0973,0.0234
100,2304000,train,2026-07-02 08:44:52,0.293,9.1891,90.0,0.1021,0.0117
101,2327040,train,2026-07-02 08:45:53,0.3086,9.4329,90.0,0.1048,0.0039
102,2350080,train,2026-07-02 08:46:54,0.25,8.3476,90.0,0.0928,0.0078
103,2373120,train,2026-07-02 08:47:54,0.207,7.8365,90.0,0.0871,0.0117
104,2396160,train,2026-07-02 08:48:55,0.2109,7.3561,90.0,0.0817,0.0117
105,2419200,train,2026-07-02 08:49:56,0.3203,9.5852,90.0,0.1065,0.0156
106,2442240,train,2026-07-02 08:50:57,0.2734,9.5145,90.0,0.1057,0.0195
107,2465280,train,2026-07-02 08:51:58,0.25,9.2078,90.0,0.1023,0.0195
108,2488320,train,2026-07-02 08:52:59,0.25,9.2339,90.0,0.1026,0.0195
109,2511360,train,2026-07-02 08:53:59,0.3438,10.2595,90.0,0.114,0.0234
110,2534400,train,2026-07-02 08:55:00,0.2734,8.9125,90.0,0.099,0.0078
