iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-11 08:02:03,0.0,0.1995,90.0,0.0022,0.0
1,23040,train,2026-07-11 08:02:32,0.0,0.2314,90.0,0.0026,0.0
2,46080,train,2026-07-11 08:03:19,0.0,0.2183,90.0,0.0024,0.0
3,69120,train,2026-07-11 08:04:06,0.0,0.2141,90.0,0.0024,0.0
4,92160,train,2026-07-11 08:04:54,0.0,0.1852,90.0,0.0021,0.0
5,115200,train,2026-07-11 08:05:41,0.0,0.1842,90.0,0.002,0.0
6,138240,train,2026-07-11 08:06:28,0.0,0.1938,90.0,0.0022,0.0
7,161280,train,2026-07-11 08:07:16,0.0,0.18,90.0,0.002,0.0
8,184320,train,2026-07-11 08:08:03,0.0,0.1596,90.0,0.0018,0.0
9,207360,train,2026-07-11 08:08:50,0.0,0.1761,90.0,0.002,0.0
10,230400,train,2026-07-11 08:09:38,0.0,0.1614,90.0,0.0018,0.0
11,253440,train,2026-07-11 08:10:25,0.0,0.1711,90.0,0.0019,0.0
12,276480,train,2026-07-11 08:11:12,0.0,0.1746,90.0,0.0019,0.0
13,299520,train,2026-07-11 08:12:00,0.0,0.1941,90.0,0.0022,0.0
14,322560,train,2026-07-11 08:12:47,0.0,0.3033,90.0,0.0034,0.0
15,345600,train,2026-07-11 08:13:35,0.0,0.4794,90.0,0.0053,0.0
16,368640,train,2026-07-11 08:14:23,0.0,0.5183,90.0,0.0058,0.0
17,368640,eval,2026-07-11 08:15:41,0.0,0.5819,90.0,0.0065,0.0
17,391680,train,2026-07-11 08:16:10,0.0,0.5293,90.0,0.0059,0.0
18,414720,train,2026-07-11 08:16:58,0.0,0.439,90.0,0.0049,0.0
19,437760,train,2026-07-11 08:17:45,0.0,0.4229,90.0,0.0047,0.0
20,460800,train,2026-07-11 08:18:33,0.0,0.6728,90.0,0.0075,0.0
21,483840,train,2026-07-11 08:19:21,0.0,0.6354,90.0,0.0071,0.0
22,506880,train,2026-07-11 08:20:09,0.0,0.5483,90.0,0.0061,0.0
23,529920,train,2026-07-11 08:20:57,0.0,0.6021,90.0,0.0067,0.0
24,552960,train,2026-07-11 08:21:45,0.0,0.5861,90.0,0.0065,0.0
25,576000,train,2026-07-11 08:22:33,0.0,0.7053,90.0,0.0078,0.0
26,599040,train,2026-07-11 08:23:21,0.0,0.6917,90.0,0.0077,0.0
27,622080,train,2026-07-11 08:24:08,0.0,0.5767,90.0,0.0064,0.0
28,645120,train,2026-07-11 08:24:56,0.0,0.6796,90.0,0.0076,0.0
29,668160,train,2026-07-11 08:25:44,0.0,0.682,90.0,0.0076,0.0
30,691200,train,2026-07-11 08:26:33,0.0,0.8521,90.0,0.0095,0.0
31,714240,train,2026-07-11 08:27:21,0.0,0.7466,90.0,0.0083,0.0
32,737280,train,2026-07-11 08:28:09,0.0,0.6655,90.0,0.0074,0.0
33,737280,eval,2026-07-11 08:29:28,0.0,1.5276,90.0,0.017,0.0
33,760320,train,2026-07-11 08:29:58,0.0039,0.5572,90.0,0.0062,0.0
34,783360,train,2026-07-11 08:30:46,0.0,0.7411,90.0,0.0082,0.0
35,806400,train,2026-07-11 08:31:34,0.0,0.5016,90.0,0.0056,0.0
36,829440,train,2026-07-11 08:32:22,0.0,0.4718,90.0,0.0052,0.0
37,852480,train,2026-07-11 08:33:09,0.0,0.5126,90.0,0.0057,0.0
