iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-05 22:17:57,0.0,0.1945,90.0,0.0022,0.0
1,23040,train,2026-07-05 22:18:26,0.0,0.1814,90.0,0.002,0.0
2,46080,train,2026-07-05 22:19:14,0.0,0.2038,90.0,0.0023,0.0
3,69120,train,2026-07-05 22:20:02,0.0,0.2726,90.0,0.003,0.0
4,92160,train,2026-07-05 22:20:50,0.0,0.3238,90.0,0.0036,0.0
5,115200,train,2026-07-05 22:21:39,0.0,0.3047,90.0,0.0034,0.0
6,138240,train,2026-07-05 22:22:28,0.0,0.3224,90.0,0.0036,0.0
7,161280,train,2026-07-05 22:23:16,0.0,0.3046,90.0,0.0034,0.0
8,184320,train,2026-07-05 22:24:05,0.0,0.2728,90.0,0.003,0.0
9,207360,train,2026-07-05 22:24:54,0.0,0.2884,90.0,0.0032,0.0
10,230400,train,2026-07-05 22:25:43,0.0,0.2686,90.0,0.003,0.0
11,253440,train,2026-07-05 22:26:31,0.0,0.2921,90.0,0.0032,0.0
12,276480,train,2026-07-05 22:27:20,0.0,0.3305,90.0,0.0037,0.0
13,299520,train,2026-07-05 22:28:09,0.0,0.3597,90.0,0.004,0.0
14,322560,train,2026-07-05 22:28:58,0.0,0.4027,90.0,0.0045,0.0
15,345600,train,2026-07-05 22:29:47,0.0,0.3779,90.0,0.0042,0.0
16,368640,train,2026-07-05 22:30:37,0.0,0.4156,90.0,0.0046,0.0
17,368640,eval,2026-07-05 22:31:55,0.0,0.4917,90.0,0.0055,0.0
17,391680,train,2026-07-05 22:32:25,0.0,0.5024,90.0,0.0056,0.0
18,414720,train,2026-07-05 22:33:14,0.0,0.4855,90.0,0.0054,0.0
19,437760,train,2026-07-05 22:34:03,0.0,0.4593,90.0,0.0051,0.0
20,460800,train,2026-07-05 22:34:52,0.0,0.5088,90.0,0.0057,0.0
21,483840,train,2026-07-05 22:35:42,0.0,0.4341,90.0,0.0048,0.0
22,506880,train,2026-07-05 22:36:31,0.0,0.4066,90.0,0.0045,0.0
23,529920,train,2026-07-05 22:37:20,0.0,0.5134,90.0,0.0057,0.0
24,552960,train,2026-07-05 22:38:10,0.0,0.4325,90.0,0.0048,0.0
25,576000,train,2026-07-05 22:38:59,0.0,0.4595,90.0,0.0051,0.0
26,599040,train,2026-07-05 22:39:48,0.0,0.4883,90.0,0.0054,0.0
