iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-06 02:36:58,0.0,0.1964,90.0,0.0022,0.0
1,23040,train,2026-07-06 02:37:27,0.0,0.1889,90.0,0.0021,0.0
2,46080,train,2026-07-06 02:38:15,0.0,0.2343,90.0,0.0026,0.0
3,69120,train,2026-07-06 02:39:03,0.0,0.2493,90.0,0.0028,0.0
4,92160,train,2026-07-06 02:39:52,0.0,0.2576,90.0,0.0029,0.0
5,115200,train,2026-07-06 02:40:41,0.0,0.2666,90.0,0.003,0.0
6,138240,train,2026-07-06 02:41:29,0.0,0.2509,90.0,0.0028,0.0
7,161280,train,2026-07-06 02:42:18,0.0,0.2429,90.0,0.0027,0.0
8,184320,train,2026-07-06 02:43:07,0.0,0.2417,90.0,0.0027,0.0
9,207360,train,2026-07-06 02:43:55,0.0,0.2339,90.0,0.0026,0.0
10,230400,train,2026-07-06 02:44:44,0.0,0.2548,90.0,0.0028,0.0
11,253440,train,2026-07-06 02:45:33,0.0,0.2451,90.0,0.0027,0.0
12,276480,train,2026-07-06 02:46:21,0.0,0.2342,90.0,0.0026,0.0
13,299520,train,2026-07-06 02:47:10,0.0,0.2441,90.0,0.0027,0.0
14,322560,train,2026-07-06 02:47:58,0.0,0.2531,90.0,0.0028,0.0
15,345600,train,2026-07-06 02:48:47,0.0,0.2521,90.0,0.0028,0.0
16,368640,train,2026-07-06 02:49:35,0.0,0.2598,90.0,0.0029,0.0
17,368640,eval,2026-07-06 02:50:54,0.0,0.2674,90.0,0.003,0.0
17,391680,train,2026-07-06 02:51:23,0.0,0.2809,90.0,0.0031,0.0
18,414720,train,2026-07-06 02:52:12,0.0,0.3035,90.0,0.0034,0.0
19,437760,train,2026-07-06 02:53:00,0.0,0.3364,90.0,0.0037,0.0
20,460800,train,2026-07-06 02:53:49,0.0,0.4023,90.0,0.0045,0.0
21,483840,train,2026-07-06 02:54:38,0.0,0.4327,90.0,0.0048,0.0
22,506880,train,2026-07-06 02:55:26,0.0,0.4633,90.0,0.0051,0.0
23,529920,train,2026-07-06 02:56:15,0.0,0.461,90.0,0.0051,0.0
24,552960,train,2026-07-06 02:57:03,0.0,0.5005,90.0,0.0056,0.0
25,576000,train,2026-07-06 02:57:52,0.0,0.5284,90.0,0.0059,0.0
26,599040,train,2026-07-06 02:58:40,0.0,0.5408,90.0,0.006,0.0
27,622080,train,2026-07-06 02:59:29,0.0,0.5617,90.0,0.0062,0.0
