iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-21 21:26:53,0.0,0.2004,90.0,0.0022,0.0
1,23040,train,2026-07-21 21:27:13,0.0,0.1856,90.0,0.0021,0.0
2,46080,train,2026-07-21 21:27:35,0.0,0.1893,90.0,0.0021,0.0
3,69120,train,2026-07-21 21:27:57,0.0,0.2036,90.0,0.0023,0.0
4,92160,train,2026-07-21 21:28:18,0.0,0.2085,90.0,0.0023,0.0
5,115200,train,2026-07-21 21:28:40,0.0,0.1829,90.0,0.002,0.0
6,138240,train,2026-07-21 21:29:03,0.0,0.1929,90.0,0.0021,0.0
7,161280,train,2026-07-21 21:29:29,0.0,0.1995,90.0,0.0022,0.0
8,184320,train,2026-07-21 21:30:01,0.0,0.2447,90.0,0.0027,0.0
9,207360,train,2026-07-21 21:30:33,0.0,0.2936,90.0,0.0033,0.0
10,230400,train,2026-07-21 21:31:07,0.0,0.3045,90.0,0.0034,0.0
11,253440,train,2026-07-21 21:31:40,0.0,0.3439,90.0,0.0038,0.0
12,276480,train,2026-07-21 21:32:05,0.0,0.2849,90.0,0.0032,0.0
13,299520,train,2026-07-21 21:32:39,0.0,0.2771,90.0,0.0031,0.0
14,322560,train,2026-07-21 21:33:12,0.0,0.2901,90.0,0.0032,0.0
15,345600,train,2026-07-21 21:33:45,0.0,0.2565,90.0,0.0028,0.0
16,368640,train,2026-07-21 21:34:18,0.0,0.2967,90.0,0.0033,0.0
17,368640,eval,2026-07-21 21:35:46,0.0,0.3436,90.0,0.0038,0.0
17,391680,train,2026-07-21 21:36:07,0.0,0.3283,90.0,0.0036,0.0
18,414720,train,2026-07-21 21:36:41,0.0,0.3317,90.0,0.0037,0.0
19,437760,train,2026-07-21 21:37:15,0.0,0.3407,90.0,0.0038,0.0
20,460800,train,2026-07-21 21:37:48,0.0,0.3666,90.0,0.0041,0.0
21,483840,train,2026-07-21 21:38:22,0.0,0.4143,90.0,0.0046,0.0
22,506880,train,2026-07-21 21:38:55,0.0,0.4135,90.0,0.0046,0.0
23,529920,train,2026-07-21 21:39:29,0.0,0.4629,90.0,0.0051,0.0
24,552960,train,2026-07-21 21:40:02,0.0,0.4307,90.0,0.0048,0.0
25,576000,train,2026-07-21 21:40:35,0.0,0.4528,90.0,0.005,0.0
26,599040,train,2026-07-21 21:41:07,0.0,0.4625,90.0,0.0051,0.0
27,622080,train,2026-07-21 21:41:39,0.0,0.4643,90.0,0.0052,0.0
28,645120,train,2026-07-21 21:42:12,0.0,0.4856,90.0,0.0054,0.0
29,668160,train,2026-07-21 21:42:45,0.0,0.5765,90.0,0.0064,0.0
30,691200,train,2026-07-21 21:43:17,0.0,0.6525,90.0,0.0072,0.0
31,714240,train,2026-07-21 21:43:50,0.0,0.6763,90.0,0.0075,0.0
32,737280,train,2026-07-21 21:44:23,0.0,0.7977,90.0,0.0089,0.0
33,737280,eval,2026-07-21 21:45:44,0.0104,1.7539,90.0,0.0195,0.0104
33,760320,train,2026-07-21 21:46:05,0.0,0.7024,90.0,0.0078,0.0
34,783360,train,2026-07-21 21:46:39,0.0,0.8959,90.0,0.01,0.0
35,806400,train,2026-07-21 21:47:13,0.0,0.8575,90.0,0.0095,0.0
36,829440,train,2026-07-21 21:47:46,0.0,0.8494,90.0,0.0094,0.0
37,852480,train,2026-07-21 21:48:20,0.0,0.9264,90.0,0.0103,0.0
38,875520,train,2026-07-21 21:48:52,0.0,0.9962,90.0,0.0111,0.0
39,898560,train,2026-07-21 21:49:26,0.0,0.9676,90.0,0.0108,0.0
40,921600,train,2026-07-21 21:50:00,0.0,0.9746,90.0,0.0108,0.0
41,944640,train,2026-07-21 21:50:32,0.0,1.0163,90.0,0.0113,0.0
42,967680,train,2026-07-21 21:51:05,0.0,0.9571,90.0,0.0106,0.0
43,990720,train,2026-07-21 21:51:39,0.0,0.9927,90.0,0.011,0.0
44,1013760,train,2026-07-21 21:52:12,0.0,1.1168,90.0,0.0124,0.0
45,1036800,train,2026-07-21 21:52:46,0.0,1.333,90.0,0.0148,0.0
46,1059840,train,2026-07-21 21:53:20,0.0,1.6277,90.0,0.0181,0.0
47,1082880,train,2026-07-21 21:53:53,0.0039,1.5553,90.0,0.0173,0.0
48,1105920,train,2026-07-21 21:54:28,0.0,1.4456,90.0,0.0161,0.0
49,1105920,eval,2026-07-21 21:55:46,0.0,1.1677,90.0,0.013,0.0
49,1128960,train,2026-07-21 21:56:09,0.0,1.487,90.0,0.0165,0.0
50,1152000,train,2026-07-21 21:56:43,0.0078,1.4065,90.0,0.0156,0.0
51,1175040,train,2026-07-21 21:57:17,0.0,1.6563,90.0,0.0184,0.0
52,1198080,train,2026-07-21 21:57:52,0.0,1.7463,90.0,0.0194,0.0
53,1221120,train,2026-07-21 21:58:26,0.0,2.2,90.0,0.0244,0.0
54,1244160,train,2026-07-21 21:59:00,0.0,1.7238,90.0,0.0192,0.0
55,1267200,train,2026-07-21 21:59:35,0.0,2.0716,90.0,0.023,0.0
56,1290240,train,2026-07-21 22:00:08,0.0,1.9474,90.0,0.0216,0.0
57,1313280,train,2026-07-21 22:00:43,0.0,2.3703,90.0,0.0263,0.0
58,1336320,train,2026-07-21 22:01:10,0.0039,2.7116,90.0,0.0301,0.0
59,1359360,train,2026-07-21 22:01:44,0.0,2.5549,90.0,0.0284,0.0
60,1382400,train,2026-07-21 22:02:19,0.0,2.8413,90.0,0.0316,0.0
61,1405440,train,2026-07-21 22:02:53,0.0078,3.9033,90.0,0.0434,0.0
62,1428480,train,2026-07-21 22:03:27,0.0039,3.2859,90.0,0.0365,0.0
63,1451520,train,2026-07-21 22:04:03,0.0117,3.5301,90.0,0.0392,0.0
64,1474560,train,2026-07-21 22:04:37,0.0078,3.3747,90.0,0.0375,0.0
65,1474560,eval,2026-07-21 22:06:06,0.0833,5.1062,90.0,0.0567,0.0
65,1497600,train,2026-07-21 22:06:28,0.0,3.301,90.0,0.0367,0.0
66,1520640,train,2026-07-21 22:07:04,0.0078,3.541,90.0,0.0393,0.0
67,1543680,train,2026-07-21 22:07:39,0.0039,4.3932,90.0,0.0488,0.0
68,1566720,train,2026-07-21 22:08:07,0.0156,4.138,90.0,0.046,0.0
69,1589760,train,2026-07-21 22:08:43,0.0039,3.9996,90.0,0.0444,0.0
70,1612800,train,2026-07-21 22:09:18,0.0039,3.8226,90.0,0.0425,0.0
71,1635840,train,2026-07-21 22:09:52,0.0,4.0686,90.0,0.0452,0.0
72,1658880,train,2026-07-21 22:10:20,0.0078,4.5907,90.0,0.051,0.0
73,1681920,train,2026-07-21 22:10:48,0.0078,5.3039,90.0,0.0589,0.0
74,1704960,train,2026-07-21 22:11:23,0.0391,5.407,90.0,0.0601,0.0
75,1728000,train,2026-07-21 22:11:59,0.0195,4.9746,90.0,0.0553,0.0
76,1751040,train,2026-07-21 22:12:24,0.0039,3.8718,90.0,0.043,0.0
77,1774080,train,2026-07-21 22:12:48,0.0117,5.0857,90.0,0.0565,0.0
78,1797120,train,2026-07-21 22:13:23,0.0156,5.6907,90.0,0.0632,0.0
79,1820160,train,2026-07-21 22:13:58,0.0039,5.4796,90.0,0.0609,0.0
80,1843200,train,2026-07-21 22:14:32,0.0234,6.7654,90.0,0.0752,0.0
81,1843200,eval,2026-07-21 22:16:02,0.4896,18.5773,90.0,0.2064,0.0
81,1866240,train,2026-07-21 22:16:26,0.0156,6.6906,90.0,0.0743,0.0
82,1889280,train,2026-07-21 22:17:02,0.0273,7.0821,90.0,0.0787,0.0
83,1912320,train,2026-07-21 22:17:31,0.0195,7.6728,90.0,0.0853,0.0
84,1935360,train,2026-07-21 22:18:06,0.0312,7.4824,90.0,0.0831,0.0
85,1958400,train,2026-07-21 22:18:42,0.0469,8.0836,90.0,0.0898,0.0
86,1981440,train,2026-07-21 22:19:16,0.0312,7.4004,90.0,0.0822,0.0
87,2004480,train,2026-07-21 22:19:51,0.0508,8.2155,90.0,0.0913,0.0
88,2027520,train,2026-07-21 22:20:27,0.0469,8.9621,90.0,0.0996,0.0
89,2050560,train,2026-07-21 22:21:01,0.0312,7.6701,90.0,0.0852,0.0
90,2073600,train,2026-07-21 22:21:35,0.0469,7.7259,90.0,0.0858,0.0
91,2096640,train,2026-07-21 22:22:11,0.0508,7.7636,90.0,0.0863,0.0
92,2119680,train,2026-07-21 22:22:45,0.0547,8.6978,90.0,0.0966,0.0
93,2142720,train,2026-07-21 22:23:19,0.0859,10.0511,90.0,0.1117,0.0
94,2165760,train,2026-07-21 22:23:55,0.0938,9.3295,90.0,0.1037,0.0
95,2188800,train,2026-07-21 22:24:29,0.1055,9.644,90.0,0.1072,0.0
96,2211840,train,2026-07-21 22:25:04,0.0742,9.2827,90.0,0.1031,0.0
97,2211840,eval,2026-07-21 22:26:32,0.3438,24.1588,90.0,0.2684,0.0
97,2234880,train,2026-07-21 22:26:56,0.0977,10.6901,90.0,0.1188,0.0
98,2257920,train,2026-07-21 22:27:25,0.0586,10.1642,90.0,0.1129,0.0
99,2280960,train,2026-07-21 22:27:53,0.0664,9.6617,90.0,0.1074,0.0
100,2304000,train,2026-07-21 22:28:29,0.1172,10.1358,90.0,0.1126,0.0
101,2327040,train,2026-07-21 22:29:02,0.1172,10.9469,90.0,0.1216,0.0
102,2350080,train,2026-07-21 22:29:36,0.1016,9.7643,90.0,0.1085,0.0
103,2373120,train,2026-07-21 22:30:02,0.168,11.7921,90.0,0.131,0.0
104,2396160,train,2026-07-21 22:30:28,0.1094,9.6486,90.0,0.1072,0.0
105,2419200,train,2026-07-21 22:31:03,0.0742,11.664,90.0,0.1296,0.0
106,2442240,train,2026-07-21 22:31:27,0.1172,10.0168,90.0,0.1113,0.0
107,2465280,train,2026-07-21 22:32:03,0.125,9.8747,90.0,0.1097,0.0
108,2488320,train,2026-07-21 22:32:37,0.1211,10.3544,90.0,0.115,0.0
109,2511360,train,2026-07-21 22:33:05,0.1211,11.6667,90.0,0.1296,0.0
110,2534400,train,2026-07-21 22:33:31,0.1016,9.3551,90.0,0.1039,0.0
111,2557440,train,2026-07-21 22:33:57,0.1445,11.0643,90.0,0.1229,0.0
112,2580480,train,2026-07-21 22:34:23,0.1523,11.5269,90.0,0.1281,0.0
113,2580480,eval,2026-07-21 22:35:55,0.4479,30.6755,90.0,0.3408,0.0
113,2603520,train,2026-07-21 22:36:18,0.1914,13.9353,90.0,0.1548,0.0078
114,2626560,train,2026-07-21 22:36:53,0.1836,12.7753,90.0,0.1419,0.0
115,2649600,train,2026-07-21 22:37:29,0.0898,10.8729,90.0,0.1208,0.0
116,2672640,train,2026-07-21 22:37:57,0.0781,11.6401,90.0,0.1293,0.0
117,2695680,train,2026-07-21 22:38:31,0.0312,8.139,90.0,0.0904,0.0
118,2718720,train,2026-07-21 22:38:58,0.0078,8.2928,90.0,0.0921,0.0
119,2741760,train,2026-07-21 22:39:32,0.0703,9.9549,90.0,0.1106,0.0
120,2764800,train,2026-07-21 22:40:06,0.0938,12.0056,90.0,0.1334,0.0
121,2787840,train,2026-07-21 22:40:42,0.0859,12.3964,90.0,0.1377,0.0039
122,2810880,train,2026-07-21 22:41:16,0.0859,9.6675,90.0,0.1074,0.0
123,2833920,train,2026-07-21 22:41:51,0.043,9.2197,90.0,0.1024,0.0039
124,2856960,train,2026-07-21 22:42:26,0.1016,11.3017,90.0,0.1256,0.0
125,2880000,train,2026-07-21 22:43:01,0.0859,11.1511,90.0,0.1239,0.0
126,2903040,train,2026-07-21 22:43:27,0.0742,11.0112,90.0,0.1223,0.0
127,2926080,train,2026-07-21 22:43:54,0.0352,10.5102,90.0,0.1168,0.0
128,2949120,train,2026-07-21 22:44:21,0.0703,12.1632,90.0,0.1351,0.0
129,2949120,eval,2026-07-21 22:45:39,0.0625,23.7656,90.0,0.2641,0.0
129,2972160,train,2026-07-21 22:46:03,0.0508,10.421,90.0,0.1158,0.0
130,2995200,train,2026-07-21 22:46:28,0.0703,10.9942,90.0,0.1222,0.0
131,3018240,train,2026-07-21 22:47:04,0.0742,12.2824,90.0,0.1365,0.0
132,3041280,train,2026-07-21 22:47:32,0.0664,12.5458,90.0,0.1394,0.0
133,3064320,train,2026-07-21 22:48:00,0.0547,9.022,90.0,0.1002,0.0
134,3087360,train,2026-07-21 22:48:27,0.043,10.9821,90.0,0.122,0.0
135,3110400,train,2026-07-21 22:49:03,0.0273,12.5747,90.0,0.1397,0.0
