iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-03 02:34:59,0.0,0.1901,90.0,0.0021,0.0
1,23040,train,2026-07-03 02:35:58,0.0,0.2228,90.0,0.0025,0.0
2,46080,train,2026-07-03 02:36:58,0.0,0.213,90.0,0.0024,0.0
3,69120,train,2026-07-03 02:37:58,0.0,0.21,90.0,0.0023,0.0
4,92160,train,2026-07-03 02:38:57,0.0,0.2104,90.0,0.0023,0.0
5,115200,train,2026-07-03 02:39:57,0.0,0.243,90.0,0.0027,0.0
6,138240,train,2026-07-03 02:40:57,0.0,0.2676,90.0,0.003,0.0
7,161280,train,2026-07-03 02:41:57,0.0,0.2673,90.0,0.003,0.0
8,184320,train,2026-07-03 02:42:57,0.0,0.2562,90.0,0.0028,0.0
9,207360,train,2026-07-03 02:43:57,0.0,0.2713,90.0,0.003,0.0
10,230400,train,2026-07-03 02:44:56,0.0,0.2818,90.0,0.0031,0.0
11,253440,train,2026-07-03 02:45:56,0.0,0.2585,90.0,0.0029,0.0
12,276480,train,2026-07-03 02:46:56,0.0,0.2581,90.0,0.0029,0.0
13,299520,train,2026-07-03 02:47:56,0.0,0.2993,90.0,0.0033,0.0
14,322560,train,2026-07-03 02:48:56,0.0,0.306,90.0,0.0034,0.0
15,345600,train,2026-07-03 02:49:56,0.0,0.3077,90.0,0.0034,0.0
16,368640,train,2026-07-03 02:50:55,0.0,0.3162,90.0,0.0035,0.0
17,368640,eval,2026-07-03 02:52:09,0.0,0.33,90.0,0.0037,0.0
17,391680,train,2026-07-03 02:53:08,0.0,0.3148,90.0,0.0035,0.0
18,414720,train,2026-07-03 02:54:08,0.0,0.3206,90.0,0.0036,0.0
19,437760,train,2026-07-03 02:55:07,0.0,0.3158,90.0,0.0035,0.0
20,460800,train,2026-07-03 02:56:07,0.0,0.3206,90.0,0.0036,0.0
21,483840,train,2026-07-03 02:57:07,0.0,0.3211,90.0,0.0036,0.0
22,506880,train,2026-07-03 02:58:06,0.0,0.3084,90.0,0.0034,0.0
23,529920,train,2026-07-03 02:59:06,0.0,0.3346,90.0,0.0037,0.0
24,552960,train,2026-07-03 03:00:06,0.0,0.3366,90.0,0.0037,0.0
25,576000,train,2026-07-03 03:01:06,0.0,0.3499,90.0,0.0039,0.0
26,599040,train,2026-07-03 03:02:06,0.0,0.403,90.0,0.0045,0.0
27,622080,train,2026-07-03 03:03:06,0.0,0.3987,90.0,0.0044,0.0
28,645120,train,2026-07-03 03:04:06,0.0,0.414,90.0,0.0046,0.0
29,668160,train,2026-07-03 03:05:06,0.0,0.4392,90.0,0.0049,0.0
30,691200,train,2026-07-03 03:06:06,0.0,0.4621,90.0,0.0051,0.0
31,714240,train,2026-07-03 03:07:07,0.0,0.5072,90.0,0.0056,0.0
32,737280,train,2026-07-03 03:08:07,0.0,0.4611,90.0,0.0051,0.0
33,737280,eval,2026-07-03 03:09:22,0.0208,1.3649,90.0,0.0152,0.0104
33,760320,train,2026-07-03 03:10:21,0.0,0.5061,90.0,0.0056,0.0
34,783360,train,2026-07-03 03:11:21,0.0,0.4986,90.0,0.0055,0.0
35,806400,train,2026-07-03 03:12:21,0.0,0.5579,90.0,0.0062,0.0
36,829440,train,2026-07-03 03:13:21,0.0,0.6157,90.0,0.0068,0.0
37,852480,train,2026-07-03 03:14:21,0.0,0.5751,90.0,0.0064,0.0
38,875520,train,2026-07-03 03:15:21,0.0,0.6251,90.0,0.0069,0.0
39,898560,train,2026-07-03 03:16:22,0.0,0.5963,90.0,0.0066,0.0
40,921600,train,2026-07-03 03:17:22,0.0039,0.6124,90.0,0.0068,0.0
41,944640,train,2026-07-03 03:18:22,0.0,0.6425,90.0,0.0071,0.0
42,967680,train,2026-07-03 03:19:23,0.0,0.8572,90.0,0.0095,0.0
43,990720,train,2026-07-03 03:20:23,0.0,0.6207,90.0,0.0069,0.0
44,1013760,train,2026-07-03 03:21:23,0.0,0.5879,90.0,0.0065,0.0
45,1036800,train,2026-07-03 03:22:24,0.0,0.6994,90.0,0.0078,0.0
46,1059840,train,2026-07-03 03:23:24,0.0,0.6359,90.0,0.0071,0.0
47,1082880,train,2026-07-03 03:24:25,0.0,0.6443,90.0,0.0072,0.0
48,1105920,train,2026-07-03 03:25:25,0.0,0.6069,90.0,0.0067,0.0
49,1105920,eval,2026-07-03 03:26:41,0.0312,1.1627,90.0,0.0129,0.0
49,1128960,train,2026-07-03 03:27:41,0.0039,0.7631,90.0,0.0085,0.0
50,1152000,train,2026-07-03 03:28:41,0.0,0.8986,90.0,0.01,0.0
51,1175040,train,2026-07-03 03:29:42,0.0,0.7666,90.0,0.0085,0.0
52,1198080,train,2026-07-03 03:30:42,0.0,0.7684,90.0,0.0085,0.0
53,1221120,train,2026-07-03 03:31:42,0.0,1.0139,90.0,0.0113,0.0
54,1244160,train,2026-07-03 03:32:43,0.0,0.903,90.0,0.01,0.0
55,1267200,train,2026-07-03 03:33:43,0.0,0.8106,90.0,0.009,0.0
56,1290240,train,2026-07-03 03:34:43,0.0,0.9019,90.0,0.01,0.0
57,1313280,train,2026-07-03 03:35:44,0.0,0.8371,90.0,0.0093,0.0
58,1336320,train,2026-07-03 03:36:44,0.0,0.8937,90.0,0.0099,0.0
59,1359360,train,2026-07-03 03:37:44,0.0,0.9944,90.0,0.011,0.0
60,1382400,train,2026-07-03 03:38:44,0.0,0.9954,90.0,0.0111,0.0
61,1405440,train,2026-07-03 03:39:45,0.0,1.0204,90.0,0.0113,0.0
62,1428480,train,2026-07-03 03:40:45,0.0,1.1261,90.0,0.0125,0.0
63,1451520,train,2026-07-03 03:41:46,0.0,1.2481,90.0,0.0139,0.0
64,1474560,train,2026-07-03 03:42:47,0.0,1.3089,90.0,0.0145,0.0
65,1474560,eval,2026-07-03 03:44:04,0.0208,4.2553,90.0,0.0473,0.0104
65,1497600,train,2026-07-03 03:45:04,0.0,1.4452,90.0,0.0161,0.0
66,1520640,train,2026-07-03 03:46:05,0.0,1.6326,90.0,0.0181,0.0
67,1543680,train,2026-07-03 03:47:06,0.0,1.4757,90.0,0.0164,0.0
68,1566720,train,2026-07-03 03:48:07,0.0,1.4361,90.0,0.016,0.0
69,1589760,train,2026-07-03 03:49:08,0.0,1.7626,90.0,0.0196,0.0
70,1612800,train,2026-07-03 03:50:09,0.0,1.1974,90.0,0.0133,0.0
71,1635840,train,2026-07-03 03:51:10,0.0,1.8601,90.0,0.0207,0.0
72,1658880,train,2026-07-03 03:52:11,0.0,1.7467,90.0,0.0194,0.0
73,1681920,train,2026-07-03 03:53:13,0.0,1.6886,90.0,0.0188,0.0
74,1704960,train,2026-07-03 03:54:14,0.0,1.8787,90.0,0.0209,0.0
75,1728000,train,2026-07-03 03:55:15,0.0,2.2014,90.0,0.0245,0.0
76,1751040,train,2026-07-03 03:56:16,0.0,1.8888,90.0,0.021,0.0
77,1774080,train,2026-07-03 03:57:17,0.0,1.9016,90.0,0.0211,0.0
78,1797120,train,2026-07-03 03:58:18,0.0039,2.3048,90.0,0.0256,0.0
79,1820160,train,2026-07-03 03:59:19,0.0,2.4364,90.0,0.0271,0.0
80,1843200,train,2026-07-03 04:00:20,0.0,2.2717,90.0,0.0252,0.0
