iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-01 02:57:05,0.0,0.2721,90.0,0.003,0.0
1,23040,train,2026-07-01 02:58:05,0.0,0.3196,90.0,0.0036,0.0
2,46080,train,2026-07-01 02:59:06,0.0,0.3553,90.0,0.0039,0.0
3,69120,train,2026-07-01 03:00:08,0.0,0.3887,90.0,0.0043,0.0
4,92160,train,2026-07-01 03:01:09,0.0,0.434,90.0,0.0048,0.0
5,115200,train,2026-07-01 03:02:11,0.0,0.4811,90.0,0.0053,0.0
6,138240,train,2026-07-01 03:03:12,0.0,0.5559,90.0,0.0062,0.0
7,161280,train,2026-07-01 03:04:14,0.0,0.5696,90.0,0.0063,0.0
8,184320,train,2026-07-01 03:05:15,0.0,0.558,90.0,0.0062,0.0
9,207360,train,2026-07-01 03:06:17,0.0,0.5893,90.0,0.0065,0.0
10,230400,train,2026-07-01 03:07:18,0.0,0.6046,90.0,0.0067,0.0
11,253440,train,2026-07-01 03:08:20,0.0,0.7208,90.0,0.008,0.0
12,276480,train,2026-07-01 03:09:22,0.0,0.6709,90.0,0.0075,0.0
13,299520,train,2026-07-01 03:10:23,0.0,0.7021,90.0,0.0078,0.0
14,322560,train,2026-07-01 03:11:25,0.0,0.7086,90.0,0.0079,0.0
15,345600,train,2026-07-01 03:12:26,0.0,0.6921,90.0,0.0077,0.0
16,368640,train,2026-07-01 03:13:28,0.0,0.6924,90.0,0.0077,0.0
17,368640,eval,2026-07-01 03:14:41,0.0104,1.0425,90.0,0.0116,0.0
17,391680,train,2026-07-01 03:15:41,0.0,0.8148,90.0,0.0091,0.0
18,414720,train,2026-07-01 03:16:43,0.0,0.7459,90.0,0.0083,0.0
19,437760,train,2026-07-01 03:17:44,0.0,0.8317,90.0,0.0092,0.0
20,460800,train,2026-07-01 03:18:46,0.0,0.8906,90.0,0.0099,0.0
21,483840,train,2026-07-01 03:19:48,0.0,0.8359,90.0,0.0093,0.0
22,506880,train,2026-07-01 03:20:50,0.0,0.9265,90.0,0.0103,0.0
23,529920,train,2026-07-01 03:21:52,0.0,0.9915,90.0,0.011,0.0
24,552960,train,2026-07-01 03:22:54,0.0,1.0706,90.0,0.0119,0.0
25,576000,train,2026-07-01 03:23:56,0.0,0.9018,90.0,0.01,0.0
26,599040,train,2026-07-01 03:24:57,0.0,1.0203,90.0,0.0113,0.0
27,622080,train,2026-07-01 03:25:59,0.0,1.1267,90.0,0.0125,0.0
28,645120,train,2026-07-01 03:27:01,0.0,1.0232,90.0,0.0114,0.0
29,668160,train,2026-07-01 03:28:02,0.0039,1.2558,90.0,0.014,0.0
30,691200,train,2026-07-01 03:29:04,0.0,1.1418,90.0,0.0127,0.0
31,714240,train,2026-07-01 03:30:06,0.0,1.1696,90.0,0.013,0.0
32,737280,train,2026-07-01 03:31:08,0.0,1.1547,90.0,0.0128,0.0
33,737280,eval,2026-07-01 03:32:23,0.0104,1.8728,90.0,0.0208,0.0104
33,760320,train,2026-07-01 03:33:23,0.0,0.961,90.0,0.0107,0.0
34,783360,train,2026-07-01 03:34:25,0.0,1.1308,90.0,0.0126,0.0
35,806400,train,2026-07-01 03:35:27,0.0,1.3412,90.0,0.0149,0.0
36,829440,train,2026-07-01 03:36:29,0.0,1.2744,90.0,0.0142,0.0
37,852480,train,2026-07-01 03:37:31,0.0,1.4382,90.0,0.016,0.0
38,875520,train,2026-07-01 03:38:33,0.0,1.166,90.0,0.013,0.0
39,898560,train,2026-07-01 03:39:35,0.0,1.4148,90.0,0.0157,0.0
40,921600,train,2026-07-01 03:40:36,0.0,1.5018,90.0,0.0167,0.0
41,944640,train,2026-07-01 03:41:38,0.0,1.4969,90.0,0.0166,0.0
42,967680,train,2026-07-01 03:42:40,0.0,1.449,90.0,0.0161,0.0
43,990720,train,2026-07-01 03:43:42,0.0,1.3876,90.0,0.0154,0.0
44,1013760,train,2026-07-01 03:44:44,0.0,1.7283,90.0,0.0192,0.0
45,1036800,train,2026-07-01 03:45:46,0.0,1.7339,90.0,0.0193,0.0
46,1059840,train,2026-07-01 03:46:47,0.0,1.5111,90.0,0.0168,0.0
47,1082880,train,2026-07-01 03:47:49,0.0,1.4809,90.0,0.0165,0.0
48,1105920,train,2026-07-01 03:48:51,0.0,1.7241,90.0,0.0192,0.0
49,1105920,eval,2026-07-01 03:50:06,0.0104,3.5104,90.0,0.039,0.0
49,1128960,train,2026-07-01 03:51:07,0.0,2.0724,90.0,0.023,0.0
50,1152000,train,2026-07-01 03:52:09,0.0,1.7192,90.0,0.0191,0.0
51,1175040,train,2026-07-01 03:53:11,0.0,2.0826,90.0,0.0231,0.0
52,1198080,train,2026-07-01 03:54:13,0.0,2.0952,90.0,0.0233,0.0
53,1221120,train,2026-07-01 03:55:15,0.0,2.27,90.0,0.0252,0.0
54,1244160,train,2026-07-01 03:56:17,0.0,2.1386,90.0,0.0238,0.0
55,1267200,train,2026-07-01 03:57:19,0.0,1.9278,90.0,0.0214,0.0
56,1290240,train,2026-07-01 03:58:22,0.0,2.427,90.0,0.027,0.0
57,1313280,train,2026-07-01 03:59:24,0.0,2.5439,90.0,0.0283,0.0
58,1336320,train,2026-07-01 04:00:26,0.0,2.1782,90.0,0.0242,0.0
59,1359360,train,2026-07-01 04:01:28,0.0,2.6562,90.0,0.0295,0.0
60,1382400,train,2026-07-01 04:02:31,0.0,2.5752,90.0,0.0286,0.0
61,1405440,train,2026-07-01 04:03:33,0.0039,2.7712,90.0,0.0308,0.0
62,1428480,train,2026-07-01 04:04:35,0.0,2.8725,90.0,0.0319,0.0
63,1451520,train,2026-07-01 04:05:37,0.0,2.9692,90.0,0.033,0.0
64,1474560,train,2026-07-01 04:06:40,0.0,3.5795,90.0,0.0398,0.0
65,1474560,eval,2026-07-01 04:07:55,0.0729,10.8909,90.0,0.121,0.0
65,1497600,train,2026-07-01 04:08:56,0.0,2.8922,90.0,0.0321,0.0
66,1520640,train,2026-07-01 04:09:58,0.0,3.2771,90.0,0.0364,0.0
67,1543680,train,2026-07-01 04:11:01,0.0039,3.8946,90.0,0.0433,0.0
68,1566720,train,2026-07-01 04:12:03,0.0039,3.515,90.0,0.0391,0.0
