iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-01 11:05:44,0.0,0.4085,90.0,0.0045,0.0
1,23040,train,2026-07-01 11:06:14,0.0,0.4027,90.0,0.0045,0.0
2,46080,train,2026-07-01 11:07:37,0.0,0.3759,90.0,0.0042,0.0
3,69120,train,2026-07-01 11:09:01,0.0,0.4313,90.0,0.0048,0.0
4,92160,train,2026-07-01 11:10:25,0.0,0.5168,90.0,0.0057,0.0
5,115200,train,2026-07-01 11:11:48,0.0,0.6287,90.0,0.007,0.0
6,138240,train,2026-07-01 11:13:12,0.0,0.7295,90.0,0.0081,0.0
7,161280,train,2026-07-01 11:14:36,0.0,0.6666,90.0,0.0074,0.0
8,184320,train,2026-07-01 11:16:00,0.0,0.7789,90.0,0.0087,0.0
9,207360,train,2026-07-01 11:17:25,0.0,0.9863,90.0,0.011,0.0
10,230400,train,2026-07-01 11:18:49,0.0,0.9095,90.0,0.0101,0.0
11,253440,train,2026-07-01 11:20:13,0.0,0.9349,90.0,0.0104,0.0
12,276480,train,2026-07-01 11:21:38,0.0,1.0722,90.0,0.0119,0.0
13,299520,train,2026-07-01 11:23:02,0.0,1.0721,90.0,0.0119,0.0
14,322560,train,2026-07-01 11:24:26,0.0039,1.192,90.0,0.0132,0.0
15,345600,train,2026-07-01 11:25:51,0.0,1.395,90.0,0.0155,0.0
16,368640,train,2026-07-01 11:27:15,0.0,1.5029,90.0,0.0167,0.0
17,368640,eval,2026-07-01 11:29:12,0.1771,6.2395,90.0,0.0693,0.1562
17,391680,train,2026-07-01 11:29:42,0.0039,1.7814,90.0,0.0198,0.0
18,414720,train,2026-07-01 11:31:06,0.0,1.7516,90.0,0.0195,0.0
19,437760,train,2026-07-01 11:32:30,0.0,1.724,90.0,0.0192,0.0
20,460800,train,2026-07-01 11:33:55,0.0,1.8439,90.0,0.0205,0.0
21,483840,train,2026-07-01 11:35:19,0.0,1.807,90.0,0.0201,0.0
22,506880,train,2026-07-01 11:36:44,0.0,2.0545,90.0,0.0228,0.0
23,529920,train,2026-07-01 11:38:08,0.0,1.769,90.0,0.0197,0.0
24,552960,train,2026-07-01 11:39:32,0.0,1.9129,90.0,0.0213,0.0
25,576000,train,2026-07-01 11:40:57,0.0039,2.452,90.0,0.0272,0.0
26,599040,train,2026-07-01 11:42:22,0.0,2.5234,90.0,0.028,0.0
27,622080,train,2026-07-01 11:43:46,0.0,2.5164,90.0,0.028,0.0
28,645120,train,2026-07-01 11:45:11,0.0039,2.5664,90.0,0.0285,0.0
29,668160,train,2026-07-01 11:46:35,0.0,3.2418,90.0,0.036,0.0
30,691200,train,2026-07-01 11:48:00,0.0039,3.6375,90.0,0.0404,0.0
31,714240,train,2026-07-01 11:49:25,0.0,3.3829,90.0,0.0376,0.0
32,737280,train,2026-07-01 11:50:49,0.0,3.7476,90.0,0.0416,0.0
33,737280,eval,2026-07-01 11:52:48,0.5521,19.9336,90.0,0.2215,0.1042
33,760320,train,2026-07-01 11:53:18,0.0,3.9587,90.0,0.044,0.0
34,783360,train,2026-07-01 11:54:43,0.0039,3.6376,90.0,0.0404,0.0
35,806400,train,2026-07-01 11:56:07,0.0,3.4345,90.0,0.0382,0.0
36,829440,train,2026-07-01 11:57:32,0.0,4.4235,90.0,0.0491,0.0
37,852480,train,2026-07-01 11:58:57,0.0,4.6,90.0,0.0511,0.0
38,875520,train,2026-07-01 12:00:22,0.0,4.5956,90.0,0.0511,0.0
39,898560,train,2026-07-01 12:01:46,0.0117,5.4292,90.0,0.0603,0.0
40,921600,train,2026-07-01 12:03:11,0.0039,5.7884,90.0,0.0643,0.0
41,944640,train,2026-07-01 12:04:36,0.0,5.8056,90.0,0.0645,0.0
42,967680,train,2026-07-01 12:06:01,0.0078,6.3876,90.0,0.071,0.0
43,990720,train,2026-07-01 12:07:26,0.0078,6.0485,90.0,0.0672,0.0
44,1013760,train,2026-07-01 12:08:51,0.0,6.0821,90.0,0.0676,0.0
45,1036800,train,2026-07-01 12:10:16,0.0039,6.735,90.0,0.0748,0.0
46,1059840,train,2026-07-01 12:11:41,0.0156,6.2614,90.0,0.0696,0.0
47,1082880,train,2026-07-01 12:13:06,0.0039,6.4166,90.0,0.0713,0.0
48,1105920,train,2026-07-01 12:14:31,0.0078,7.5678,90.0,0.0841,0.0
49,1105920,eval,2026-07-01 12:16:28,0.9271,32.485,90.0,0.3609,0.3854
49,1128960,train,2026-07-01 12:16:59,0.0039,6.5156,90.0,0.0724,0.0
50,1152000,train,2026-07-01 12:18:23,0.0,6.8467,90.0,0.0761,0.0
51,1175040,train,2026-07-01 12:19:48,0.0156,6.9985,90.0,0.0778,0.0
52,1198080,train,2026-07-01 12:21:13,0.0156,6.9975,90.0,0.0777,0.0
53,1221120,train,2026-07-01 12:22:38,0.0234,8.4487,90.0,0.0939,0.0
54,1244160,train,2026-07-01 12:24:03,0.0078,8.0572,90.0,0.0895,0.0
55,1267200,train,2026-07-01 12:25:28,0.0234,8.9016,90.0,0.0989,0.0
56,1290240,train,2026-07-01 12:26:53,0.0117,8.7979,90.0,0.0978,0.0
57,1313280,train,2026-07-01 12:28:18,0.0195,9.9621,90.0,0.1107,0.0
58,1336320,train,2026-07-01 12:29:43,0.0078,8.7106,90.0,0.0968,0.0
59,1359360,train,2026-07-01 12:31:08,0.0312,10.7599,90.0,0.1196,0.0
60,1382400,train,2026-07-01 12:32:33,0.0273,10.2907,90.0,0.1143,0.0
61,1405440,train,2026-07-01 12:33:58,0.0273,10.7443,90.0,0.1194,0.0039
62,1428480,train,2026-07-01 12:35:23,0.0234,9.9131,90.0,0.1101,0.0039
63,1451520,train,2026-07-01 12:36:48,0.0312,10.2886,90.0,0.1143,0.0
64,1474560,train,2026-07-01 12:38:13,0.0391,11.4767,90.0,0.1275,0.0
65,1474560,eval,2026-07-01 12:40:12,0.9479,34.5029,90.0,0.3834,0.5
65,1497600,train,2026-07-01 12:40:43,0.0195,10.366,90.0,0.1152,0.0
66,1520640,train,2026-07-01 12:42:08,0.043,11.1767,90.0,0.1242,0.0
67,1543680,train,2026-07-01 12:43:32,0.0625,12.7542,90.0,0.1417,0.0
68,1566720,train,2026-07-01 12:44:58,0.043,11.1255,90.0,0.1236,0.0
69,1589760,train,2026-07-01 12:46:23,0.0352,13.1456,90.0,0.1461,0.0
70,1612800,train,2026-07-01 12:47:48,0.0508,13.2143,90.0,0.1468,0.0
71,1635840,train,2026-07-01 12:49:13,0.043,11.9532,90.0,0.1328,0.0
72,1658880,train,2026-07-01 12:50:38,0.0391,11.4269,90.0,0.127,0.0
73,1681920,train,2026-07-01 12:52:03,0.0273,9.8872,90.0,0.1099,0.0
74,1704960,train,2026-07-01 12:53:28,0.0586,11.9565,90.0,0.1329,0.0039
75,1728000,train,2026-07-01 12:54:53,0.0391,12.8007,90.0,0.1422,0.0
76,1751040,train,2026-07-01 12:56:18,0.0547,12.1613,90.0,0.1351,0.0
77,1774080,train,2026-07-01 12:57:43,0.043,12.0674,90.0,0.1341,0.0
78,1797120,train,2026-07-01 12:59:08,0.0469,13.2709,90.0,0.1475,0.0
79,1820160,train,2026-07-01 13:00:33,0.0586,13.554,90.0,0.1506,0.0
80,1843200,train,2026-07-01 13:01:58,0.043,13.2024,90.0,0.1467,0.0
81,1843200,eval,2026-07-01 13:03:56,1.0,45.2627,90.0,0.5029,0.7812
81,1866240,train,2026-07-01 13:04:26,0.0391,12.9691,90.0,0.1441,0.0
82,1889280,train,2026-07-01 13:05:51,0.0312,13.9927,90.0,0.1555,0.0039
83,1912320,train,2026-07-01 13:07:15,0.0234,13.7166,90.0,0.1524,0.0
84,1935360,train,2026-07-01 13:08:40,0.0117,11.5352,90.0,0.1282,0.0
85,1958400,train,2026-07-01 13:10:05,0.0273,14.4604,90.0,0.1607,0.0
86,1981440,train,2026-07-01 13:11:29,0.0156,14.3848,90.0,0.1598,0.0
87,2004480,train,2026-07-01 13:12:54,0.043,13.9099,90.0,0.1546,0.0
88,2027520,train,2026-07-01 13:14:18,0.0352,11.7628,90.0,0.1307,0.0
89,2050560,train,2026-07-01 13:15:43,0.0391,14.6213,90.0,0.1625,0.0039
90,2073600,train,2026-07-01 13:17:07,0.0391,14.4592,90.0,0.1607,0.0
91,2096640,train,2026-07-01 13:18:32,0.0508,15.2543,90.0,0.1695,0.0
92,2119680,train,2026-07-01 13:19:57,0.0547,16.9,90.0,0.1878,0.0
93,2142720,train,2026-07-01 13:21:21,0.0391,14.9732,90.0,0.1664,0.0
94,2165760,train,2026-07-01 13:22:46,0.0703,16.7589,90.0,0.1862,0.0
95,2188800,train,2026-07-01 13:24:11,0.043,16.7907,90.0,0.1866,0.0
96,2211840,train,2026-07-01 13:25:35,0.0625,16.6169,90.0,0.1846,0.0
97,2211840,eval,2026-07-01 13:27:32,0.9792,50.7186,90.0,0.5635,0.9167
97,2234880,train,2026-07-01 13:28:02,0.0469,16.4759,90.0,0.1831,0.0078
98,2257920,train,2026-07-01 13:29:27,0.0352,15.3388,90.0,0.1704,0.0
99,2280960,train,2026-07-01 13:30:51,0.0547,17.4588,90.0,0.194,0.0039
100,2304000,train,2026-07-01 13:32:16,0.0547,16.0739,90.0,0.1786,0.0
101,2327040,train,2026-07-01 13:33:41,0.0508,17.6419,90.0,0.196,0.0
102,2350080,train,2026-07-01 13:35:05,0.0664,17.0294,90.0,0.1892,0.0078
