iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-01 18:54:56,0.0,0.3955,90.0,0.0044,0.0
1,23040,train,2026-07-01 18:55:26,0.0,0.4284,90.0,0.0048,0.0
2,46080,train,2026-07-01 18:56:34,0.0,0.5194,90.0,0.0058,0.0
3,69120,train,2026-07-01 18:57:42,0.0,0.6405,90.0,0.0071,0.0
4,92160,train,2026-07-01 18:58:51,0.0,0.7025,90.0,0.0078,0.0
5,115200,train,2026-07-01 19:00:00,0.0,0.7496,90.0,0.0083,0.0
6,138240,train,2026-07-01 19:01:09,0.0,0.9018,90.0,0.01,0.0
7,161280,train,2026-07-01 19:02:18,0.0,0.9006,90.0,0.01,0.0
8,184320,train,2026-07-01 19:03:27,0.0,0.9477,90.0,0.0105,0.0
9,207360,train,2026-07-01 19:04:36,0.0,0.9447,90.0,0.0105,0.0
10,230400,train,2026-07-01 19:05:45,0.0,1.0118,90.0,0.0112,0.0
11,253440,train,2026-07-01 19:06:54,0.0,1.0318,90.0,0.0115,0.0
12,276480,train,2026-07-01 19:08:03,0.0,1.0327,90.0,0.0115,0.0
13,299520,train,2026-07-01 19:09:12,0.0,1.0664,90.0,0.0118,0.0
14,322560,train,2026-07-01 19:10:21,0.0,1.1461,90.0,0.0127,0.0
15,345600,train,2026-07-01 19:11:30,0.0,1.2217,90.0,0.0136,0.0
16,368640,train,2026-07-01 19:12:39,0.0,1.2644,90.0,0.014,0.0
17,368640,eval,2026-07-01 19:14:17,0.0,2.7775,90.0,0.0309,0.0
17,391680,train,2026-07-01 19:14:47,0.0,1.3384,90.0,0.0149,0.0
18,414720,train,2026-07-01 19:15:56,0.0,1.3836,90.0,0.0154,0.0
19,437760,train,2026-07-01 19:17:05,0.0,1.5757,90.0,0.0175,0.0
20,460800,train,2026-07-01 19:18:14,0.0,1.5768,90.0,0.0175,0.0
21,483840,train,2026-07-01 19:19:23,0.0,1.5375,90.0,0.0171,0.0
22,506880,train,2026-07-01 19:20:32,0.0,2.0331,90.0,0.0226,0.0
23,529920,train,2026-07-01 19:21:41,0.0,2.1376,90.0,0.0238,0.0
24,552960,train,2026-07-01 19:22:50,0.0,2.1561,90.0,0.024,0.0
25,576000,train,2026-07-01 19:24:00,0.0,2.4139,90.0,0.0268,0.0
26,599040,train,2026-07-01 19:25:09,0.0,2.1579,90.0,0.024,0.0
27,622080,train,2026-07-01 19:26:18,0.0,2.2329,90.0,0.0248,0.0
28,645120,train,2026-07-01 19:27:27,0.0,2.4128,90.0,0.0268,0.0
29,668160,train,2026-07-01 19:28:36,0.0,2.3368,90.0,0.026,0.0
30,691200,train,2026-07-01 19:29:45,0.0,2.9715,90.0,0.033,0.0
31,714240,train,2026-07-01 19:30:54,0.0,2.6933,90.0,0.0299,0.0
32,737280,train,2026-07-01 19:32:03,0.0,2.6143,90.0,0.029,0.0
33,737280,eval,2026-07-01 19:33:42,0.0104,11.9492,90.0,0.1328,0.0
33,760320,train,2026-07-01 19:34:13,0.0039,3.2334,90.0,0.0359,0.0
34,783360,train,2026-07-01 19:35:22,0.0,2.9419,90.0,0.0327,0.0
35,806400,train,2026-07-01 19:36:31,0.0,3.1559,90.0,0.0351,0.0
36,829440,train,2026-07-01 19:37:41,0.0,3.5683,90.0,0.0396,0.0
37,852480,train,2026-07-01 19:38:50,0.0039,3.3263,90.0,0.037,0.0
38,875520,train,2026-07-01 19:39:59,0.0,3.704,90.0,0.0412,0.0
39,898560,train,2026-07-01 19:41:09,0.0,4.0451,90.0,0.0449,0.0
