iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-01 08:18:28,0.0833,2.287,90.0,0.0254,0.0417
1,23040,train,2026-07-01 08:19:37,0.082,1.9805,90.0,0.022,0.0195
2,46080,train,2026-07-01 08:21:03,0.1133,2.4738,90.0,0.0275,0.0234
3,69120,train,2026-07-01 08:22:31,0.1055,2.5112,90.0,0.0279,0.0312
4,92160,train,2026-07-01 08:23:59,0.0859,2.7427,90.0,0.0305,0.0234
5,115200,train,2026-07-01 08:25:27,0.0664,2.4474,90.0,0.0272,0.0078
6,138240,train,2026-07-01 08:26:56,0.1328,2.9286,90.0,0.0325,0.0391
7,161280,train,2026-07-01 08:28:24,0.0859,2.7238,90.0,0.0303,0.0391
8,184320,train,2026-07-01 08:29:52,0.0586,2.7083,90.0,0.0301,0.0117
9,207360,train,2026-07-01 08:31:21,0.1055,2.8454,90.0,0.0316,0.0273
10,230400,train,2026-07-01 08:32:49,0.1055,3.1752,90.0,0.0353,0.0312
11,253440,train,2026-07-01 08:34:17,0.0898,3.022,90.0,0.0336,0.0273
12,276480,train,2026-07-01 08:36:53,0.0703,3.1153,90.0,0.0346,0.0156
13,299520,train,2026-07-01 08:38:52,0.1328,3.715,90.0,0.0413,0.0469
14,322560,train,2026-07-01 08:40:20,0.1328,3.8703,90.0,0.043,0.0469
15,345600,train,2026-07-01 08:41:48,0.125,3.6476,90.0,0.0405,0.043
16,368640,train,2026-07-01 08:43:17,0.125,3.7895,90.0,0.0421,0.0352
17,368640,eval,2026-07-01 08:45:13,0.0625,3.8996,90.0,0.0433,0.0417
17,391680,train,2026-07-01 08:45:43,0.1211,3.9097,90.0,0.0434,0.0352
18,414720,train,2026-07-01 08:47:11,0.0938,3.3703,90.0,0.0374,0.0156
19,437760,train,2026-07-01 08:48:40,0.0859,3.1553,90.0,0.0351,0.0195
20,460800,train,2026-07-01 08:50:08,0.0742,2.8963,90.0,0.0322,0.0234
21,483840,train,2026-07-01 08:51:37,0.1094,3.1797,90.0,0.0353,0.0078
22,506880,train,2026-07-01 08:53:05,0.0938,2.8457,90.0,0.0316,0.0078
23,529920,train,2026-07-01 08:54:33,0.1016,2.7614,90.0,0.0307,0.0391
24,552960,train,2026-07-01 08:56:01,0.1172,3.1026,90.0,0.0345,0.0352
25,576000,train,2026-07-01 08:57:29,0.1406,3.2378,90.0,0.036,0.043
26,599040,train,2026-07-01 08:58:57,0.082,2.9562,90.0,0.0328,0.0156
27,622080,train,2026-07-01 09:00:25,0.0859,2.7795,90.0,0.0309,0.0156
28,645120,train,2026-07-01 09:01:54,0.0977,2.9823,90.0,0.0331,0.0234
29,668160,train,2026-07-01 09:03:22,0.0938,2.9745,90.0,0.0331,0.0117
30,691200,train,2026-07-01 09:04:50,0.0977,3.3214,90.0,0.0369,0.0273
31,714240,train,2026-07-01 09:06:19,0.0898,3.3499,90.0,0.0372,0.0156
32,737280,train,2026-07-01 09:07:47,0.125,3.6917,90.0,0.041,0.0469
33,737280,eval,2026-07-01 09:09:43,0.1146,4.6819,90.0,0.052,0.0625
33,760320,train,2026-07-01 09:10:13,0.0938,2.9222,90.0,0.0325,0.0352
34,783360,train,2026-07-01 09:11:41,0.0781,3.3157,90.0,0.0368,0.0156
35,806400,train,2026-07-01 09:13:09,0.1133,4.0352,90.0,0.0448,0.0195
36,829440,train,2026-07-01 09:14:41,0.1055,4.0087,90.0,0.0445,0.0391
37,852480,train,2026-07-01 09:16:27,0.1445,4.3213,90.0,0.048,0.0352
38,875520,train,2026-07-01 09:17:56,0.1016,3.951,90.0,0.0439,0.0234
39,898560,train,2026-07-01 09:19:24,0.1445,4.4983,90.0,0.05,0.0352
40,921600,train,2026-07-01 09:20:53,0.1211,4.2804,90.0,0.0476,0.043
41,944640,train,2026-07-01 09:22:22,0.125,4.1526,90.0,0.0461,0.0391
42,967680,train,2026-07-01 09:23:51,0.1172,3.7921,90.0,0.0421,0.0273
43,990720,train,2026-07-01 09:25:19,0.1562,4.6942,90.0,0.0522,0.0273
44,1013760,train,2026-07-01 09:26:50,0.1523,4.6043,90.0,0.0512,0.0312
45,1036800,train,2026-07-01 09:28:55,0.1328,4.876,90.0,0.0542,0.0195
46,1059840,train,2026-07-01 09:31:28,0.1562,4.9781,90.0,0.0553,0.0547
47,1082880,train,2026-07-01 09:33:08,0.2227,5.6682,90.0,0.063,0.043
48,1105920,train,2026-07-01 09:34:41,0.1797,5.1676,90.0,0.0574,0.0195
