iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-24 07:07:03,0.0,9.7206,60.0,0.162,0.0
1,15360,train,2026-06-24 07:07:24,0.0,0.0804,60.0,0.0013,0.0
2,30720,train,2026-06-24 07:08:22,0.0,0.0846,60.0,0.0014,0.0
3,46080,train,2026-06-24 07:09:18,0.0,0.1279,60.0,0.0021,0.0
4,61440,train,2026-06-24 07:10:16,0.0,0.221,60.0,0.0037,0.0
5,76800,train,2026-06-24 07:11:13,0.0,0.3508,60.0,0.0058,0.0
6,92160,train,2026-06-24 07:12:10,0.0,0.4564,60.0,0.0076,0.0
7,107520,train,2026-06-24 07:13:08,0.0,0.6753,60.0,0.0113,0.0
8,122880,train,2026-06-24 07:14:06,0.0,0.6722,60.0,0.0112,0.0
9,138240,train,2026-06-24 07:15:03,0.0,0.8092,60.0,0.0135,0.0
10,153600,train,2026-06-24 07:16:01,0.0,0.8189,60.0,0.0136,0.0
11,168960,train,2026-06-24 07:16:59,0.0,1.065,60.0,0.0178,0.0
12,184320,train,2026-06-24 07:17:57,0.0,1.2996,60.0,0.0217,0.0
13,199680,train,2026-06-24 07:18:54,0.0,1.3205,60.0,0.022,0.0
14,215040,train,2026-06-24 07:19:52,0.0,1.3597,60.0,0.0227,0.0
15,230400,train,2026-06-24 07:20:50,0.0039,1.3364,60.0,0.0223,0.0
16,245760,train,2026-06-24 07:21:48,0.0039,1.5158,60.0,0.0253,0.0
17,261120,train,2026-06-24 07:22:45,0.0,1.4857,60.0,0.0248,0.0
18,276480,train,2026-06-24 07:23:43,0.0,1.3311,60.0,0.0222,0.0
19,291840,train,2026-06-24 07:24:41,0.0,1.6746,60.0,0.0279,0.0
20,307200,train,2026-06-24 07:25:39,0.0039,1.4282,60.0,0.0238,0.0
21,322560,train,2026-06-24 07:26:37,0.0039,1.3053,60.0,0.0218,0.0
22,337920,train,2026-06-24 07:27:35,0.0039,1.4138,60.0,0.0236,0.0
23,353280,train,2026-06-24 07:28:33,0.0039,1.255,60.0,0.0209,0.0
24,368640,train,2026-06-24 07:29:31,0.0,1.3665,60.0,0.0228,0.0
25,368640,eval,2026-06-24 07:31:34,0.0156,3.5406,60.0,0.059,0.0
25,384000,train,2026-06-24 07:31:54,0.0,1.2209,60.0,0.0203,0.0
26,399360,train,2026-06-24 07:32:52,0.0,1.0238,60.0,0.0171,0.0
27,414720,train,2026-06-24 07:33:49,0.0,1.2251,60.0,0.0204,0.0
28,430080,train,2026-06-24 07:34:47,0.0,1.0116,60.0,0.0169,0.0
29,445440,train,2026-06-24 07:35:45,0.0,1.2057,60.0,0.0201,0.0
30,460800,train,2026-06-24 07:36:43,0.0,1.1975,60.0,0.02,0.0
31,476160,train,2026-06-24 07:37:40,0.0039,1.2159,60.0,0.0203,0.0
32,491520,train,2026-06-24 07:38:38,0.0,1.4286,60.0,0.0238,0.0
33,506880,train,2026-06-24 07:39:36,0.0,1.2642,60.0,0.0211,0.0
34,522240,train,2026-06-24 07:40:34,0.0,1.2132,60.0,0.0202,0.0
35,537600,train,2026-06-24 07:41:32,0.0,1.2166,60.0,0.0203,0.0
36,552960,train,2026-06-24 07:42:30,0.0,1.407,60.0,0.0234,0.0
37,568320,train,2026-06-24 07:43:28,0.0039,1.1691,60.0,0.0195,0.0
38,583680,train,2026-06-24 07:44:26,0.0,1.3338,60.0,0.0222,0.0
39,599040,train,2026-06-24 07:45:23,0.0039,1.4374,60.0,0.024,0.0
40,614400,train,2026-06-24 07:46:21,0.0,1.1422,60.0,0.019,0.0
41,629760,train,2026-06-24 07:47:19,0.0,1.3478,60.0,0.0225,0.0
42,645120,train,2026-06-24 07:48:17,0.0,0.915,60.0,0.0153,0.0
43,660480,train,2026-06-24 07:49:15,0.0039,1.1316,60.0,0.0189,0.0
44,675840,train,2026-06-24 07:50:13,0.0039,0.9269,60.0,0.0154,0.0
45,691200,train,2026-06-24 07:51:11,0.0,1.2346,60.0,0.0206,0.0
46,706560,train,2026-06-24 07:52:08,0.0,1.0851,60.0,0.0181,0.0
47,721920,train,2026-06-24 07:53:06,0.0,1.1888,60.0,0.0198,0.0
48,737280,train,2026-06-24 07:54:04,0.0039,1.2427,60.0,0.0207,0.0
49,737280,eval,2026-06-24 07:56:09,0.2135,5.216,60.0,0.0869,0.0417
49,752640,train,2026-06-24 07:56:30,0.0,1.3643,60.0,0.0227,0.0
50,768000,train,2026-06-24 07:57:27,0.0039,1.5256,60.0,0.0254,0.0
51,783360,train,2026-06-24 07:58:25,0.0039,1.4749,60.0,0.0246,0.0
52,798720,train,2026-06-24 07:59:22,0.0078,1.3299,60.0,0.0222,0.0
