iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-27 03:34:45,0.0,9.151,60.0,0.1525,0.0
1,15360,train,2026-07-27 03:35:06,0.0,0.0777,60.0,0.0013,0.0
2,30720,train,2026-07-27 03:36:03,0.0,0.1033,60.0,0.0017,0.0
3,46080,train,2026-07-27 03:37:01,0.0,0.0913,60.0,0.0015,0.0
4,61440,train,2026-07-27 03:37:59,0.0,0.0816,60.0,0.0014,0.0
5,76800,train,2026-07-27 03:38:57,0.0,0.1077,60.0,0.0018,0.0
6,92160,train,2026-07-27 03:39:55,0.0,0.0803,60.0,0.0013,0.0
7,107520,train,2026-07-27 03:40:53,0.0,0.1186,60.0,0.002,0.0
8,122880,train,2026-07-27 03:41:51,0.0,0.1791,60.0,0.003,0.0
9,138240,train,2026-07-27 03:42:50,0.0,0.3205,60.0,0.0053,0.0
10,153600,train,2026-07-27 03:43:48,0.0,0.3576,60.0,0.006,0.0
11,168960,train,2026-07-27 03:44:46,0.0,0.6705,60.0,0.0112,0.0
12,184320,train,2026-07-27 03:45:45,0.0039,0.9183,60.0,0.0153,0.0
13,199680,train,2026-07-27 03:46:43,0.0,1.1146,60.0,0.0186,0.0
14,215040,train,2026-07-27 03:47:42,0.0,1.1693,60.0,0.0195,0.0
15,230400,train,2026-07-27 03:48:40,0.0,1.1783,60.0,0.0196,0.0
16,245760,train,2026-07-27 03:49:39,0.0,1.5322,60.0,0.0255,0.0
17,261120,train,2026-07-27 03:50:37,0.0,1.4897,60.0,0.0248,0.0
18,276480,train,2026-07-27 03:51:36,0.0,1.3651,60.0,0.0228,0.0
19,291840,train,2026-07-27 03:52:34,0.0,1.6889,60.0,0.0281,0.0
20,307200,train,2026-07-27 03:53:33,0.0039,1.4787,60.0,0.0246,0.0
21,322560,train,2026-07-27 03:54:31,0.0,1.5207,60.0,0.0253,0.0
22,337920,train,2026-07-27 03:55:30,0.0039,1.5667,60.0,0.0261,0.0
23,353280,train,2026-07-27 03:56:29,0.0,1.5905,60.0,0.0265,0.0
24,368640,train,2026-07-27 03:57:27,0.0039,1.5582,60.0,0.026,0.0
25,368640,eval,2026-07-27 03:59:32,0.2188,5.1313,60.0,0.0855,0.0729
25,384000,train,2026-07-27 03:59:53,0.0,1.6587,60.0,0.0276,0.0
26,399360,train,2026-07-27 04:00:51,0.0039,1.5277,60.0,0.0255,0.0
27,414720,train,2026-07-27 04:01:49,0.0,1.5274,60.0,0.0255,0.0
28,430080,train,2026-07-27 04:02:48,0.0039,1.5296,60.0,0.0255,0.0
29,445440,train,2026-07-27 04:03:46,0.0,1.6676,60.0,0.0278,0.0
30,460800,train,2026-07-27 04:04:45,0.0078,1.6846,60.0,0.0281,0.0
31,476160,train,2026-07-27 04:05:44,0.0,1.5754,60.0,0.0263,0.0
32,491520,train,2026-07-27 04:06:42,0.0039,1.8017,60.0,0.03,0.0
33,506880,train,2026-07-27 04:07:41,0.0,1.6179,60.0,0.027,0.0
34,522240,train,2026-07-27 04:08:40,0.0039,1.7377,60.0,0.029,0.0
35,537600,train,2026-07-27 04:09:38,0.0078,1.7352,60.0,0.0289,0.0
36,552960,train,2026-07-27 04:10:37,0.0078,2.0019,60.0,0.0334,0.0
37,568320,train,2026-07-27 04:11:36,0.0078,1.5507,60.0,0.0258,0.0
38,583680,train,2026-07-27 04:12:34,0.0,1.7589,60.0,0.0293,0.0
39,599040,train,2026-07-27 04:13:33,0.0,1.7453,60.0,0.0291,0.0
40,614400,train,2026-07-27 04:14:31,0.0117,1.6372,60.0,0.0273,0.0
41,629760,train,2026-07-27 04:15:30,0.0078,1.7723,60.0,0.0295,0.0
42,645120,train,2026-07-27 04:16:28,0.0039,1.6066,60.0,0.0268,0.0
43,660480,train,2026-07-27 04:17:27,0.0039,1.7209,60.0,0.0287,0.0
44,675840,train,2026-07-27 04:18:26,0.0,1.6258,60.0,0.0271,0.0
45,691200,train,2026-07-27 04:19:24,0.0039,1.7064,60.0,0.0284,0.0
46,706560,train,2026-07-27 04:20:23,0.0,1.7579,60.0,0.0293,0.0
47,721920,train,2026-07-27 04:21:21,0.0,1.6997,60.0,0.0283,0.0
48,737280,train,2026-07-27 04:22:20,0.0039,1.824,60.0,0.0304,0.0
