iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-25 19:33:39,0.0,9.7411,60.0,0.1624,0.0
1,15360,train,2026-07-25 19:33:54,0.0,0.0759,60.0,0.0013,0.0
2,30720,train,2026-07-25 19:34:27,0.0,0.092,60.0,0.0015,0.0
3,46080,train,2026-07-25 19:35:01,0.0,0.0993,60.0,0.0017,0.0
4,61440,train,2026-07-25 19:35:34,0.0,0.1076,60.0,0.0018,0.0
5,76800,train,2026-07-25 19:36:08,0.0,0.1763,60.0,0.0029,0.0
6,92160,train,2026-07-25 19:36:42,0.0,0.1727,60.0,0.0029,0.0
7,107520,train,2026-07-25 19:37:15,0.0,0.3105,60.0,0.0052,0.0
8,122880,train,2026-07-25 19:37:49,0.0,0.3991,60.0,0.0067,0.0
9,138240,train,2026-07-25 19:38:23,0.0,0.5552,60.0,0.0093,0.0
10,153600,train,2026-07-25 19:38:57,0.0,0.61,60.0,0.0102,0.0
11,168960,train,2026-07-25 19:39:30,0.0,0.7522,60.0,0.0125,0.0
12,184320,train,2026-07-25 19:40:04,0.0039,0.9056,60.0,0.0151,0.0
13,199680,train,2026-07-25 19:40:38,0.0,1.0951,60.0,0.0183,0.0
14,215040,train,2026-07-25 19:41:11,0.0,1.0604,60.0,0.0177,0.0
15,230400,train,2026-07-25 19:41:45,0.0,1.135,60.0,0.0189,0.0
16,245760,train,2026-07-25 19:42:19,0.0,1.3257,60.0,0.0221,0.0
17,261120,train,2026-07-25 19:42:53,0.0,1.3605,60.0,0.0227,0.0
18,276480,train,2026-07-25 19:43:27,0.0,1.2193,60.0,0.0203,0.0
19,291840,train,2026-07-25 19:44:02,0.0,1.5127,60.0,0.0252,0.0
20,307200,train,2026-07-25 19:44:36,0.0039,1.2328,60.0,0.0205,0.0
21,322560,train,2026-07-25 19:45:10,0.0,1.2368,60.0,0.0206,0.0
22,337920,train,2026-07-25 19:45:44,0.0,1.4967,60.0,0.0249,0.0
23,353280,train,2026-07-25 19:46:18,0.0039,1.3906,60.0,0.0232,0.0
24,368640,train,2026-07-25 19:46:52,0.0078,1.3576,60.0,0.0226,0.0039
25,368640,eval,2026-07-25 19:48:43,0.2083,6.4624,60.0,0.1077,0.1771
25,384000,train,2026-07-25 19:48:58,0.0078,1.5198,60.0,0.0253,0.0
26,399360,train,2026-07-25 19:49:33,0.0,1.4558,60.0,0.0243,0.0
27,414720,train,2026-07-25 19:50:08,0.0,1.5112,60.0,0.0252,0.0
28,430080,train,2026-07-25 19:50:42,0.0039,1.4281,60.0,0.0238,0.0
29,445440,train,2026-07-25 19:51:17,0.0039,1.5653,60.0,0.0261,0.0
30,460800,train,2026-07-25 19:51:51,0.0,1.6809,60.0,0.028,0.0
31,476160,train,2026-07-25 19:52:25,0.0,1.4584,60.0,0.0243,0.0
32,491520,train,2026-07-25 19:52:59,0.0,1.648,60.0,0.0275,0.0
33,506880,train,2026-07-25 19:53:33,0.0,1.4124,60.0,0.0235,0.0
