iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-19 16:54:53,0.0,9.9456,60.0,0.1658,0.0
1,15360,train,2026-07-19 16:55:48,0.0,0.0881,60.0,0.0015,0.0
2,30720,train,2026-07-19 16:56:44,0.0,0.1159,60.0,0.0019,0.0
3,46080,train,2026-07-19 16:57:41,0.0,0.0955,60.0,0.0016,0.0
4,61440,train,2026-07-19 16:58:38,0.0,0.189,60.0,0.0032,0.0
5,76800,train,2026-07-19 16:59:35,0.0,0.2577,60.0,0.0043,0.0
6,92160,train,2026-07-19 17:00:32,0.0,0.3098,60.0,0.0052,0.0
7,107520,train,2026-07-19 17:01:30,0.0,0.4528,60.0,0.0075,0.0
8,122880,train,2026-07-19 17:02:27,0.0,0.5654,60.0,0.0094,0.0
9,138240,train,2026-07-19 17:03:25,0.0,0.6675,60.0,0.0111,0.0
10,153600,train,2026-07-19 17:04:23,0.0,0.8205,60.0,0.0137,0.0
11,168960,train,2026-07-19 17:05:20,0.0,0.9066,60.0,0.0151,0.0
12,184320,train,2026-07-19 17:06:17,0.0,0.8766,60.0,0.0146,0.0
13,199680,train,2026-07-19 17:07:14,0.0,0.9525,60.0,0.0159,0.0
14,215040,train,2026-07-19 17:08:12,0.0039,1.1314,60.0,0.0189,0.0
15,230400,train,2026-07-19 17:09:09,0.0078,1.1586,60.0,0.0193,0.0
16,245760,train,2026-07-19 17:10:07,0.0078,1.4064,60.0,0.0234,0.0
17,261120,train,2026-07-19 17:11:05,0.0,1.245,60.0,0.0208,0.0
18,276480,train,2026-07-19 17:12:02,0.0,1.4198,60.0,0.0237,0.0
19,291840,train,2026-07-19 17:12:59,0.0,1.2926,60.0,0.0215,0.0
20,307200,train,2026-07-19 17:14:02,0.0039,1.2126,60.0,0.0202,0.0
21,322560,train,2026-07-19 17:14:59,0.0,1.4436,60.0,0.0241,0.0
22,337920,train,2026-07-19 17:15:56,0.0,1.4434,60.0,0.0241,0.0
23,353280,train,2026-07-19 17:16:58,0.0,1.4107,60.0,0.0235,0.0
24,368640,train,2026-07-19 17:18:00,0.0,1.3547,60.0,0.0226,0.0
25,368640,eval,2026-07-19 17:20:05,0.1771,6.4849,60.0,0.1081,0.1354
25,384000,train,2026-07-19 17:21:00,0.0,1.7487,60.0,0.0291,0.0
26,399360,train,2026-07-19 17:21:59,0.0039,1.5776,60.0,0.0263,0.0
27,414720,train,2026-07-19 17:22:58,0.0,1.4718,60.0,0.0245,0.0
28,430080,train,2026-07-19 17:23:56,0.0039,1.7134,60.0,0.0286,0.0
29,445440,train,2026-07-19 17:24:54,0.0,1.4815,60.0,0.0247,0.0
30,460800,train,2026-07-19 17:25:53,0.0,1.5328,60.0,0.0255,0.0
31,476160,train,2026-07-19 17:26:50,0.0,1.5666,60.0,0.0261,0.0
32,491520,train,2026-07-19 17:27:47,0.0039,1.6722,60.0,0.0279,0.0
33,506880,train,2026-07-19 17:28:45,0.0,1.5969,60.0,0.0266,0.0
34,522240,train,2026-07-19 17:29:42,0.0,1.5926,60.0,0.0265,0.0
35,537600,train,2026-07-19 17:30:39,0.0,1.4883,60.0,0.0248,0.0
36,552960,train,2026-07-19 17:31:36,0.0,1.8014,60.0,0.03,0.0
37,568320,train,2026-07-19 17:32:33,0.0,1.6656,60.0,0.0278,0.0
38,583680,train,2026-07-19 17:33:30,0.0,1.4437,60.0,0.0241,0.0
39,599040,train,2026-07-19 17:34:28,0.0,1.537,60.0,0.0256,0.0
40,614400,train,2026-07-19 17:35:25,0.0,1.7116,60.0,0.0285,0.0
41,629760,train,2026-07-19 17:36:22,0.0039,1.8105,60.0,0.0302,0.0
42,645120,train,2026-07-19 17:37:19,0.0039,1.7865,60.0,0.0298,0.0
43,660480,train,2026-07-19 17:38:16,0.0,1.728,60.0,0.0288,0.0
44,675840,train,2026-07-19 17:39:13,0.0039,1.627,60.0,0.0271,0.0
45,691200,train,2026-07-19 17:40:10,0.0039,1.8301,60.0,0.0305,0.0
46,706560,train,2026-07-19 17:41:07,0.0,1.7234,60.0,0.0287,0.0
47,721920,train,2026-07-19 17:42:05,0.0078,1.5424,60.0,0.0257,0.0
48,737280,train,2026-07-19 17:43:02,0.0039,1.7828,60.0,0.0297,0.0
49,737280,eval,2026-07-19 17:45:07,0.2396,5.9646,60.0,0.0994,0.1406
49,752640,train,2026-07-19 17:46:02,0.0,1.4887,60.0,0.0248,0.0
50,768000,train,2026-07-19 17:46:59,0.0078,1.7378,60.0,0.029,0.0
51,783360,train,2026-07-19 17:47:57,0.0,1.4719,60.0,0.0245,0.0
