iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-07 06:56:22,0.0,9.4556,60.0,0.1576,0.0
1,15360,train,2026-07-07 06:56:43,0.0,0.0854,60.0,0.0014,0.0
2,30720,train,2026-07-07 06:57:40,0.0,0.0934,60.0,0.0016,0.0
3,46080,train,2026-07-07 06:58:36,0.0,0.029,60.0,0.0005,0.0
4,61440,train,2026-07-07 06:59:33,0.0,0.0311,60.0,0.0005,0.0
5,76800,train,2026-07-07 07:00:30,0.0,0.0286,60.0,0.0005,0.0
6,92160,train,2026-07-07 07:01:28,0.0,0.0297,60.0,0.0005,0.0
7,107520,train,2026-07-07 07:02:25,0.0,0.0335,60.0,0.0006,0.0
8,122880,train,2026-07-07 07:03:22,0.0,0.0308,60.0,0.0005,0.0
9,138240,train,2026-07-07 07:04:19,0.0,0.0306,60.0,0.0005,0.0
10,153600,train,2026-07-07 07:05:16,0.0,0.0349,60.0,0.0006,0.0
11,168960,train,2026-07-07 07:06:13,0.0,0.0391,60.0,0.0007,0.0
12,184320,train,2026-07-07 07:07:11,0.0,0.0368,60.0,0.0006,0.0
13,199680,train,2026-07-07 07:08:08,0.0,0.0478,60.0,0.0008,0.0
14,215040,train,2026-07-07 07:09:05,0.0,0.047,60.0,0.0008,0.0
15,230400,train,2026-07-07 07:10:02,0.0,0.0588,60.0,0.001,0.0
16,245760,train,2026-07-07 07:10:59,0.0,0.0469,60.0,0.0008,0.0
17,261120,train,2026-07-07 07:11:56,0.0,0.0365,60.0,0.0006,0.0
18,276480,train,2026-07-07 07:12:54,0.0,0.0284,60.0,0.0005,0.0
19,291840,train,2026-07-07 07:13:51,0.0,0.0215,60.0,0.0004,0.0
20,307200,train,2026-07-07 07:14:48,0.0,0.0421,60.0,0.0007,0.0
21,322560,train,2026-07-07 07:15:45,0.0,0.0344,60.0,0.0006,0.0
22,337920,train,2026-07-07 07:16:42,0.0,0.0256,60.0,0.0004,0.0
23,353280,train,2026-07-07 07:17:40,0.0,0.0738,60.0,0.0012,0.0
24,368640,train,2026-07-07 07:18:37,0.0,0.0406,60.0,0.0007,0.0
25,368640,eval,2026-07-07 07:20:37,0.0,0.6863,60.0,0.0114,0.0
25,384000,train,2026-07-07 07:20:59,0.0,0.0586,60.0,0.001,0.0
26,399360,train,2026-07-07 07:21:55,0.0,0.0311,60.0,0.0005,0.0
27,414720,train,2026-07-07 07:22:52,0.0,0.0804,60.0,0.0013,0.0
28,430080,train,2026-07-07 07:23:49,0.0,0.0196,60.0,0.0003,0.0
29,445440,train,2026-07-07 07:24:47,0.0,0.0292,60.0,0.0005,0.0
30,460800,train,2026-07-07 07:25:44,0.0,0.169,60.0,0.0028,0.0
31,476160,train,2026-07-07 07:26:42,0.0,0.4575,60.0,0.0076,0.0
32,491520,train,2026-07-07 07:27:39,0.0,0.1744,60.0,0.0029,0.0
33,506880,train,2026-07-07 07:28:37,0.0,0.5272,60.0,0.0088,0.0
34,522240,train,2026-07-07 07:29:34,0.0,0.5885,60.0,0.0098,0.0
35,537600,train,2026-07-07 07:30:32,0.0,0.932,60.0,0.0155,0.0
36,552960,train,2026-07-07 07:31:30,0.0,1.1105,60.0,0.0185,0.0
37,568320,train,2026-07-07 07:32:27,0.0117,1.0646,60.0,0.0177,0.0
38,583680,train,2026-07-07 07:33:25,0.0,1.0362,60.0,0.0173,0.0
39,599040,train,2026-07-07 07:34:22,0.0,1.2866,60.0,0.0214,0.0
40,614400,train,2026-07-07 07:35:20,0.0,1.2676,60.0,0.0211,0.0
41,629760,train,2026-07-07 07:36:18,0.0,1.2881,60.0,0.0215,0.0
42,645120,train,2026-07-07 07:37:15,0.0,1.2991,60.0,0.0217,0.0
43,660480,train,2026-07-07 07:38:13,0.0,1.3813,60.0,0.023,0.0
44,675840,train,2026-07-07 07:39:10,0.0,1.2761,60.0,0.0213,0.0
45,691200,train,2026-07-07 07:40:08,0.0,1.1668,60.0,0.0194,0.0
46,706560,train,2026-07-07 07:41:06,0.0,1.3717,60.0,0.0229,0.0
47,721920,train,2026-07-07 07:42:03,0.0,1.3832,60.0,0.0231,0.0
48,737280,train,2026-07-07 07:43:01,0.0,1.3951,60.0,0.0233,0.0
49,737280,eval,2026-07-07 07:45:05,0.0365,2.9752,60.0,0.0496,0.0156
49,752640,train,2026-07-07 07:45:26,0.0,1.5578,60.0,0.026,0.0
50,768000,train,2026-07-07 07:46:23,0.0,1.3034,60.0,0.0217,0.0
51,783360,train,2026-07-07 07:47:21,0.0,1.5765,60.0,0.0263,0.0
52,798720,train,2026-07-07 07:48:18,0.0,1.5005,60.0,0.025,0.0
53,814080,train,2026-07-07 07:49:16,0.0,1.5115,60.0,0.0252,0.0
54,829440,train,2026-07-07 07:50:13,0.0,1.496,60.0,0.0249,0.0
55,844800,train,2026-07-07 07:51:11,0.0,1.4807,60.0,0.0247,0.0
56,860160,train,2026-07-07 07:52:09,0.0,1.5181,60.0,0.0253,0.0
57,875520,train,2026-07-07 07:53:06,0.0,1.5413,60.0,0.0257,0.0
58,890880,train,2026-07-07 07:54:04,0.0039,1.5581,60.0,0.026,0.0
59,906240,train,2026-07-07 07:55:01,0.0039,1.7545,60.0,0.0292,0.0
60,921600,train,2026-07-07 07:55:59,0.0,1.764,60.0,0.0294,0.0
61,936960,train,2026-07-07 07:56:57,0.0,1.6856,60.0,0.0281,0.0
62,952320,train,2026-07-07 07:57:54,0.0,1.4772,60.0,0.0246,0.0
63,967680,train,2026-07-07 07:58:52,0.0078,1.6802,60.0,0.028,0.0
64,983040,train,2026-07-07 07:59:50,0.0039,1.6159,60.0,0.0269,0.0
65,998400,train,2026-07-07 08:00:47,0.0,1.6068,60.0,0.0268,0.0
66,1013760,train,2026-07-07 08:01:45,0.0,1.6198,60.0,0.027,0.0
67,1029120,train,2026-07-07 08:02:43,0.0,1.831,60.0,0.0305,0.0
68,1044480,train,2026-07-07 08:03:40,0.0078,1.7897,60.0,0.0298,0.0
69,1059840,train,2026-07-07 08:04:38,0.0117,1.8582,60.0,0.031,0.0
70,1075200,train,2026-07-07 08:05:36,0.0,1.6285,60.0,0.0271,0.0
71,1090560,train,2026-07-07 08:06:33,0.0,1.4519,60.0,0.0242,0.0
72,1105920,train,2026-07-07 08:07:31,0.0,1.7537,60.0,0.0292,0.0
73,1105920,eval,2026-07-07 08:09:36,0.1458,4.4806,60.0,0.0747,0.0521
73,1121280,train,2026-07-07 08:09:58,0.0039,1.7511,60.0,0.0292,0.0
74,1136640,train,2026-07-07 08:10:55,0.0039,1.7356,60.0,0.0289,0.0
75,1152000,train,2026-07-07 08:11:52,0.0078,1.9446,60.0,0.0324,0.0
76,1167360,train,2026-07-07 08:12:50,0.0078,1.9544,60.0,0.0326,0.0
77,1182720,train,2026-07-07 08:13:47,0.0,1.8592,60.0,0.031,0.0
78,1198080,train,2026-07-07 08:14:45,0.0078,1.8204,60.0,0.0303,0.0
79,1213440,train,2026-07-07 08:15:43,0.0,1.7731,60.0,0.0296,0.0
80,1228800,train,2026-07-07 08:16:40,0.0039,2.2032,60.0,0.0367,0.0
81,1244160,train,2026-07-07 08:17:38,0.0,1.969,60.0,0.0328,0.0
82,1259520,train,2026-07-07 08:18:36,0.0078,1.8584,60.0,0.031,0.0
83,1274880,train,2026-07-07 08:19:33,0.0078,1.8083,60.0,0.0301,0.0
84,1290240,train,2026-07-07 08:20:31,0.0039,2.0221,60.0,0.0337,0.0
85,1305600,train,2026-07-07 08:21:29,0.0039,2.1947,60.0,0.0366,0.0039
86,1320960,train,2026-07-07 08:22:27,0.0,2.1458,60.0,0.0358,0.0
87,1336320,train,2026-07-07 08:23:24,0.0039,1.95,60.0,0.0325,0.0
88,1351680,train,2026-07-07 08:24:22,0.0156,2.0816,60.0,0.0347,0.0
89,1367040,train,2026-07-07 08:25:20,0.0078,2.0211,60.0,0.0337,0.0
90,1382400,train,2026-07-07 08:26:17,0.0,1.9987,60.0,0.0333,0.0
91,1397760,train,2026-07-07 08:27:15,0.0078,2.2957,60.0,0.0383,0.0
92,1413120,train,2026-07-07 08:28:13,0.0,2.1337,60.0,0.0356,0.0
93,1428480,train,2026-07-07 08:29:11,0.0,2.1552,60.0,0.0359,0.0
94,1443840,train,2026-07-07 08:30:08,0.0039,2.1938,60.0,0.0366,0.0
95,1459200,train,2026-07-07 08:31:06,0.0039,2.4109,60.0,0.0402,0.0
96,1474560,train,2026-07-07 08:32:04,0.0039,2.1288,60.0,0.0355,0.0
97,1474560,eval,2026-07-07 08:34:10,0.0677,3.8425,60.0,0.064,0.0104
97,1489920,train,2026-07-07 08:34:31,0.0039,2.3692,60.0,0.0395,0.0
98,1505280,train,2026-07-07 08:35:29,0.0039,2.0224,60.0,0.0337,0.0
99,1520640,train,2026-07-07 08:36:26,0.0078,2.0743,60.0,0.0346,0.0
100,1536000,train,2026-07-07 08:37:24,0.0039,2.117,60.0,0.0353,0.0
101,1551360,train,2026-07-07 08:38:21,0.0078,2.0719,60.0,0.0345,0.0
102,1566720,train,2026-07-07 08:39:19,0.0039,1.8142,60.0,0.0302,0.0
103,1582080,train,2026-07-07 08:40:17,0.0039,1.7537,60.0,0.0292,0.0
104,1597440,train,2026-07-07 08:41:14,0.0,1.9566,60.0,0.0326,0.0
105,1612800,train,2026-07-07 08:42:12,0.0,1.8564,60.0,0.0309,0.0
