iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-14 21:33:23,0.0,9.3098,60.0,0.1552,0.0
1,15360,train,2026-07-14 21:33:45,0.0,0.0805,60.0,0.0013,0.0
2,30720,train,2026-07-14 21:34:42,0.0,0.0651,60.0,0.0011,0.0
3,46080,train,2026-07-14 21:35:40,0.0,0.0374,60.0,0.0006,0.0
4,61440,train,2026-07-14 21:36:38,0.0,0.0351,60.0,0.0006,0.0
5,76800,train,2026-07-14 21:37:35,0.0,0.0291,60.0,0.0005,0.0
6,92160,train,2026-07-14 21:38:33,0.0,0.0325,60.0,0.0005,0.0
7,107520,train,2026-07-14 21:39:31,0.0,0.0296,60.0,0.0005,0.0
8,122880,train,2026-07-14 21:40:29,0.0,0.041,60.0,0.0007,0.0
9,138240,train,2026-07-14 21:41:27,0.0,0.0728,60.0,0.0012,0.0
10,153600,train,2026-07-14 21:42:25,0.0,0.0564,60.0,0.0009,0.0
11,168960,train,2026-07-14 21:43:23,0.0,0.1488,60.0,0.0025,0.0
12,184320,train,2026-07-14 21:44:21,0.0,0.2248,60.0,0.0037,0.0
13,199680,train,2026-07-14 21:45:19,0.0,0.4935,60.0,0.0082,0.0
14,215040,train,2026-07-14 21:46:17,0.0,0.5528,60.0,0.0092,0.0
15,230400,train,2026-07-14 21:47:15,0.0,0.6561,60.0,0.0109,0.0
16,245760,train,2026-07-14 21:48:14,0.0,0.9629,60.0,0.016,0.0
17,261120,train,2026-07-14 21:49:12,0.0,1.1206,60.0,0.0187,0.0
18,276480,train,2026-07-14 21:50:10,0.0,1.454,60.0,0.0242,0.0
19,291840,train,2026-07-14 21:51:08,0.0,1.2393,60.0,0.0207,0.0
20,307200,train,2026-07-14 21:52:07,0.0,1.3175,60.0,0.022,0.0
21,322560,train,2026-07-14 21:53:05,0.0,1.5236,60.0,0.0254,0.0
22,337920,train,2026-07-14 21:54:03,0.0,1.4027,60.0,0.0234,0.0
23,353280,train,2026-07-14 21:55:02,0.0,1.5033,60.0,0.0251,0.0
24,368640,train,2026-07-14 21:56:00,0.0039,1.4391,60.0,0.024,0.0
25,368640,eval,2026-07-14 21:58:04,0.2031,6.0334,60.0,0.1006,0.0677
25,384000,train,2026-07-14 21:58:25,0.0,1.4977,60.0,0.025,0.0
26,399360,train,2026-07-14 21:59:23,0.0039,1.7146,60.0,0.0286,0.0
27,414720,train,2026-07-14 22:00:21,0.0,1.9591,60.0,0.0327,0.0
28,430080,train,2026-07-14 22:01:19,0.0,1.8174,60.0,0.0303,0.0
29,445440,train,2026-07-14 22:02:18,0.0,1.7866,60.0,0.0298,0.0
30,460800,train,2026-07-14 22:03:16,0.0,1.8799,60.0,0.0313,0.0
31,476160,train,2026-07-14 22:04:15,0.0039,1.9679,60.0,0.0328,0.0
32,491520,train,2026-07-14 22:05:13,0.0,1.8911,60.0,0.0315,0.0
33,506880,train,2026-07-14 22:06:11,0.0039,1.8103,60.0,0.0302,0.0
