iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-30 07:12:09,0.0,9.9635,60.0,0.1661,0.0
1,15360,train,2026-06-30 07:12:29,0.0,0.0959,60.0,0.0016,0.0
2,30720,train,2026-06-30 07:13:15,0.0,0.1856,60.0,0.0031,0.0
3,46080,train,2026-06-30 07:14:01,0.0,0.2656,60.0,0.0044,0.0
4,61440,train,2026-06-30 07:14:47,0.0,0.3877,60.0,0.0065,0.0
5,76800,train,2026-06-30 07:15:34,0.0,0.6166,60.0,0.0103,0.0
6,92160,train,2026-06-30 07:16:20,0.0,1.1709,60.0,0.0195,0.0
7,107520,train,2026-06-30 07:17:07,0.0,1.6337,60.0,0.0272,0.0
8,122880,train,2026-06-30 07:17:53,0.0,2.3525,60.0,0.0392,0.0
9,138240,train,2026-06-30 07:18:40,0.0039,2.5466,60.0,0.0424,0.0
10,153600,train,2026-06-30 07:19:27,0.0078,2.8586,60.0,0.0476,0.0
11,168960,train,2026-06-30 07:20:13,0.0,3.0395,60.0,0.0507,0.0
12,184320,train,2026-06-30 07:21:00,0.0039,3.1908,60.0,0.0532,0.0
13,199680,train,2026-06-30 07:21:47,0.0078,3.1015,60.0,0.0517,0.0
14,215040,train,2026-06-30 07:22:34,0.0,3.0273,60.0,0.0505,0.0
15,230400,train,2026-06-30 07:23:20,0.0,3.0755,60.0,0.0513,0.0
16,245760,train,2026-06-30 07:24:07,0.0,3.2099,60.0,0.0535,0.0
17,261120,train,2026-06-30 07:24:54,0.0,3.3212,60.0,0.0554,0.0
18,276480,train,2026-06-30 07:25:40,0.0039,3.4794,60.0,0.058,0.0
19,291840,train,2026-06-30 07:26:27,0.0039,3.4941,60.0,0.0582,0.0
20,307200,train,2026-06-30 07:27:14,0.0039,3.8008,60.0,0.0633,0.0
21,322560,train,2026-06-30 07:28:00,0.0039,3.6789,60.0,0.0613,0.0
22,337920,train,2026-06-30 07:28:47,0.0156,3.7545,60.0,0.0626,0.0
23,353280,train,2026-06-30 07:29:34,0.0,3.8506,60.0,0.0642,0.0
24,368640,train,2026-06-30 07:30:21,0.0039,3.9617,60.0,0.066,0.0
25,368640,eval,2026-06-30 07:32:15,0.2708,14.4952,60.0,0.2416,0.1979
25,384000,train,2026-06-30 07:32:35,0.0,3.7664,60.0,0.0628,0.0
26,399360,train,2026-06-30 07:33:22,0.0039,3.7578,60.0,0.0626,0.0
27,414720,train,2026-06-30 07:34:08,0.0,3.8913,60.0,0.0649,0.0
28,430080,train,2026-06-30 07:34:55,0.0078,3.9473,60.0,0.0658,0.0
29,445440,train,2026-06-30 07:35:41,0.0,3.9532,60.0,0.0659,0.0
30,460800,train,2026-06-30 07:36:28,0.0039,3.7145,60.0,0.0619,0.0
31,476160,train,2026-06-30 07:37:15,0.0039,4.0426,60.0,0.0674,0.0
32,491520,train,2026-06-30 07:38:01,0.0078,3.9109,60.0,0.0652,0.0
33,506880,train,2026-06-30 07:38:48,0.0039,4.0317,60.0,0.0672,0.0
34,522240,train,2026-06-30 07:39:35,0.0039,3.918,60.0,0.0653,0.0
35,537600,train,2026-06-30 07:40:21,0.0039,3.8881,60.0,0.0648,0.0
36,552960,train,2026-06-30 07:41:08,0.0039,4.0817,60.0,0.068,0.0
37,568320,train,2026-06-30 07:41:55,0.0,4.1545,60.0,0.0692,0.0
38,583680,train,2026-06-30 07:42:42,0.0039,4.1423,60.0,0.069,0.0
39,599040,train,2026-06-30 07:43:28,0.0039,4.4067,60.0,0.0734,0.0
40,614400,train,2026-06-30 07:44:15,0.0,3.8417,60.0,0.064,0.0
41,629760,train,2026-06-30 07:45:02,0.0078,4.1997,60.0,0.07,0.0
42,645120,train,2026-06-30 07:45:48,0.0078,4.1356,60.0,0.0689,0.0
43,660480,train,2026-06-30 07:46:35,0.0,3.9313,60.0,0.0655,0.0
44,675840,train,2026-06-30 07:47:22,0.0117,4.3261,60.0,0.0721,0.0
45,691200,train,2026-06-30 07:48:08,0.0,4.2238,60.0,0.0704,0.0
46,706560,train,2026-06-30 07:48:55,0.0039,4.1192,60.0,0.0687,0.0
47,721920,train,2026-06-30 07:49:42,0.0078,4.0938,60.0,0.0682,0.0
48,737280,train,2026-06-30 07:50:29,0.0156,4.0534,60.0,0.0676,0.0039
49,737280,eval,2026-06-30 07:52:22,0.2708,14.6447,60.0,0.2441,0.2604
49,752640,train,2026-06-30 07:52:43,0.0078,4.0737,60.0,0.0679,0.0
50,768000,train,2026-06-30 07:53:29,0.0117,4.2683,60.0,0.0711,0.0
51,783360,train,2026-06-30 07:54:16,0.0156,4.1346,60.0,0.0689,0.0
52,798720,train,2026-06-30 07:55:02,0.0039,4.0844,60.0,0.0681,0.0
53,814080,train,2026-06-30 07:55:49,0.0,4.3024,60.0,0.0717,0.0
54,829440,train,2026-06-30 07:56:36,0.0117,4.2897,60.0,0.0715,0.0
55,844800,train,2026-06-30 07:57:22,0.0039,4.2378,60.0,0.0706,0.0
56,860160,train,2026-06-30 07:58:09,0.0,4.1682,60.0,0.0695,0.0
57,875520,train,2026-06-30 07:58:56,0.0039,4.2139,60.0,0.0702,0.0
58,890880,train,2026-06-30 07:59:42,0.0039,4.1302,60.0,0.0688,0.0
59,906240,train,2026-06-30 08:00:29,0.0078,4.4739,60.0,0.0746,0.0
60,921600,train,2026-06-30 08:01:16,0.0,4.2395,60.0,0.0707,0.0
61,936960,train,2026-06-30 08:02:03,0.0039,4.283,60.0,0.0714,0.0
62,952320,train,2026-06-30 08:02:49,0.0039,4.0673,60.0,0.0678,0.0
63,967680,train,2026-06-30 08:03:36,0.0078,4.2446,60.0,0.0707,0.0
64,983040,train,2026-06-30 08:04:23,0.0,4.088,60.0,0.0681,0.0
65,998400,train,2026-06-30 08:05:10,0.0039,4.298,60.0,0.0716,0.0
66,1013760,train,2026-06-30 08:05:56,0.0039,4.1433,60.0,0.0691,0.0
67,1029120,train,2026-06-30 08:06:43,0.0039,4.3208,60.0,0.072,0.0
68,1044480,train,2026-06-30 08:07:30,0.0156,4.2957,60.0,0.0716,0.0
69,1059840,train,2026-06-30 08:08:17,0.0039,4.2784,60.0,0.0713,0.0
70,1075200,train,2026-06-30 08:09:04,0.0039,4.2938,60.0,0.0716,0.0
71,1090560,train,2026-06-30 08:09:50,0.0078,4.2122,60.0,0.0702,0.0
72,1105920,train,2026-06-30 08:10:37,0.0078,4.1793,60.0,0.0697,0.0
73,1105920,eval,2026-06-30 08:12:32,0.3021,11.2412,60.0,0.1874,0.0
73,1121280,train,2026-06-30 08:12:53,0.0,4.0226,60.0,0.067,0.0
74,1136640,train,2026-06-30 08:13:39,0.0078,4.0559,60.0,0.0676,0.0
