iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-24 22:56:08,0.0,9.2679,60.0,0.1545,0.0
1,15360,train,2026-07-24 22:56:23,0.0,0.0794,60.0,0.0013,0.0
2,30720,train,2026-07-24 22:57:00,0.0,0.0908,60.0,0.0015,0.0
3,46080,train,2026-07-24 22:57:37,0.0,0.0636,60.0,0.0011,0.0
4,61440,train,2026-07-24 22:58:15,0.0,0.0796,60.0,0.0013,0.0
5,76800,train,2026-07-24 22:58:51,0.0,0.0848,60.0,0.0014,0.0
6,92160,train,2026-07-24 22:59:28,0.0,0.1498,60.0,0.0025,0.0
7,107520,train,2026-07-24 23:00:05,0.0,0.2054,60.0,0.0034,0.0
8,122880,train,2026-07-24 23:00:42,0.0,0.3069,60.0,0.0051,0.0
9,138240,train,2026-07-24 23:01:20,0.0,0.4502,60.0,0.0075,0.0
10,153600,train,2026-07-24 23:01:58,0.0,0.6792,60.0,0.0113,0.0
11,168960,train,2026-07-24 23:02:35,0.0,0.7715,60.0,0.0129,0.0
12,184320,train,2026-07-24 23:03:13,0.0,1.0689,60.0,0.0178,0.0
13,199680,train,2026-07-24 23:03:51,0.0,1.0441,60.0,0.0174,0.0
14,215040,train,2026-07-24 23:04:29,0.0039,1.0533,60.0,0.0176,0.0
15,230400,train,2026-07-24 23:05:07,0.0,1.0541,60.0,0.0176,0.0
16,245760,train,2026-07-24 23:05:44,0.0039,1.2066,60.0,0.0201,0.0
17,261120,train,2026-07-24 23:06:22,0.0039,1.2414,60.0,0.0207,0.0
18,276480,train,2026-07-24 23:07:00,0.0,1.2155,60.0,0.0203,0.0
19,291840,train,2026-07-24 23:07:38,0.0,0.9776,60.0,0.0163,0.0
20,307200,train,2026-07-24 23:08:16,0.0,0.9989,60.0,0.0166,0.0
21,322560,train,2026-07-24 23:08:54,0.0,0.8724,60.0,0.0145,0.0
22,337920,train,2026-07-24 23:09:33,0.0,1.3698,60.0,0.0228,0.0
23,353280,train,2026-07-24 23:10:11,0.0,1.2992,60.0,0.0217,0.0
24,368640,train,2026-07-24 23:10:49,0.0,1.3407,60.0,0.0223,0.0
25,368640,eval,2026-07-24 23:12:56,0.0521,2.6472,60.0,0.0441,0.0104
