iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-27 15:41:16,0.0,9.7019,60.0,0.1617,0.0
1,15360,train,2026-07-27 15:41:37,0.0,0.0712,60.0,0.0012,0.0
2,30720,train,2026-07-27 15:42:28,0.0,0.1042,60.0,0.0017,0.0
3,46080,train,2026-07-27 15:43:14,0.0,0.1085,60.0,0.0018,0.0
4,61440,train,2026-07-27 15:44:01,0.0,0.1424,60.0,0.0024,0.0
5,76800,train,2026-07-27 15:44:48,0.0,0.185,60.0,0.0031,0.0
6,92160,train,2026-07-27 15:45:35,0.0,0.2418,60.0,0.004,0.0
7,107520,train,2026-07-27 15:46:21,0.0,0.4445,60.0,0.0074,0.0
8,122880,train,2026-07-27 15:47:08,0.0,0.544,60.0,0.0091,0.0
9,138240,train,2026-07-27 15:47:55,0.0,0.7637,60.0,0.0127,0.0
10,153600,train,2026-07-27 15:48:42,0.0,0.8901,60.0,0.0148,0.0
11,168960,train,2026-07-27 15:49:29,0.0,0.9353,60.0,0.0156,0.0
12,184320,train,2026-07-27 15:50:16,0.0,1.1153,60.0,0.0186,0.0
13,199680,train,2026-07-27 15:51:02,0.0,0.9553,60.0,0.0159,0.0
14,215040,train,2026-07-27 15:51:49,0.0039,0.7874,60.0,0.0131,0.0
15,230400,train,2026-07-27 15:52:36,0.0,1.0562,60.0,0.0176,0.0
16,245760,train,2026-07-27 15:53:23,0.0,1.1148,60.0,0.0186,0.0
17,261120,train,2026-07-27 15:54:10,0.0039,1.1128,60.0,0.0185,0.0
18,276480,train,2026-07-27 15:54:56,0.0,1.157,60.0,0.0193,0.0
19,291840,train,2026-07-27 15:55:43,0.0,0.9687,60.0,0.0161,0.0
20,307200,train,2026-07-27 15:56:30,0.0,1.1684,60.0,0.0195,0.0
21,322560,train,2026-07-27 15:57:17,0.0,1.0059,60.0,0.0168,0.0
22,337920,train,2026-07-27 15:58:04,0.0078,1.5815,60.0,0.0264,0.0
23,353280,train,2026-07-27 15:58:51,0.0,1.4283,60.0,0.0238,0.0
24,368640,train,2026-07-27 15:59:37,0.0,1.3279,60.0,0.0221,0.0
25,368640,eval,2026-07-27 16:01:31,0.0573,3.8996,60.0,0.065,0.0573
25,384000,train,2026-07-27 16:01:52,0.0,1.4025,60.0,0.0234,0.0
26,399360,train,2026-07-27 16:02:39,0.0,1.0911,60.0,0.0182,0.0
27,414720,train,2026-07-27 16:03:25,0.0,1.4371,60.0,0.024,0.0
28,430080,train,2026-07-27 16:04:12,0.0039,1.436,60.0,0.0239,0.0
29,445440,train,2026-07-27 16:04:59,0.0,1.6487,60.0,0.0275,0.0
30,460800,train,2026-07-27 16:05:46,0.0078,1.4097,60.0,0.0235,0.0
31,476160,train,2026-07-27 16:06:33,0.0,1.5606,60.0,0.026,0.0
32,491520,train,2026-07-27 16:07:20,0.0,1.5056,60.0,0.0251,0.0
33,506880,train,2026-07-27 16:08:07,0.0,1.6688,60.0,0.0278,0.0
34,522240,train,2026-07-27 16:08:54,0.0,1.6318,60.0,0.0272,0.0
35,537600,train,2026-07-27 16:09:40,0.0,1.3968,60.0,0.0233,0.0
36,552960,train,2026-07-27 16:10:27,0.0,1.5872,60.0,0.0265,0.0
37,568320,train,2026-07-27 16:11:14,0.0,1.4094,60.0,0.0235,0.0
38,583680,train,2026-07-27 16:12:01,0.0039,1.3681,60.0,0.0228,0.0
39,599040,train,2026-07-27 16:12:48,0.0,1.5149,60.0,0.0252,0.0
40,614400,train,2026-07-27 16:13:35,0.0,1.3922,60.0,0.0232,0.0
41,629760,train,2026-07-27 16:14:22,0.0039,1.374,60.0,0.0229,0.0
42,645120,train,2026-07-27 16:15:09,0.0,1.5577,60.0,0.026,0.0
43,660480,train,2026-07-27 16:15:56,0.0,1.5994,60.0,0.0267,0.0
44,675840,train,2026-07-27 16:16:42,0.0,1.5807,60.0,0.0263,0.0
45,691200,train,2026-07-27 16:17:29,0.0,1.5236,60.0,0.0254,0.0
46,706560,train,2026-07-27 16:18:16,0.0,1.5022,60.0,0.025,0.0
47,721920,train,2026-07-27 16:19:03,0.0,1.6906,60.0,0.0282,0.0
48,737280,train,2026-07-27 16:19:50,0.0,1.6813,60.0,0.028,0.0
49,737280,eval,2026-07-27 16:21:44,0.1198,5.7151,60.0,0.0953,0.0573
49,752640,train,2026-07-27 16:22:05,0.0,1.5577,60.0,0.026,0.0
50,768000,train,2026-07-27 16:22:52,0.0,1.5256,60.0,0.0254,0.0
51,783360,train,2026-07-27 16:23:39,0.0,1.596,60.0,0.0266,0.0
52,798720,train,2026-07-27 16:24:26,0.0,1.5737,60.0,0.0262,0.0
53,814080,train,2026-07-27 16:25:12,0.0078,1.4465,60.0,0.0241,0.0
54,829440,train,2026-07-27 16:25:59,0.0039,1.7424,60.0,0.029,0.0
55,844800,train,2026-07-27 16:26:46,0.0,1.5684,60.0,0.0261,0.0
56,860160,train,2026-07-27 16:27:33,0.0,1.6577,60.0,0.0276,0.0
57,875520,train,2026-07-27 16:28:20,0.0039,1.5882,60.0,0.0265,0.0
58,890880,train,2026-07-27 16:29:07,0.0039,1.6589,60.0,0.0276,0.0
59,906240,train,2026-07-27 16:29:54,0.0039,1.7547,60.0,0.0292,0.0
60,921600,train,2026-07-27 16:30:41,0.0078,1.5954,60.0,0.0266,0.0
61,936960,train,2026-07-27 16:31:28,0.0,1.5018,60.0,0.025,0.0
62,952320,train,2026-07-27 16:32:15,0.0,1.6949,60.0,0.0282,0.0
63,967680,train,2026-07-27 16:33:02,0.0,1.7376,60.0,0.029,0.0
64,983040,train,2026-07-27 16:33:49,0.0,1.6822,60.0,0.028,0.0
65,998400,train,2026-07-27 16:34:36,0.0,1.8041,60.0,0.0301,0.0
66,1013760,train,2026-07-27 16:35:22,0.0,1.6658,60.0,0.0278,0.0
67,1029120,train,2026-07-27 16:36:09,0.0,1.7766,60.0,0.0296,0.0
68,1044480,train,2026-07-27 16:36:56,0.0078,1.7686,60.0,0.0295,0.0
69,1059840,train,2026-07-27 16:37:43,0.0,1.6837,60.0,0.0281,0.0
70,1075200,train,2026-07-27 16:38:30,0.0039,1.6998,60.0,0.0283,0.0039
71,1090560,train,2026-07-27 16:39:17,0.0039,1.8486,60.0,0.0308,0.0
72,1105920,train,2026-07-27 16:40:04,0.0039,1.6304,60.0,0.0272,0.0
73,1105920,eval,2026-07-27 16:42:01,0.2552,6.3511,60.0,0.1059,0.0833
73,1121280,train,2026-07-27 16:42:22,0.0,2.0519,60.0,0.0342,0.0
74,1136640,train,2026-07-27 16:43:09,0.0039,1.8679,60.0,0.0311,0.0
75,1152000,train,2026-07-27 16:43:56,0.0078,1.8786,60.0,0.0313,0.0
76,1167360,train,2026-07-27 16:44:43,0.0,1.7488,60.0,0.0291,0.0
77,1182720,train,2026-07-27 16:45:30,0.0,1.8314,60.0,0.0305,0.0
78,1198080,train,2026-07-27 16:46:17,0.0039,1.7389,60.0,0.029,0.0
79,1213440,train,2026-07-27 16:47:04,0.0039,1.6183,60.0,0.027,0.0
80,1228800,train,2026-07-27 16:47:51,0.0,1.8505,60.0,0.0308,0.0
81,1244160,train,2026-07-27 16:48:38,0.0117,1.7776,60.0,0.0296,0.0039
82,1259520,train,2026-07-27 16:49:25,0.0,1.9458,60.0,0.0324,0.0
83,1274880,train,2026-07-27 16:50:12,0.0,1.7024,60.0,0.0284,0.0
84,1290240,train,2026-07-27 16:50:59,0.0078,1.7301,60.0,0.0288,0.0
85,1305600,train,2026-07-27 16:51:46,0.0,1.8014,60.0,0.03,0.0
86,1320960,train,2026-07-27 16:52:33,0.0,1.8299,60.0,0.0305,0.0
87,1336320,train,2026-07-27 16:53:20,0.0078,1.7938,60.0,0.0299,0.0
88,1351680,train,2026-07-27 16:54:07,0.0,1.9073,60.0,0.0318,0.0
89,1367040,train,2026-07-27 16:54:54,0.0039,1.7471,60.0,0.0291,0.0
90,1382400,train,2026-07-27 16:55:41,0.0,1.8514,60.0,0.0309,0.0
91,1397760,train,2026-07-27 16:56:28,0.0,1.8468,60.0,0.0308,0.0
92,1413120,train,2026-07-27 16:57:15,0.0,1.7741,60.0,0.0296,0.0
93,1428480,train,2026-07-27 16:58:02,0.0,1.6177,60.0,0.027,0.0
94,1443840,train,2026-07-27 16:58:49,0.0078,1.7719,60.0,0.0295,0.0
95,1459200,train,2026-07-27 16:59:36,0.0039,2.0162,60.0,0.0336,0.0
96,1474560,train,2026-07-27 17:00:23,0.0,1.6831,60.0,0.0281,0.0
97,1474560,eval,2026-07-27 17:02:19,0.3177,8.1609,60.0,0.136,0.1198
97,1489920,train,2026-07-27 17:02:40,0.0,1.9018,60.0,0.0317,0.0
98,1505280,train,2026-07-27 17:03:27,0.0039,1.9427,60.0,0.0324,0.0
99,1520640,train,2026-07-27 17:04:14,0.0,1.7491,60.0,0.0292,0.0
100,1536000,train,2026-07-27 17:05:01,0.0039,1.7157,60.0,0.0286,0.0
101,1551360,train,2026-07-27 17:05:48,0.0039,1.6879,60.0,0.0281,0.0
102,1566720,train,2026-07-27 17:06:35,0.0039,1.7244,60.0,0.0287,0.0
103,1582080,train,2026-07-27 17:07:22,0.0039,1.6453,60.0,0.0274,0.0
104,1597440,train,2026-07-27 17:08:09,0.0117,1.8479,60.0,0.0308,0.0
105,1612800,train,2026-07-27 17:08:56,0.0,1.8016,60.0,0.03,0.0
106,1628160,train,2026-07-27 17:09:43,0.0,1.9012,60.0,0.0317,0.0
107,1643520,train,2026-07-27 17:10:30,0.0,1.6372,60.0,0.0273,0.0
108,1658880,train,2026-07-27 17:11:17,0.0039,2.0606,60.0,0.0343,0.0
109,1674240,train,2026-07-27 17:12:04,0.0039,1.6769,60.0,0.0279,0.0
110,1689600,train,2026-07-27 17:12:51,0.0,1.7667,60.0,0.0294,0.0
111,1704960,train,2026-07-27 17:13:38,0.0039,1.9468,60.0,0.0324,0.0
112,1720320,train,2026-07-27 17:14:25,0.0,2.148,60.0,0.0358,0.0
113,1735680,train,2026-07-27 17:15:12,0.0039,1.7243,60.0,0.0287,0.0
114,1751040,train,2026-07-27 17:15:59,0.0039,2.0697,60.0,0.0345,0.0
115,1766400,train,2026-07-27 17:16:46,0.0039,1.7095,60.0,0.0285,0.0
116,1781760,train,2026-07-27 17:17:33,0.0078,1.6889,60.0,0.0281,0.0
117,1797120,train,2026-07-27 17:18:20,0.0,1.6742,60.0,0.0279,0.0
118,1812480,train,2026-07-27 17:19:07,0.0,1.7814,60.0,0.0297,0.0
119,1827840,train,2026-07-27 17:19:54,0.0039,1.8024,60.0,0.03,0.0
120,1843200,train,2026-07-27 17:20:41,0.0039,1.7682,60.0,0.0295,0.0
121,1843200,eval,2026-07-27 17:22:38,0.3333,7.2601,60.0,0.121,0.0729
121,1858560,train,2026-07-27 17:22:59,0.0,1.8271,60.0,0.0305,0.0
122,1873920,train,2026-07-27 17:23:46,0.0,1.9496,60.0,0.0325,0.0
123,1889280,train,2026-07-27 17:24:33,0.0078,1.8692,60.0,0.0312,0.0
124,1904640,train,2026-07-27 17:25:19,0.0,1.5749,60.0,0.0262,0.0
125,1920000,train,2026-07-27 17:26:06,0.0,1.7114,60.0,0.0285,0.0
126,1935360,train,2026-07-27 17:26:53,0.0039,1.8097,60.0,0.0302,0.0
127,1950720,train,2026-07-27 17:27:40,0.0039,1.7714,60.0,0.0295,0.0
128,1966080,train,2026-07-27 17:28:27,0.0039,1.7522,60.0,0.0292,0.0
129,1981440,train,2026-07-27 17:29:14,0.0039,1.6954,60.0,0.0283,0.0
130,1996800,train,2026-07-27 17:30:01,0.0,1.7224,60.0,0.0287,0.0
131,2012160,train,2026-07-27 17:30:48,0.0039,1.7665,60.0,0.0294,0.0
132,2027520,train,2026-07-27 17:31:35,0.0039,1.7417,60.0,0.029,0.0
133,2042880,train,2026-07-27 17:32:22,0.0039,1.8492,60.0,0.0308,0.0
134,2058240,train,2026-07-27 17:33:09,0.0,1.7709,60.0,0.0295,0.0
135,2073600,train,2026-07-27 17:33:56,0.0039,1.8934,60.0,0.0316,0.0
136,2088960,train,2026-07-27 17:34:43,0.0039,1.7365,60.0,0.0289,0.0
137,2104320,train,2026-07-27 17:35:30,0.0,1.8237,60.0,0.0304,0.0
138,2119680,train,2026-07-27 17:36:16,0.0078,1.6042,60.0,0.0267,0.0
139,2135040,train,2026-07-27 17:37:03,0.0,1.5585,60.0,0.026,0.0
140,2150400,train,2026-07-27 17:37:50,0.0078,1.696,60.0,0.0283,0.0
141,2165760,train,2026-07-27 17:38:37,0.0,1.8495,60.0,0.0308,0.0
142,2181120,train,2026-07-27 17:39:24,0.0039,1.6788,60.0,0.028,0.0
143,2196480,train,2026-07-27 17:40:11,0.0078,1.8196,60.0,0.0303,0.0
144,2211840,train,2026-07-27 17:40:58,0.0,1.7599,60.0,0.0293,0.0
145,2211840,eval,2026-07-27 17:42:55,0.2292,3.9648,60.0,0.0661,0.0417
145,2227200,train,2026-07-27 17:43:16,0.0039,1.7791,60.0,0.0297,0.0
146,2242560,train,2026-07-27 17:44:02,0.0,1.7197,60.0,0.0287,0.0
147,2257920,train,2026-07-27 17:44:49,0.0078,1.8511,60.0,0.0309,0.0
148,2273280,train,2026-07-27 17:45:36,0.0039,1.9126,60.0,0.0319,0.0
149,2288640,train,2026-07-27 17:46:23,0.0,2.127,60.0,0.0355,0.0
150,2304000,train,2026-07-27 17:47:10,0.0078,1.9231,60.0,0.0321,0.0
151,2319360,train,2026-07-27 17:47:57,0.0,1.6544,60.0,0.0276,0.0
152,2334720,train,2026-07-27 17:48:44,0.0078,1.936,60.0,0.0323,0.0
153,2350080,train,2026-07-27 17:49:30,0.0039,1.9017,60.0,0.0317,0.0
154,2365440,train,2026-07-27 17:50:17,0.0,2.1335,60.0,0.0356,0.0
155,2380800,train,2026-07-27 17:51:05,0.0,2.1601,60.0,0.036,0.0
156,2396160,train,2026-07-27 17:51:52,0.0039,2.0648,60.0,0.0344,0.0039
157,2411520,train,2026-07-27 17:52:39,0.0039,1.8675,60.0,0.0311,0.0
158,2426880,train,2026-07-27 17:53:26,0.0078,1.8018,60.0,0.03,0.0
159,2442240,train,2026-07-27 17:54:13,0.0,2.1179,60.0,0.0353,0.0
160,2457600,train,2026-07-27 17:55:00,0.0117,2.1199,60.0,0.0353,0.0
161,2472960,train,2026-07-27 17:55:47,0.0039,2.1849,60.0,0.0364,0.0039
162,2488320,train,2026-07-27 17:56:34,0.0039,1.9733,60.0,0.0329,0.0
163,2503680,train,2026-07-27 17:57:21,0.0,1.9959,60.0,0.0333,0.0
164,2519040,train,2026-07-27 17:58:08,0.0039,1.9528,60.0,0.0325,0.0
165,2534400,train,2026-07-27 17:58:55,0.0117,1.9938,60.0,0.0332,0.0
166,2549760,train,2026-07-27 17:59:42,0.0039,2.0192,60.0,0.0337,0.0
167,2565120,train,2026-07-27 18:00:30,0.0,2.0735,60.0,0.0346,0.0
168,2580480,train,2026-07-27 18:01:17,0.0078,1.8114,60.0,0.0302,0.0
169,2580480,eval,2026-07-27 18:03:14,0.3229,6.6333,60.0,0.1106,0.0729
169,2595840,train,2026-07-27 18:03:36,0.0039,2.0784,60.0,0.0346,0.0
170,2611200,train,2026-07-27 18:04:22,0.0039,1.7241,60.0,0.0287,0.0
171,2626560,train,2026-07-27 18:05:09,0.0039,2.1815,60.0,0.0364,0.0
172,2641920,train,2026-07-27 18:05:56,0.0039,2.2452,60.0,0.0374,0.0
173,2657280,train,2026-07-27 18:06:43,0.0039,2.2047,60.0,0.0367,0.0
174,2672640,train,2026-07-27 18:07:30,0.0039,1.9751,60.0,0.0329,0.0
175,2688000,train,2026-07-27 18:08:17,0.0117,2.3331,60.0,0.0389,0.0
176,2703360,train,2026-07-27 18:09:05,0.0078,2.0989,60.0,0.035,0.0
177,2718720,train,2026-07-27 18:09:52,0.0078,2.0351,60.0,0.0339,0.0
178,2734080,train,2026-07-27 18:10:39,0.0,2.1047,60.0,0.0351,0.0
179,2749440,train,2026-07-27 18:11:26,0.0,1.8704,60.0,0.0312,0.0
180,2764800,train,2026-07-27 18:12:13,0.0156,2.1244,60.0,0.0354,0.0
181,2780160,train,2026-07-27 18:13:00,0.0,1.9469,60.0,0.0324,0.0
182,2795520,train,2026-07-27 18:13:47,0.0039,1.9031,60.0,0.0317,0.0
183,2810880,train,2026-07-27 18:14:34,0.0117,1.8285,60.0,0.0305,0.0
184,2826240,train,2026-07-27 18:15:21,0.0,2.0413,60.0,0.034,0.0
185,2841600,train,2026-07-27 18:16:14,0.0078,2.2096,60.0,0.0368,0.0
186,2856960,train,2026-07-27 18:17:01,0.0117,2.3286,60.0,0.0388,0.0
187,2872320,train,2026-07-27 18:17:48,0.0078,1.8594,60.0,0.031,0.0
188,2887680,train,2026-07-27 18:18:35,0.0039,2.1019,60.0,0.035,0.0
189,2903040,train,2026-07-27 18:19:23,0.0039,2.0591,60.0,0.0343,0.0
190,2918400,train,2026-07-27 18:20:10,0.0039,2.0505,60.0,0.0342,0.0
191,2933760,train,2026-07-27 18:20:57,0.0039,2.0898,60.0,0.0348,0.0
192,2949120,train,2026-07-27 18:21:44,0.0039,2.2545,60.0,0.0376,0.0
193,2949120,eval,2026-07-27 18:23:43,0.3385,7.7354,60.0,0.1289,0.0938
193,2964480,train,2026-07-27 18:24:04,0.0,1.8454,60.0,0.0308,0.0
194,2979840,train,2026-07-27 18:24:51,0.0,2.1706,60.0,0.0362,0.0
195,2995200,train,2026-07-27 18:25:38,0.0156,2.1823,60.0,0.0364,0.0
196,3010560,train,2026-07-27 18:26:25,0.0078,2.0613,60.0,0.0344,0.0
197,3025920,train,2026-07-27 18:27:12,0.0039,2.1402,60.0,0.0357,0.0
198,3041280,train,2026-07-27 18:27:59,0.0039,2.4278,60.0,0.0405,0.0
199,3056640,train,2026-07-27 18:28:46,0.0,2.3191,60.0,0.0387,0.0
200,3072000,train,2026-07-27 18:29:33,0.0039,2.2053,60.0,0.0368,0.0
201,3087360,train,2026-07-27 18:30:20,0.0,2.099,60.0,0.035,0.0
202,3102720,train,2026-07-27 18:31:07,0.0,2.0696,60.0,0.0345,0.0
203,3118080,train,2026-07-27 18:31:54,0.0078,2.2522,60.0,0.0375,0.0
204,3133440,train,2026-07-27 18:32:41,0.0039,2.3423,60.0,0.039,0.0
205,3148800,train,2026-07-27 18:33:29,0.0,2.1648,60.0,0.0361,0.0
206,3164160,train,2026-07-27 18:34:16,0.0039,2.2939,60.0,0.0382,0.0
207,3179520,train,2026-07-27 18:35:03,0.0156,2.1625,60.0,0.036,0.0
208,3194880,train,2026-07-27 18:35:50,0.0,2.1585,60.0,0.036,0.0
209,3210240,train,2026-07-27 18:36:37,0.0,2.0823,60.0,0.0347,0.0
210,3225600,train,2026-07-27 18:37:24,0.0078,2.3339,60.0,0.0389,0.0
211,3240960,train,2026-07-27 18:38:11,0.0039,2.0677,60.0,0.0345,0.0
212,3256320,train,2026-07-27 18:38:58,0.0078,2.2397,60.0,0.0373,0.0
213,3271680,train,2026-07-27 18:39:45,0.0156,2.3367,60.0,0.0389,0.0
214,3287040,train,2026-07-27 18:40:32,0.0117,2.2594,60.0,0.0377,0.0
215,3302400,train,2026-07-27 18:41:19,0.0117,2.2348,60.0,0.0372,0.0
216,3317760,train,2026-07-27 18:42:07,0.0039,2.3705,60.0,0.0395,0.0
