iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-22 09:00:17,0.0,9.924,60.0,0.1654,0.0
1,15360,train,2026-07-22 09:06:00,0.0,0.0788,60.0,0.0013,0.0
2,30720,train,2026-07-22 09:11:59,0.0,0.1094,60.0,0.0018,0.0
3,46080,train,2026-07-22 09:18:01,0.0,0.207,60.0,0.0035,0.0
4,61440,train,2026-07-22 09:24:06,0.0,0.2319,60.0,0.0039,0.0
5,76800,train,2026-07-22 09:30:13,0.0,0.292,60.0,0.0049,0.0
6,92160,train,2026-07-22 09:36:21,0.0,0.3887,60.0,0.0065,0.0
7,107520,train,2026-07-22 09:42:31,0.0,0.5454,60.0,0.0091,0.0
8,122880,train,2026-07-22 09:48:43,0.0039,0.7305,60.0,0.0122,0.0
9,138240,train,2026-07-22 09:54:55,0.0,0.9436,60.0,0.0157,0.0
10,153600,train,2026-07-22 10:01:06,0.0,0.8723,60.0,0.0145,0.0
11,168960,train,2026-07-22 10:07:18,0.0039,1.224,60.0,0.0204,0.0
12,184320,train,2026-07-22 10:13:32,0.0,1.0913,60.0,0.0182,0.0
13,199680,train,2026-07-22 10:19:42,0.0,1.1104,60.0,0.0185,0.0
14,215040,train,2026-07-22 10:25:53,0.0,1.1497,60.0,0.0192,0.0
15,230400,train,2026-07-22 10:32:06,0.0,1.2924,60.0,0.0215,0.0
16,245760,train,2026-07-22 10:38:20,0.0,1.0618,60.0,0.0177,0.0
17,261120,train,2026-07-22 10:44:33,0.0039,1.4154,60.0,0.0236,0.0
18,276480,train,2026-07-22 10:50:46,0.0,1.3803,60.0,0.023,0.0
19,291840,train,2026-07-22 10:56:59,0.0078,1.4729,60.0,0.0245,0.0
20,307200,train,2026-07-22 11:03:13,0.0,1.4854,60.0,0.0248,0.0
21,322560,train,2026-07-22 11:09:28,0.0,1.5694,60.0,0.0262,0.0
22,337920,train,2026-07-22 11:15:42,0.0,1.2942,60.0,0.0216,0.0
23,353280,train,2026-07-22 11:21:57,0.0,1.3537,60.0,0.0226,0.0
24,368640,train,2026-07-22 11:28:11,0.0039,1.4215,60.0,0.0237,0.0
25,368640,eval,2026-07-22 11:40:04,0.0104,4.5475,60.0,0.0758,0.0104
25,384000,train,2026-07-22 11:46:07,0.0,1.3989,60.0,0.0233,0.0
26,399360,train,2026-07-22 11:52:21,0.0,1.5981,60.0,0.0266,0.0
27,414720,train,2026-07-22 11:58:35,0.0078,1.6189,60.0,0.027,0.0
28,430080,train,2026-07-22 12:04:49,0.0,1.3566,60.0,0.0226,0.0
29,445440,train,2026-07-22 12:11:05,0.0039,1.5067,60.0,0.0251,0.0
30,460800,train,2026-07-22 12:17:21,0.0039,1.7794,60.0,0.0297,0.0
31,476160,train,2026-07-22 12:23:36,0.0,1.5771,60.0,0.0263,0.0
32,491520,train,2026-07-22 12:29:52,0.0,1.5409,60.0,0.0257,0.0
33,506880,train,2026-07-22 12:36:07,0.0,1.5712,60.0,0.0262,0.0
34,522240,train,2026-07-22 12:42:18,0.0,1.602,60.0,0.0267,0.0
35,537600,train,2026-07-22 12:48:33,0.0,1.3705,60.0,0.0228,0.0
36,552960,train,2026-07-22 12:54:49,0.0039,1.526,60.0,0.0254,0.0
37,568320,train,2026-07-22 13:00:52,0.0039,1.6699,60.0,0.0278,0.0
38,583680,train,2026-07-22 13:06:55,0.0,1.7484,60.0,0.0291,0.0
39,599040,train,2026-07-22 13:12:58,0.0039,1.3511,60.0,0.0225,0.0
40,614400,train,2026-07-22 13:19:05,0.0,1.5392,60.0,0.0257,0.0
41,629760,train,2026-07-22 13:25:16,0.0,1.6256,60.0,0.0271,0.0
42,645120,train,2026-07-22 13:31:20,0.0,1.5309,60.0,0.0255,0.0
43,660480,train,2026-07-22 13:37:26,0.0,1.7006,60.0,0.0283,0.0
44,675840,train,2026-07-22 13:43:28,0.0,1.52,60.0,0.0253,0.0
45,691200,train,2026-07-22 13:49:37,0.0,1.7976,60.0,0.03,0.0
46,706560,train,2026-07-22 13:55:45,0.0,1.3346,60.0,0.0222,0.0
47,721920,train,2026-07-22 14:01:45,0.0,1.5617,60.0,0.026,0.0
48,737280,train,2026-07-22 14:07:50,0.0,1.6234,60.0,0.0271,0.0
49,737280,eval,2026-07-22 14:20:12,0.1615,6.181,60.0,0.103,0.0104
49,752640,train,2026-07-22 14:26:15,0.0,1.6075,60.0,0.0268,0.0
50,768000,train,2026-07-22 14:32:30,0.0,1.5963,60.0,0.0266,0.0
51,783360,train,2026-07-22 14:38:45,0.0,1.57,60.0,0.0262,0.0
52,798720,train,2026-07-22 14:44:59,0.0039,1.3863,60.0,0.0231,0.0
53,814080,train,2026-07-22 14:51:14,0.0,1.6241,60.0,0.0271,0.0
54,829440,train,2026-07-22 14:57:30,0.0,1.6625,60.0,0.0277,0.0
55,844800,train,2026-07-22 15:03:45,0.0078,1.6488,60.0,0.0275,0.0
56,860160,train,2026-07-22 15:09:55,0.0,1.4994,60.0,0.025,0.0
57,875520,train,2026-07-22 15:16:11,0.0039,1.5613,60.0,0.026,0.0
58,890880,train,2026-07-22 15:22:26,0.0,1.6417,60.0,0.0274,0.0
59,906240,train,2026-07-22 15:28:42,0.0,1.7038,60.0,0.0284,0.0
60,921600,train,2026-07-22 15:34:55,0.0078,1.6252,60.0,0.0271,0.0
61,936960,train,2026-07-22 15:41:10,0.0039,1.7313,60.0,0.0289,0.0
62,952320,train,2026-07-22 15:47:25,0.0,1.6851,60.0,0.0281,0.0
63,967680,train,2026-07-22 15:53:37,0.0,1.4953,60.0,0.0249,0.0
64,983040,train,2026-07-22 15:59:51,0.0,1.659,60.0,0.0277,0.0
65,998400,train,2026-07-22 16:06:05,0.0078,1.7866,60.0,0.0298,0.0
66,1013760,train,2026-07-22 16:12:18,0.0,1.4429,60.0,0.024,0.0
67,1029120,train,2026-07-22 16:18:33,0.0117,1.7563,60.0,0.0293,0.0
68,1044480,train,2026-07-22 16:24:43,0.0,1.6072,60.0,0.0268,0.0
69,1059840,train,2026-07-22 16:30:58,0.0039,1.4829,60.0,0.0247,0.0
70,1075200,train,2026-07-22 16:37:13,0.0,1.68,60.0,0.028,0.0
71,1090560,train,2026-07-22 16:43:26,0.0,1.5167,60.0,0.0253,0.0
72,1105920,train,2026-07-22 16:49:39,0.0039,1.4615,60.0,0.0244,0.0
73,1105920,eval,2026-07-22 17:01:24,0.1458,5.2294,60.0,0.0872,0.0208
73,1121280,train,2026-07-22 17:07:28,0.0039,1.5274,60.0,0.0255,0.0
74,1136640,train,2026-07-22 17:13:42,0.0039,1.4822,60.0,0.0247,0.0
75,1152000,train,2026-07-22 17:19:56,0.0,1.8504,60.0,0.0308,0.0
76,1167360,train,2026-07-22 17:26:10,0.0,1.5545,60.0,0.0259,0.0
77,1182720,train,2026-07-22 17:32:17,0.0039,1.608,60.0,0.0268,0.0
78,1198080,train,2026-07-22 17:38:31,0.0,1.821,60.0,0.0303,0.0
79,1213440,train,2026-07-22 17:44:44,0.0039,1.6961,60.0,0.0283,0.0039
80,1228800,train,2026-07-22 17:50:55,0.0039,1.6676,60.0,0.0278,0.0
81,1244160,train,2026-07-22 17:57:07,0.0,1.7008,60.0,0.0283,0.0
82,1259520,train,2026-07-22 18:03:21,0.0,1.6568,60.0,0.0276,0.0
83,1274880,train,2026-07-22 18:09:34,0.0,1.5153,60.0,0.0253,0.0
84,1290240,train,2026-07-22 18:15:49,0.0,1.6797,60.0,0.028,0.0
85,1305600,train,2026-07-22 18:22:03,0.0078,1.8244,60.0,0.0304,0.0
86,1320960,train,2026-07-22 18:28:17,0.0039,1.8149,60.0,0.0302,0.0
87,1336320,train,2026-07-22 18:34:32,0.0,1.8071,60.0,0.0301,0.0
88,1351680,train,2026-07-22 18:40:45,0.0156,1.5966,60.0,0.0266,0.0
89,1367040,train,2026-07-22 18:46:56,0.0,1.7973,60.0,0.03,0.0
90,1382400,train,2026-07-22 18:53:11,0.0,1.5921,60.0,0.0265,0.0
91,1397760,train,2026-07-22 18:59:22,0.0,1.3626,60.0,0.0227,0.0
92,1413120,train,2026-07-22 19:05:35,0.0,1.4191,60.0,0.0237,0.0
93,1428480,train,2026-07-22 19:11:46,0.0039,1.6818,60.0,0.028,0.0
94,1443840,train,2026-07-22 19:18:00,0.0039,1.6193,60.0,0.027,0.0
95,1459200,train,2026-07-22 19:24:14,0.0,1.4288,60.0,0.0238,0.0
96,1474560,train,2026-07-22 19:30:27,0.0,1.7381,60.0,0.029,0.0
