iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-20 14:45:20,0.0,9.9418,60.0,0.1657,0.0
1,15360,train,2026-07-20 14:46:10,0.0,0.0845,60.0,0.0014,0.0
2,30720,train,2026-07-20 14:47:02,0.0,0.0926,60.0,0.0015,0.0
3,46080,train,2026-07-20 14:47:54,0.0,0.067,60.0,0.0011,0.0
4,61440,train,2026-07-20 14:48:47,0.0,0.1172,60.0,0.002,0.0
5,76800,train,2026-07-20 14:49:41,0.0,0.1234,60.0,0.0021,0.0
6,92160,train,2026-07-20 14:50:33,0.0,0.2137,60.0,0.0036,0.0
7,107520,train,2026-07-20 14:51:26,0.0,0.3551,60.0,0.0059,0.0
8,122880,train,2026-07-20 14:52:19,0.0,0.3802,60.0,0.0063,0.0
9,138240,train,2026-07-20 14:53:12,0.0,0.5523,60.0,0.0092,0.0
10,153600,train,2026-07-20 14:54:05,0.0,0.7132,60.0,0.0119,0.0
11,168960,train,2026-07-20 14:54:59,0.0,0.8435,60.0,0.0141,0.0
12,184320,train,2026-07-20 14:55:52,0.0,0.9239,60.0,0.0154,0.0
13,199680,train,2026-07-20 14:56:45,0.0039,1.0529,60.0,0.0175,0.0
14,215040,train,2026-07-20 14:57:38,0.0,1.0433,60.0,0.0174,0.0
15,230400,train,2026-07-20 14:58:33,0.0,1.3485,60.0,0.0225,0.0
16,245760,train,2026-07-20 14:59:26,0.0,1.3597,60.0,0.0227,0.0
17,261120,train,2026-07-20 15:00:20,0.0039,1.3027,60.0,0.0217,0.0039
18,276480,train,2026-07-20 15:01:18,0.0039,1.5061,60.0,0.0251,0.0
19,291840,train,2026-07-20 15:02:12,0.0,1.5082,60.0,0.0251,0.0
20,307200,train,2026-07-20 15:03:06,0.0039,1.6214,60.0,0.027,0.0
21,322560,train,2026-07-20 15:04:00,0.0039,1.3308,60.0,0.0222,0.0
22,337920,train,2026-07-20 15:04:54,0.0,1.5149,60.0,0.0252,0.0
23,353280,train,2026-07-20 15:05:48,0.0039,1.3333,60.0,0.0222,0.0039
24,368640,train,2026-07-20 15:06:43,0.0,1.5782,60.0,0.0263,0.0
25,368640,eval,2026-07-20 15:08:55,0.2448,7.1292,60.0,0.1188,0.1667
25,384000,train,2026-07-20 15:09:47,0.0,1.4655,60.0,0.0244,0.0
26,399360,train,2026-07-20 15:10:41,0.0,1.4314,60.0,0.0239,0.0
27,414720,train,2026-07-20 15:11:35,0.0039,1.4107,60.0,0.0235,0.0
28,430080,train,2026-07-20 15:12:29,0.0039,1.4302,60.0,0.0238,0.0
29,445440,train,2026-07-20 15:13:23,0.0039,1.4431,60.0,0.0241,0.0
30,460800,train,2026-07-20 15:14:17,0.0,1.4423,60.0,0.024,0.0
31,476160,train,2026-07-20 15:15:11,0.0,1.3214,60.0,0.022,0.0
32,491520,train,2026-07-20 15:16:05,0.0,1.4452,60.0,0.0241,0.0
33,506880,train,2026-07-20 15:16:59,0.0,1.4765,60.0,0.0246,0.0
34,522240,train,2026-07-20 15:17:53,0.0,1.3536,60.0,0.0226,0.0
35,537600,train,2026-07-20 15:18:47,0.0,1.4882,60.0,0.0248,0.0
36,552960,train,2026-07-20 15:19:41,0.0,1.4999,60.0,0.025,0.0
37,568320,train,2026-07-20 15:20:35,0.0039,1.3923,60.0,0.0232,0.0
38,583680,train,2026-07-20 15:21:29,0.0039,1.6671,60.0,0.0278,0.0
39,599040,train,2026-07-20 15:22:23,0.0039,1.3903,60.0,0.0232,0.0
40,614400,train,2026-07-20 15:23:17,0.0,1.2655,60.0,0.0211,0.0
41,629760,train,2026-07-20 15:24:11,0.0,1.3938,60.0,0.0232,0.0
42,645120,train,2026-07-20 15:25:06,0.0,1.543,60.0,0.0257,0.0
43,660480,train,2026-07-20 15:25:59,0.0,1.5381,60.0,0.0256,0.0
44,675840,train,2026-07-20 15:26:53,0.0,1.6918,60.0,0.0282,0.0
45,691200,train,2026-07-20 15:27:48,0.0,1.2409,60.0,0.0207,0.0
46,706560,train,2026-07-20 15:28:41,0.0,1.3913,60.0,0.0232,0.0
47,721920,train,2026-07-20 15:29:35,0.0039,1.5903,60.0,0.0265,0.0
48,737280,train,2026-07-20 15:30:29,0.0039,1.397,60.0,0.0233,0.0
49,737280,eval,2026-07-20 15:32:40,0.125,7.2087,60.0,0.1201,0.0156
49,752640,train,2026-07-20 15:33:32,0.0,1.6264,60.0,0.0271,0.0
50,768000,train,2026-07-20 15:34:26,0.0,1.345,60.0,0.0224,0.0
51,783360,train,2026-07-20 15:35:20,0.0,1.3858,60.0,0.0231,0.0
52,798720,train,2026-07-20 15:36:14,0.0,1.3726,60.0,0.0229,0.0
53,814080,train,2026-07-20 15:37:08,0.0,1.4688,60.0,0.0245,0.0
54,829440,train,2026-07-20 15:38:02,0.0039,1.5084,60.0,0.0251,0.0
55,844800,train,2026-07-20 15:38:57,0.0,1.6576,60.0,0.0276,0.0
56,860160,train,2026-07-20 15:39:51,0.0,1.7894,60.0,0.0298,0.0
57,875520,train,2026-07-20 15:40:45,0.0039,1.3667,60.0,0.0228,0.0
58,890880,train,2026-07-20 15:41:39,0.0,1.7065,60.0,0.0284,0.0
59,906240,train,2026-07-20 15:42:33,0.0039,1.4608,60.0,0.0243,0.0
60,921600,train,2026-07-20 15:43:27,0.0,1.7651,60.0,0.0294,0.0
61,936960,train,2026-07-20 15:44:20,0.0,1.5731,60.0,0.0262,0.0
62,952320,train,2026-07-20 15:45:14,0.0,1.2818,60.0,0.0214,0.0
