iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-08 02:57:45,0.0,9.545,60.0,0.1591,0.0
1,15360,train,2026-07-08 02:58:07,0.0,0.0695,60.0,0.0012,0.0
2,30720,train,2026-07-08 02:59:03,0.0,0.0804,60.0,0.0013,0.0
3,46080,train,2026-07-08 03:00:00,0.0,0.0771,60.0,0.0013,0.0
4,61440,train,2026-07-08 03:00:57,0.0,0.13,60.0,0.0022,0.0
5,76800,train,2026-07-08 03:01:54,0.0,0.1928,60.0,0.0032,0.0
6,92160,train,2026-07-08 03:02:52,0.0,0.2751,60.0,0.0046,0.0
7,107520,train,2026-07-08 03:03:49,0.0,0.2845,60.0,0.0047,0.0
8,122880,train,2026-07-08 03:04:46,0.0,0.4317,60.0,0.0072,0.0
9,138240,train,2026-07-08 03:05:44,0.0,0.5492,60.0,0.0092,0.0
10,153600,train,2026-07-08 03:06:42,0.0039,0.7336,60.0,0.0122,0.0
11,168960,train,2026-07-08 03:07:39,0.0,0.7928,60.0,0.0132,0.0
12,184320,train,2026-07-08 03:08:37,0.0,0.8791,60.0,0.0147,0.0
13,199680,train,2026-07-08 03:09:34,0.0,1.1219,60.0,0.0187,0.0
14,215040,train,2026-07-08 03:10:32,0.0,1.2098,60.0,0.0202,0.0
15,230400,train,2026-07-08 03:11:30,0.0,1.1774,60.0,0.0196,0.0
16,245760,train,2026-07-08 03:12:28,0.0039,1.2119,60.0,0.0202,0.0
17,261120,train,2026-07-08 03:13:25,0.0039,1.4099,60.0,0.0235,0.0
18,276480,train,2026-07-08 03:14:23,0.0,1.5961,60.0,0.0266,0.0
19,291840,train,2026-07-08 03:15:21,0.0039,1.5848,60.0,0.0264,0.0
20,307200,train,2026-07-08 03:16:19,0.0039,1.475,60.0,0.0246,0.0
21,322560,train,2026-07-08 03:17:17,0.0,1.6226,60.0,0.027,0.0
22,337920,train,2026-07-08 03:18:15,0.0,1.5459,60.0,0.0258,0.0
23,353280,train,2026-07-08 03:19:13,0.0,1.81,60.0,0.0302,0.0
24,368640,train,2026-07-08 03:20:11,0.0078,1.598,60.0,0.0266,0.0
25,368640,eval,2026-07-08 03:22:35,0.1042,4.4307,60.0,0.0738,0.0312
25,384000,train,2026-07-08 03:22:58,0.0039,1.5425,60.0,0.0257,0.0
26,399360,train,2026-07-08 03:23:55,0.0,1.2941,60.0,0.0216,0.0
27,414720,train,2026-07-08 03:24:53,0.0078,1.6171,60.0,0.027,0.0
28,430080,train,2026-07-08 03:25:51,0.0,1.8237,60.0,0.0304,0.0
29,445440,train,2026-07-08 03:26:49,0.0,1.8032,60.0,0.0301,0.0
30,460800,train,2026-07-08 03:27:47,0.0039,1.8119,60.0,0.0302,0.0
31,476160,train,2026-07-08 03:28:45,0.0,1.8929,60.0,0.0315,0.0
32,491520,train,2026-07-08 03:29:43,0.0039,1.9933,60.0,0.0332,0.0
33,506880,train,2026-07-08 03:30:41,0.0,1.7424,60.0,0.029,0.0
34,522240,train,2026-07-08 03:31:39,0.0039,2.034,60.0,0.0339,0.0
35,537600,train,2026-07-08 03:32:37,0.0039,1.923,60.0,0.0321,0.0
36,552960,train,2026-07-08 03:33:35,0.0,1.9152,60.0,0.0319,0.0
37,568320,train,2026-07-08 03:34:33,0.0039,2.1174,60.0,0.0353,0.0
38,583680,train,2026-07-08 03:35:31,0.0039,1.8375,60.0,0.0306,0.0
39,599040,train,2026-07-08 03:36:29,0.0,1.9163,60.0,0.0319,0.0
40,614400,train,2026-07-08 03:37:27,0.0039,1.8558,60.0,0.0309,0.0
41,629760,train,2026-07-08 03:38:25,0.0,1.9895,60.0,0.0332,0.0
42,645120,train,2026-07-08 03:39:23,0.0039,1.7627,60.0,0.0294,0.0
43,660480,train,2026-07-08 03:40:21,0.0,2.0384,60.0,0.034,0.0
