iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-25 04:51:19,0.0,9.7257,60.0,0.1621,0.0
1,15360,train,2026-06-25 04:51:41,0.0,0.0747,60.0,0.0012,0.0
2,30720,train,2026-06-25 04:52:39,0.0,0.0917,60.0,0.0015,0.0
3,46080,train,2026-06-25 04:53:38,0.0,0.1361,60.0,0.0023,0.0
4,61440,train,2026-06-25 04:54:37,0.0,0.2566,60.0,0.0043,0.0
5,76800,train,2026-06-25 04:55:36,0.0,0.4068,60.0,0.0068,0.0
6,92160,train,2026-06-25 04:56:36,0.0,0.5675,60.0,0.0095,0.0
7,107520,train,2026-06-25 04:57:36,0.0,0.5947,60.0,0.0099,0.0
8,122880,train,2026-06-25 04:58:36,0.0,0.9576,60.0,0.016,0.0
9,138240,train,2026-06-25 04:59:36,0.0039,0.8599,60.0,0.0143,0.0
10,153600,train,2026-06-25 05:00:35,0.0,0.9638,60.0,0.0161,0.0
11,168960,train,2026-06-25 05:01:35,0.0,1.2354,60.0,0.0206,0.0
12,184320,train,2026-06-25 05:02:35,0.0,1.2408,60.0,0.0207,0.0
13,199680,train,2026-06-25 05:03:35,0.0039,1.3393,60.0,0.0223,0.0
14,215040,train,2026-06-25 05:04:35,0.0,1.303,60.0,0.0217,0.0
15,230400,train,2026-06-25 05:05:35,0.0,1.3675,60.0,0.0228,0.0
16,245760,train,2026-06-25 05:06:35,0.0,1.3684,60.0,0.0228,0.0
17,261120,train,2026-06-25 05:07:35,0.0,1.4786,60.0,0.0246,0.0
18,276480,train,2026-06-25 05:08:36,0.0,1.6021,60.0,0.0267,0.0
19,291840,train,2026-06-25 05:09:36,0.0,1.5054,60.0,0.0251,0.0
20,307200,train,2026-06-25 05:10:36,0.0039,1.4393,60.0,0.024,0.0
21,322560,train,2026-06-25 05:11:36,0.0,1.5681,60.0,0.0261,0.0
22,337920,train,2026-06-25 05:12:36,0.0,1.5475,60.0,0.0258,0.0
23,353280,train,2026-06-25 05:13:37,0.0,1.3567,60.0,0.0226,0.0
24,368640,train,2026-06-25 05:14:37,0.0,1.3525,60.0,0.0225,0.0
25,368640,eval,2026-06-25 05:17:01,0.0208,4.7489,60.0,0.0791,0.0
25,384000,train,2026-06-25 05:17:24,0.0,1.3634,60.0,0.0227,0.0
26,399360,train,2026-06-25 05:18:23,0.0,1.6139,60.0,0.0269,0.0
27,414720,train,2026-06-25 05:19:23,0.0,1.6354,60.0,0.0273,0.0
28,430080,train,2026-06-25 05:20:23,0.0078,1.4446,60.0,0.0241,0.0
29,445440,train,2026-06-25 05:21:23,0.0,1.2907,60.0,0.0215,0.0
30,460800,train,2026-06-25 05:22:23,0.0039,1.6104,60.0,0.0268,0.0
31,476160,train,2026-06-25 05:23:23,0.0039,1.4724,60.0,0.0245,0.0
32,491520,train,2026-06-25 05:24:23,0.0,1.273,60.0,0.0212,0.0
33,506880,train,2026-06-25 05:25:23,0.0,1.357,60.0,0.0226,0.0
34,522240,train,2026-06-25 05:26:23,0.0039,1.3311,60.0,0.0222,0.0
35,537600,train,2026-06-25 05:27:23,0.0039,1.332,60.0,0.0222,0.0
36,552960,train,2026-06-25 05:28:23,0.0,1.1785,60.0,0.0196,0.0
37,568320,train,2026-06-25 05:29:23,0.0,1.5925,60.0,0.0265,0.0
38,583680,train,2026-06-25 05:30:23,0.0,1.3569,60.0,0.0226,0.0
39,599040,train,2026-06-25 05:31:23,0.0,1.4952,60.0,0.0249,0.0
40,614400,train,2026-06-25 05:32:23,0.0039,1.6377,60.0,0.0273,0.0
41,629760,train,2026-06-25 05:33:23,0.0,1.4472,60.0,0.0241,0.0
42,645120,train,2026-06-25 05:34:23,0.0,1.9022,60.0,0.0317,0.0
43,660480,train,2026-06-25 05:35:23,0.0,1.5715,60.0,0.0262,0.0
44,675840,train,2026-06-25 05:36:23,0.0,1.5735,60.0,0.0262,0.0
45,691200,train,2026-06-25 05:37:23,0.0,1.4364,60.0,0.0239,0.0
46,706560,train,2026-06-25 05:38:23,0.0039,1.611,60.0,0.0269,0.0
47,721920,train,2026-06-25 05:39:24,0.0,1.5809,60.0,0.0263,0.0
48,737280,train,2026-06-25 05:40:24,0.0,1.5189,60.0,0.0253,0.0
49,737280,eval,2026-06-25 05:42:53,0.1042,4.6599,60.0,0.0777,0.0573
49,752640,train,2026-06-25 05:43:15,0.0,1.3205,60.0,0.022,0.0
50,768000,train,2026-06-25 05:44:15,0.0,1.4598,60.0,0.0243,0.0
51,783360,train,2026-06-25 05:45:14,0.0,1.56,60.0,0.026,0.0
52,798720,train,2026-06-25 05:46:14,0.0,1.5319,60.0,0.0255,0.0
53,814080,train,2026-06-25 05:47:14,0.0,1.3792,60.0,0.023,0.0
54,829440,train,2026-06-25 05:48:15,0.0,1.447,60.0,0.0241,0.0
55,844800,train,2026-06-25 05:49:15,0.0,1.4782,60.0,0.0246,0.0
56,860160,train,2026-06-25 05:50:15,0.0039,1.4919,60.0,0.0249,0.0
57,875520,train,2026-06-25 05:51:15,0.0039,1.4393,60.0,0.024,0.0
58,890880,train,2026-06-25 05:52:15,0.0,1.4718,60.0,0.0245,0.0
59,906240,train,2026-06-25 05:53:15,0.0,1.549,60.0,0.0258,0.0
60,921600,train,2026-06-25 05:54:15,0.0,1.6356,60.0,0.0273,0.0
61,936960,train,2026-06-25 05:55:16,0.0,1.7454,60.0,0.0291,0.0
62,952320,train,2026-06-25 05:56:16,0.0,1.7192,60.0,0.0287,0.0
63,967680,train,2026-06-25 05:57:16,0.0039,1.7285,60.0,0.0288,0.0
64,983040,train,2026-06-25 05:58:16,0.0,1.6438,60.0,0.0274,0.0
65,998400,train,2026-06-25 05:59:16,0.0,1.6936,60.0,0.0282,0.0
66,1013760,train,2026-06-25 06:00:16,0.0,1.7094,60.0,0.0285,0.0
67,1029120,train,2026-06-25 06:01:16,0.0,1.7807,60.0,0.0297,0.0
68,1044480,train,2026-06-25 06:02:16,0.0,1.668,60.0,0.0278,0.0
69,1059840,train,2026-06-25 06:03:16,0.0039,1.5269,60.0,0.0254,0.0
70,1075200,train,2026-06-25 06:04:16,0.0039,1.3348,60.0,0.0222,0.0
71,1090560,train,2026-06-25 06:05:16,0.0,1.5617,60.0,0.026,0.0
72,1105920,train,2026-06-25 06:06:16,0.0,1.1718,60.0,0.0195,0.0
73,1105920,eval,2026-06-25 06:08:44,0.1146,2.8887,60.0,0.0481,0.0
73,1121280,train,2026-06-25 06:09:07,0.0039,1.3338,60.0,0.0222,0.0
74,1136640,train,2026-06-25 06:10:06,0.0039,1.4147,60.0,0.0236,0.0
75,1152000,train,2026-06-25 06:11:06,0.0039,1.283,60.0,0.0214,0.0
76,1167360,train,2026-06-25 06:12:06,0.0039,1.377,60.0,0.023,0.0
77,1182720,train,2026-06-25 06:13:06,0.0,1.2912,60.0,0.0215,0.0
78,1198080,train,2026-06-25 06:14:06,0.0,1.4001,60.0,0.0233,0.0
79,1213440,train,2026-06-25 06:15:07,0.0,1.4741,60.0,0.0246,0.0
80,1228800,train,2026-06-25 06:16:07,0.0039,1.2591,60.0,0.021,0.0
81,1244160,train,2026-06-25 06:17:07,0.0,1.4635,60.0,0.0244,0.0
82,1259520,train,2026-06-25 06:18:08,0.0,1.437,60.0,0.0239,0.0
83,1274880,train,2026-06-25 06:19:08,0.0,1.3431,60.0,0.0224,0.0
84,1290240,train,2026-06-25 06:20:08,0.0,1.2494,60.0,0.0208,0.0
85,1305600,train,2026-06-25 06:21:08,0.0,1.3333,60.0,0.0222,0.0
86,1320960,train,2026-06-25 06:22:09,0.0,1.5754,60.0,0.0263,0.0
87,1336320,train,2026-06-25 06:23:09,0.0039,1.375,60.0,0.0229,0.0
88,1351680,train,2026-06-25 06:24:09,0.0,1.5667,60.0,0.0261,0.0
89,1367040,train,2026-06-25 06:25:10,0.0,1.5309,60.0,0.0255,0.0
90,1382400,train,2026-06-25 06:26:10,0.0,1.6209,60.0,0.027,0.0
91,1397760,train,2026-06-25 06:27:10,0.0039,1.4533,60.0,0.0242,0.0
92,1413120,train,2026-06-25 06:28:11,0.0,1.6099,60.0,0.0268,0.0
93,1428480,train,2026-06-25 06:29:11,0.0,1.8107,60.0,0.0302,0.0
94,1443840,train,2026-06-25 06:30:11,0.0,1.52,60.0,0.0253,0.0
95,1459200,train,2026-06-25 06:31:12,0.0039,1.5503,60.0,0.0258,0.0
96,1474560,train,2026-06-25 06:32:12,0.0039,1.6328,60.0,0.0272,0.0
97,1474560,eval,2026-06-25 06:34:41,0.099,3.4925,60.0,0.0582,0.0104
97,1489920,train,2026-06-25 06:35:04,0.0,1.6192,60.0,0.027,0.0
98,1505280,train,2026-06-25 06:36:03,0.0039,1.7423,60.0,0.029,0.0
99,1520640,train,2026-06-25 06:37:03,0.0,1.5795,60.0,0.0263,0.0
100,1536000,train,2026-06-25 06:38:04,0.0039,1.6073,60.0,0.0268,0.0
