iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-28 01:12:46,0.0,9.6034,60.0,0.1601,0.0
1,15360,train,2026-06-28 01:13:08,0.0,0.0848,60.0,0.0014,0.0
2,30720,train,2026-06-28 01:14:08,0.0,0.119,60.0,0.002,0.0
3,46080,train,2026-06-28 01:15:06,0.0,0.1079,60.0,0.0018,0.0
4,61440,train,2026-06-28 01:16:04,0.0,0.1507,60.0,0.0025,0.0
5,76800,train,2026-06-28 01:17:03,0.0,0.2006,60.0,0.0033,0.0
6,92160,train,2026-06-28 01:18:02,0.0,0.1906,60.0,0.0032,0.0
7,107520,train,2026-06-28 01:19:01,0.0,0.2817,60.0,0.0047,0.0
8,122880,train,2026-06-28 01:20:00,0.0,0.4157,60.0,0.0069,0.0
9,138240,train,2026-06-28 01:20:59,0.0,0.4901,60.0,0.0082,0.0
10,153600,train,2026-06-28 01:21:59,0.0,0.8875,60.0,0.0148,0.0
11,168960,train,2026-06-28 01:22:58,0.0039,0.8101,60.0,0.0135,0.0
12,184320,train,2026-06-28 01:23:57,0.0,0.9713,60.0,0.0162,0.0
13,199680,train,2026-06-28 01:24:57,0.0039,1.1888,60.0,0.0198,0.0
14,215040,train,2026-06-28 01:25:56,0.0,1.4175,60.0,0.0236,0.0
15,230400,train,2026-06-28 01:26:56,0.0,1.3931,60.0,0.0232,0.0
16,245760,train,2026-06-28 01:27:55,0.0,1.4195,60.0,0.0237,0.0
17,261120,train,2026-06-28 01:28:55,0.0,1.5782,60.0,0.0263,0.0
18,276480,train,2026-06-28 01:29:55,0.0,1.8168,60.0,0.0303,0.0
19,291840,train,2026-06-28 01:30:54,0.0039,1.5199,60.0,0.0253,0.0
20,307200,train,2026-06-28 01:31:54,0.0039,1.7394,60.0,0.029,0.0
21,322560,train,2026-06-28 01:32:54,0.0039,1.7827,60.0,0.0297,0.0
22,337920,train,2026-06-28 01:33:54,0.0039,1.5512,60.0,0.0259,0.0
23,353280,train,2026-06-28 01:34:53,0.0,1.5327,60.0,0.0255,0.0
24,368640,train,2026-06-28 01:35:53,0.0,1.6844,60.0,0.0281,0.0
25,368640,eval,2026-06-28 01:38:21,0.2552,4.3441,60.0,0.0724,0.0625
25,384000,train,2026-06-28 01:38:44,0.0,1.9421,60.0,0.0324,0.0
26,399360,train,2026-06-28 01:39:43,0.0039,1.7935,60.0,0.0299,0.0
27,414720,train,2026-06-28 01:40:42,0.0,1.7716,60.0,0.0295,0.0
