iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-15 05:13:21,0.0,8.8979,60.0,0.1483,0.0
1,15360,train,2026-07-15 05:13:42,0.0,0.0874,60.0,0.0015,0.0
2,30720,train,2026-07-15 05:14:41,0.0,0.1747,60.0,0.0029,0.0
3,46080,train,2026-07-15 05:15:08,0.0,0.1518,60.0,0.0025,0.0
4,61440,train,2026-07-15 05:16:07,0.0,0.234,60.0,0.0039,0.0
5,76800,train,2026-07-15 05:17:07,0.0,0.3188,60.0,0.0053,0.0
6,92160,train,2026-07-15 05:18:06,0.0,0.3582,60.0,0.006,0.0
7,107520,train,2026-07-15 05:19:05,0.0,0.4424,60.0,0.0074,0.0
8,122880,train,2026-07-15 05:20:05,0.0,0.6529,60.0,0.0109,0.0
9,138240,train,2026-07-15 05:21:06,0.0,0.6997,60.0,0.0117,0.0
10,153600,train,2026-07-15 05:22:07,0.0,1.03,60.0,0.0172,0.0
11,168960,train,2026-07-15 05:23:07,0.0,1.0245,60.0,0.0171,0.0
12,184320,train,2026-07-15 05:24:08,0.0,1.2833,60.0,0.0214,0.0
13,199680,train,2026-07-15 05:25:08,0.0,1.1404,60.0,0.019,0.0
14,215040,train,2026-07-15 05:26:09,0.0,1.2549,60.0,0.0209,0.0
15,230400,train,2026-07-15 05:27:10,0.0078,1.4161,60.0,0.0236,0.0
16,245760,train,2026-07-15 05:28:11,0.0,1.5836,60.0,0.0264,0.0
17,261120,train,2026-07-15 05:29:11,0.0,1.6879,60.0,0.0281,0.0
18,276480,train,2026-07-15 05:29:50,0.0,1.4228,60.0,0.0237,0.0
19,291840,train,2026-07-15 05:30:50,0.0,1.7479,60.0,0.0291,0.0
20,307200,train,2026-07-15 05:31:50,0.0,1.5628,60.0,0.026,0.0
21,322560,train,2026-07-15 05:32:50,0.0,1.653,60.0,0.0276,0.0
22,337920,train,2026-07-15 05:33:50,0.0,1.7851,60.0,0.0298,0.0
23,353280,train,2026-07-15 05:34:50,0.0,1.8436,60.0,0.0307,0.0
24,368640,train,2026-07-15 05:35:50,0.0,1.8614,60.0,0.031,0.0
25,368640,eval,2026-07-15 05:38:14,0.1771,6.9516,60.0,0.1159,0.0573
25,384000,train,2026-07-15 05:38:37,0.0039,1.8094,60.0,0.0302,0.0
26,399360,train,2026-07-15 05:39:36,0.0,1.5775,60.0,0.0263,0.0
27,414720,train,2026-07-15 05:40:08,0.0,1.4914,60.0,0.0249,0.0
28,430080,train,2026-07-15 05:41:07,0.0039,2.0854,60.0,0.0348,0.0
29,445440,train,2026-07-15 05:42:07,0.0,2.1133,60.0,0.0352,0.0
30,460800,train,2026-07-15 05:43:07,0.0,1.8289,60.0,0.0305,0.0
31,476160,train,2026-07-15 05:44:07,0.0078,1.8057,60.0,0.0301,0.0
32,491520,train,2026-07-15 05:45:07,0.0078,1.9734,60.0,0.0329,0.0039
33,506880,train,2026-07-15 05:46:07,0.0,1.979,60.0,0.033,0.0
34,522240,train,2026-07-15 05:47:07,0.0,1.9131,60.0,0.0319,0.0
35,537600,train,2026-07-15 05:48:07,0.0,1.6424,60.0,0.0274,0.0
36,552960,train,2026-07-15 05:49:07,0.0039,1.5488,60.0,0.0258,0.0
37,568320,train,2026-07-15 05:50:07,0.0,1.7154,60.0,0.0286,0.0
38,583680,train,2026-07-15 05:51:06,0.0039,1.7211,60.0,0.0287,0.0
39,599040,train,2026-07-15 05:52:06,0.0,1.9119,60.0,0.0319,0.0
40,614400,train,2026-07-15 05:53:06,0.0,1.8592,60.0,0.031,0.0
41,629760,train,2026-07-15 05:54:06,0.0039,1.7488,60.0,0.0291,0.0
42,645120,train,2026-07-15 05:55:06,0.0,1.9228,60.0,0.032,0.0
43,660480,train,2026-07-15 05:56:06,0.0039,1.8512,60.0,0.0309,0.0
44,675840,train,2026-07-15 05:57:06,0.0,1.9743,60.0,0.0329,0.0
45,691200,train,2026-07-15 05:58:06,0.0,1.985,60.0,0.0331,0.0
46,706560,train,2026-07-15 05:59:06,0.0,1.8465,60.0,0.0308,0.0
47,721920,train,2026-07-15 06:00:06,0.0,1.9942,60.0,0.0332,0.0
48,737280,train,2026-07-15 06:01:06,0.0,1.8427,60.0,0.0307,0.0
49,737280,eval,2026-07-15 06:03:28,0.0833,4.5616,60.0,0.076,0.0
49,752640,train,2026-07-15 06:03:50,0.0,2.0417,60.0,0.034,0.0
50,768000,train,2026-07-15 06:04:21,0.0,1.9656,60.0,0.0328,0.0
51,783360,train,2026-07-15 06:05:20,0.0039,2.0269,60.0,0.0338,0.0
52,798720,train,2026-07-15 06:06:20,0.0,2.0388,60.0,0.034,0.0
53,814080,train,2026-07-15 06:07:19,0.0,1.9924,60.0,0.0332,0.0
54,829440,train,2026-07-15 06:08:19,0.0,1.9819,60.0,0.033,0.0
55,844800,train,2026-07-15 06:09:19,0.0039,1.8237,60.0,0.0304,0.0
56,860160,train,2026-07-15 06:10:19,0.0,1.7786,60.0,0.0296,0.0
57,875520,train,2026-07-15 06:11:19,0.0,1.9764,60.0,0.0329,0.0
58,890880,train,2026-07-15 06:12:18,0.0,1.6717,60.0,0.0279,0.0
59,906240,train,2026-07-15 06:13:18,0.0039,1.6465,60.0,0.0274,0.0
60,921600,train,2026-07-15 06:14:18,0.0,1.7882,60.0,0.0298,0.0
61,936960,train,2026-07-15 06:15:18,0.0,1.8831,60.0,0.0314,0.0
62,952320,train,2026-07-15 06:16:18,0.0,1.9656,60.0,0.0328,0.0
63,967680,train,2026-07-15 06:17:18,0.0,1.9056,60.0,0.0318,0.0
