iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-22 09:46:35,0.0,9.9437,60.0,0.1657,0.0
1,15360,train,2026-06-22 09:47:17,0.0,0.0831,60.0,0.0014,0.0
2,30720,train,2026-06-22 09:47:59,0.0,0.0903,60.0,0.0015,0.0
3,46080,train,2026-06-22 09:48:41,0.0,0.0553,60.0,0.0009,0.0
4,61440,train,2026-06-22 09:49:23,0.0,0.0908,60.0,0.0015,0.0
5,76800,train,2026-06-22 09:50:05,0.0,0.1646,60.0,0.0027,0.0
6,92160,train,2026-06-22 09:50:48,0.0,0.2667,60.0,0.0044,0.0
7,107520,train,2026-06-22 09:51:30,0.0,0.4194,60.0,0.007,0.0
8,122880,train,2026-06-22 09:52:13,0.0,0.621,60.0,0.0103,0.0
9,138240,train,2026-06-22 09:52:55,0.0,0.8016,60.0,0.0134,0.0
10,153600,train,2026-06-22 09:53:38,0.0,0.9511,60.0,0.0159,0.0
11,168960,train,2026-06-22 09:54:21,0.0,1.0482,60.0,0.0175,0.0
12,184320,train,2026-06-22 09:55:04,0.0,1.2618,60.0,0.021,0.0
13,199680,train,2026-06-22 09:55:47,0.0,1.1993,60.0,0.02,0.0
14,215040,train,2026-06-22 09:56:29,0.0039,1.2196,60.0,0.0203,0.0
15,230400,train,2026-06-22 09:57:12,0.0,1.5313,60.0,0.0255,0.0
16,245760,train,2026-06-22 09:57:55,0.0,1.4855,60.0,0.0248,0.0
17,261120,train,2026-06-22 09:58:38,0.0078,1.4285,60.0,0.0238,0.0
18,276480,train,2026-06-22 09:59:20,0.0,1.5765,60.0,0.0263,0.0
19,291840,train,2026-06-22 10:00:03,0.0,1.4264,60.0,0.0238,0.0
20,307200,train,2026-06-22 10:00:46,0.0,1.7451,60.0,0.0291,0.0
21,322560,train,2026-06-22 10:01:29,0.0,1.6768,60.0,0.0279,0.0
22,337920,train,2026-06-22 10:02:12,0.0,1.5373,60.0,0.0256,0.0
23,353280,train,2026-06-22 10:02:55,0.0,1.71,60.0,0.0285,0.0
24,368640,train,2026-06-22 10:03:38,0.0,1.6886,60.0,0.0281,0.0
25,368640,eval,2026-06-22 10:05:40,0.1042,4.1609,60.0,0.0693,0.0677
25,384000,train,2026-06-22 10:06:22,0.0039,1.7486,60.0,0.0291,0.0
26,399360,train,2026-06-22 10:07:05,0.0,1.4958,60.0,0.0249,0.0
27,414720,train,2026-06-22 10:07:48,0.0,1.5979,60.0,0.0266,0.0
28,430080,train,2026-06-22 10:08:31,0.0039,1.8015,60.0,0.03,0.0
29,445440,train,2026-06-22 10:09:13,0.0,1.8605,60.0,0.031,0.0
30,460800,train,2026-06-22 10:09:56,0.0,1.6781,60.0,0.028,0.0
31,476160,train,2026-06-22 10:10:39,0.0,1.7007,60.0,0.0283,0.0
32,491520,train,2026-06-22 10:11:22,0.0039,1.7771,60.0,0.0296,0.0
33,506880,train,2026-06-22 10:12:05,0.0,1.444,60.0,0.0241,0.0
34,522240,train,2026-06-22 10:12:48,0.0039,1.7655,60.0,0.0294,0.0
35,537600,train,2026-06-22 10:13:32,0.0,1.7606,60.0,0.0293,0.0
36,552960,train,2026-06-22 10:14:15,0.0039,1.9178,60.0,0.032,0.0
37,568320,train,2026-06-22 10:14:58,0.0,1.8762,60.0,0.0313,0.0
38,583680,train,2026-06-22 10:15:40,0.0039,1.9086,60.0,0.0318,0.0
39,599040,train,2026-06-22 10:16:23,0.0,1.7961,60.0,0.0299,0.0
40,614400,train,2026-06-22 10:17:06,0.0,1.8294,60.0,0.0305,0.0
41,629760,train,2026-06-22 10:17:49,0.0039,1.9945,60.0,0.0332,0.0
42,645120,train,2026-06-22 10:18:32,0.0078,1.8479,60.0,0.0308,0.0
43,660480,train,2026-06-22 10:19:15,0.0,1.8449,60.0,0.0307,0.0
44,675840,train,2026-06-22 10:19:58,0.0,1.8585,60.0,0.031,0.0
45,691200,train,2026-06-22 10:20:41,0.0078,2.0661,60.0,0.0344,0.0
46,706560,train,2026-06-22 10:21:24,0.0,1.9254,60.0,0.0321,0.0
47,721920,train,2026-06-22 10:22:07,0.0,1.9659,60.0,0.0328,0.0
48,737280,train,2026-06-22 10:22:50,0.0039,1.8912,60.0,0.0315,0.0
49,737280,eval,2026-06-22 10:24:54,0.0573,4.4246,60.0,0.0737,0.0104
49,752640,train,2026-06-22 10:25:36,0.0039,1.8297,60.0,0.0305,0.0
50,768000,train,2026-06-22 10:26:19,0.0,1.8951,60.0,0.0316,0.0
51,783360,train,2026-06-22 10:27:02,0.0,2.0609,60.0,0.0343,0.0
52,798720,train,2026-06-22 10:27:45,0.0,1.9446,60.0,0.0324,0.0
53,814080,train,2026-06-22 10:28:28,0.0039,1.9713,60.0,0.0329,0.0
54,829440,train,2026-06-22 10:29:11,0.0,1.9343,60.0,0.0322,0.0
55,844800,train,2026-06-22 10:29:54,0.0039,2.0272,60.0,0.0338,0.0
56,860160,train,2026-06-22 10:30:37,0.0,1.9807,60.0,0.033,0.0
57,875520,train,2026-06-22 10:31:20,0.0039,2.0163,60.0,0.0336,0.0
58,890880,train,2026-06-22 10:32:03,0.0039,2.0277,60.0,0.0338,0.0
59,906240,train,2026-06-22 10:32:46,0.0,1.9662,60.0,0.0328,0.0
60,921600,train,2026-06-22 10:33:29,0.0039,1.9398,60.0,0.0323,0.0
61,936960,train,2026-06-22 10:34:12,0.0,1.8303,60.0,0.0305,0.0
62,952320,train,2026-06-22 10:34:55,0.0078,1.812,60.0,0.0302,0.0
63,967680,train,2026-06-22 10:35:38,0.0,1.879,60.0,0.0313,0.0
64,983040,train,2026-06-22 10:36:21,0.0,2.0257,60.0,0.0338,0.0
65,998400,train,2026-06-22 10:37:04,0.0,1.813,60.0,0.0302,0.0
66,1013760,train,2026-06-22 10:37:47,0.0039,2.2221,60.0,0.037,0.0
67,1029120,train,2026-06-22 10:38:30,0.0,1.861,60.0,0.031,0.0
68,1044480,train,2026-06-22 10:39:13,0.0,1.9034,60.0,0.0317,0.0
69,1059840,train,2026-06-22 10:39:56,0.0,2.0988,60.0,0.035,0.0
70,1075200,train,2026-06-22 10:40:39,0.0,1.8618,60.0,0.031,0.0
71,1090560,train,2026-06-22 10:41:22,0.0,2.0401,60.0,0.034,0.0
72,1105920,train,2026-06-22 10:42:05,0.0039,1.975,60.0,0.0329,0.0
73,1105920,eval,2026-06-22 10:44:08,0.2344,7.9278,60.0,0.1321,0.1198
73,1121280,train,2026-06-22 10:44:50,0.0078,2.06,60.0,0.0343,0.0
