iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-22 15:34:26,0.0,9.9041,60.0,0.1651,0.0
1,15360,train,2026-06-22 15:35:05,0.0,0.069,60.0,0.0011,0.0
2,30720,train,2026-06-22 15:35:46,0.0,0.0943,60.0,0.0016,0.0
3,46080,train,2026-06-22 15:36:27,0.0,0.1512,60.0,0.0025,0.0
4,61440,train,2026-06-22 15:37:07,0.0,0.1938,60.0,0.0032,0.0
5,76800,train,2026-06-22 15:37:48,0.0,0.3417,60.0,0.0057,0.0
6,92160,train,2026-06-22 15:38:29,0.0,0.317,60.0,0.0053,0.0
7,107520,train,2026-06-22 15:39:10,0.0,0.5662,60.0,0.0094,0.0
8,122880,train,2026-06-22 15:39:50,0.0,0.6903,60.0,0.0115,0.0
9,138240,train,2026-06-22 15:40:31,0.0,0.8071,60.0,0.0135,0.0
10,153600,train,2026-06-22 15:41:12,0.0,0.8766,60.0,0.0146,0.0
11,168960,train,2026-06-22 15:41:53,0.0,0.6998,60.0,0.0117,0.0
12,184320,train,2026-06-22 15:42:33,0.0,0.9926,60.0,0.0165,0.0
13,199680,train,2026-06-22 15:43:14,0.0,0.926,60.0,0.0154,0.0
14,215040,train,2026-06-22 15:43:55,0.0078,1.2223,60.0,0.0204,0.0
15,230400,train,2026-06-22 15:44:36,0.0,1.2082,60.0,0.0201,0.0
16,245760,train,2026-06-22 15:45:16,0.0,1.1856,60.0,0.0198,0.0
17,261120,train,2026-06-22 15:45:57,0.0,0.9088,60.0,0.0151,0.0
18,276480,train,2026-06-22 15:46:38,0.0,1.3627,60.0,0.0227,0.0
19,291840,train,2026-06-22 15:47:19,0.0,1.1729,60.0,0.0195,0.0
20,307200,train,2026-06-22 15:48:00,0.0,1.2221,60.0,0.0204,0.0
21,322560,train,2026-06-22 15:48:41,0.0039,1.2815,60.0,0.0214,0.0
22,337920,train,2026-06-22 15:49:21,0.0,1.2637,60.0,0.0211,0.0
23,353280,train,2026-06-22 15:50:02,0.0,1.1617,60.0,0.0194,0.0
24,368640,train,2026-06-22 15:50:43,0.0,1.2971,60.0,0.0216,0.0
25,368640,eval,2026-06-22 15:52:32,0.0521,5.226,60.0,0.0871,0.0156
25,384000,train,2026-06-22 15:53:13,0.0,1.0965,60.0,0.0183,0.0
26,399360,train,2026-06-22 15:53:54,0.0,1.2887,60.0,0.0215,0.0
27,414720,train,2026-06-22 15:54:35,0.0,1.3572,60.0,0.0226,0.0
28,430080,train,2026-06-22 15:55:17,0.0039,1.2017,60.0,0.02,0.0
29,445440,train,2026-06-22 15:55:58,0.0,1.3877,60.0,0.0231,0.0
30,460800,train,2026-06-22 15:56:40,0.0,1.2096,60.0,0.0202,0.0
31,476160,train,2026-06-22 15:57:22,0.0039,1.4235,60.0,0.0237,0.0
32,491520,train,2026-06-22 15:58:03,0.0,1.1389,60.0,0.019,0.0
