iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-27 14:48:07,0.0,9.9371,60.0,0.1656,0.0
1,15360,train,2026-06-27 14:48:27,0.0,0.0759,60.0,0.0013,0.0
2,30720,train,2026-06-27 14:49:13,0.0,0.1152,60.0,0.0019,0.0
3,46080,train,2026-06-27 14:49:59,0.0,0.2179,60.0,0.0036,0.0
4,61440,train,2026-06-27 14:50:46,0.0,0.3245,60.0,0.0054,0.0
5,76800,train,2026-06-27 14:51:32,0.0,0.5474,60.0,0.0091,0.0
6,92160,train,2026-06-27 14:52:19,0.0,0.8272,60.0,0.0138,0.0
7,107520,train,2026-06-27 14:53:05,0.0,0.7807,60.0,0.013,0.0
8,122880,train,2026-06-27 14:53:52,0.0,1.0813,60.0,0.018,0.0
9,138240,train,2026-06-27 14:54:39,0.0,1.122,60.0,0.0187,0.0
10,153600,train,2026-06-27 14:55:25,0.0,1.1179,60.0,0.0186,0.0
11,168960,train,2026-06-27 14:56:12,0.0039,1.2707,60.0,0.0212,0.0
12,184320,train,2026-06-27 14:56:59,0.0,1.1925,60.0,0.0199,0.0
13,199680,train,2026-06-27 14:57:46,0.0,1.5396,60.0,0.0257,0.0
14,215040,train,2026-06-27 14:58:32,0.0078,1.5935,60.0,0.0266,0.0
15,230400,train,2026-06-27 14:59:19,0.0,1.4969,60.0,0.0249,0.0
16,245760,train,2026-06-27 15:00:06,0.0,1.5542,60.0,0.0259,0.0
17,261120,train,2026-06-27 15:00:53,0.0039,1.4316,60.0,0.0239,0.0
18,276480,train,2026-06-27 15:01:40,0.0,1.5923,60.0,0.0265,0.0
19,291840,train,2026-06-27 15:02:26,0.0039,1.8221,60.0,0.0304,0.0
20,307200,train,2026-06-27 15:03:13,0.0,1.698,60.0,0.0283,0.0
21,322560,train,2026-06-27 15:04:00,0.0,1.5003,60.0,0.025,0.0
22,337920,train,2026-06-27 15:04:47,0.0039,1.6123,60.0,0.0269,0.0
23,353280,train,2026-06-27 15:05:33,0.0,1.333,60.0,0.0222,0.0
24,368640,train,2026-06-27 15:06:20,0.0,1.5723,60.0,0.0262,0.0
25,368640,eval,2026-06-27 15:08:17,0.0938,5.8205,60.0,0.097,0.0521
25,384000,train,2026-06-27 15:08:38,0.0039,1.6273,60.0,0.0271,0.0
26,399360,train,2026-06-27 15:09:25,0.0,1.5768,60.0,0.0263,0.0
27,414720,train,2026-06-27 15:10:11,0.0,1.7695,60.0,0.0295,0.0
28,430080,train,2026-06-27 15:10:58,0.0039,1.5958,60.0,0.0266,0.0
29,445440,train,2026-06-27 15:11:45,0.0,1.5356,60.0,0.0256,0.0
30,460800,train,2026-06-27 15:12:31,0.0,1.6344,60.0,0.0272,0.0
31,476160,train,2026-06-27 15:13:18,0.0,1.5236,60.0,0.0254,0.0
32,491520,train,2026-06-27 15:14:05,0.0,1.4601,60.0,0.0243,0.0
33,506880,train,2026-06-27 15:14:52,0.0,1.3852,60.0,0.0231,0.0
34,522240,train,2026-06-27 15:15:38,0.0039,1.4076,60.0,0.0235,0.0
35,537600,train,2026-06-27 15:16:25,0.0,1.4135,60.0,0.0236,0.0
36,552960,train,2026-06-27 15:17:12,0.0,1.3071,60.0,0.0218,0.0
37,568320,train,2026-06-27 15:17:59,0.0,1.4794,60.0,0.0247,0.0
38,583680,train,2026-06-27 15:18:45,0.0,1.5384,60.0,0.0256,0.0
39,599040,train,2026-06-27 15:19:32,0.0,1.5916,60.0,0.0265,0.0
40,614400,train,2026-06-27 15:20:19,0.0,1.4163,60.0,0.0236,0.0
41,629760,train,2026-06-27 15:21:05,0.0,1.4585,60.0,0.0243,0.0
42,645120,train,2026-06-27 15:21:52,0.0,1.5504,60.0,0.0258,0.0
43,660480,train,2026-06-27 15:22:39,0.0,1.4475,60.0,0.0241,0.0
44,675840,train,2026-06-27 15:23:26,0.0039,1.6917,60.0,0.0282,0.0
45,691200,train,2026-06-27 15:24:12,0.0,1.7332,60.0,0.0289,0.0
46,706560,train,2026-06-27 15:24:59,0.0,1.534,60.0,0.0256,0.0
47,721920,train,2026-06-27 15:25:46,0.0039,1.7144,60.0,0.0286,0.0
48,737280,train,2026-06-27 15:26:33,0.0,1.5131,60.0,0.0252,0.0
49,737280,eval,2026-06-27 15:28:30,0.1979,6.4993,60.0,0.1083,0.0521
49,752640,train,2026-06-27 15:28:51,0.0,1.5571,60.0,0.026,0.0
50,768000,train,2026-06-27 15:29:37,0.0,1.5668,60.0,0.0261,0.0
51,783360,train,2026-06-27 15:30:24,0.0,1.4687,60.0,0.0245,0.0
52,798720,train,2026-06-27 15:31:11,0.0,1.657,60.0,0.0276,0.0
53,814080,train,2026-06-27 15:31:57,0.0078,1.8169,60.0,0.0303,0.0
54,829440,train,2026-06-27 15:32:44,0.0,1.6871,60.0,0.0281,0.0
55,844800,train,2026-06-27 15:33:31,0.0,1.5501,60.0,0.0258,0.0
56,860160,train,2026-06-27 15:34:17,0.0039,1.8064,60.0,0.0301,0.0
57,875520,train,2026-06-27 15:35:04,0.0039,1.8702,60.0,0.0312,0.0
58,890880,train,2026-06-27 15:35:51,0.0,1.622,60.0,0.027,0.0
59,906240,train,2026-06-27 15:36:38,0.0,1.5914,60.0,0.0265,0.0
60,921600,train,2026-06-27 15:37:24,0.0,1.4756,60.0,0.0246,0.0
