iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-28 03:35:29,0.0,9.4776,60.0,0.158,0.0
1,15360,train,2026-06-28 03:35:50,0.0,0.0853,60.0,0.0014,0.0
2,30720,train,2026-06-28 03:36:48,0.0,0.1407,60.0,0.0023,0.0
3,46080,train,2026-06-28 03:37:46,0.0,0.2415,60.0,0.004,0.0
4,61440,train,2026-06-28 03:38:45,0.0,0.2892,60.0,0.0048,0.0
5,76800,train,2026-06-28 03:39:44,0.0,0.4909,60.0,0.0082,0.0
6,92160,train,2026-06-28 03:40:43,0.0039,0.6292,60.0,0.0105,0.0
7,107520,train,2026-06-28 03:41:43,0.0,0.567,60.0,0.0094,0.0
8,122880,train,2026-06-28 03:42:42,0.0,0.7925,60.0,0.0132,0.0
9,138240,train,2026-06-28 03:43:42,0.0,0.9885,60.0,0.0165,0.0
10,153600,train,2026-06-28 03:44:41,0.0,1.1888,60.0,0.0198,0.0
11,168960,train,2026-06-28 03:45:41,0.0039,1.3544,60.0,0.0226,0.0
12,184320,train,2026-06-28 03:46:40,0.0039,1.4276,60.0,0.0238,0.0
13,199680,train,2026-06-28 03:47:40,0.0,1.4141,60.0,0.0236,0.0
14,215040,train,2026-06-28 03:48:39,0.0039,1.5621,60.0,0.026,0.0
15,230400,train,2026-06-28 03:49:39,0.0,1.451,60.0,0.0242,0.0
16,245760,train,2026-06-28 03:50:38,0.0,1.5373,60.0,0.0256,0.0
17,261120,train,2026-06-28 03:51:38,0.0078,1.3188,60.0,0.022,0.0
18,276480,train,2026-06-28 03:52:38,0.0078,1.6947,60.0,0.0282,0.0
19,291840,train,2026-06-28 03:53:37,0.0,1.6525,60.0,0.0275,0.0
20,307200,train,2026-06-28 03:54:37,0.0039,1.5583,60.0,0.026,0.0
21,322560,train,2026-06-28 03:55:36,0.0039,1.9756,60.0,0.0329,0.0
22,337920,train,2026-06-28 03:56:36,0.0039,1.7377,60.0,0.029,0.0
23,353280,train,2026-06-28 03:57:36,0.0,1.6452,60.0,0.0274,0.0
24,368640,train,2026-06-28 03:58:35,0.0,1.7263,60.0,0.0288,0.0
25,368640,eval,2026-06-28 04:00:49,0.2083,6.5165,60.0,0.1086,0.0938
25,384000,train,2026-06-28 04:01:10,0.0078,1.9028,60.0,0.0317,0.0
26,399360,train,2026-06-28 04:02:09,0.0039,1.7398,60.0,0.029,0.0
27,414720,train,2026-06-28 04:03:08,0.0,1.8572,60.0,0.031,0.0
28,430080,train,2026-06-28 04:04:08,0.0,1.7135,60.0,0.0286,0.0
29,445440,train,2026-06-28 04:05:07,0.0,1.7316,60.0,0.0289,0.0
30,460800,train,2026-06-28 04:06:07,0.0039,1.9581,60.0,0.0326,0.0
31,476160,train,2026-06-28 04:07:07,0.0039,1.7871,60.0,0.0298,0.0
32,491520,train,2026-06-28 04:08:06,0.0,1.811,60.0,0.0302,0.0
33,506880,train,2026-06-28 04:09:06,0.0,1.933,60.0,0.0322,0.0
34,522240,train,2026-06-28 04:10:06,0.0039,1.7292,60.0,0.0288,0.0
35,537600,train,2026-06-28 04:11:05,0.0,2.0722,60.0,0.0345,0.0
36,552960,train,2026-06-28 04:12:05,0.0,2.0341,60.0,0.0339,0.0
37,568320,train,2026-06-28 04:13:05,0.0,1.9976,60.0,0.0333,0.0
38,583680,train,2026-06-28 04:14:04,0.0078,1.9974,60.0,0.0333,0.0
39,599040,train,2026-06-28 04:15:04,0.0,1.8605,60.0,0.031,0.0
40,614400,train,2026-06-28 04:16:03,0.0,2.0917,60.0,0.0349,0.0
41,629760,train,2026-06-28 04:17:03,0.0,1.8344,60.0,0.0306,0.0
42,645120,train,2026-06-28 04:18:03,0.0,1.7442,60.0,0.0291,0.0
43,660480,train,2026-06-28 04:19:02,0.0,2.006,60.0,0.0334,0.0
44,675840,train,2026-06-28 04:20:02,0.0039,1.9363,60.0,0.0323,0.0
45,691200,train,2026-06-28 04:21:01,0.0,1.8824,60.0,0.0314,0.0
46,706560,train,2026-06-28 04:22:01,0.0039,1.919,60.0,0.032,0.0
47,721920,train,2026-06-28 04:23:01,0.0078,1.8698,60.0,0.0312,0.0
48,737280,train,2026-06-28 04:24:00,0.0,1.6929,60.0,0.0282,0.0
49,737280,eval,2026-06-28 04:26:15,0.0938,5.9166,60.0,0.0986,0.0365
49,752640,train,2026-06-28 04:26:37,0.0,1.9989,60.0,0.0333,0.0
50,768000,train,2026-06-28 04:27:35,0.0,2.0252,60.0,0.0338,0.0
51,783360,train,2026-06-28 04:28:34,0.0039,1.8078,60.0,0.0301,0.0
52,798720,train,2026-06-28 04:29:34,0.0,2.0293,60.0,0.0338,0.0
53,814080,train,2026-06-28 04:30:33,0.0078,2.0733,60.0,0.0346,0.0
54,829440,train,2026-06-28 04:31:33,0.0,1.9234,60.0,0.0321,0.0
55,844800,train,2026-06-28 04:32:32,0.0,1.8718,60.0,0.0312,0.0
56,860160,train,2026-06-28 04:33:32,0.0,1.9393,60.0,0.0323,0.0
57,875520,train,2026-06-28 04:34:32,0.0,1.8846,60.0,0.0314,0.0
58,890880,train,2026-06-28 04:35:31,0.0039,1.7924,60.0,0.0299,0.0
59,906240,train,2026-06-28 04:36:31,0.0039,1.9857,60.0,0.0331,0.0
60,921600,train,2026-06-28 04:37:30,0.0,1.849,60.0,0.0308,0.0
61,936960,train,2026-06-28 04:38:30,0.0,1.7701,60.0,0.0295,0.0
62,952320,train,2026-06-28 04:39:30,0.0,2.0393,60.0,0.034,0.0
63,967680,train,2026-06-28 04:40:29,0.0,1.8488,60.0,0.0308,0.0
64,983040,train,2026-06-28 04:41:29,0.0,1.8282,60.0,0.0305,0.0
65,998400,train,2026-06-28 04:42:29,0.0,1.9775,60.0,0.033,0.0
66,1013760,train,2026-06-28 04:43:28,0.0039,1.8858,60.0,0.0314,0.0
67,1029120,train,2026-06-28 04:44:28,0.0,2.0261,60.0,0.0338,0.0
68,1044480,train,2026-06-28 04:45:27,0.0,2.1973,60.0,0.0366,0.0
69,1059840,train,2026-06-28 04:46:27,0.0039,1.8718,60.0,0.0312,0.0
70,1075200,train,2026-06-28 04:47:27,0.0,1.973,60.0,0.0329,0.0
71,1090560,train,2026-06-28 04:48:26,0.0039,1.9955,60.0,0.0333,0.0
72,1105920,train,2026-06-28 04:49:26,0.0039,2.2327,60.0,0.0372,0.0
73,1105920,eval,2026-06-28 04:51:40,0.151,5.2855,60.0,0.0881,0.0573
73,1121280,train,2026-06-28 04:52:02,0.0,1.9885,60.0,0.0331,0.0
74,1136640,train,2026-06-28 04:53:00,0.0039,2.026,60.0,0.0338,0.0
75,1152000,train,2026-06-28 04:53:59,0.0,1.921,60.0,0.032,0.0
76,1167360,train,2026-06-28 04:54:59,0.0039,2.0561,60.0,0.0343,0.0
77,1182720,train,2026-06-28 04:55:58,0.0078,2.0766,60.0,0.0346,0.0
78,1198080,train,2026-06-28 04:56:57,0.0,2.0837,60.0,0.0347,0.0
79,1213440,train,2026-06-28 04:57:57,0.0,1.9368,60.0,0.0323,0.0
80,1228800,train,2026-06-28 04:58:57,0.0078,2.0969,60.0,0.0349,0.0
81,1244160,train,2026-06-28 04:59:56,0.0039,1.9888,60.0,0.0331,0.0
82,1259520,train,2026-06-28 05:00:56,0.0039,2.0496,60.0,0.0342,0.0
83,1274880,train,2026-06-28 05:01:56,0.0039,2.0001,60.0,0.0333,0.0
84,1290240,train,2026-06-28 05:02:55,0.0,2.1027,60.0,0.035,0.0
85,1305600,train,2026-06-28 05:03:55,0.0039,1.985,60.0,0.0331,0.0
86,1320960,train,2026-06-28 05:04:54,0.0,2.0233,60.0,0.0337,0.0
87,1336320,train,2026-06-28 05:05:54,0.0039,2.0417,60.0,0.034,0.0
88,1351680,train,2026-06-28 05:06:54,0.0,2.2852,60.0,0.0381,0.0
89,1367040,train,2026-06-28 05:07:53,0.0078,1.8741,60.0,0.0312,0.0
90,1382400,train,2026-06-28 05:08:53,0.0,1.862,60.0,0.031,0.0
91,1397760,train,2026-06-28 05:09:52,0.0039,2.2063,60.0,0.0368,0.0039
92,1413120,train,2026-06-28 05:10:52,0.0039,2.1737,60.0,0.0362,0.0039
93,1428480,train,2026-06-28 05:11:52,0.0,1.8265,60.0,0.0304,0.0
94,1443840,train,2026-06-28 05:12:51,0.0039,2.0776,60.0,0.0346,0.0
95,1459200,train,2026-06-28 05:13:51,0.0039,2.0035,60.0,0.0334,0.0
96,1474560,train,2026-06-28 05:14:51,0.0039,2.2773,60.0,0.038,0.0
97,1474560,eval,2026-06-28 05:17:04,0.224,5.4775,60.0,0.0913,0.0156
97,1489920,train,2026-06-28 05:17:25,0.0,1.9138,60.0,0.0319,0.0
98,1505280,train,2026-06-28 05:18:24,0.0,2.2337,60.0,0.0372,0.0
99,1520640,train,2026-06-28 05:19:23,0.0039,2.2232,60.0,0.0371,0.0
100,1536000,train,2026-06-28 05:20:22,0.0039,2.1155,60.0,0.0353,0.0
101,1551360,train,2026-06-28 05:21:22,0.0039,2.1982,60.0,0.0366,0.0
102,1566720,train,2026-06-28 05:22:21,0.0039,2.2016,60.0,0.0367,0.0
103,1582080,train,2026-06-28 05:23:21,0.0,2.1491,60.0,0.0358,0.0
104,1597440,train,2026-06-28 05:24:21,0.0,2.4032,60.0,0.0401,0.0
105,1612800,train,2026-06-28 05:25:20,0.0,2.1922,60.0,0.0365,0.0
106,1628160,train,2026-06-28 05:26:20,0.0,1.9245,60.0,0.0321,0.0
107,1643520,train,2026-06-28 05:27:19,0.0,2.0491,60.0,0.0342,0.0
108,1658880,train,2026-06-28 05:28:19,0.0039,1.9559,60.0,0.0326,0.0
109,1674240,train,2026-06-28 05:29:19,0.0039,2.2997,60.0,0.0383,0.0
110,1689600,train,2026-06-28 05:30:18,0.0078,2.1567,60.0,0.0359,0.0
111,1704960,train,2026-06-28 05:31:18,0.0039,1.9533,60.0,0.0326,0.0
112,1720320,train,2026-06-28 05:32:18,0.0039,2.1361,60.0,0.0356,0.0
113,1735680,train,2026-06-28 05:33:17,0.0,2.2649,60.0,0.0377,0.0
114,1751040,train,2026-06-28 05:34:17,0.0,2.1478,60.0,0.0358,0.0
115,1766400,train,2026-06-28 05:35:17,0.0078,2.0776,60.0,0.0346,0.0
116,1781760,train,2026-06-28 05:36:17,0.0039,2.1406,60.0,0.0357,0.0
117,1797120,train,2026-06-28 05:37:17,0.0039,2.1819,60.0,0.0364,0.0
118,1812480,train,2026-06-28 05:38:17,0.0039,2.1547,60.0,0.0359,0.0
119,1827840,train,2026-06-28 05:39:17,0.0,2.0848,60.0,0.0347,0.0
120,1843200,train,2026-06-28 05:40:17,0.0,2.1888,60.0,0.0365,0.0
121,1843200,eval,2026-06-28 05:42:32,0.1146,5.6135,60.0,0.0936,0.0156
121,1858560,train,2026-06-28 05:42:53,0.0039,2.111,60.0,0.0352,0.0
122,1873920,train,2026-06-28 05:43:52,0.0,2.1075,60.0,0.0351,0.0
123,1889280,train,2026-06-28 05:44:51,0.0,2.1844,60.0,0.0364,0.0
124,1904640,train,2026-06-28 05:45:51,0.0,2.2598,60.0,0.0377,0.0
125,1920000,train,2026-06-28 05:46:50,0.0,2.1841,60.0,0.0364,0.0
126,1935360,train,2026-06-28 05:47:50,0.0039,2.2335,60.0,0.0372,0.0
127,1950720,train,2026-06-28 05:48:49,0.0,2.1744,60.0,0.0362,0.0
128,1966080,train,2026-06-28 05:49:49,0.0,1.9513,60.0,0.0325,0.0
129,1981440,train,2026-06-28 05:50:49,0.0,2.0788,60.0,0.0346,0.0
130,1996800,train,2026-06-28 05:51:48,0.0,2.0854,60.0,0.0348,0.0
131,2012160,train,2026-06-28 05:52:48,0.0,2.026,60.0,0.0338,0.0
132,2027520,train,2026-06-28 05:53:48,0.0078,2.291,60.0,0.0382,0.0
133,2042880,train,2026-06-28 05:54:48,0.0039,1.8877,60.0,0.0315,0.0
134,2058240,train,2026-06-28 05:55:47,0.0039,2.0844,60.0,0.0347,0.0
135,2073600,train,2026-06-28 05:56:47,0.0039,2.2189,60.0,0.037,0.0
136,2088960,train,2026-06-28 05:57:47,0.0039,2.0725,60.0,0.0345,0.0
137,2104320,train,2026-06-28 05:58:47,0.0039,2.3345,60.0,0.0389,0.0
138,2119680,train,2026-06-28 05:59:47,0.0039,2.0803,60.0,0.0347,0.0
139,2135040,train,2026-06-28 06:00:47,0.0,1.8831,60.0,0.0314,0.0
140,2150400,train,2026-06-28 06:01:47,0.0078,2.2436,60.0,0.0374,0.0
141,2165760,train,2026-06-28 06:02:47,0.0039,2.3024,60.0,0.0384,0.0
142,2181120,train,2026-06-28 06:03:47,0.0039,2.1232,60.0,0.0354,0.0
143,2196480,train,2026-06-28 06:04:47,0.0,2.2053,60.0,0.0368,0.0
144,2211840,train,2026-06-28 06:05:47,0.0,2.1234,60.0,0.0354,0.0
145,2211840,eval,2026-06-28 06:08:02,0.1354,5.1804,60.0,0.0863,0.0156
145,2227200,train,2026-06-28 06:08:24,0.0039,2.1824,60.0,0.0364,0.0
146,2242560,train,2026-06-28 06:09:22,0.0117,2.0699,60.0,0.0345,0.0
147,2257920,train,2026-06-28 06:10:21,0.0039,2.0092,60.0,0.0335,0.0
148,2273280,train,2026-06-28 06:11:21,0.0,2.0939,60.0,0.0349,0.0
149,2288640,train,2026-06-28 06:12:21,0.0,2.3563,60.0,0.0393,0.0
150,2304000,train,2026-06-28 06:13:20,0.0,2.2829,60.0,0.038,0.0
151,2319360,train,2026-06-28 06:14:20,0.0039,2.1022,60.0,0.035,0.0
152,2334720,train,2026-06-28 06:15:19,0.0156,2.1328,60.0,0.0355,0.0
153,2350080,train,2026-06-28 06:16:19,0.0117,2.1315,60.0,0.0355,0.0
154,2365440,train,2026-06-28 06:17:19,0.0039,2.2539,60.0,0.0376,0.0
155,2380800,train,2026-06-28 06:18:19,0.0,2.246,60.0,0.0374,0.0
156,2396160,train,2026-06-28 06:19:18,0.0039,2.2258,60.0,0.0371,0.0
157,2411520,train,2026-06-28 06:20:18,0.0,2.1104,60.0,0.0352,0.0
158,2426880,train,2026-06-28 06:21:18,0.0039,2.1135,60.0,0.0352,0.0
159,2442240,train,2026-06-28 06:22:17,0.0,2.1476,60.0,0.0358,0.0
160,2457600,train,2026-06-28 06:23:17,0.0039,2.152,60.0,0.0359,0.0
161,2472960,train,2026-06-28 06:24:17,0.0117,2.3813,60.0,0.0397,0.0
162,2488320,train,2026-06-28 06:25:18,0.0,2.109,60.0,0.0351,0.0
163,2503680,train,2026-06-28 06:26:17,0.0039,2.419,60.0,0.0403,0.0
164,2519040,train,2026-06-28 06:27:17,0.0039,2.1286,60.0,0.0355,0.0
165,2534400,train,2026-06-28 06:28:18,0.0156,2.2416,60.0,0.0374,0.0
166,2549760,train,2026-06-28 06:29:17,0.0039,2.2249,60.0,0.0371,0.0
167,2565120,train,2026-06-28 06:30:17,0.0039,2.2129,60.0,0.0369,0.0
168,2580480,train,2026-06-28 06:31:17,0.0117,2.1023,60.0,0.035,0.0
169,2580480,eval,2026-06-28 06:33:32,0.125,5.9583,60.0,0.0993,0.0312
169,2595840,train,2026-06-28 06:33:53,0.0039,1.9918,60.0,0.0332,0.0
170,2611200,train,2026-06-28 06:34:52,0.0,1.9855,60.0,0.0331,0.0
171,2626560,train,2026-06-28 06:35:51,0.0039,2.1776,60.0,0.0363,0.0
172,2641920,train,2026-06-28 06:36:50,0.0039,2.3103,60.0,0.0385,0.0
173,2657280,train,2026-06-28 06:37:50,0.0078,1.979,60.0,0.033,0.0
174,2672640,train,2026-06-28 06:38:49,0.0,2.2152,60.0,0.0369,0.0
175,2688000,train,2026-06-28 06:39:49,0.0,2.1957,60.0,0.0366,0.0
176,2703360,train,2026-06-28 06:40:49,0.0078,2.1688,60.0,0.0361,0.0
177,2718720,train,2026-06-28 06:41:48,0.0039,1.9846,60.0,0.0331,0.0
178,2734080,train,2026-06-28 06:42:48,0.0078,2.1801,60.0,0.0363,0.0
179,2749440,train,2026-06-28 06:43:48,0.0,2.1029,60.0,0.035,0.0
180,2764800,train,2026-06-28 06:44:47,0.0039,2.1687,60.0,0.0361,0.0
181,2780160,train,2026-06-28 06:45:47,0.0,2.1841,60.0,0.0364,0.0
182,2795520,train,2026-06-28 06:46:47,0.0039,2.0716,60.0,0.0345,0.0
183,2810880,train,2026-06-28 06:47:47,0.0078,2.2047,60.0,0.0367,0.0
184,2826240,train,2026-06-28 06:48:47,0.0039,2.2804,60.0,0.038,0.0
185,2841600,train,2026-06-28 06:49:47,0.0117,2.278,60.0,0.038,0.0
186,2856960,train,2026-06-28 06:50:47,0.0,2.2091,60.0,0.0368,0.0
187,2872320,train,2026-06-28 06:51:47,0.0156,2.3374,60.0,0.039,0.0039
188,2887680,train,2026-06-28 06:52:47,0.0,2.1708,60.0,0.0362,0.0
189,2903040,train,2026-06-28 06:53:47,0.0,2.2618,60.0,0.0377,0.0
190,2918400,train,2026-06-28 06:54:47,0.0117,2.2187,60.0,0.037,0.0
191,2933760,train,2026-06-28 06:55:47,0.0117,2.2038,60.0,0.0367,0.0
192,2949120,train,2026-06-28 06:56:47,0.0039,2.2615,60.0,0.0377,0.0
193,2949120,eval,2026-06-28 06:59:02,0.125,6.1875,60.0,0.1031,0.0365
193,2964480,train,2026-06-28 06:59:23,0.0,2.1563,60.0,0.0359,0.0
194,2979840,train,2026-06-28 07:00:22,0.0,2.3473,60.0,0.0391,0.0
195,2995200,train,2026-06-28 07:01:21,0.0039,2.342,60.0,0.039,0.0
196,3010560,train,2026-06-28 07:02:20,0.0078,2.2949,60.0,0.0382,0.0
197,3025920,train,2026-06-28 07:03:20,0.0039,2.2527,60.0,0.0375,0.0
198,3041280,train,2026-06-28 07:04:19,0.0039,2.1695,60.0,0.0362,0.0
199,3056640,train,2026-06-28 07:05:19,0.0,2.2004,60.0,0.0367,0.0
200,3072000,train,2026-06-28 07:06:18,0.0039,2.2366,60.0,0.0373,0.0
201,3087360,train,2026-06-28 07:07:18,0.0078,2.1806,60.0,0.0363,0.0
202,3102720,train,2026-06-28 07:08:18,0.0039,2.2275,60.0,0.0371,0.0
203,3118080,train,2026-06-28 07:09:17,0.0117,2.2137,60.0,0.0369,0.0
204,3133440,train,2026-06-28 07:10:17,0.0,2.1455,60.0,0.0358,0.0
205,3148800,train,2026-06-28 07:11:17,0.0039,2.2065,60.0,0.0368,0.0
206,3164160,train,2026-06-28 07:12:17,0.0039,2.1895,60.0,0.0365,0.0
207,3179520,train,2026-06-28 07:13:17,0.0,2.091,60.0,0.0348,0.0
208,3194880,train,2026-06-28 07:14:17,0.0078,2.1358,60.0,0.0356,0.0
209,3210240,train,2026-06-28 07:15:17,0.0,2.3433,60.0,0.0391,0.0
210,3225600,train,2026-06-28 07:16:17,0.0039,2.4246,60.0,0.0404,0.0
211,3240960,train,2026-06-28 07:17:17,0.0078,2.4043,60.0,0.0401,0.0
212,3256320,train,2026-06-28 07:18:17,0.0078,2.3916,60.0,0.0399,0.0
213,3271680,train,2026-06-28 07:19:17,0.0078,2.4408,60.0,0.0407,0.0
214,3287040,train,2026-06-28 07:20:17,0.0039,2.4046,60.0,0.0401,0.0
215,3302400,train,2026-06-28 07:21:17,0.0,2.149,60.0,0.0358,0.0
216,3317760,train,2026-06-28 07:22:17,0.0078,2.306,60.0,0.0384,0.0
217,3317760,eval,2026-06-28 07:24:33,0.0885,5.8825,60.0,0.098,0.0365
217,3333120,train,2026-06-28 07:24:54,0.0039,2.261,60.0,0.0377,0.0
218,3348480,train,2026-06-28 07:25:52,0.0,2.2371,60.0,0.0373,0.0
219,3363840,train,2026-06-28 07:26:52,0.0,2.4993,60.0,0.0417,0.0
220,3379200,train,2026-06-28 07:27:51,0.0117,2.3088,60.0,0.0385,0.0
221,3394560,train,2026-06-28 07:28:51,0.0078,2.3135,60.0,0.0386,0.0
222,3409920,train,2026-06-28 07:29:50,0.0078,2.4526,60.0,0.0409,0.0
223,3425280,train,2026-06-28 07:30:50,0.0078,2.4005,60.0,0.04,0.0
224,3440640,train,2026-06-28 07:31:50,0.0,2.2987,60.0,0.0383,0.0
225,3456000,train,2026-06-28 07:32:49,0.0039,2.2198,60.0,0.037,0.0
226,3471360,train,2026-06-28 07:33:49,0.0039,2.1086,60.0,0.0351,0.0
227,3486720,train,2026-06-28 07:34:49,0.0078,2.3614,60.0,0.0394,0.0
228,3502080,train,2026-06-28 07:35:48,0.0039,2.3716,60.0,0.0395,0.0
229,3517440,train,2026-06-28 07:36:48,0.0,2.1855,60.0,0.0364,0.0
230,3532800,train,2026-06-28 07:37:48,0.0,1.8995,60.0,0.0317,0.0
231,3548160,train,2026-06-28 07:38:48,0.0,2.1497,60.0,0.0358,0.0
232,3563520,train,2026-06-28 07:39:48,0.0039,2.0183,60.0,0.0336,0.0
233,3578880,train,2026-06-28 07:40:47,0.0078,2.2917,60.0,0.0382,0.0
234,3594240,train,2026-06-28 07:41:47,0.0039,2.3061,60.0,0.0384,0.0
235,3609600,train,2026-06-28 07:42:48,0.0078,2.1697,60.0,0.0362,0.0
236,3624960,train,2026-06-28 07:43:47,0.0,2.3928,60.0,0.0399,0.0
237,3640320,train,2026-06-28 07:44:47,0.0039,2.265,60.0,0.0377,0.0
238,3655680,train,2026-06-28 07:45:47,0.0,2.2394,60.0,0.0373,0.0
239,3671040,train,2026-06-28 07:46:47,0.0039,2.5343,60.0,0.0422,0.0
240,3686400,train,2026-06-28 07:47:48,0.0,2.3123,60.0,0.0385,0.0
241,3686400,eval,2026-06-28 07:50:02,0.0781,5.2262,60.0,0.0871,0.0156
241,3701760,train,2026-06-28 07:50:23,0.0039,2.2075,60.0,0.0368,0.0
242,3717120,train,2026-06-28 07:51:22,0.0,2.3451,60.0,0.0391,0.0
243,3732480,train,2026-06-28 07:52:21,0.0117,2.3256,60.0,0.0388,0.0
244,3747840,train,2026-06-28 07:53:20,0.0039,2.1682,60.0,0.0361,0.0
245,3763200,train,2026-06-28 07:54:20,0.0039,2.2952,60.0,0.0383,0.0
246,3778560,train,2026-06-28 07:55:19,0.0,2.2256,60.0,0.0371,0.0
247,3793920,train,2026-06-28 07:56:19,0.0078,2.1067,60.0,0.0351,0.0
248,3809280,train,2026-06-28 07:57:19,0.0,2.1563,60.0,0.0359,0.0
249,3824640,train,2026-06-28 07:58:18,0.0078,2.1701,60.0,0.0362,0.0
250,3840000,train,2026-06-28 07:59:18,0.0,2.1763,60.0,0.0363,0.0
251,3855360,train,2026-06-28 08:00:18,0.0,2.2009,60.0,0.0367,0.0
252,3870720,train,2026-06-28 08:01:17,0.0,2.2333,60.0,0.0372,0.0
253,3886080,train,2026-06-28 08:02:17,0.0,2.3249,60.0,0.0387,0.0
254,3901440,train,2026-06-28 08:03:17,0.0039,2.2201,60.0,0.037,0.0
255,3916800,train,2026-06-28 08:04:17,0.0,2.4442,60.0,0.0407,0.0
256,3932160,train,2026-06-28 08:05:17,0.0039,2.2388,60.0,0.0373,0.0
257,3947520,train,2026-06-28 08:06:17,0.0039,2.2076,60.0,0.0368,0.0
258,3962880,train,2026-06-28 08:07:17,0.0039,2.12,60.0,0.0353,0.0
259,3978240,train,2026-06-28 08:08:17,0.0039,2.404,60.0,0.0401,0.0039
260,3993600,train,2026-06-28 08:09:17,0.0078,2.2038,60.0,0.0367,0.0
261,4008960,train,2026-06-28 08:10:17,0.0078,2.3226,60.0,0.0387,0.0
262,4024320,train,2026-06-28 08:11:17,0.0039,2.3631,60.0,0.0394,0.0
263,4039680,train,2026-06-28 08:12:17,0.0039,2.2628,60.0,0.0377,0.0
264,4055040,train,2026-06-28 08:13:17,0.0039,2.347,60.0,0.0391,0.0
265,4055040,eval,2026-06-28 08:15:32,0.1302,5.9427,60.0,0.099,0.0521
265,4070400,train,2026-06-28 08:15:54,0.0,2.4236,60.0,0.0404,0.0
266,4085760,train,2026-06-28 08:16:52,0.0039,2.3993,60.0,0.04,0.0
267,4101120,train,2026-06-28 08:17:51,0.0078,2.1709,60.0,0.0362,0.0
268,4116480,train,2026-06-28 08:18:51,0.0039,2.3218,60.0,0.0387,0.0
269,4131840,train,2026-06-28 08:19:50,0.0039,2.4466,60.0,0.0408,0.0
270,4147200,train,2026-06-28 08:20:50,0.0,2.1665,60.0,0.0361,0.0
271,4162560,train,2026-06-28 08:21:49,0.0039,2.4477,60.0,0.0408,0.0
272,4177920,train,2026-06-28 08:22:49,0.0078,2.2808,60.0,0.038,0.0
273,4193280,train,2026-06-28 08:23:49,0.0078,2.2473,60.0,0.0375,0.0
274,4208640,train,2026-06-28 08:24:48,0.0,2.1171,60.0,0.0353,0.0
275,4224000,train,2026-06-28 08:25:48,0.0039,2.5988,60.0,0.0433,0.0
276,4239360,train,2026-06-28 08:26:48,0.0,2.3244,60.0,0.0387,0.0
277,4254720,train,2026-06-28 08:27:47,0.0078,2.2596,60.0,0.0377,0.0039
278,4270080,train,2026-06-28 08:28:47,0.0,2.3842,60.0,0.0397,0.0
279,4285440,train,2026-06-28 08:29:47,0.0,2.3239,60.0,0.0387,0.0
280,4300800,train,2026-06-28 08:30:47,0.0078,2.2068,60.0,0.0368,0.0
281,4316160,train,2026-06-28 08:31:47,0.0039,2.3218,60.0,0.0387,0.0
282,4331520,train,2026-06-28 08:32:47,0.0039,2.2381,60.0,0.0373,0.0
283,4346880,train,2026-06-28 08:33:47,0.0078,2.4124,60.0,0.0402,0.0
284,4362240,train,2026-06-28 08:34:48,0.0,2.1986,60.0,0.0366,0.0
285,4377600,train,2026-06-28 08:35:47,0.0039,2.4383,60.0,0.0406,0.0
286,4392960,train,2026-06-28 08:36:48,0.0,2.3664,60.0,0.0394,0.0
287,4408320,train,2026-06-28 08:37:47,0.0039,2.3267,60.0,0.0388,0.0
288,4423680,train,2026-06-28 08:38:47,0.0039,2.2102,60.0,0.0368,0.0
289,4423680,eval,2026-06-28 08:41:02,0.0625,5.3191,60.0,0.0887,0.0365
289,4439040,train,2026-06-28 08:41:24,0.0117,2.4688,60.0,0.0411,0.0039
290,4454400,train,2026-06-28 08:42:22,0.0117,2.4101,60.0,0.0402,0.0
291,4469760,train,2026-06-28 08:43:21,0.0039,2.2123,60.0,0.0369,0.0
292,4485120,train,2026-06-28 08:44:21,0.0117,2.204,60.0,0.0367,0.0
293,4500480,train,2026-06-28 08:45:21,0.0117,2.3653,60.0,0.0394,0.0
294,4515840,train,2026-06-28 08:46:20,0.0039,2.2553,60.0,0.0376,0.0
