iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-01 20:05:41,0.0,0.7249,90.0,0.0081,0.0
2,23040,train,2026-07-01 20:06:55,0.0,0.7755,90.0,0.0086,0.0
3,46080,train,2026-07-01 20:08:10,0.0,0.8739,90.0,0.0097,0.0
5,69120,train,2026-07-01 20:09:26,0.0,1.2331,90.0,0.0137,0.0
6,92160,train,2026-07-01 20:10:42,0.0,1.6961,90.0,0.0188,0.0
8,115200,train,2026-07-01 20:12:00,0.0,4.1434,90.0,0.046,0.0
9,138240,train,2026-07-01 20:13:17,0.0039,4.6989,90.0,0.0522,0.0
11,161280,train,2026-07-01 20:14:36,0.0039,6.6742,90.0,0.0742,0.0
12,184320,train,2026-07-01 20:15:52,0.0,7.4127,90.0,0.0824,0.0
14,207360,train,2026-07-01 20:17:09,0.0,9.2976,90.0,0.1033,0.0
15,230400,train,2026-07-01 20:18:24,0.0,9.1081,90.0,0.1012,0.0
17,253440,train,2026-07-01 20:19:41,0.0039,10.5091,90.0,0.1168,0.0
18,276480,train,2026-07-01 20:20:57,0.0039,11.7048,90.0,0.1301,0.0
20,299520,train,2026-07-01 20:22:16,0.0078,11.7335,90.0,0.1304,0.0
21,322560,train,2026-07-01 20:23:32,0.0117,14.0113,90.0,0.1557,0.0039
23,345600,train,2026-07-01 20:24:50,0.0234,13.5124,90.0,0.1501,0.0
