iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-10 03:00:55,0.0,0.0589,90.0,0.0007,0.0
2,23040,train,2026-07-10 03:01:36,0.0,0.159,90.0,0.0018,0.0
3,46080,train,2026-07-10 03:02:17,0.0,0.189,90.0,0.0021,0.0
5,69120,train,2026-07-10 03:03:17,0.0,0.5149,90.0,0.0057,0.0
6,92160,train,2026-07-10 03:04:00,0.0078,1.1622,90.0,0.0129,0.0
8,115200,train,2026-07-10 03:05:01,0.0117,1.8411,90.0,0.0205,0.0
9,138240,train,2026-07-10 03:05:44,0.0195,2.5542,90.0,0.0284,0.0
11,161280,train,2026-07-10 03:06:45,0.0039,2.6243,90.0,0.0292,0.0
12,184320,train,2026-07-10 03:07:28,0.0078,3.2925,90.0,0.0366,0.0
14,207360,train,2026-07-10 03:08:29,0.0156,4.2461,90.0,0.0472,0.0039
15,230400,train,2026-07-10 03:09:12,0.0078,4.2269,90.0,0.047,0.0
17,253440,train,2026-07-10 03:10:13,0.0117,4.8688,90.0,0.0541,0.0
18,276480,train,2026-07-10 03:10:56,0.0117,4.6219,90.0,0.0514,0.0
20,299520,train,2026-07-10 03:11:57,0.0117,4.8679,90.0,0.0541,0.0
21,322560,train,2026-07-10 03:12:41,0.0117,5.4398,90.0,0.0604,0.0
23,345600,train,2026-07-10 03:13:42,0.0234,5.6347,90.0,0.0626,0.0039
24,368640,train,2026-07-10 03:14:26,0.0156,5.5147,90.0,0.0613,0.0
25,368640,eval,2026-07-10 03:16:23,0.2188,14.4597,90.0,0.1607,0.1797
26,391680,train,2026-07-10 03:17:06,0.0195,5.3369,90.0,0.0593,0.0
27,414720,train,2026-07-10 03:17:49,0.0234,4.6877,90.0,0.0521,0.0
29,437760,train,2026-07-10 03:18:50,0.0273,5.007,90.0,0.0556,0.0
30,460800,train,2026-07-10 03:19:33,0.0117,4.6138,90.0,0.0513,0.0
32,483840,train,2026-07-10 03:20:34,0.0195,5.1149,90.0,0.0568,0.0
