iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-09 11:09:09,0.0,0.0794,90.0,0.0009,0.0
2,23040,train,2026-07-09 11:09:56,0.0,0.134,90.0,0.0015,0.0
3,46080,train,2026-07-09 11:10:45,0.0,0.2181,90.0,0.0024,0.0
5,69120,train,2026-07-09 11:11:57,0.0,0.3655,90.0,0.0041,0.0
6,92160,train,2026-07-09 11:12:46,0.0039,0.5258,90.0,0.0058,0.0
8,115200,train,2026-07-09 11:13:58,0.0,0.9004,90.0,0.01,0.0
9,138240,train,2026-07-09 11:14:47,0.0039,1.9555,90.0,0.0217,0.0
11,161280,train,2026-07-09 11:16:01,0.0156,3.0405,90.0,0.0338,0.0
12,184320,train,2026-07-09 11:16:51,0.0117,3.3086,90.0,0.0368,0.0
14,207360,train,2026-07-09 11:18:04,0.0117,3.9778,90.0,0.0442,0.0
15,230400,train,2026-07-09 11:18:56,0.0078,3.9368,90.0,0.0437,0.0
17,253440,train,2026-07-09 11:20:09,0.0117,4.5,90.0,0.05,0.0
18,276480,train,2026-07-09 11:20:59,0.0156,4.3866,90.0,0.0487,0.0
20,299520,train,2026-07-09 11:22:14,0.0117,4.7308,90.0,0.0526,0.0
21,322560,train,2026-07-09 11:23:04,0.0234,6.147,90.0,0.0683,0.0
23,345600,train,2026-07-09 11:24:18,0.0117,5.1705,90.0,0.0574,0.0
24,368640,train,2026-07-09 11:25:09,0.0234,5.9199,90.0,0.0658,0.0
25,368640,eval,2026-07-09 11:28:00,0.3281,18.4083,90.0,0.2045,0.0938
26,391680,train,2026-07-09 11:28:53,0.0078,6.3597,90.0,0.0707,0.0
27,414720,train,2026-07-09 11:29:42,0.0234,6.2996,90.0,0.07,0.0
29,437760,train,2026-07-09 11:30:59,0.0156,5.1488,90.0,0.0572,0.0
30,460800,train,2026-07-09 11:31:48,0.0117,6.3299,90.0,0.0703,0.0
32,483840,train,2026-07-09 11:33:04,0.0117,5.8604,90.0,0.0651,0.0
33,506880,train,2026-07-09 11:33:55,0.0195,5.8219,90.0,0.0647,0.0
35,529920,train,2026-07-09 11:35:10,0.0195,5.4736,90.0,0.0608,0.0
36,552960,train,2026-07-09 11:36:02,0.0156,6.0506,90.0,0.0672,0.0
38,576000,train,2026-07-09 11:37:17,0.0117,6.016,90.0,0.0668,0.0
39,599040,train,2026-07-09 11:38:09,0.0117,6.151,90.0,0.0683,0.0
41,622080,train,2026-07-09 11:39:22,0.0195,6.6937,90.0,0.0744,0.0039
42,645120,train,2026-07-09 11:40:15,0.0117,6.3292,90.0,0.0703,0.0
44,668160,train,2026-07-09 11:41:28,0.0117,5.7923,90.0,0.0644,0.0
45,691200,train,2026-07-09 11:42:20,0.0156,6.6928,90.0,0.0744,0.0
47,714240,train,2026-07-09 11:43:34,0.0156,6.5204,90.0,0.0724,0.0
48,737280,train,2026-07-09 11:44:26,0.0117,7.7656,90.0,0.0863,0.0
49,737280,eval,2026-07-09 11:47:19,0.1328,14.0332,90.0,0.1559,0.0781
50,760320,train,2026-07-09 11:48:08,0.0195,7.1621,90.0,0.0796,0.0
51,783360,train,2026-07-09 11:49:01,0.0234,6.6415,90.0,0.0738,0.0
53,806400,train,2026-07-09 11:50:14,0.0156,5.7046,90.0,0.0634,0.0
54,829440,train,2026-07-09 11:51:08,0.0078,6.5295,90.0,0.0725,0.0
56,852480,train,2026-07-09 11:52:23,0.0156,6.3405,90.0,0.0705,0.0
57,875520,train,2026-07-09 11:53:14,0.0117,6.456,90.0,0.0717,0.0
59,898560,train,2026-07-09 11:54:30,0.0117,7.6161,90.0,0.0846,0.0
60,921600,train,2026-07-09 11:55:20,0.0117,7.4396,90.0,0.0827,0.0
62,944640,train,2026-07-09 11:56:37,0.0195,7.0612,90.0,0.0785,0.0
63,967680,train,2026-07-09 11:57:26,0.0156,6.4051,90.0,0.0712,0.0
65,990720,train,2026-07-09 11:58:43,0.0156,6.7956,90.0,0.0755,0.0
66,1013760,train,2026-07-09 11:59:33,0.0273,6.5434,90.0,0.0727,0.0
68,1036800,train,2026-07-09 12:00:49,0.0,6.512,90.0,0.0724,0.0
69,1059840,train,2026-07-09 12:01:41,0.0234,6.7748,90.0,0.0753,0.0
71,1082880,train,2026-07-09 12:02:55,0.0312,8.0797,90.0,0.0898,0.0
72,1105920,train,2026-07-09 12:03:48,0.0273,6.6498,90.0,0.0739,0.0
73,1105920,eval,2026-07-09 12:06:34,0.3516,18.5856,90.0,0.2065,0.1797
74,1128960,train,2026-07-09 12:07:26,0.0156,6.1515,90.0,0.0684,0.0
75,1152000,train,2026-07-09 12:08:19,0.0234,6.7549,90.0,0.0751,0.0
77,1175040,train,2026-07-09 12:09:33,0.0078,6.3895,90.0,0.071,0.0
78,1198080,train,2026-07-09 12:10:25,0.0156,7.0511,90.0,0.0783,0.0
80,1221120,train,2026-07-09 12:11:39,0.0078,7.437,90.0,0.0826,0.0
81,1244160,train,2026-07-09 12:12:32,0.0352,6.8272,90.0,0.0759,0.0
83,1267200,train,2026-07-09 12:13:45,0.0,7.2613,90.0,0.0807,0.0
84,1290240,train,2026-07-09 12:14:38,0.0273,7.1057,90.0,0.079,0.0
86,1313280,train,2026-07-09 12:15:52,0.0234,7.0687,90.0,0.0785,0.0
87,1336320,train,2026-07-09 12:16:45,0.0078,6.3842,90.0,0.0709,0.0
89,1359360,train,2026-07-09 12:18:00,0.0508,8.4645,90.0,0.0941,0.0
90,1382400,train,2026-07-09 12:18:52,0.0234,9.2724,90.0,0.103,0.0
92,1405440,train,2026-07-09 12:20:08,0.0391,8.2592,90.0,0.0918,0.0
93,1428480,train,2026-07-09 12:20:58,0.0117,7.114,90.0,0.079,0.0
95,1451520,train,2026-07-09 12:22:14,0.0195,8.2323,90.0,0.0915,0.0
96,1474560,train,2026-07-09 12:23:04,0.0234,7.3799,90.0,0.082,0.0
97,1474560,eval,2026-07-09 12:25:55,0.2734,14.8545,90.0,0.165,0.0781
98,1497600,train,2026-07-09 12:26:44,0.0195,6.714,90.0,0.0746,0.0
99,1520640,train,2026-07-09 12:27:37,0.0117,7.445,90.0,0.0827,0.0
101,1543680,train,2026-07-09 12:28:50,0.0078,8.0831,90.0,0.0898,0.0
102,1566720,train,2026-07-09 12:29:42,0.0156,7.7797,90.0,0.0864,0.0
104,1589760,train,2026-07-09 12:30:56,0.0195,7.2179,90.0,0.0802,0.0
105,1612800,train,2026-07-09 12:31:45,0.0312,7.3762,90.0,0.082,0.0
107,1635840,train,2026-07-09 12:33:01,0.0117,7.2945,90.0,0.081,0.0
108,1658880,train,2026-07-09 12:33:51,0.0195,7.0033,90.0,0.0778,0.0
110,1681920,train,2026-07-09 12:35:06,0.0312,6.8101,90.0,0.0757,0.0
111,1704960,train,2026-07-09 12:35:59,0.0117,6.9983,90.0,0.0778,0.0
113,1728000,train,2026-07-09 12:37:12,0.0039,8.1457,90.0,0.0905,0.0
114,1751040,train,2026-07-09 12:38:05,0.0117,6.7642,90.0,0.0752,0.0
116,1774080,train,2026-07-09 12:39:18,0.0273,7.2329,90.0,0.0804,0.0
117,1797120,train,2026-07-09 12:40:08,0.0273,8.3838,90.0,0.0932,0.0
119,1820160,train,2026-07-09 12:41:24,0.0273,8.7349,90.0,0.0971,0.0
120,1843200,train,2026-07-09 12:42:14,0.0352,7.5291,90.0,0.0837,0.0
121,1843200,eval,2026-07-09 12:45:04,0.2188,15.0623,90.0,0.1674,0.0625
122,1866240,train,2026-07-09 12:45:52,0.0352,7.0856,90.0,0.0787,0.0
123,1889280,train,2026-07-09 12:46:45,0.0195,7.4255,90.0,0.0825,0.0
125,1912320,train,2026-07-09 12:47:58,0.0234,6.7875,90.0,0.0754,0.0
