iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-10 03:01:28,0.0,0.0594,90.0,0.0007,0.0
2,23040,train,2026-07-10 03:02:45,0.0,0.1892,90.0,0.0021,0.0
3,46080,train,2026-07-10 03:04:03,0.0,0.2863,90.0,0.0032,0.0
5,69120,train,2026-07-10 03:05:23,0.0,0.6883,90.0,0.0076,0.0
6,92160,train,2026-07-10 03:06:42,0.0156,1.415,90.0,0.0157,0.0
8,115200,train,2026-07-10 03:08:03,0.0078,2.1398,90.0,0.0238,0.0
9,138240,train,2026-07-10 03:09:22,0.0078,2.5773,90.0,0.0286,0.0
11,161280,train,2026-07-10 03:10:43,0.0039,2.6721,90.0,0.0297,0.0
12,184320,train,2026-07-10 03:12:02,0.0156,3.0162,90.0,0.0335,0.0
14,207360,train,2026-07-10 03:13:23,0.0234,3.5146,90.0,0.0391,0.0
15,230400,train,2026-07-10 03:14:43,0.0156,4.2593,90.0,0.0473,0.0
17,253440,train,2026-07-10 03:16:05,0.0156,3.711,90.0,0.0412,0.0
18,276480,train,2026-07-10 03:17:26,0.0156,3.5185,90.0,0.0391,0.0
20,299520,train,2026-07-10 03:18:47,0.0117,3.7126,90.0,0.0413,0.0
21,322560,train,2026-07-10 03:20:07,0.0156,4.3522,90.0,0.0484,0.0039
23,345600,train,2026-07-10 03:21:28,0.0078,5.5958,90.0,0.0622,0.0
24,368640,train,2026-07-10 03:22:48,0.0195,4.4089,90.0,0.049,0.0
25,368640,eval,2026-07-10 03:25:01,0.3438,19.4748,90.0,0.2164,0.1328
26,391680,train,2026-07-10 03:26:20,0.0156,5.1581,90.0,0.0573,0.0
27,414720,train,2026-07-10 03:27:40,0.0156,6.2023,90.0,0.0689,0.0
29,437760,train,2026-07-10 03:29:01,0.0195,5.4202,90.0,0.0602,0.0
30,460800,train,2026-07-10 03:30:21,0.0156,5.4656,90.0,0.0607,0.0
32,483840,train,2026-07-10 03:31:43,0.0117,5.9044,90.0,0.0656,0.0
33,506880,train,2026-07-10 03:33:04,0.0234,5.2112,90.0,0.0579,0.0
35,529920,train,2026-07-10 03:34:25,0.0391,5.8224,90.0,0.0647,0.0
36,552960,train,2026-07-10 03:35:45,0.0156,5.8076,90.0,0.0645,0.0
38,576000,train,2026-07-10 03:37:06,0.0195,5.7948,90.0,0.0644,0.0
39,599040,train,2026-07-10 03:38:26,0.0312,6.3293,90.0,0.0703,0.0
41,622080,train,2026-07-10 03:39:47,0.0273,6.7846,90.0,0.0754,0.0
42,645120,train,2026-07-10 03:41:07,0.0312,6.5529,90.0,0.0728,0.0
44,668160,train,2026-07-10 03:42:28,0.0273,7.038,90.0,0.0782,0.0
45,691200,train,2026-07-10 03:43:48,0.0312,7.2514,90.0,0.0806,0.0
47,714240,train,2026-07-10 03:45:09,0.0195,7.9291,90.0,0.0881,0.0
48,737280,train,2026-07-10 03:46:30,0.0352,6.8634,90.0,0.0763,0.0
49,737280,eval,2026-07-10 03:48:44,0.2109,16.3132,90.0,0.1813,0.1719
50,760320,train,2026-07-10 03:50:04,0.0156,7.6889,90.0,0.0854,0.0
51,783360,train,2026-07-10 03:51:24,0.0352,8.1016,90.0,0.09,0.0
53,806400,train,2026-07-10 03:52:45,0.0352,8.0603,90.0,0.0896,0.0
54,829440,train,2026-07-10 03:54:05,0.0234,8.1736,90.0,0.0908,0.0
