iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-08 04:45:35,0.0,1.8944,90.0,0.021,0.0
2,23040,train,2026-07-08 04:46:20,0.0,2.0454,90.0,0.0227,0.0
3,46080,train,2026-07-08 04:47:06,0.0,3.2177,90.0,0.0358,0.0
5,69120,train,2026-07-08 04:48:13,0.0,4.2911,90.0,0.0477,0.0
6,92160,train,2026-07-08 04:48:59,0.0,5.7199,90.0,0.0636,0.0
8,115200,train,2026-07-08 04:50:07,0.0117,7.1159,90.0,0.0791,0.0
9,138240,train,2026-07-08 04:50:54,0.0039,7.6577,90.0,0.0851,0.0
11,161280,train,2026-07-08 04:52:02,0.0,8.2349,90.0,0.0915,0.0
12,184320,train,2026-07-08 04:52:48,0.0117,7.8379,90.0,0.0871,0.0
14,207360,train,2026-07-08 04:53:56,0.0156,8.4221,90.0,0.0936,0.0
15,230400,train,2026-07-08 04:54:43,0.0039,7.9033,90.0,0.0878,0.0
17,253440,train,2026-07-08 04:55:51,0.0117,8.1784,90.0,0.0909,0.0
18,276480,train,2026-07-08 04:56:37,0.0,8.1687,90.0,0.0908,0.0
20,299520,train,2026-07-08 04:57:45,0.0156,7.9789,90.0,0.0887,0.0
21,322560,train,2026-07-08 04:58:32,0.0117,8.4085,90.0,0.0934,0.0
23,345600,train,2026-07-08 04:59:40,0.0117,8.7497,90.0,0.0972,0.0
24,368640,train,2026-07-08 05:00:26,0.0078,7.5624,90.0,0.084,0.0
25,368640,eval,2026-07-08 05:02:24,0.1719,13.718,90.0,0.1524,0.1016
26,391680,train,2026-07-08 05:03:10,0.0156,8.1196,90.0,0.0902,0.0
27,414720,train,2026-07-08 05:03:57,0.0078,8.109,90.0,0.0901,0.0
29,437760,train,2026-07-08 05:05:05,0.0039,8.4155,90.0,0.0935,0.0
30,460800,train,2026-07-08 05:05:51,0.0039,8.0843,90.0,0.0898,0.0
32,483840,train,2026-07-08 05:06:59,0.0156,8.6566,90.0,0.0962,0.0039
33,506880,train,2026-07-08 05:07:45,0.0156,8.7438,90.0,0.0972,0.0
35,529920,train,2026-07-08 05:08:54,0.0039,8.5545,90.0,0.095,0.0
36,552960,train,2026-07-08 05:09:40,0.0,8.835,90.0,0.0982,0.0
38,576000,train,2026-07-08 05:10:49,0.0195,9.1216,90.0,0.1014,0.0
39,599040,train,2026-07-08 05:11:36,0.0273,8.9952,90.0,0.0999,0.0
41,622080,train,2026-07-08 05:12:45,0.0156,8.8211,90.0,0.098,0.0
42,645120,train,2026-07-08 05:13:32,0.0234,8.9529,90.0,0.0995,0.0
44,668160,train,2026-07-08 05:14:40,0.0312,8.9462,90.0,0.0994,0.0
45,691200,train,2026-07-08 05:15:27,0.0312,8.9864,90.0,0.0998,0.0
47,714240,train,2026-07-08 05:16:35,0.0273,9.0047,90.0,0.1001,0.0
48,737280,train,2026-07-08 05:17:22,0.0312,9.4138,90.0,0.1046,0.0
49,737280,eval,2026-07-08 05:19:21,0.3516,22.1177,90.0,0.2458,0.2422
50,760320,train,2026-07-08 05:20:07,0.0195,9.2779,90.0,0.1031,0.0
51,783360,train,2026-07-08 05:20:54,0.0352,9.0971,90.0,0.1011,0.0
53,806400,train,2026-07-08 05:22:03,0.0234,8.516,90.0,0.0946,0.0
54,829440,train,2026-07-08 05:22:50,0.0273,9.2195,90.0,0.1024,0.0
56,852480,train,2026-07-08 05:23:59,0.0078,9.1067,90.0,0.1012,0.0
57,875520,train,2026-07-08 05:24:46,0.0312,9.1866,90.0,0.1021,0.0
59,898560,train,2026-07-08 05:25:54,0.0078,9.3188,90.0,0.1035,0.0
60,921600,train,2026-07-08 05:26:41,0.0273,9.1507,90.0,0.1017,0.0
62,944640,train,2026-07-08 05:27:50,0.0352,9.1425,90.0,0.1016,0.0
63,967680,train,2026-07-08 05:28:38,0.0195,9.051,90.0,0.1006,0.0
65,990720,train,2026-07-08 05:29:47,0.0391,9.7719,90.0,0.1086,0.0
66,1013760,train,2026-07-08 05:30:34,0.0508,9.7327,90.0,0.1081,0.0
68,1036800,train,2026-07-08 05:31:43,0.0195,9.349,90.0,0.1039,0.0039
69,1059840,train,2026-07-08 05:32:29,0.0273,9.366,90.0,0.1041,0.0
71,1082880,train,2026-07-08 05:33:38,0.0234,9.1483,90.0,0.1016,0.0
72,1105920,train,2026-07-08 05:34:25,0.0469,9.4758,90.0,0.1053,0.0
73,1105920,eval,2026-07-08 05:36:26,0.3672,24.1293,90.0,0.2681,0.2266
74,1128960,train,2026-07-08 05:37:12,0.0312,9.5881,90.0,0.1065,0.0
75,1152000,train,2026-07-08 05:38:00,0.0352,9.2789,90.0,0.1031,0.0
77,1175040,train,2026-07-08 05:39:08,0.0117,9.0255,90.0,0.1003,0.0
78,1198080,train,2026-07-08 05:39:55,0.0352,9.8325,90.0,0.1092,0.0
80,1221120,train,2026-07-08 05:41:03,0.0352,9.0787,90.0,0.1009,0.0
81,1244160,train,2026-07-08 05:41:50,0.043,9.6785,90.0,0.1075,0.0
83,1267200,train,2026-07-08 05:42:59,0.0352,9.2119,90.0,0.1024,0.0
84,1290240,train,2026-07-08 05:43:45,0.0273,8.7336,90.0,0.097,0.0
86,1313280,train,2026-07-08 05:44:54,0.0312,9.3498,90.0,0.1039,0.0
87,1336320,train,2026-07-08 05:45:41,0.0391,9.4568,90.0,0.1051,0.0
89,1359360,train,2026-07-08 05:46:50,0.0352,8.9261,90.0,0.0992,0.0
90,1382400,train,2026-07-08 05:47:37,0.043,8.6654,90.0,0.0963,0.0
92,1405440,train,2026-07-08 05:48:46,0.0547,9.2266,90.0,0.1025,0.0
93,1428480,train,2026-07-08 05:49:33,0.0352,9.3524,90.0,0.1039,0.0
95,1451520,train,2026-07-08 05:50:42,0.0312,9.3853,90.0,0.1043,0.0
96,1474560,train,2026-07-08 05:51:28,0.0469,9.383,90.0,0.1043,0.0
97,1474560,eval,2026-07-08 05:53:29,0.3672,20.8796,90.0,0.232,0.2266
98,1497600,train,2026-07-08 05:54:15,0.043,9.7644,90.0,0.1085,0.0
99,1520640,train,2026-07-08 05:55:03,0.0391,9.5128,90.0,0.1057,0.0
101,1543680,train,2026-07-08 05:56:11,0.0508,9.471,90.0,0.1052,0.0
102,1566720,train,2026-07-08 05:56:58,0.0352,9.4745,90.0,0.1053,0.0
104,1589760,train,2026-07-08 05:58:07,0.0508,9.4817,90.0,0.1054,0.0
105,1612800,train,2026-07-08 05:58:54,0.0391,8.8937,90.0,0.0988,0.0
107,1635840,train,2026-07-08 06:00:02,0.0469,9.3693,90.0,0.1041,0.0039
108,1658880,train,2026-07-08 06:00:49,0.0391,9.3727,90.0,0.1041,0.0
110,1681920,train,2026-07-08 06:01:59,0.0469,9.0691,90.0,0.1008,0.0
111,1704960,train,2026-07-08 06:02:46,0.0547,9.3848,90.0,0.1043,0.0
113,1728000,train,2026-07-08 06:03:55,0.043,9.8117,90.0,0.109,0.0
114,1751040,train,2026-07-08 06:04:42,0.0234,8.8358,90.0,0.0982,0.0
116,1774080,train,2026-07-08 06:05:50,0.0625,9.6306,90.0,0.107,0.0
117,1797120,train,2026-07-08 06:06:37,0.0703,9.6704,90.0,0.1074,0.0
119,1820160,train,2026-07-08 06:07:46,0.0586,9.932,90.0,0.1104,0.0
120,1843200,train,2026-07-08 06:08:32,0.0508,9.4488,90.0,0.105,0.0
121,1843200,eval,2026-07-08 06:10:34,0.3516,21.951,90.0,0.2439,0.2031
122,1866240,train,2026-07-08 06:11:21,0.082,9.6003,90.0,0.1067,0.0
123,1889280,train,2026-07-08 06:12:08,0.043,8.9919,90.0,0.0999,0.0
125,1912320,train,2026-07-08 06:13:17,0.0742,9.8033,90.0,0.1089,0.0
126,1935360,train,2026-07-08 06:14:04,0.0625,9.1227,90.0,0.1014,0.0
128,1958400,train,2026-07-08 06:15:12,0.0352,9.125,90.0,0.1014,0.0
129,1981440,train,2026-07-08 06:15:59,0.0391,9.5885,90.0,0.1065,0.0
131,2004480,train,2026-07-08 06:17:07,0.0547,9.2068,90.0,0.1023,0.0
132,2027520,train,2026-07-08 06:17:54,0.0625,9.6797,90.0,0.1076,0.0
134,2050560,train,2026-07-08 06:19:03,0.0586,9.2495,90.0,0.1028,0.0
135,2073600,train,2026-07-08 06:19:50,0.0508,9.8817,90.0,0.1098,0.0
137,2096640,train,2026-07-08 06:20:59,0.0742,9.3549,90.0,0.1039,0.0
138,2119680,train,2026-07-08 06:21:45,0.0664,9.2437,90.0,0.1027,0.0039
140,2142720,train,2026-07-08 06:22:54,0.0742,10.2636,90.0,0.114,0.0
141,2165760,train,2026-07-08 06:23:41,0.043,8.9143,90.0,0.099,0.0
143,2188800,train,2026-07-08 06:24:49,0.0586,9.0621,90.0,0.1007,0.0
144,2211840,train,2026-07-08 06:25:36,0.0273,9.4435,90.0,0.1049,0.0
145,2211840,eval,2026-07-08 06:27:36,0.3516,22.6239,90.0,0.2514,0.1953
146,2234880,train,2026-07-08 06:28:23,0.0312,8.8181,90.0,0.098,0.0
147,2257920,train,2026-07-08 06:29:10,0.0664,9.2895,90.0,0.1032,0.0
149,2280960,train,2026-07-08 06:30:19,0.0469,10.0141,90.0,0.1113,0.0
150,2304000,train,2026-07-08 06:31:06,0.0703,10.2991,90.0,0.1144,0.0
152,2327040,train,2026-07-08 06:32:15,0.0508,9.1415,90.0,0.1016,0.0
153,2350080,train,2026-07-08 06:33:02,0.0898,10.0676,90.0,0.1119,0.0
155,2373120,train,2026-07-08 06:34:10,0.0625,10.0243,90.0,0.1114,0.0
156,2396160,train,2026-07-08 06:34:57,0.0664,9.794,90.0,0.1088,0.0
158,2419200,train,2026-07-08 06:36:06,0.1289,10.4339,90.0,0.1159,0.0
159,2442240,train,2026-07-08 06:36:53,0.0781,9.4767,90.0,0.1053,0.0
161,2465280,train,2026-07-08 06:38:02,0.0977,10.3041,90.0,0.1145,0.0039
162,2488320,train,2026-07-08 06:38:49,0.0703,9.2654,90.0,0.1029,0.0
164,2511360,train,2026-07-08 06:39:57,0.0547,9.5622,90.0,0.1062,0.0
165,2534400,train,2026-07-08 06:40:44,0.043,9.6056,90.0,0.1067,0.0
167,2557440,train,2026-07-08 06:41:53,0.0469,9.6523,90.0,0.1072,0.0
168,2580480,train,2026-07-08 06:42:39,0.0586,9.5284,90.0,0.1059,0.0
169,2580480,eval,2026-07-08 06:44:39,0.4062,24.2838,90.0,0.2698,0.2188
170,2603520,train,2026-07-08 06:45:26,0.0391,9.778,90.0,0.1086,0.0
171,2626560,train,2026-07-08 06:46:13,0.0547,9.5699,90.0,0.1063,0.0039
173,2649600,train,2026-07-08 06:47:21,0.0703,10.2998,90.0,0.1144,0.0078
174,2672640,train,2026-07-08 06:48:08,0.0703,10.1293,90.0,0.1125,0.0
176,2695680,train,2026-07-08 06:49:16,0.0547,9.6541,90.0,0.1073,0.0
177,2718720,train,2026-07-08 06:50:03,0.0703,9.8831,90.0,0.1098,0.0078
179,2741760,train,2026-07-08 06:51:11,0.0977,10.0353,90.0,0.1115,0.0
180,2764800,train,2026-07-08 06:51:58,0.0664,9.4736,90.0,0.1053,0.0
182,2787840,train,2026-07-08 06:53:06,0.0508,9.6309,90.0,0.107,0.0039
183,2810880,train,2026-07-08 06:53:53,0.0547,9.7958,90.0,0.1088,0.0039
185,2833920,train,2026-07-08 06:55:01,0.0586,9.8162,90.0,0.1091,0.0
186,2856960,train,2026-07-08 06:55:48,0.043,9.5138,90.0,0.1057,0.0
188,2880000,train,2026-07-08 06:56:56,0.0234,9.4309,90.0,0.1048,0.0
189,2903040,train,2026-07-08 06:57:43,0.082,9.919,90.0,0.1102,0.0078
191,2926080,train,2026-07-08 06:58:51,0.0352,9.3377,90.0,0.1038,0.0
