iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-08 20:28:16,0.0,1.8244,90.0,0.0203,0.0
2,23040,train,2026-07-08 20:29:02,0.0,2.0302,90.0,0.0226,0.0
3,46080,train,2026-07-08 20:29:48,0.0,3.159,90.0,0.0351,0.0
5,69120,train,2026-07-08 20:30:57,0.0,4.2491,90.0,0.0472,0.0
6,92160,train,2026-07-08 20:31:44,0.0,5.3785,90.0,0.0598,0.0
8,115200,train,2026-07-08 20:32:51,0.0078,6.6912,90.0,0.0743,0.0
9,138240,train,2026-07-08 20:33:42,0.0,6.8898,90.0,0.0766,0.0
11,161280,train,2026-07-08 20:34:50,0.0,7.4479,90.0,0.0828,0.0
12,184320,train,2026-07-08 20:35:37,0.0039,7.5011,90.0,0.0833,0.0
14,207360,train,2026-07-08 20:36:47,0.0078,8.1257,90.0,0.0903,0.0
15,230400,train,2026-07-08 20:37:34,0.0039,7.3937,90.0,0.0822,0.0
17,253440,train,2026-07-08 20:38:43,0.0,7.3884,90.0,0.0821,0.0
18,276480,train,2026-07-08 20:39:32,0.0039,7.4336,90.0,0.0826,0.0039
20,299520,train,2026-07-08 20:40:40,0.0,6.9418,90.0,0.0771,0.0
21,322560,train,2026-07-08 20:41:27,0.0,6.8489,90.0,0.0761,0.0
23,345600,train,2026-07-08 20:42:36,0.0078,7.7748,90.0,0.0864,0.0
24,368640,train,2026-07-08 20:43:21,0.0078,7.3203,90.0,0.0813,0.0
25,368640,eval,2026-07-08 20:45:52,0.1328,12.6166,90.0,0.1402,0.1094
26,391680,train,2026-07-08 20:46:40,0.0078,8.0432,90.0,0.0894,0.0
27,414720,train,2026-07-08 20:47:28,0.0,7.8938,90.0,0.0877,0.0
29,437760,train,2026-07-08 20:48:38,0.0078,8.245,90.0,0.0916,0.0
30,460800,train,2026-07-08 20:49:25,0.0039,7.5795,90.0,0.0842,0.0
32,483840,train,2026-07-08 20:50:34,0.0039,8.2187,90.0,0.0913,0.0
33,506880,train,2026-07-08 20:51:23,0.0156,8.0439,90.0,0.0894,0.0
35,529920,train,2026-07-08 20:52:32,0.0039,8.1957,90.0,0.0911,0.0
36,552960,train,2026-07-08 20:53:21,0.0039,8.1616,90.0,0.0907,0.0
38,576000,train,2026-07-08 20:54:31,0.0117,8.4858,90.0,0.0943,0.0
39,599040,train,2026-07-08 20:55:17,0.0039,8.2938,90.0,0.0922,0.0
41,622080,train,2026-07-08 20:56:27,0.0,8.0114,90.0,0.089,0.0
42,645120,train,2026-07-08 20:57:16,0.0078,8.3983,90.0,0.0933,0.0
44,668160,train,2026-07-08 20:58:24,0.0078,8.3655,90.0,0.0929,0.0
45,691200,train,2026-07-08 20:59:13,0.0117,8.4083,90.0,0.0934,0.0
47,714240,train,2026-07-08 21:00:21,0.0039,8.5803,90.0,0.0953,0.0
48,737280,train,2026-07-08 21:01:08,0.0078,8.6511,90.0,0.0961,0.0
49,737280,eval,2026-07-08 21:03:41,0.1016,10.4652,90.0,0.1163,0.0312
50,760320,train,2026-07-08 21:04:27,0.0039,8.0668,90.0,0.0896,0.0
51,783360,train,2026-07-08 21:05:16,0.0,7.9841,90.0,0.0887,0.0
53,806400,train,2026-07-08 21:06:25,0.0,7.8642,90.0,0.0874,0.0
54,829440,train,2026-07-08 21:07:11,0.0039,8.4409,90.0,0.0938,0.0
56,852480,train,2026-07-08 21:08:22,0.0,8.5739,90.0,0.0953,0.0
57,875520,train,2026-07-08 21:09:10,0.0078,8.5064,90.0,0.0945,0.0
59,898560,train,2026-07-08 21:10:18,0.0039,8.5597,90.0,0.0951,0.0
60,921600,train,2026-07-08 21:11:08,0.0,8.267,90.0,0.0919,0.0
62,944640,train,2026-07-08 21:12:16,0.0078,8.3616,90.0,0.0929,0.0
63,967680,train,2026-07-08 21:13:02,0.0195,8.4622,90.0,0.094,0.0
65,990720,train,2026-07-08 21:14:14,0.0078,8.8782,90.0,0.0986,0.0
66,1013760,train,2026-07-08 21:15:02,0.0039,8.5543,90.0,0.095,0.0
68,1036800,train,2026-07-08 21:16:10,0.0039,8.4736,90.0,0.0942,0.0
69,1059840,train,2026-07-08 21:17:00,0.0078,8.2893,90.0,0.0921,0.0
71,1082880,train,2026-07-08 21:18:09,0.0078,8.3563,90.0,0.0928,0.0
72,1105920,train,2026-07-08 21:18:56,0.0039,8.6132,90.0,0.0957,0.0
73,1105920,eval,2026-07-08 21:21:30,0.2891,22.5621,90.0,0.2507,0.2031
74,1128960,train,2026-07-08 21:22:17,0.0078,8.7968,90.0,0.0977,0.0
75,1152000,train,2026-07-08 21:23:06,0.0039,8.6965,90.0,0.0966,0.0
77,1175040,train,2026-07-08 21:24:16,0.0,8.4669,90.0,0.0941,0.0
78,1198080,train,2026-07-08 21:25:01,0.0039,9.174,90.0,0.1019,0.0
80,1221120,train,2026-07-08 21:26:11,0.0156,8.9001,90.0,0.0989,0.0
81,1244160,train,2026-07-08 21:27:00,0.0,8.8698,90.0,0.0986,0.0
83,1267200,train,2026-07-08 21:28:09,0.0117,8.4655,90.0,0.0941,0.0
84,1290240,train,2026-07-08 21:28:58,0.0078,8.315,90.0,0.0924,0.0
86,1313280,train,2026-07-08 21:30:07,0.0195,8.8354,90.0,0.0982,0.0
87,1336320,train,2026-07-08 21:30:53,0.0078,8.8772,90.0,0.0986,0.0
89,1359360,train,2026-07-08 21:32:06,0.0039,8.3767,90.0,0.0931,0.0
90,1382400,train,2026-07-08 21:32:54,0.0078,7.7953,90.0,0.0866,0.0
92,1405440,train,2026-07-08 21:34:01,0.0078,8.5279,90.0,0.0948,0.0
93,1428480,train,2026-07-08 21:34:51,0.0078,8.2736,90.0,0.0919,0.0
95,1451520,train,2026-07-08 21:36:00,0.0039,8.3696,90.0,0.093,0.0
96,1474560,train,2026-07-08 21:36:46,0.0039,8.6882,90.0,0.0965,0.0
97,1474560,eval,2026-07-08 21:39:20,0.25,18.2455,90.0,0.2027,0.2031
98,1497600,train,2026-07-08 21:40:05,0.0039,8.6169,90.0,0.0957,0.0
99,1520640,train,2026-07-08 21:40:55,0.0078,8.2167,90.0,0.0913,0.0
101,1543680,train,2026-07-08 21:42:03,0.0039,8.2032,90.0,0.0911,0.0
102,1566720,train,2026-07-08 21:42:49,0.0,8.3447,90.0,0.0927,0.0
104,1589760,train,2026-07-08 21:44:00,0.0117,8.2006,90.0,0.0911,0.0
105,1612800,train,2026-07-08 21:44:47,0.0,7.9279,90.0,0.0881,0.0
107,1635840,train,2026-07-08 21:45:55,0.0,8.4315,90.0,0.0937,0.0
108,1658880,train,2026-07-08 21:46:45,0.0,8.6368,90.0,0.096,0.0
110,1681920,train,2026-07-08 21:47:56,0.0039,8.8098,90.0,0.0979,0.0
111,1704960,train,2026-07-08 21:48:45,0.0,8.7522,90.0,0.0972,0.0
113,1728000,train,2026-07-08 21:49:55,0.0039,8.8251,90.0,0.0981,0.0
114,1751040,train,2026-07-08 21:50:41,0.0,7.865,90.0,0.0874,0.0
116,1774080,train,2026-07-08 21:51:52,0.0078,8.9072,90.0,0.099,0.0
117,1797120,train,2026-07-08 21:52:38,0.0078,8.597,90.0,0.0955,0.0
119,1820160,train,2026-07-08 21:53:45,0.0039,8.893,90.0,0.0988,0.0
120,1843200,train,2026-07-08 21:54:35,0.0,8.5821,90.0,0.0954,0.0
121,1843200,eval,2026-07-08 21:57:03,0.2344,16.9133,90.0,0.1879,0.1016
122,1866240,train,2026-07-08 21:57:48,0.0,8.3724,90.0,0.093,0.0
123,1889280,train,2026-07-08 21:58:38,0.0039,8.4608,90.0,0.094,0.0
125,1912320,train,2026-07-08 21:59:46,0.0156,8.6043,90.0,0.0956,0.0
126,1935360,train,2026-07-08 22:00:32,0.0117,8.8147,90.0,0.0979,0.0
128,1958400,train,2026-07-08 22:01:41,0.0078,8.7954,90.0,0.0977,0.0
129,1981440,train,2026-07-08 22:02:28,0.0039,8.5371,90.0,0.0949,0.0
131,2004480,train,2026-07-08 22:03:36,0.0117,8.5678,90.0,0.0952,0.0
132,2027520,train,2026-07-08 22:04:26,0.0117,8.6794,90.0,0.0964,0.0
134,2050560,train,2026-07-08 22:05:35,0.0039,8.4303,90.0,0.0937,0.0
135,2073600,train,2026-07-08 22:06:23,0.0,8.2833,90.0,0.092,0.0
137,2096640,train,2026-07-08 22:07:33,0.0039,8.3944,90.0,0.0933,0.0
138,2119680,train,2026-07-08 22:08:19,0.0,8.1421,90.0,0.0905,0.0
140,2142720,train,2026-07-08 22:09:26,0.0,8.579,90.0,0.0953,0.0
141,2165760,train,2026-07-08 22:10:14,0.0,7.7694,90.0,0.0863,0.0
143,2188800,train,2026-07-08 22:11:20,0.0,7.8415,90.0,0.0871,0.0
144,2211840,train,2026-07-08 22:12:05,0.0078,7.8961,90.0,0.0877,0.0
145,2211840,eval,2026-07-08 22:14:34,0.0234,8.8472,90.0,0.0983,0.0
146,2234880,train,2026-07-08 22:15:20,0.0,7.3187,90.0,0.0813,0.0
147,2257920,train,2026-07-08 22:16:09,0.0039,7.6785,90.0,0.0853,0.0
149,2280960,train,2026-07-08 22:17:18,0.0,7.9774,90.0,0.0886,0.0
150,2304000,train,2026-07-08 22:18:03,0.0,8.3404,90.0,0.0927,0.0
152,2327040,train,2026-07-08 22:19:13,0.0039,7.9962,90.0,0.0888,0.0
153,2350080,train,2026-07-08 22:20:01,0.0,8.1284,90.0,0.0903,0.0
155,2373120,train,2026-07-08 22:21:08,0.0039,8.0616,90.0,0.0896,0.0
156,2396160,train,2026-07-08 22:21:58,0.0039,8.1273,90.0,0.0903,0.0
158,2419200,train,2026-07-08 22:23:06,0.0,8.6459,90.0,0.0961,0.0
159,2442240,train,2026-07-08 22:23:54,0.0,8.0603,90.0,0.0896,0.0
161,2465280,train,2026-07-08 22:25:03,0.0,8.4086,90.0,0.0934,0.0
162,2488320,train,2026-07-08 22:25:49,0.0078,8.0082,90.0,0.089,0.0
164,2511360,train,2026-07-08 22:26:58,0.0039,8.2387,90.0,0.0915,0.0
165,2534400,train,2026-07-08 22:27:47,0.0,8.0026,90.0,0.0889,0.0
167,2557440,train,2026-07-08 22:28:55,0.0039,8.2946,90.0,0.0922,0.0
168,2580480,train,2026-07-08 22:29:43,0.0078,8.5689,90.0,0.0952,0.0
169,2580480,eval,2026-07-08 22:32:17,0.125,10.1667,90.0,0.113,0.0312
170,2603520,train,2026-07-08 22:33:02,0.0078,8.9445,90.0,0.0994,0.0
171,2626560,train,2026-07-08 22:33:52,0.0117,8.2865,90.0,0.0921,0.0039
173,2649600,train,2026-07-08 22:35:01,0.0078,8.8754,90.0,0.0986,0.0
174,2672640,train,2026-07-08 22:35:49,0.0234,9.0618,90.0,0.1007,0.0
176,2695680,train,2026-07-08 22:36:59,0.0117,8.9725,90.0,0.0997,0.0
177,2718720,train,2026-07-08 22:37:45,0.0078,9.0251,90.0,0.1003,0.0
179,2741760,train,2026-07-08 22:38:54,0.0195,9.0733,90.0,0.1008,0.0
180,2764800,train,2026-07-08 22:39:44,0.0156,8.5176,90.0,0.0946,0.0
182,2787840,train,2026-07-08 22:40:53,0.0156,8.5715,90.0,0.0952,0.0
183,2810880,train,2026-07-08 22:41:42,0.0078,8.8291,90.0,0.0981,0.0
185,2833920,train,2026-07-08 22:42:53,0.0156,8.5991,90.0,0.0955,0.0
186,2856960,train,2026-07-08 22:43:38,0.0039,8.7561,90.0,0.0973,0.0
188,2880000,train,2026-07-08 22:44:47,0.0117,8.5564,90.0,0.0951,0.0
189,2903040,train,2026-07-08 22:45:36,0.0156,9.2307,90.0,0.1026,0.0
191,2926080,train,2026-07-08 22:46:45,0.0,8.6027,90.0,0.0956,0.0
192,2949120,train,2026-07-08 22:47:34,0.0,9.1242,90.0,0.1014,0.0
193,2949120,eval,2026-07-08 22:50:08,0.1875,15.6753,90.0,0.1742,0.1172
194,2972160,train,2026-07-08 22:50:53,0.0156,9.0545,90.0,0.1006,0.0
195,2995200,train,2026-07-08 22:51:44,0.0156,8.8756,90.0,0.0986,0.0
197,3018240,train,2026-07-08 22:52:52,0.0078,8.4082,90.0,0.0934,0.0
198,3041280,train,2026-07-08 22:53:40,0.0078,8.428,90.0,0.0936,0.0
200,3064320,train,2026-07-08 22:54:50,0.0156,9.1121,90.0,0.1012,0.0039
201,3087360,train,2026-07-08 22:55:37,0.0039,8.7425,90.0,0.0971,0.0
203,3110400,train,2026-07-08 22:56:45,0.0078,8.9053,90.0,0.0989,0.0
204,3133440,train,2026-07-08 22:57:36,0.0039,8.6467,90.0,0.0961,0.0
206,3156480,train,2026-07-08 22:58:45,0.0195,8.9596,90.0,0.0996,0.0
207,3179520,train,2026-07-08 22:59:33,0.0117,8.6223,90.0,0.0958,0.0039
209,3202560,train,2026-07-08 23:00:43,0.0078,8.8591,90.0,0.0984,0.0
210,3225600,train,2026-07-08 23:01:29,0.0195,8.5492,90.0,0.095,0.0
212,3248640,train,2026-07-08 23:02:38,0.0117,9.2472,90.0,0.1027,0.0
213,3271680,train,2026-07-08 23:03:27,0.0039,8.9881,90.0,0.0999,0.0
215,3294720,train,2026-07-08 23:04:34,0.0039,9.2471,90.0,0.1027,0.0
216,3317760,train,2026-07-08 23:05:22,0.0156,8.7796,90.0,0.0976,0.0
217,3317760,eval,2026-07-08 23:07:55,0.0312,9.569,90.0,0.1063,0.0078
218,3340800,train,2026-07-08 23:08:40,0.0078,8.8815,90.0,0.0987,0.0
219,3363840,train,2026-07-08 23:09:29,0.0156,8.4327,90.0,0.0937,0.0
221,3386880,train,2026-07-08 23:10:36,0.0039,8.701,90.0,0.0967,0.0
222,3409920,train,2026-07-08 23:11:21,0.0078,8.4436,90.0,0.0938,0.0
224,3432960,train,2026-07-08 23:12:27,0.0,7.7598,90.0,0.0862,0.0
225,3456000,train,2026-07-08 23:13:16,0.0039,8.3742,90.0,0.093,0.0
227,3479040,train,2026-07-08 23:14:24,0.0,8.2617,90.0,0.0918,0.0
228,3502080,train,2026-07-08 23:15:12,0.0117,8.7358,90.0,0.0971,0.0
230,3525120,train,2026-07-08 23:16:22,0.0,8.9059,90.0,0.099,0.0
231,3548160,train,2026-07-08 23:17:09,0.0039,8.5911,90.0,0.0955,0.0
233,3571200,train,2026-07-08 23:18:17,0.0117,8.9376,90.0,0.0993,0.0039
234,3594240,train,2026-07-08 23:19:07,0.0039,8.7699,90.0,0.0974,0.0
236,3617280,train,2026-07-08 23:20:15,0.0039,8.9291,90.0,0.0992,0.0
237,3640320,train,2026-07-08 23:21:02,0.0117,8.9427,90.0,0.0994,0.0
239,3663360,train,2026-07-08 23:22:09,0.0039,8.9167,90.0,0.0991,0.0
240,3686400,train,2026-07-08 23:22:57,0.0117,8.6711,90.0,0.0963,0.0
241,3686400,eval,2026-07-08 23:25:24,0.0156,9.2656,90.0,0.103,0.0078
242,3709440,train,2026-07-08 23:26:13,0.0039,8.1224,90.0,0.0902,0.0
243,3732480,train,2026-07-08 23:26:59,0.0039,8.5351,90.0,0.0948,0.0
245,3755520,train,2026-07-08 23:28:10,0.0,8.4148,90.0,0.0935,0.0
246,3778560,train,2026-07-08 23:28:56,0.0039,8.48,90.0,0.0942,0.0
248,3801600,train,2026-07-08 23:30:04,0.0039,8.3108,90.0,0.0923,0.0
249,3824640,train,2026-07-08 23:30:54,0.0039,8.1092,90.0,0.0901,0.0
251,3847680,train,2026-07-08 23:32:01,0.0078,8.8014,90.0,0.0978,0.0
252,3870720,train,2026-07-08 23:32:49,0.0078,8.1811,90.0,0.0909,0.0
254,3893760,train,2026-07-08 23:33:59,0.0078,8.6861,90.0,0.0965,0.0
255,3916800,train,2026-07-08 23:34:45,0.0156,8.8623,90.0,0.0985,0.0
257,3939840,train,2026-07-08 23:35:53,0.0078,7.9485,90.0,0.0883,0.0
258,3962880,train,2026-07-08 23:36:42,0.0039,8.4165,90.0,0.0935,0.0039
260,3985920,train,2026-07-08 23:37:50,0.0,8.3414,90.0,0.0927,0.0
261,4008960,train,2026-07-08 23:38:39,0.0039,8.3343,90.0,0.0926,0.0
263,4032000,train,2026-07-08 23:39:48,0.0117,8.5819,90.0,0.0954,0.0
264,4055040,train,2026-07-08 23:40:35,0.0,8.6843,90.0,0.0965,0.0
265,4055040,eval,2026-07-08 23:43:07,0.0859,9.9882,90.0,0.111,0.0469
266,4078080,train,2026-07-08 23:43:54,0.0,8.6619,90.0,0.0962,0.0
267,4101120,train,2026-07-08 23:44:43,0.0078,8.2669,90.0,0.0919,0.0
269,4124160,train,2026-07-08 23:45:53,0.0078,8.4646,90.0,0.0941,0.0
270,4147200,train,2026-07-08 23:46:39,0.0039,8.5283,90.0,0.0948,0.0
272,4170240,train,2026-07-08 23:47:48,0.0,8.4294,90.0,0.0937,0.0
273,4193280,train,2026-07-08 23:48:37,0.0,8.1979,90.0,0.0911,0.0
275,4216320,train,2026-07-08 23:49:45,0.0,8.0549,90.0,0.0895,0.0
276,4239360,train,2026-07-08 23:50:34,0.0039,8.5434,90.0,0.0949,0.0
278,4262400,train,2026-07-08 23:51:43,0.0039,8.3615,90.0,0.0929,0.0
279,4285440,train,2026-07-08 23:52:28,0.0195,8.1021,90.0,0.09,0.0039
281,4308480,train,2026-07-08 23:53:37,0.0078,8.2415,90.0,0.0916,0.0
282,4331520,train,2026-07-08 23:54:25,0.0117,9.2035,90.0,0.1023,0.0
284,4354560,train,2026-07-08 23:55:33,0.0195,8.9013,90.0,0.0989,0.0
285,4377600,train,2026-07-08 23:56:22,0.0039,8.7095,90.0,0.0968,0.0
287,4400640,train,2026-07-08 23:57:31,0.0156,8.7943,90.0,0.0977,0.0
288,4423680,train,2026-07-08 23:58:18,0.0156,9.1357,90.0,0.1015,0.0
289,4423680,eval,2026-07-09 00:00:53,0.3203,20.0664,90.0,0.223,0.2656
290,4446720,train,2026-07-09 00:01:39,0.0039,9.1896,90.0,0.1021,0.0
291,4469760,train,2026-07-09 00:02:29,0.0156,8.7786,90.0,0.0975,0.0
293,4492800,train,2026-07-09 00:03:38,0.0117,9.4083,90.0,0.1045,0.0
294,4515840,train,2026-07-09 00:04:25,0.0156,9.3853,90.0,0.1043,0.0
296,4538880,train,2026-07-09 00:05:36,0.0078,9.2342,90.0,0.1026,0.0
297,4561920,train,2026-07-09 00:06:21,0.0234,9.4049,90.0,0.1045,0.0
299,4584960,train,2026-07-09 00:07:29,0.0,8.5,90.0,0.0944,0.0
300,4608000,train,2026-07-09 00:08:19,0.0039,9.1838,90.0,0.102,0.0
302,4631040,train,2026-07-09 00:09:29,0.0078,9.3345,90.0,0.1037,0.0
303,4654080,train,2026-07-09 00:10:19,0.0156,8.6038,90.0,0.0956,0.0039
305,4677120,train,2026-07-09 00:11:29,0.0117,8.7764,90.0,0.0975,0.0
306,4700160,train,2026-07-09 00:12:18,0.0,9.0254,90.0,0.1003,0.0
308,4723200,train,2026-07-09 00:13:29,0.0078,9.1026,90.0,0.1011,0.0
309,4746240,train,2026-07-09 00:14:18,0.0156,8.236,90.0,0.0915,0.0
311,4769280,train,2026-07-09 00:15:28,0.0156,8.6893,90.0,0.0965,0.0
312,4792320,train,2026-07-09 00:16:17,0.0078,8.8328,90.0,0.0981,0.0
313,4792320,eval,2026-07-09 00:18:55,0.1484,12.166,90.0,0.1352,0.1172
314,4815360,train,2026-07-09 00:19:44,0.0078,8.9498,90.0,0.0994,0.0
315,4838400,train,2026-07-09 00:20:33,0.0078,8.9219,90.0,0.0991,0.0
317,4861440,train,2026-07-09 00:21:43,0.0039,9.0044,90.0,0.1,0.0
318,4884480,train,2026-07-09 00:22:13,0.0078,9.1398,90.0,0.1016,0.0
320,4907520,train,2026-07-09 00:23:16,0.0117,8.781,90.0,0.0976,0.0
321,4930560,train,2026-07-09 00:23:47,0.0039,8.4887,90.0,0.0943,0.0
323,4953600,train,2026-07-09 00:24:55,0.0117,8.2747,90.0,0.0919,0.0039
324,4976640,train,2026-07-09 00:25:24,0.0039,8.6007,90.0,0.0956,0.0
326,4999680,train,2026-07-09 00:26:32,0.0,8.6262,90.0,0.0958,0.0
327,5022720,train,2026-07-09 00:27:23,0.0078,8.6791,90.0,0.0964,0.0
329,5045760,train,2026-07-09 00:28:30,0.0039,8.0186,90.0,0.0891,0.0
330,5068800,train,2026-07-09 00:29:17,0.0,8.1386,90.0,0.0904,0.0
332,5091840,train,2026-07-09 00:30:26,0.0039,8.631,90.0,0.0959,0.0
333,5114880,train,2026-07-09 00:31:12,0.0,8.2005,90.0,0.0911,0.0
335,5137920,train,2026-07-09 00:32:21,0.0039,8.8251,90.0,0.0981,0.0
336,5160960,train,2026-07-09 00:32:58,0.0039,8.491,90.0,0.0943,0.0
337,5160960,eval,2026-07-09 00:35:27,0.0078,8.1925,90.0,0.091,0.0078
338,5184000,train,2026-07-09 00:36:16,0.0,8.1075,90.0,0.0901,0.0
339,5207040,train,2026-07-09 00:36:46,0.0039,7.9031,90.0,0.0878,0.0
341,5230080,train,2026-07-09 00:37:55,0.0,7.8004,90.0,0.0867,0.0
