iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-09 01:49:03,0.0,2.0018,90.0,0.0222,0.0
2,23040,train,2026-07-09 01:49:50,0.0,2.2779,90.0,0.0253,0.0
3,46080,train,2026-07-09 01:50:39,0.0,3.5943,90.0,0.0399,0.0
5,69120,train,2026-07-09 01:51:53,0.0,5.1875,90.0,0.0576,0.0
6,92160,train,2026-07-09 01:52:41,0.0,6.2642,90.0,0.0696,0.0
8,115200,train,2026-07-09 01:53:55,0.0,7.4305,90.0,0.0826,0.0
9,138240,train,2026-07-09 01:54:46,0.0039,7.5517,90.0,0.0839,0.0
11,161280,train,2026-07-09 01:55:59,0.0039,7.7588,90.0,0.0862,0.0
12,184320,train,2026-07-09 01:56:49,0.0039,8.1354,90.0,0.0904,0.0
14,207360,train,2026-07-09 01:58:03,0.0039,8.9014,90.0,0.0989,0.0
15,230400,train,2026-07-09 01:58:52,0.0039,8.6814,90.0,0.0965,0.0
17,253440,train,2026-07-09 02:00:06,0.0117,8.2544,90.0,0.0917,0.0
18,276480,train,2026-07-09 02:00:58,0.0156,8.467,90.0,0.0941,0.0
20,299520,train,2026-07-09 02:02:12,0.0117,8.9683,90.0,0.0996,0.0
21,322560,train,2026-07-09 02:03:03,0.0078,9.0649,90.0,0.1007,0.0
23,345600,train,2026-07-09 02:04:18,0.0234,9.2465,90.0,0.1027,0.0039
24,368640,train,2026-07-09 02:05:10,0.0156,8.5389,90.0,0.0949,0.0
25,368640,eval,2026-07-09 02:07:43,0.1328,10.2601,90.0,0.114,0.0391
26,391680,train,2026-07-09 02:08:35,0.0039,9.0318,90.0,0.1004,0.0
27,414720,train,2026-07-09 02:09:27,0.0078,8.6852,90.0,0.0965,0.0
29,437760,train,2026-07-09 02:10:42,0.0195,8.4747,90.0,0.0942,0.0039
30,460800,train,2026-07-09 02:11:34,0.0195,8.9202,90.0,0.0991,0.0
32,483840,train,2026-07-09 02:12:49,0.0117,8.9088,90.0,0.099,0.0039
33,506880,train,2026-07-09 02:13:41,0.0195,8.8955,90.0,0.0988,0.0
35,529920,train,2026-07-09 02:14:56,0.0156,8.7693,90.0,0.0974,0.0
36,552960,train,2026-07-09 02:15:47,0.0,9.1249,90.0,0.1014,0.0
38,576000,train,2026-07-09 02:17:02,0.0039,9.1712,90.0,0.1019,0.0
39,599040,train,2026-07-09 02:17:54,0.0117,9.2316,90.0,0.1026,0.0
41,622080,train,2026-07-09 02:19:08,0.0156,8.6074,90.0,0.0956,0.0
42,645120,train,2026-07-09 02:19:59,0.0156,8.9782,90.0,0.0998,0.0
44,668160,train,2026-07-09 02:21:14,0.0156,8.896,90.0,0.0988,0.0
