iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-13 17:47:36,0.0,1.5526,90.0,0.0173,0.0
2,23040,train,2026-07-13 17:49:08,0.0,1.8984,90.0,0.0211,0.0
3,46080,train,2026-07-13 17:50:18,0.0,2.7161,90.0,0.0302,0.0
5,69120,train,2026-07-13 17:51:46,0.0,2.2773,90.0,0.0253,0.0
6,92160,train,2026-07-13 17:53:06,0.0,3.2104,90.0,0.0357,0.0
8,115200,train,2026-07-13 17:54:22,0.0,2.9512,90.0,0.0328,0.0
9,138240,train,2026-07-13 17:55:52,0.0,3.6905,90.0,0.041,0.0
11,161280,train,2026-07-13 17:56:58,0.0039,3.9158,90.0,0.0435,0.0
12,184320,train,2026-07-13 17:57:53,0.0078,4.3288,90.0,0.0481,0.0
14,207360,train,2026-07-13 17:59:06,0.0,4.2331,90.0,0.047,0.0
15,230400,train,2026-07-13 18:00:33,0.0,3.8645,90.0,0.0429,0.0
17,253440,train,2026-07-13 18:01:38,0.0078,4.9524,90.0,0.055,0.0
18,276480,train,2026-07-13 18:03:11,0.0,4.1412,90.0,0.046,0.0
20,299520,train,2026-07-13 18:04:04,0.0,3.6688,90.0,0.0408,0.0
21,322560,train,2026-07-13 18:05:16,0.0078,3.5146,90.0,0.0391,0.0
23,345600,train,2026-07-13 18:06:16,0.0,2.8385,90.0,0.0315,0.0
24,368640,train,2026-07-13 18:07:14,0.0,3.0258,90.0,0.0336,0.0
25,368640,eval,2026-07-13 18:11:54,0.0156,5.3323,90.0,0.0592,0.0078
26,391680,train,2026-07-13 18:12:57,0.0039,4.3868,90.0,0.0487,0.0
27,414720,train,2026-07-13 18:14:18,0.0,2.9994,90.0,0.0333,0.0
29,437760,train,2026-07-13 18:15:25,0.0,1.3194,90.0,0.0147,0.0
30,460800,train,2026-07-13 18:16:29,0.0,1.495,90.0,0.0166,0.0
32,483840,train,2026-07-13 18:17:31,0.0,0.7848,90.0,0.0087,0.0
33,506880,train,2026-07-13 18:18:38,0.0,0.7354,90.0,0.0082,0.0
35,529920,train,2026-07-13 18:19:30,0.0,0.7766,90.0,0.0086,0.0
36,552960,train,2026-07-13 18:20:34,0.0,0.6736,90.0,0.0075,0.0
38,576000,train,2026-07-13 18:21:24,0.0,0.7018,90.0,0.0078,0.0
39,599040,train,2026-07-13 18:22:23,0.0,0.6726,90.0,0.0075,0.0
41,622080,train,2026-07-13 18:23:26,0.0,0.8269,90.0,0.0092,0.0
42,645120,train,2026-07-13 18:24:04,0.0,0.9357,90.0,0.0104,0.0
44,668160,train,2026-07-13 18:25:23,0.0,2.819,90.0,0.0313,0.0
45,691200,train,2026-07-13 18:26:10,0.0,3.7849,90.0,0.0421,0.0
47,714240,train,2026-07-13 18:27:26,0.0039,4.3938,90.0,0.0488,0.0
48,737280,train,2026-07-13 18:28:35,0.0,2.1475,90.0,0.0239,0.0
49,737280,eval,2026-07-13 18:30:55,0.0,0.6955,90.0,0.0077,0.0
50,760320,train,2026-07-13 18:31:20,0.0,0.9727,90.0,0.0108,0.0
51,783360,train,2026-07-13 18:32:07,0.0,2.3202,90.0,0.0258,0.0
53,806400,train,2026-07-13 18:32:34,0.0,2.7431,90.0,0.0305,0.0
54,829440,train,2026-07-13 18:33:21,0.0039,3.4582,90.0,0.0384,0.0
56,852480,train,2026-07-13 18:33:50,0.0,1.5317,90.0,0.017,0.0
57,875520,train,2026-07-13 18:34:37,0.0,2.0691,90.0,0.023,0.0
59,898560,train,2026-07-13 18:35:02,0.0,1.1425,90.0,0.0127,0.0
60,921600,train,2026-07-13 18:35:31,0.0,2.1799,90.0,0.0242,0.0
62,944640,train,2026-07-13 18:35:57,0.0,1.2345,90.0,0.0137,0.0
63,967680,train,2026-07-13 18:36:25,0.0,3.1013,90.0,0.0345,0.0
65,990720,train,2026-07-13 18:37:07,0.0,2.3681,90.0,0.0263,0.0
66,1013760,train,2026-07-13 18:37:37,0.0,3.5747,90.0,0.0397,0.0
68,1036800,train,2026-07-13 18:38:12,0.0,1.4239,90.0,0.0158,0.0
69,1059840,train,2026-07-13 18:38:42,0.0,3.0771,90.0,0.0342,0.0
71,1082880,train,2026-07-13 18:39:10,0.0,1.1532,90.0,0.0128,0.0
72,1105920,train,2026-07-13 18:39:39,0.0,3.292,90.0,0.0366,0.0
73,1105920,eval,2026-07-13 18:41:28,0.0,3.1809,90.0,0.0353,0.0
74,1128960,train,2026-07-13 18:41:55,0.0,3.2627,90.0,0.0363,0.0
75,1152000,train,2026-07-13 18:42:43,0.0,3.9567,90.0,0.044,0.0
77,1175040,train,2026-07-13 18:43:10,0.0,4.0298,90.0,0.0448,0.0
78,1198080,train,2026-07-13 18:43:38,0.0,4.5003,90.0,0.05,0.0
80,1221120,train,2026-07-13 18:44:06,0.0,4.2145,90.0,0.0468,0.0
81,1244160,train,2026-07-13 18:44:36,0.0,4.9728,90.0,0.0553,0.0
83,1267200,train,2026-07-13 18:45:03,0.0,4.1178,90.0,0.0458,0.0
84,1290240,train,2026-07-13 18:45:33,0.0078,5.7546,90.0,0.0639,0.0
86,1313280,train,2026-07-13 18:46:00,0.0,3.6205,90.0,0.0402,0.0
87,1336320,train,2026-07-13 18:46:30,0.0,5.6344,90.0,0.0626,0.0
89,1359360,train,2026-07-13 18:46:58,0.0,4.2487,90.0,0.0472,0.0
90,1382400,train,2026-07-13 18:47:25,0.0039,4.6595,90.0,0.0518,0.0
92,1405440,train,2026-07-13 18:47:52,0.0039,4.9381,90.0,0.0549,0.0
93,1428480,train,2026-07-13 18:48:19,0.0078,5.1106,90.0,0.0568,0.0
95,1451520,train,2026-07-13 18:48:46,0.0,5.4767,90.0,0.0609,0.0
96,1474560,train,2026-07-13 18:49:12,0.0,6.1751,90.0,0.0686,0.0
97,1474560,eval,2026-07-13 18:51:05,0.2109,10.1565,90.0,0.1129,0.0
98,1497600,train,2026-07-13 18:51:32,0.0039,6.5618,90.0,0.0729,0.0
99,1520640,train,2026-07-13 18:51:59,0.0,6.1431,90.0,0.0683,0.0
101,1543680,train,2026-07-13 18:52:26,0.0,5.318,90.0,0.0591,0.0
102,1566720,train,2026-07-13 18:52:52,0.0039,5.3587,90.0,0.0595,0.0
104,1589760,train,2026-07-13 18:53:42,0.0039,5.5208,90.0,0.0613,0.0
105,1612800,train,2026-07-13 18:54:31,0.0,4.8957,90.0,0.0544,0.0
107,1635840,train,2026-07-13 18:54:59,0.0,4.224,90.0,0.0469,0.0
108,1658880,train,2026-07-13 18:55:48,0.0,4.0468,90.0,0.045,0.0
110,1681920,train,2026-07-13 18:56:40,0.0,3.7922,90.0,0.0421,0.0
111,1704960,train,2026-07-13 18:57:28,0.0,4.5877,90.0,0.051,0.0
113,1728000,train,2026-07-13 18:58:40,0.0,3.6417,90.0,0.0405,0.0
114,1751040,train,2026-07-13 18:59:29,0.0078,3.7821,90.0,0.042,0.0
116,1774080,train,2026-07-13 19:00:21,0.0039,3.0421,90.0,0.0338,0.0
117,1797120,train,2026-07-13 19:01:10,0.0,4.0099,90.0,0.0446,0.0
119,1820160,train,2026-07-13 19:02:00,0.0,3.6758,90.0,0.0408,0.0
120,1843200,train,2026-07-13 19:02:50,0.0039,4.6014,90.0,0.0511,0.0
121,1843200,eval,2026-07-13 19:04:45,0.0625,4.0149,90.0,0.0446,0.0
122,1866240,train,2026-07-13 19:05:16,0.0039,4.5755,90.0,0.0508,0.0
123,1889280,train,2026-07-13 19:06:05,0.0,5.0341,90.0,0.0559,0.0
125,1912320,train,2026-07-13 19:07:01,0.0,4.508,90.0,0.0501,0.0
126,1935360,train,2026-07-13 19:07:50,0.0039,5.2274,90.0,0.0581,0.0
128,1958400,train,2026-07-13 19:08:49,0.0,5.1479,90.0,0.0572,0.0
129,1981440,train,2026-07-13 19:09:38,0.0039,5.7275,90.0,0.0636,0.0
131,2004480,train,2026-07-13 19:10:49,0.0,5.5797,90.0,0.062,0.0
132,2027520,train,2026-07-13 19:11:37,0.0039,5.1694,90.0,0.0574,0.0
134,2050560,train,2026-07-13 19:12:48,0.0,5.386,90.0,0.0598,0.0
135,2073600,train,2026-07-13 19:13:37,0.0039,5.6718,90.0,0.063,0.0
137,2096640,train,2026-07-13 19:14:28,0.0,4.632,90.0,0.0515,0.0
138,2119680,train,2026-07-13 19:15:17,0.0,5.4693,90.0,0.0608,0.0
140,2142720,train,2026-07-13 19:15:53,0.0,3.5976,90.0,0.04,0.0
141,2165760,train,2026-07-13 19:16:21,0.0,4.4056,90.0,0.049,0.0
143,2188800,train,2026-07-13 19:17:12,0.0,2.3637,90.0,0.0263,0.0
144,2211840,train,2026-07-13 19:17:48,0.0,3.6687,90.0,0.0408,0.0
145,2211840,eval,2026-07-13 19:19:38,0.0,1.6174,90.0,0.018,0.0
146,2234880,train,2026-07-13 19:20:25,0.0,1.5284,90.0,0.017,0.0
147,2257920,train,2026-07-13 19:21:12,0.0,2.1925,90.0,0.0244,0.0
149,2280960,train,2026-07-13 19:22:06,0.0,0.9886,90.0,0.011,0.0
150,2304000,train,2026-07-13 19:22:53,0.0,1.8816,90.0,0.0209,0.0
152,2327040,train,2026-07-13 19:24:03,0.0,1.1131,90.0,0.0124,0.0
153,2350080,train,2026-07-13 19:24:29,0.0,1.2656,90.0,0.0141,0.0
155,2373120,train,2026-07-13 19:25:20,0.0,1.1105,90.0,0.0123,0.0
156,2396160,train,2026-07-13 19:25:50,0.0,1.1766,90.0,0.0131,0.0
158,2419200,train,2026-07-13 19:26:59,0.0,0.8161,90.0,0.0091,0.0
159,2442240,train,2026-07-13 19:27:45,0.0,1.5677,90.0,0.0174,0.0
161,2465280,train,2026-07-13 19:28:54,0.0,0.9661,90.0,0.0107,0.0
162,2488320,train,2026-07-13 19:29:24,0.0,1.02,90.0,0.0113,0.0
164,2511360,train,2026-07-13 19:30:32,0.0,0.9791,90.0,0.0109,0.0
165,2534400,train,2026-07-13 19:31:10,0.0,1.1221,90.0,0.0125,0.0
167,2557440,train,2026-07-13 19:32:18,0.0,0.9701,90.0,0.0108,0.0
168,2580480,train,2026-07-13 19:32:47,0.0,1.0092,90.0,0.0112,0.0
169,2580480,eval,2026-07-13 19:34:50,0.0,0.8203,90.0,0.0091,0.0
170,2603520,train,2026-07-13 19:35:35,0.0,0.7137,90.0,0.0079,0.0
171,2626560,train,2026-07-13 19:36:12,0.0,0.9729,90.0,0.0108,0.0
173,2649600,train,2026-07-13 19:37:21,0.0,0.9661,90.0,0.0107,0.0
174,2672640,train,2026-07-13 19:37:49,0.0,0.8493,90.0,0.0094,0.0
176,2695680,train,2026-07-13 19:38:42,0.0,0.9822,90.0,0.0109,0.0
177,2718720,train,2026-07-13 19:39:08,0.0,0.8358,90.0,0.0093,0.0
179,2741760,train,2026-07-13 19:40:00,0.0,0.8824,90.0,0.0098,0.0
180,2764800,train,2026-07-13 19:40:30,0.0,1.1353,90.0,0.0126,0.0
182,2787840,train,2026-07-13 19:41:39,0.0,0.966,90.0,0.0107,0.0
183,2810880,train,2026-07-13 19:42:06,0.0,0.924,90.0,0.0103,0.0
185,2833920,train,2026-07-13 19:43:02,0.0,0.913,90.0,0.0101,0.0
186,2856960,train,2026-07-13 19:43:28,0.0,1.1581,90.0,0.0129,0.0
188,2880000,train,2026-07-13 19:44:34,0.0,0.7675,90.0,0.0085,0.0
189,2903040,train,2026-07-13 19:45:00,0.0,1.0209,90.0,0.0113,0.0
191,2926080,train,2026-07-13 19:46:09,0.0,0.7815,90.0,0.0087,0.0
192,2949120,train,2026-07-13 19:46:37,0.0,0.9394,90.0,0.0104,0.0
193,2949120,eval,2026-07-13 19:48:40,0.0,0.8704,90.0,0.0097,0.0
194,2972160,train,2026-07-13 19:49:26,0.0,1.0247,90.0,0.0114,0.0
195,2995200,train,2026-07-13 19:49:53,0.0,1.0013,90.0,0.0111,0.0
197,3018240,train,2026-07-13 19:51:01,0.0,0.5644,90.0,0.0063,0.0
198,3041280,train,2026-07-13 19:51:29,0.0,0.7995,90.0,0.0089,0.0
200,3064320,train,2026-07-13 19:52:37,0.0,1.045,90.0,0.0116,0.0
201,3087360,train,2026-07-13 19:53:03,0.0,0.8868,90.0,0.0099,0.0
203,3110400,train,2026-07-13 19:53:52,0.0,1.1432,90.0,0.0127,0.0
204,3133440,train,2026-07-13 19:54:18,0.0,0.8026,90.0,0.0089,0.0
206,3156480,train,2026-07-13 19:55:07,0.0,0.9376,90.0,0.0104,0.0
207,3179520,train,2026-07-13 19:55:35,0.0,0.9726,90.0,0.0108,0.0
209,3202560,train,2026-07-13 19:56:44,0.0,0.901,90.0,0.01,0.0
210,3225600,train,2026-07-13 19:57:11,0.0,0.8943,90.0,0.0099,0.0
212,3248640,train,2026-07-13 19:58:20,0.0,1.0817,90.0,0.012,0.0
213,3271680,train,2026-07-13 19:58:47,0.0,0.8157,90.0,0.0091,0.0
215,3294720,train,2026-07-13 19:59:56,0.0,0.8337,90.0,0.0093,0.0
216,3317760,train,2026-07-13 20:00:22,0.0,0.7507,90.0,0.0083,0.0
217,3317760,eval,2026-07-13 20:02:09,0.0,0.6789,90.0,0.0075,0.0
218,3340800,train,2026-07-13 20:02:54,0.0,0.8681,90.0,0.0096,0.0
219,3363840,train,2026-07-13 20:03:21,0.0,0.9947,90.0,0.0111,0.0
221,3386880,train,2026-07-13 20:04:30,0.0,0.9287,90.0,0.0103,0.0
222,3409920,train,2026-07-13 20:04:56,0.0,0.6897,90.0,0.0077,0.0
224,3432960,train,2026-07-13 20:06:05,0.0,0.7412,90.0,0.0082,0.0
225,3456000,train,2026-07-13 20:06:32,0.0,0.9286,90.0,0.0103,0.0
227,3479040,train,2026-07-13 20:07:42,0.0,0.9858,90.0,0.011,0.0
228,3502080,train,2026-07-13 20:08:08,0.0,1.002,90.0,0.0111,0.0
230,3525120,train,2026-07-13 20:09:02,0.0,1.0556,90.0,0.0117,0.0
231,3548160,train,2026-07-13 20:09:28,0.0,0.9229,90.0,0.0103,0.0
233,3571200,train,2026-07-13 20:10:38,0.0,1.0715,90.0,0.0119,0.0
234,3594240,train,2026-07-13 20:11:05,0.0,0.9662,90.0,0.0107,0.0
236,3617280,train,2026-07-13 20:11:57,0.0,1.01,90.0,0.0112,0.0
237,3640320,train,2026-07-13 20:12:23,0.0,0.8132,90.0,0.009,0.0
239,3663360,train,2026-07-13 20:13:17,0.0,0.866,90.0,0.0096,0.0
240,3686400,train,2026-07-13 20:13:58,0.0,0.825,90.0,0.0092,0.0
241,3686400,eval,2026-07-13 20:15:59,0.0,0.758,90.0,0.0084,0.0
242,3709440,train,2026-07-13 20:16:45,0.0,0.898,90.0,0.01,0.0
243,3732480,train,2026-07-13 20:17:15,0.0,0.8799,90.0,0.0098,0.0
245,3755520,train,2026-07-13 20:18:25,0.0,0.7903,90.0,0.0088,0.0
246,3778560,train,2026-07-13 20:18:57,0.0,0.8656,90.0,0.0096,0.0
248,3801600,train,2026-07-13 20:20:06,0.0,0.8823,90.0,0.0098,0.0
249,3824640,train,2026-07-13 20:20:37,0.0,0.9198,90.0,0.0102,0.0
251,3847680,train,2026-07-13 20:21:45,0.0,0.6919,90.0,0.0077,0.0
252,3870720,train,2026-07-13 20:22:32,0.0,0.8828,90.0,0.0098,0.0
254,3893760,train,2026-07-13 20:23:41,0.0,1.0225,90.0,0.0114,0.0
255,3916800,train,2026-07-13 20:24:20,0.0,0.9913,90.0,0.011,0.0
257,3939840,train,2026-07-13 20:25:28,0.0,0.6877,90.0,0.0076,0.0
258,3962880,train,2026-07-13 20:26:14,0.0,0.7705,90.0,0.0086,0.0
260,3985920,train,2026-07-13 20:27:23,0.0,0.9813,90.0,0.0109,0.0
261,4008960,train,2026-07-13 20:28:10,0.0,0.9175,90.0,0.0102,0.0
263,4032000,train,2026-07-13 20:29:19,0.0,0.7085,90.0,0.0079,0.0
264,4055040,train,2026-07-13 20:29:47,0.0,0.8691,90.0,0.0097,0.0
265,4055040,eval,2026-07-13 20:31:48,0.0,0.6923,90.0,0.0077,0.0
266,4078080,train,2026-07-13 20:32:34,0.0,1.0473,90.0,0.0116,0.0
267,4101120,train,2026-07-13 20:33:20,0.0,0.8291,90.0,0.0092,0.0
269,4124160,train,2026-07-13 20:34:29,0.0,0.7059,90.0,0.0078,0.0
270,4147200,train,2026-07-13 20:35:15,0.0,0.9727,90.0,0.0108,0.0
272,4170240,train,2026-07-13 20:36:25,0.0,0.7076,90.0,0.0079,0.0
273,4193280,train,2026-07-13 20:37:11,0.0,0.8769,90.0,0.0097,0.0
275,4216320,train,2026-07-13 20:38:20,0.0,0.7635,90.0,0.0085,0.0
276,4239360,train,2026-07-13 20:39:01,0.0,0.8262,90.0,0.0092,0.0
278,4262400,train,2026-07-13 20:40:10,0.0,0.8951,90.0,0.0099,0.0
279,4285440,train,2026-07-13 20:40:56,0.0,0.7671,90.0,0.0085,0.0
281,4308480,train,2026-07-13 20:42:04,0.0,0.5938,90.0,0.0066,0.0
282,4331520,train,2026-07-13 20:42:50,0.0,0.8965,90.0,0.01,0.0
284,4354560,train,2026-07-13 20:43:59,0.0,0.7371,90.0,0.0082,0.0
285,4377600,train,2026-07-13 20:44:45,0.0,0.9555,90.0,0.0106,0.0
287,4400640,train,2026-07-13 20:45:54,0.0,1.0833,90.0,0.012,0.0
288,4423680,train,2026-07-13 20:46:40,0.0,0.6606,90.0,0.0073,0.0
289,4423680,eval,2026-07-13 20:48:44,0.0,0.6257,90.0,0.007,0.0
290,4446720,train,2026-07-13 20:49:29,0.0,0.9153,90.0,0.0102,0.0
291,4469760,train,2026-07-13 20:50:16,0.0,1.1206,90.0,0.0125,0.0
293,4492800,train,2026-07-13 20:51:25,0.0,0.8768,90.0,0.0097,0.0
