iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-01 19:03:35,0.0,1.7626,90.0,0.0196,0.0
2,23040,train,2026-07-01 19:04:52,0.0,1.9427,90.0,0.0216,0.0
3,46080,train,2026-07-01 19:06:10,0.0,2.9348,90.0,0.0326,0.0
5,69120,train,2026-07-01 19:07:30,0.0,3.9495,90.0,0.0439,0.0
6,92160,train,2026-07-01 19:08:49,0.0039,5.6671,90.0,0.063,0.0
8,115200,train,2026-07-01 19:10:10,0.0,6.9928,90.0,0.0777,0.0
9,138240,train,2026-07-01 19:11:29,0.0,7.1949,90.0,0.0799,0.0
11,161280,train,2026-07-01 19:12:51,0.0,7.5303,90.0,0.0837,0.0
12,184320,train,2026-07-01 19:14:10,0.0,7.4865,90.0,0.0832,0.0
14,207360,train,2026-07-01 19:15:31,0.0078,8.022,90.0,0.0891,0.0
15,230400,train,2026-07-01 19:16:50,0.0039,7.7121,90.0,0.0857,0.0
17,253440,train,2026-07-01 19:18:11,0.0039,8.594,90.0,0.0955,0.0
18,276480,train,2026-07-01 19:19:30,0.0195,8.5933,90.0,0.0955,0.0
20,299520,train,2026-07-01 19:20:51,0.0039,8.4127,90.0,0.0935,0.0
21,322560,train,2026-07-01 19:22:11,0.0078,8.1866,90.0,0.091,0.0
23,345600,train,2026-07-01 19:23:32,0.0156,8.7466,90.0,0.0972,0.0
24,368640,train,2026-07-01 19:24:52,0.0156,8.5574,90.0,0.0951,0.0
25,368640,eval,2026-07-01 19:27:00,0.3438,26.9227,90.0,0.2991,0.3125
26,391680,train,2026-07-01 19:28:20,0.0195,9.267,90.0,0.103,0.0
27,414720,train,2026-07-01 19:29:40,0.0039,9.0664,90.0,0.1007,0.0
29,437760,train,2026-07-01 19:31:01,0.0156,9.323,90.0,0.1036,0.0
30,460800,train,2026-07-01 19:32:21,0.0156,9.0698,90.0,0.1008,0.0
32,483840,train,2026-07-01 19:33:42,0.0352,10.2416,90.0,0.1138,0.0
33,506880,train,2026-07-01 19:35:01,0.0234,9.4659,90.0,0.1052,0.0
35,529920,train,2026-07-01 19:36:23,0.0312,10.9257,90.0,0.1214,0.0
36,552960,train,2026-07-01 19:37:42,0.0117,10.8684,90.0,0.1208,0.0
38,576000,train,2026-07-01 19:39:04,0.0352,12.1116,90.0,0.1346,0.0
39,599040,train,2026-07-01 19:40:24,0.0547,11.6828,90.0,0.1298,0.0
41,622080,train,2026-07-01 19:41:45,0.043,13.2382,90.0,0.1471,0.0
42,645120,train,2026-07-01 19:43:05,0.0391,11.0074,90.0,0.1223,0.0
44,668160,train,2026-07-01 19:44:27,0.043,12.9175,90.0,0.1435,0.0
45,691200,train,2026-07-01 19:45:47,0.0234,11.4475,90.0,0.1272,0.0
47,714240,train,2026-07-01 19:47:09,0.0352,13.3959,90.0,0.1488,0.0039
48,737280,train,2026-07-01 19:48:29,0.0391,12.6495,90.0,0.1406,0.0
49,737280,eval,2026-07-01 19:50:41,0.8672,59.9357,90.0,0.666,0.8281
50,760320,train,2026-07-01 19:52:01,0.043,13.4039,90.0,0.1489,0.0
51,783360,train,2026-07-01 19:53:22,0.0703,12.8918,90.0,0.1432,0.0
53,806400,train,2026-07-01 19:54:43,0.0664,13.4998,90.0,0.15,0.0
54,829440,train,2026-07-01 19:56:04,0.0586,13.7279,90.0,0.1525,0.0
56,852480,train,2026-07-01 19:57:27,0.0625,13.2022,90.0,0.1467,0.0
57,875520,train,2026-07-01 19:58:48,0.0586,14.2577,90.0,0.1584,0.0
59,898560,train,2026-07-01 20:00:09,0.043,14.1716,90.0,0.1575,0.0
60,921600,train,2026-07-01 20:01:30,0.0508,13.6875,90.0,0.1521,0.0
62,944640,train,2026-07-01 20:02:52,0.0625,14.0285,90.0,0.1559,0.0
63,967680,train,2026-07-01 20:04:13,0.0664,13.6267,90.0,0.1514,0.0039
65,990720,train,2026-07-01 20:05:37,0.0508,13.6037,90.0,0.1512,0.0
66,1013760,train,2026-07-01 20:06:59,0.0859,13.6271,90.0,0.1514,0.0
68,1036800,train,2026-07-01 20:08:21,0.0469,13.3079,90.0,0.1479,0.0
69,1059840,train,2026-07-01 20:09:42,0.0859,12.7412,90.0,0.1416,0.0
71,1082880,train,2026-07-01 20:11:04,0.0742,14.1868,90.0,0.1576,0.0
72,1105920,train,2026-07-01 20:12:24,0.082,13.6004,90.0,0.1511,0.0
73,1105920,eval,2026-07-01 20:14:36,0.9375,65.8646,90.0,0.7318,0.8828
74,1128960,train,2026-07-01 20:15:56,0.0781,14.4557,90.0,0.1606,0.0
75,1152000,train,2026-07-01 20:17:17,0.0859,14.3853,90.0,0.1598,0.0
77,1175040,train,2026-07-01 20:18:40,0.082,14.562,90.0,0.1618,0.0
78,1198080,train,2026-07-01 20:20:01,0.0469,14.5481,90.0,0.1616,0.0
80,1221120,train,2026-07-01 20:21:23,0.0938,15.2129,90.0,0.169,0.0
81,1244160,train,2026-07-01 20:22:43,0.1055,14.5937,90.0,0.1622,0.0
83,1267200,train,2026-07-01 20:24:06,0.0898,14.9054,90.0,0.1656,0.0
84,1290240,train,2026-07-01 20:25:27,0.0508,15.0988,90.0,0.1678,0.0
