iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 12:21:48,0.0,0.7363,90.0,0.0082,0.0
1,23040,train,2026-07-02 12:22:18,0.0,0.8058,90.0,0.009,0.0
2,46080,train,2026-07-02 12:23:08,0.0,0.8044,90.0,0.0089,0.0
3,69120,train,2026-07-02 12:23:55,0.0,0.8973,90.0,0.01,0.0
4,92160,train,2026-07-02 12:24:42,0.0,0.8936,90.0,0.0099,0.0
5,115200,train,2026-07-02 12:25:29,0.0,0.9739,90.0,0.0108,0.0
6,138240,train,2026-07-02 12:26:17,0.0,1.0109,90.0,0.0112,0.0
7,161280,train,2026-07-02 12:27:04,0.0,0.8933,90.0,0.0099,0.0
8,184320,train,2026-07-02 12:27:51,0.0,0.9501,90.0,0.0106,0.0
9,207360,train,2026-07-02 12:28:39,0.0,0.8927,90.0,0.0099,0.0
10,230400,train,2026-07-02 12:29:26,0.0,0.8753,90.0,0.0097,0.0
11,253440,train,2026-07-02 12:30:14,0.0,0.8449,90.0,0.0094,0.0
12,276480,train,2026-07-02 12:31:01,0.0,0.8219,90.0,0.0091,0.0
13,299520,train,2026-07-02 12:31:48,0.0,0.8094,90.0,0.009,0.0
14,322560,train,2026-07-02 12:32:39,0.0,0.79,90.0,0.0088,0.0
15,345600,train,2026-07-02 12:33:26,0.0,0.8348,90.0,0.0093,0.0
16,368640,train,2026-07-02 12:34:13,0.0,0.8482,90.0,0.0094,0.0
17,368640,eval,2026-07-02 12:35:28,0.0,0.8338,90.0,0.0093,0.0
17,391680,train,2026-07-02 12:35:57,0.0,0.8921,90.0,0.0099,0.0
18,414720,train,2026-07-02 12:36:44,0.0,0.9348,90.0,0.0104,0.0
19,437760,train,2026-07-02 12:37:31,0.0,0.9818,90.0,0.0109,0.0
20,460800,train,2026-07-02 12:38:19,0.0,0.8839,90.0,0.0098,0.0
21,483840,train,2026-07-02 12:39:06,0.0,0.7969,90.0,0.0089,0.0
22,506880,train,2026-07-02 12:39:53,0.0,0.8763,90.0,0.0097,0.0
23,529920,train,2026-07-02 12:40:47,0.0,1.0725,90.0,0.0119,0.0
24,552960,train,2026-07-02 12:41:35,0.0,1.095,90.0,0.0122,0.0
25,576000,train,2026-07-02 12:42:22,0.0,1.0722,90.0,0.0119,0.0
26,599040,train,2026-07-02 12:43:10,0.0,1.2249,90.0,0.0136,0.0
27,622080,train,2026-07-02 12:43:57,0.0,1.3235,90.0,0.0147,0.0
28,645120,train,2026-07-02 12:44:45,0.0,1.4062,90.0,0.0156,0.0
29,668160,train,2026-07-02 12:45:33,0.0,1.5492,90.0,0.0172,0.0
30,691200,train,2026-07-02 12:46:21,0.0078,2.1637,90.0,0.024,0.0039
31,714240,train,2026-07-02 12:47:09,0.0,1.5114,90.0,0.0168,0.0
32,737280,train,2026-07-02 12:47:57,0.0078,1.8974,90.0,0.0211,0.0039
33,737280,eval,2026-07-02 12:49:14,0.0,2.2899,90.0,0.0254,0.0
33,760320,train,2026-07-02 12:49:44,0.0,1.5008,90.0,0.0167,0.0
34,783360,train,2026-07-02 12:50:32,0.0078,1.9368,90.0,0.0215,0.0039
