iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-03 00:22:51,0.0,0.7294,90.0,0.0081,0.0
1,23040,train,2026-07-03 00:23:20,0.0,0.7935,90.0,0.0088,0.0
2,46080,train,2026-07-03 00:24:06,0.0,0.8327,90.0,0.0093,0.0
3,69120,train,2026-07-03 00:24:54,0.0,0.881,90.0,0.0098,0.0
4,92160,train,2026-07-03 00:25:41,0.0,0.9225,90.0,0.0103,0.0
5,115200,train,2026-07-03 00:26:28,0.0,0.9522,90.0,0.0106,0.0
6,138240,train,2026-07-03 00:27:16,0.0,0.9797,90.0,0.0109,0.0
7,161280,train,2026-07-03 00:28:03,0.0,0.9524,90.0,0.0106,0.0
8,184320,train,2026-07-03 00:28:50,0.0,0.9313,90.0,0.0103,0.0
9,207360,train,2026-07-03 00:29:38,0.0,0.9381,90.0,0.0104,0.0
10,230400,train,2026-07-03 00:30:25,0.0,0.9477,90.0,0.0105,0.0
11,253440,train,2026-07-03 00:31:12,0.0,0.9348,90.0,0.0104,0.0
12,276480,train,2026-07-03 00:31:59,0.0,0.9053,90.0,0.0101,0.0
13,299520,train,2026-07-03 00:32:47,0.0,0.8856,90.0,0.0098,0.0
14,322560,train,2026-07-03 00:33:34,0.0,0.8683,90.0,0.0096,0.0
15,345600,train,2026-07-03 00:34:21,0.0,0.911,90.0,0.0101,0.0
16,368640,train,2026-07-03 00:35:09,0.0,0.9143,90.0,0.0102,0.0
17,368640,eval,2026-07-03 00:36:23,0.0,0.9111,90.0,0.0101,0.0
17,391680,train,2026-07-03 00:36:52,0.0,0.9636,90.0,0.0107,0.0
18,414720,train,2026-07-03 00:37:39,0.0,0.9373,90.0,0.0104,0.0
19,437760,train,2026-07-03 00:38:26,0.0,0.9351,90.0,0.0104,0.0
20,460800,train,2026-07-03 00:39:13,0.0,0.9157,90.0,0.0102,0.0
21,483840,train,2026-07-03 00:40:01,0.0,0.9474,90.0,0.0105,0.0
22,506880,train,2026-07-03 00:40:48,0.0,0.944,90.0,0.0105,0.0
23,529920,train,2026-07-03 00:41:35,0.0,0.8989,90.0,0.01,0.0
24,552960,train,2026-07-03 00:42:23,0.0,0.9285,90.0,0.0103,0.0
25,576000,train,2026-07-03 00:43:10,0.0,0.9193,90.0,0.0102,0.0
26,599040,train,2026-07-03 00:43:57,0.0,0.9204,90.0,0.0102,0.0
27,622080,train,2026-07-03 00:44:45,0.0,0.9398,90.0,0.0104,0.0
28,645120,train,2026-07-03 00:45:32,0.0,0.9236,90.0,0.0103,0.0
29,668160,train,2026-07-03 00:46:19,0.0,0.9325,90.0,0.0104,0.0
30,691200,train,2026-07-03 00:47:06,0.0,0.9488,90.0,0.0105,0.0
31,714240,train,2026-07-03 00:47:54,0.0,0.9154,90.0,0.0102,0.0
32,737280,train,2026-07-03 00:48:41,0.0,0.9206,90.0,0.0102,0.0
33,737280,eval,2026-07-03 00:49:58,0.0,1.1085,90.0,0.0123,0.0
33,760320,train,2026-07-03 00:50:27,0.0,0.9623,90.0,0.0107,0.0
34,783360,train,2026-07-03 00:51:15,0.0,0.9884,90.0,0.011,0.0
35,806400,train,2026-07-03 00:52:02,0.0,0.9961,90.0,0.0111,0.0
36,829440,train,2026-07-03 00:52:49,0.0,1.0375,90.0,0.0115,0.0
37,852480,train,2026-07-03 00:53:36,0.0,1.0619,90.0,0.0118,0.0
38,875520,train,2026-07-03 00:54:23,0.0,1.0522,90.0,0.0117,0.0
39,898560,train,2026-07-03 00:55:11,0.0,1.0241,90.0,0.0114,0.0
40,921600,train,2026-07-03 00:55:58,0.0,1.098,90.0,0.0122,0.0
41,944640,train,2026-07-03 00:56:45,0.0,1.1816,90.0,0.0131,0.0
42,967680,train,2026-07-03 00:57:33,0.0,1.2028,90.0,0.0134,0.0
43,990720,train,2026-07-03 00:58:21,0.0039,1.2609,90.0,0.014,0.0
44,1013760,train,2026-07-03 00:59:08,0.0,1.2757,90.0,0.0142,0.0
45,1036800,train,2026-07-03 00:59:56,0.0,1.2298,90.0,0.0137,0.0
46,1059840,train,2026-07-03 01:00:43,0.0,1.2524,90.0,0.0139,0.0
47,1082880,train,2026-07-03 01:01:31,0.0039,1.3931,90.0,0.0155,0.0
48,1105920,train,2026-07-03 01:02:19,0.0039,1.4293,90.0,0.0159,0.0
49,1105920,eval,2026-07-03 01:03:37,0.0,1.8228,90.0,0.0203,0.0
49,1128960,train,2026-07-03 01:04:06,0.0039,1.526,90.0,0.017,0.0
50,1152000,train,2026-07-03 01:04:54,0.0039,1.4363,90.0,0.016,0.0039
51,1175040,train,2026-07-03 01:05:41,0.0,1.475,90.0,0.0164,0.0
52,1198080,train,2026-07-03 01:06:30,0.0078,1.6539,90.0,0.0184,0.0
53,1221120,train,2026-07-03 01:07:18,0.0039,1.8715,90.0,0.0208,0.0
54,1244160,train,2026-07-03 01:08:06,0.0195,2.2318,90.0,0.0248,0.0039
55,1267200,train,2026-07-03 01:08:55,0.0117,2.1648,90.0,0.0241,0.0
56,1290240,train,2026-07-03 01:09:44,0.0117,2.6171,90.0,0.0291,0.0
57,1313280,train,2026-07-03 01:10:32,0.0195,2.6609,90.0,0.0296,0.0
58,1336320,train,2026-07-03 01:11:21,0.0117,2.5396,90.0,0.0282,0.0078
59,1359360,train,2026-07-03 01:12:10,0.0078,2.9097,90.0,0.0323,0.0039
60,1382400,train,2026-07-03 01:12:59,0.0078,2.6907,90.0,0.0299,0.0039
61,1405440,train,2026-07-03 01:13:48,0.0234,2.5709,90.0,0.0286,0.0
62,1428480,train,2026-07-03 01:14:37,0.0117,3.1655,90.0,0.0352,0.0
63,1451520,train,2026-07-03 01:15:26,0.0117,2.9356,90.0,0.0326,0.0
64,1474560,train,2026-07-03 01:16:15,0.0195,3.3445,90.0,0.0372,0.0039
65,1474560,eval,2026-07-03 01:17:40,0.0,4.2419,90.0,0.0471,0.0
65,1497600,train,2026-07-03 01:18:10,0.0156,3.4371,90.0,0.0382,0.0117
66,1520640,train,2026-07-03 01:18:59,0.0234,3.294,90.0,0.0366,0.0117
67,1543680,train,2026-07-03 01:19:48,0.0156,3.1934,90.0,0.0355,0.0
68,1566720,train,2026-07-03 01:20:37,0.0195,3.6702,90.0,0.0408,0.0078
69,1589760,train,2026-07-03 01:21:25,0.0234,3.6827,90.0,0.0409,0.0
70,1612800,train,2026-07-03 01:22:14,0.0312,3.5446,90.0,0.0394,0.0078
71,1635840,train,2026-07-03 01:23:03,0.043,4.0757,90.0,0.0453,0.0039
72,1658880,train,2026-07-03 01:23:51,0.0156,3.3991,90.0,0.0378,0.0039
73,1681920,train,2026-07-03 01:24:40,0.0508,4.1501,90.0,0.0461,0.0117
74,1704960,train,2026-07-03 01:25:28,0.0273,4.2563,90.0,0.0473,0.0078
75,1728000,train,2026-07-03 01:26:17,0.0547,4.6672,90.0,0.0519,0.0195
76,1751040,train,2026-07-03 01:27:05,0.0547,4.2592,90.0,0.0473,0.0039
77,1774080,train,2026-07-03 01:27:54,0.0469,3.7051,90.0,0.0412,0.0039
78,1797120,train,2026-07-03 01:28:43,0.0508,4.2708,90.0,0.0475,0.0039
79,1820160,train,2026-07-03 01:29:31,0.0586,4.4253,90.0,0.0492,0.0039
80,1843200,train,2026-07-03 01:30:20,0.0586,4.6848,90.0,0.0521,0.0039
81,1843200,eval,2026-07-03 01:31:42,0.0104,5.6328,90.0,0.0626,0.0
81,1866240,train,2026-07-03 01:32:12,0.0664,4.4459,90.0,0.0494,0.0117
82,1889280,train,2026-07-03 01:33:01,0.0586,4.5401,90.0,0.0504,0.0078
83,1912320,train,2026-07-03 01:33:50,0.0352,3.8336,90.0,0.0426,0.0
84,1935360,train,2026-07-03 01:34:38,0.0352,4.0285,90.0,0.0448,0.0078
85,1958400,train,2026-07-03 01:35:26,0.0234,3.641,90.0,0.0405,0.0039
86,1981440,train,2026-07-03 01:36:15,0.0586,4.2991,90.0,0.0478,0.0156
87,2004480,train,2026-07-03 01:37:03,0.0586,4.5404,90.0,0.0504,0.0039
88,2027520,train,2026-07-03 01:37:51,0.0508,3.7342,90.0,0.0415,0.0039
89,2050560,train,2026-07-03 01:38:39,0.0625,4.4078,90.0,0.049,0.0039
90,2073600,train,2026-07-03 01:39:28,0.0703,4.775,90.0,0.0531,0.0117
91,2096640,train,2026-07-03 01:40:16,0.0781,4.6547,90.0,0.0517,0.0
92,2119680,train,2026-07-03 01:41:04,0.0703,4.7431,90.0,0.0527,0.0078
93,2142720,train,2026-07-03 01:41:52,0.0625,4.7319,90.0,0.0526,0.0
94,2165760,train,2026-07-03 01:42:40,0.0625,4.5229,90.0,0.0503,0.0
95,2188800,train,2026-07-03 01:43:28,0.0781,4.7084,90.0,0.0523,0.0
96,2211840,train,2026-07-03 01:44:16,0.1016,4.5718,90.0,0.0508,0.0039
97,2211840,eval,2026-07-03 01:45:37,0.0938,8.1193,90.0,0.0902,0.0417
97,2234880,train,2026-07-03 01:46:07,0.0781,4.865,90.0,0.0541,0.0078
98,2257920,train,2026-07-03 01:46:55,0.0898,4.8703,90.0,0.0541,0.0039
99,2280960,train,2026-07-03 01:47:43,0.1328,5.9381,90.0,0.066,0.0039
100,2304000,train,2026-07-03 01:48:31,0.1523,5.8183,90.0,0.0646,0.0039
101,2327040,train,2026-07-03 01:49:19,0.1445,6.252,90.0,0.0695,0.0156
102,2350080,train,2026-07-03 01:50:07,0.1211,5.4897,90.0,0.061,0.0
103,2373120,train,2026-07-03 01:50:55,0.1055,5.2468,90.0,0.0583,0.0078
104,2396160,train,2026-07-03 01:51:43,0.1406,6.2706,90.0,0.0697,0.0156
105,2419200,train,2026-07-03 01:52:31,0.0977,5.271,90.0,0.0586,0.0078
106,2442240,train,2026-07-03 01:53:19,0.1211,5.1267,90.0,0.057,0.0039
107,2465280,train,2026-07-03 01:54:07,0.1484,5.8672,90.0,0.0652,0.0156
108,2488320,train,2026-07-03 01:54:56,0.1289,5.9,90.0,0.0656,0.0156
109,2511360,train,2026-07-03 01:55:44,0.1211,5.5525,90.0,0.0617,0.0117
110,2534400,train,2026-07-03 01:56:32,0.1836,6.5801,90.0,0.0731,0.0078
