iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-15 14:33:48,0.0,0.7477,90.0,0.0083,0.0
1,23040,train,2026-04-15 14:34:11,0.0,0.7279,90.0,0.0081,0.0
2,46080,train,2026-04-15 14:34:44,0.0,0.7253,90.0,0.0081,0.0
3,69120,train,2026-04-15 14:35:06,0.0,0.8184,90.0,0.0091,0.0
4,92160,train,2026-04-15 14:35:28,0.0,0.8597,90.0,0.0096,0.0
5,115200,train,2026-04-15 14:35:49,0.0,0.9328,90.0,0.0104,0.0
6,138240,train,2026-04-15 14:36:11,0.0,0.9145,90.0,0.0102,0.0
7,161280,train,2026-04-15 14:36:33,0.0,0.9287,90.0,0.0103,0.0
8,184320,train,2026-04-15 14:36:55,0.0,0.8908,90.0,0.0099,0.0
9,207360,train,2026-04-15 14:37:17,0.0,0.801,90.0,0.0089,0.0
10,230400,train,2026-04-15 14:37:38,0.0,0.7905,90.0,0.0088,0.0
11,253440,train,2026-04-15 14:38:00,0.0,0.8121,90.0,0.009,0.0
12,276480,train,2026-04-15 14:38:22,0.0,0.7474,90.0,0.0083,0.0
13,299520,train,2026-04-15 14:38:44,0.0,0.7768,90.0,0.0086,0.0
14,322560,train,2026-04-15 14:39:05,0.0,0.754,90.0,0.0084,0.0
15,345600,train,2026-04-15 14:39:27,0.0,0.7538,90.0,0.0084,0.0
16,368640,train,2026-04-15 14:39:49,0.0,0.7792,90.0,0.0087,0.0
17,391680,train,2026-04-15 14:40:11,0.0,0.798,90.0,0.0089,0.0
18,414720,train,2026-04-15 14:40:32,0.0,0.8524,90.0,0.0095,0.0
19,437760,train,2026-04-15 14:40:54,0.0,0.8406,90.0,0.0093,0.0
20,460800,train,2026-04-15 14:41:16,0.0,0.8247,90.0,0.0092,0.0
21,483840,train,2026-04-15 14:41:38,0.0,0.8457,90.0,0.0094,0.0
22,506880,train,2026-04-15 14:42:05,0.0,0.8511,90.0,0.0095,0.0
23,529920,train,2026-04-15 14:42:26,0.0,0.8459,90.0,0.0094,0.0
24,552960,train,2026-04-15 14:42:48,0.0,0.831,90.0,0.0092,0.0
25,576000,train,2026-04-15 14:43:10,0.0,0.8039,90.0,0.0089,0.0
26,576000,eval,2026-04-15 14:44:44,0.0,0.8223,90.0,0.0091,0.0
26,599040,train,2026-04-15 14:45:04,0.0,0.776,90.0,0.0086,0.0
27,622080,train,2026-04-15 14:45:25,0.0,0.8065,90.0,0.009,0.0
28,645120,train,2026-04-15 14:45:47,0.0,0.7812,90.0,0.0087,0.0
29,668160,train,2026-04-15 14:46:09,0.0,0.8073,90.0,0.009,0.0
30,691200,train,2026-04-15 14:46:30,0.0,0.803,90.0,0.0089,0.0
31,714240,train,2026-04-15 14:46:52,0.0,0.8167,90.0,0.0091,0.0
32,737280,train,2026-04-15 14:47:14,0.0,0.8262,90.0,0.0092,0.0
33,760320,train,2026-04-15 14:47:36,0.0,0.8331,90.0,0.0093,0.0
34,783360,train,2026-04-15 14:47:57,0.0,0.8433,90.0,0.0094,0.0
35,806400,train,2026-04-15 14:48:19,0.0,0.8419,90.0,0.0094,0.0
36,829440,train,2026-04-15 14:48:41,0.0,0.8552,90.0,0.0095,0.0
37,852480,train,2026-04-15 14:49:02,0.0,0.8412,90.0,0.0093,0.0
