iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-17 16:18:07,0.0,0.7479,90.0,0.0083,0.0
1,23040,train,2026-04-17 16:18:27,0.0,0.7279,90.0,0.0081,0.0
2,46080,train,2026-04-17 16:18:50,0.0,0.7721,90.0,0.0086,0.0
3,69120,train,2026-04-17 16:19:12,0.0,0.8536,90.0,0.0095,0.0
4,92160,train,2026-04-17 16:19:34,0.0,0.8885,90.0,0.0099,0.0
5,115200,train,2026-04-17 16:19:56,0.0,0.9698,90.0,0.0108,0.0
6,138240,train,2026-04-17 16:20:18,0.0,0.8714,90.0,0.0097,0.0
7,161280,train,2026-04-17 16:20:40,0.0,0.8482,90.0,0.0094,0.0
8,184320,train,2026-04-17 16:21:02,0.0,0.7757,90.0,0.0086,0.0
9,207360,train,2026-04-17 16:21:24,0.0,0.7345,90.0,0.0082,0.0
10,230400,train,2026-04-17 16:21:46,0.0,0.7176,90.0,0.008,0.0
11,253440,train,2026-04-17 16:22:08,0.0,0.7362,90.0,0.0082,0.0
12,276480,train,2026-04-17 16:22:30,0.0,0.7256,90.0,0.0081,0.0
13,299520,train,2026-04-17 16:22:52,0.0,0.803,90.0,0.0089,0.0
14,322560,train,2026-04-17 16:23:14,0.0,0.7825,90.0,0.0087,0.0
15,345600,train,2026-04-17 16:23:36,0.0,0.8056,90.0,0.009,0.0
16,368640,train,2026-04-17 16:23:57,0.0,0.8131,90.0,0.009,0.0
17,391680,train,2026-04-17 16:24:19,0.0,0.8125,90.0,0.009,0.0
18,414720,train,2026-04-17 16:24:41,0.0,0.8303,90.0,0.0092,0.0
19,437760,train,2026-04-17 16:25:03,0.0,0.8412,90.0,0.0093,0.0
20,460800,train,2026-04-17 16:25:25,0.0,0.8468,90.0,0.0094,0.0
21,483840,train,2026-04-17 16:25:47,0.0,0.8469,90.0,0.0094,0.0
22,506880,train,2026-04-17 16:26:09,0.0,0.8244,90.0,0.0092,0.0
23,529920,train,2026-04-17 16:26:31,0.0,0.8251,90.0,0.0092,0.0
24,552960,train,2026-04-17 16:26:53,0.0,0.782,90.0,0.0087,0.0
25,576000,train,2026-04-17 16:27:15,0.0,0.7165,90.0,0.008,0.0
26,576000,eval,2026-04-17 16:28:48,0.0,0.71,90.0,0.0079,0.0
26,599040,train,2026-04-17 16:29:08,0.0,0.6678,90.0,0.0074,0.0
27,622080,train,2026-04-17 16:29:30,0.0,0.7317,90.0,0.0081,0.0
28,645120,train,2026-04-17 16:29:52,0.0,0.6979,90.0,0.0078,0.0
29,668160,train,2026-04-17 16:30:14,0.0,0.7283,90.0,0.0081,0.0
30,691200,train,2026-04-17 16:30:36,0.0,0.6963,90.0,0.0077,0.0
31,714240,train,2026-04-17 16:30:58,0.0,0.7235,90.0,0.008,0.0
32,737280,train,2026-04-17 16:31:20,0.0,0.7863,90.0,0.0087,0.0
33,760320,train,2026-04-17 16:31:41,0.0,0.8135,90.0,0.009,0.0
34,783360,train,2026-04-17 16:32:03,0.0,0.8682,90.0,0.0096,0.0
35,806400,train,2026-04-17 16:32:25,0.0,0.8494,90.0,0.0094,0.0
36,829440,train,2026-04-17 16:32:47,0.0,0.8634,90.0,0.0096,0.0
37,852480,train,2026-04-17 16:33:09,0.0,0.8199,90.0,0.0091,0.0
38,875520,train,2026-04-17 16:33:31,0.0,0.8057,90.0,0.009,0.0
39,898560,train,2026-04-17 16:33:53,0.0,0.781,90.0,0.0087,0.0
40,921600,train,2026-04-17 16:34:15,0.0,0.7328,90.0,0.0081,0.0
41,944640,train,2026-04-17 16:34:37,0.0,0.6551,90.0,0.0073,0.0
42,967680,train,2026-04-17 16:34:59,0.0,0.6673,90.0,0.0074,0.0
43,990720,train,2026-04-17 16:35:20,0.0,0.7143,90.0,0.0079,0.0
44,1013760,train,2026-04-17 16:35:42,0.0,0.76,90.0,0.0084,0.0
45,1036800,train,2026-04-17 16:36:04,0.0,0.7994,90.0,0.0089,0.0
46,1059840,train,2026-04-17 16:36:26,0.0,0.7983,90.0,0.0089,0.0
47,1082880,train,2026-04-17 16:36:48,0.0,0.7929,90.0,0.0088,0.0
48,1105920,train,2026-04-17 16:37:10,0.0,0.7586,90.0,0.0084,0.0
49,1128960,train,2026-04-17 16:37:32,0.0,0.7438,90.0,0.0083,0.0
50,1152000,train,2026-04-17 16:37:54,0.0,0.6885,90.0,0.0077,0.0
51,1152000,eval,2026-04-17 16:39:25,0.0,0.6763,90.0,0.0075,0.0
51,1175040,train,2026-04-17 16:39:46,0.0,0.6583,90.0,0.0073,0.0
52,1198080,train,2026-04-17 16:40:08,0.0,0.7079,90.0,0.0079,0.0
53,1221120,train,2026-04-17 16:40:30,0.0,0.7415,90.0,0.0082,0.0
54,1244160,train,2026-04-17 16:40:52,0.0,0.7903,90.0,0.0088,0.0
55,1267200,train,2026-04-17 16:41:14,0.0,0.8137,90.0,0.009,0.0
56,1290240,train,2026-04-17 16:41:36,0.0,0.8386,90.0,0.0093,0.0
57,1313280,train,2026-04-17 16:41:57,0.0,0.7884,90.0,0.0088,0.0
58,1336320,train,2026-04-17 16:42:19,0.0,0.7681,90.0,0.0085,0.0
59,1359360,train,2026-04-17 16:42:41,0.0,0.7646,90.0,0.0085,0.0
60,1382400,train,2026-04-17 16:43:03,0.0,0.706,90.0,0.0078,0.0
61,1405440,train,2026-04-17 16:43:25,0.0,0.7081,90.0,0.0079,0.0
62,1428480,train,2026-04-17 16:43:47,0.0,0.6863,90.0,0.0076,0.0
63,1451520,train,2026-04-17 16:44:09,0.0,0.7066,90.0,0.0079,0.0
64,1474560,train,2026-04-17 16:44:31,0.0,0.7638,90.0,0.0085,0.0
65,1497600,train,2026-04-17 16:44:53,0.0,0.8083,90.0,0.009,0.0
66,1520640,train,2026-04-17 16:45:15,0.0,0.8508,90.0,0.0095,0.0
67,1543680,train,2026-04-17 16:45:37,0.0,0.8388,90.0,0.0093,0.0
68,1566720,train,2026-04-17 16:45:59,0.0,0.8238,90.0,0.0092,0.0
69,1589760,train,2026-04-17 16:46:20,0.0,0.7939,90.0,0.0088,0.0
70,1612800,train,2026-04-17 16:46:42,0.0,0.787,90.0,0.0087,0.0
71,1635840,train,2026-04-17 16:47:04,0.0,0.7691,90.0,0.0085,0.0
72,1658880,train,2026-04-17 16:47:26,0.0,0.7523,90.0,0.0084,0.0
73,1681920,train,2026-04-17 16:47:48,0.0,0.7802,90.0,0.0087,0.0
74,1704960,train,2026-04-17 16:48:10,0.0,0.7997,90.0,0.0089,0.0
75,1728000,train,2026-04-17 16:48:32,0.0,0.8236,90.0,0.0092,0.0
76,1728000,eval,2026-04-17 16:50:08,0.0,0.8511,90.0,0.0095,0.0
76,1751040,train,2026-04-17 16:50:29,0.0,0.8648,90.0,0.0096,0.0
77,1774080,train,2026-04-17 16:50:51,0.0,0.8798,90.0,0.0098,0.0
78,1797120,train,2026-04-17 16:51:13,0.0,0.8652,90.0,0.0096,0.0
79,1820160,train,2026-04-17 16:51:34,0.0,0.8515,90.0,0.0095,0.0
80,1843200,train,2026-04-17 16:51:56,0.0,0.8071,90.0,0.009,0.0
81,1866240,train,2026-04-17 16:52:18,0.0,0.7354,90.0,0.0082,0.0
82,1889280,train,2026-04-17 16:52:40,0.0,0.7068,90.0,0.0079,0.0
83,1912320,train,2026-04-17 16:53:02,0.0,0.6764,90.0,0.0075,0.0
84,1935360,train,2026-04-17 16:53:24,0.0,0.6681,90.0,0.0074,0.0
85,1958400,train,2026-04-17 16:53:46,0.0,0.6765,90.0,0.0075,0.0
86,1981440,train,2026-04-17 16:54:08,0.0,0.7235,90.0,0.008,0.0
87,2004480,train,2026-04-17 16:54:30,0.0,0.7613,90.0,0.0085,0.0
88,2027520,train,2026-04-17 16:54:52,0.0,0.7984,90.0,0.0089,0.0
89,2050560,train,2026-04-17 16:55:14,0.0,0.8042,90.0,0.0089,0.0
90,2073600,train,2026-04-17 16:55:35,0.0,0.822,90.0,0.0091,0.0
91,2096640,train,2026-04-17 16:55:57,0.0,0.8338,90.0,0.0093,0.0
92,2119680,train,2026-04-17 16:56:19,0.0,0.8352,90.0,0.0093,0.0
93,2142720,train,2026-04-17 16:56:41,0.0,0.785,90.0,0.0087,0.0
94,2165760,train,2026-04-17 16:57:03,0.0,0.7869,90.0,0.0087,0.0
95,2188800,train,2026-04-17 16:57:25,0.0,0.7377,90.0,0.0082,0.0
96,2211840,train,2026-04-17 16:57:47,0.0,0.7089,90.0,0.0079,0.0
97,2234880,train,2026-04-17 16:58:09,0.0,0.6826,90.0,0.0076,0.0
98,2257920,train,2026-04-17 16:58:31,0.0,0.6703,90.0,0.0074,0.0
99,2280960,train,2026-04-17 16:58:53,0.0,0.6781,90.0,0.0075,0.0
100,2304000,train,2026-04-17 16:59:15,0.0,0.7118,90.0,0.0079,0.0
101,2304000,eval,2026-04-17 17:00:47,0.0,0.7158,90.0,0.008,0.0
101,2327040,train,2026-04-17 17:01:07,0.0,0.7315,90.0,0.0081,0.0
102,2350080,train,2026-04-17 17:01:29,0.0,0.7706,90.0,0.0086,0.0
103,2373120,train,2026-04-17 17:01:51,0.0,0.7579,90.0,0.0084,0.0
104,2396160,train,2026-04-17 17:02:13,0.0,0.7731,90.0,0.0086,0.0
105,2419200,train,2026-04-17 17:02:35,0.0,0.781,90.0,0.0087,0.0
106,2442240,train,2026-04-17 17:02:57,0.0,0.7841,90.0,0.0087,0.0
107,2465280,train,2026-04-17 17:03:19,0.0,0.7356,90.0,0.0082,0.0
108,2488320,train,2026-04-17 17:03:41,0.0,0.6902,90.0,0.0077,0.0
109,2511360,train,2026-04-17 17:04:03,0.0,0.6783,90.0,0.0075,0.0
110,2534400,train,2026-04-17 17:04:25,0.0,0.682,90.0,0.0076,0.0
111,2557440,train,2026-04-17 17:04:47,0.0,0.6618,90.0,0.0074,0.0
112,2580480,train,2026-04-17 17:05:09,0.0,0.6386,90.0,0.0071,0.0
113,2603520,train,2026-04-17 17:05:31,0.0,0.6508,90.0,0.0072,0.0
114,2626560,train,2026-04-17 17:05:53,0.0,0.7019,90.0,0.0078,0.0
115,2649600,train,2026-04-17 17:06:15,0.0,0.7152,90.0,0.0079,0.0
116,2672640,train,2026-04-17 17:06:37,0.0,0.7302,90.0,0.0081,0.0
117,2695680,train,2026-04-17 17:06:58,0.0,0.7336,90.0,0.0082,0.0
118,2718720,train,2026-04-17 17:07:25,0.0,0.7368,90.0,0.0082,0.0
119,2741760,train,2026-04-17 17:07:47,0.0,0.7523,90.0,0.0084,0.0
120,2764800,train,2026-04-17 17:08:09,0.0,0.7447,90.0,0.0083,0.0
121,2787840,train,2026-04-17 17:08:31,0.0,0.6944,90.0,0.0077,0.0
122,2810880,train,2026-04-17 17:08:53,0.0,0.729,90.0,0.0081,0.0
123,2833920,train,2026-04-17 17:09:15,0.0,0.7099,90.0,0.0079,0.0
124,2856960,train,2026-04-17 17:09:37,0.0,0.707,90.0,0.0079,0.0
125,2880000,train,2026-04-17 17:09:59,0.0,0.7177,90.0,0.008,0.0
126,2880000,eval,2026-04-17 17:11:33,0.0,0.7315,90.0,0.0081,0.0
126,2903040,train,2026-04-17 17:11:54,0.0,0.7352,90.0,0.0082,0.0
127,2926080,train,2026-04-17 17:12:15,0.0,0.7495,90.0,0.0083,0.0
128,2949120,train,2026-04-17 17:12:37,0.0,0.7648,90.0,0.0085,0.0
129,2972160,train,2026-04-17 17:12:59,0.0,0.7882,90.0,0.0088,0.0
130,2995200,train,2026-04-17 17:13:22,0.0,0.8,90.0,0.0089,0.0
131,3018240,train,2026-04-17 17:13:44,0.0,0.7778,90.0,0.0086,0.0
132,3041280,train,2026-04-17 17:14:06,0.0,0.7923,90.0,0.0088,0.0
133,3064320,train,2026-04-17 17:14:28,0.0,0.7657,90.0,0.0085,0.0
134,3087360,train,2026-04-17 17:14:50,0.0,0.7377,90.0,0.0082,0.0
135,3110400,train,2026-04-17 17:15:12,0.0,0.7158,90.0,0.008,0.0
136,3133440,train,2026-04-17 17:15:34,0.0,0.6938,90.0,0.0077,0.0
137,3156480,train,2026-04-17 17:15:56,0.0,0.68,90.0,0.0076,0.0
138,3179520,train,2026-04-17 17:16:18,0.0,0.6791,90.0,0.0075,0.0
139,3202560,train,2026-04-17 17:16:40,0.0,0.6966,90.0,0.0077,0.0
140,3225600,train,2026-04-17 17:17:02,0.0,0.7302,90.0,0.0081,0.0
141,3248640,train,2026-04-17 17:17:24,0.0,0.7308,90.0,0.0081,0.0
142,3271680,train,2026-04-17 17:17:46,0.0,0.7626,90.0,0.0085,0.0
143,3294720,train,2026-04-17 17:18:08,0.0,0.761,90.0,0.0085,0.0
144,3317760,train,2026-04-17 17:18:30,0.0,0.7343,90.0,0.0082,0.0
145,3340800,train,2026-04-17 17:18:52,0.0,0.7225,90.0,0.008,0.0
