iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-17 11:30:55,0.0,0.7452,90.0,0.0083,0.0
1,23040,train,2026-05-17 11:31:39,0.0,0.7178,90.0,0.008,0.0
2,46080,train,2026-05-17 11:32:24,0.0,0.7516,90.0,0.0084,0.0
3,69120,train,2026-05-17 11:33:09,0.0,0.8211,90.0,0.0091,0.0
4,92160,train,2026-05-17 11:33:54,0.0,0.8697,90.0,0.0097,0.0
5,115200,train,2026-05-17 11:34:40,0.0,0.8757,90.0,0.0097,0.0
6,138240,train,2026-05-17 11:35:25,0.0039,1.0852,90.0,0.0121,0.0
7,161280,train,2026-05-17 11:36:10,0.0,1.1585,90.0,0.0129,0.0
8,184320,train,2026-05-17 11:36:55,0.0,1.1526,90.0,0.0128,0.0
9,207360,train,2026-05-17 11:37:41,0.0,1.2393,90.0,0.0138,0.0
10,230400,train,2026-05-17 11:38:26,0.0,1.2639,90.0,0.014,0.0
11,253440,train,2026-05-17 11:39:12,0.0039,1.5227,90.0,0.0169,0.0
12,276480,train,2026-05-17 11:39:57,0.0078,1.6661,90.0,0.0185,0.0039
13,299520,train,2026-05-17 11:40:43,0.0039,1.613,90.0,0.0179,0.0
14,322560,train,2026-05-17 11:41:28,0.0273,2.2683,90.0,0.0252,0.0
15,345600,train,2026-05-17 11:42:14,0.0391,2.4692,90.0,0.0274,0.0
16,368640,train,2026-05-17 11:43:00,0.0156,2.2622,90.0,0.0251,0.0039
17,391680,train,2026-05-17 11:43:46,0.043,2.5232,90.0,0.028,0.0078
18,414720,train,2026-05-17 11:44:32,0.0703,2.8734,90.0,0.0319,0.0
19,437760,train,2026-05-17 11:45:17,0.0469,2.4822,90.0,0.0276,0.0039
20,460800,train,2026-05-17 11:46:03,0.0312,2.3657,90.0,0.0263,0.0
21,483840,train,2026-05-17 11:46:49,0.0586,2.9481,90.0,0.0328,0.0117
22,506880,train,2026-05-17 11:47:35,0.0195,2.9025,90.0,0.0323,0.0078
23,529920,train,2026-05-17 11:48:20,0.0508,3.0713,90.0,0.0341,0.0078
24,552960,train,2026-05-17 11:49:06,0.0742,3.441,90.0,0.0382,0.0078
25,576000,train,2026-05-17 11:49:51,0.0508,3.0843,90.0,0.0343,0.0
26,576000,eval,2026-05-17 11:51:03,0.0104,3.6851,90.0,0.0409,0.0
26,599040,train,2026-05-17 11:51:47,0.0508,2.8503,90.0,0.0317,0.0
27,622080,train,2026-05-17 11:52:32,0.0117,2.3238,90.0,0.0258,0.0039
28,645120,train,2026-05-17 11:53:17,0.0469,3.2013,90.0,0.0356,0.0117
29,668160,train,2026-05-17 11:54:03,0.0508,3.7869,90.0,0.0421,0.0078
30,691200,train,2026-05-17 11:54:49,0.0625,3.6055,90.0,0.0401,0.0039
31,714240,train,2026-05-17 11:55:35,0.0508,3.7611,90.0,0.0418,0.0078
32,737280,train,2026-05-17 11:56:20,0.0469,3.4633,90.0,0.0385,0.0117
33,760320,train,2026-05-17 11:57:06,0.0664,3.9405,90.0,0.0438,0.0078
34,783360,train,2026-05-17 11:57:52,0.0664,3.8252,90.0,0.0425,0.0039
35,806400,train,2026-05-17 11:58:37,0.0469,3.5022,90.0,0.0389,0.0
36,829440,train,2026-05-17 11:59:23,0.043,3.5264,90.0,0.0392,0.0039
37,852480,train,2026-05-17 12:00:09,0.0742,3.8473,90.0,0.0427,0.0117
38,875520,train,2026-05-17 12:00:55,0.0586,3.5804,90.0,0.0398,0.0117
39,898560,train,2026-05-17 12:01:41,0.0938,4.4741,90.0,0.0497,0.0078
40,921600,train,2026-05-17 12:02:26,0.0586,4.2244,90.0,0.0469,0.0
41,944640,train,2026-05-17 12:03:12,0.0859,4.2932,90.0,0.0477,0.0117
42,967680,train,2026-05-17 12:03:58,0.0742,4.1821,90.0,0.0465,0.0
43,990720,train,2026-05-17 12:04:44,0.0938,4.7199,90.0,0.0524,0.0039
44,1013760,train,2026-05-17 12:05:30,0.0625,3.977,90.0,0.0442,0.0078
45,1036800,train,2026-05-17 12:06:16,0.0859,4.22,90.0,0.0469,0.0039
46,1059840,train,2026-05-17 12:07:01,0.0898,4.585,90.0,0.0509,0.0117
47,1082880,train,2026-05-17 12:07:47,0.0547,4.5561,90.0,0.0506,0.0117
48,1105920,train,2026-05-17 12:08:33,0.0898,4.8476,90.0,0.0539,0.0078
49,1128960,train,2026-05-17 12:09:19,0.0742,4.4571,90.0,0.0495,0.0039
50,1152000,train,2026-05-17 12:10:05,0.0781,4.3307,90.0,0.0481,0.0078
51,1152000,eval,2026-05-17 12:11:14,0.0208,4.3659,90.0,0.0485,0.0
51,1175040,train,2026-05-17 12:11:59,0.0977,4.9589,90.0,0.0551,0.0195
52,1198080,train,2026-05-17 12:12:45,0.1406,5.2186,90.0,0.058,0.0039
53,1221120,train,2026-05-17 12:13:30,0.1328,5.2333,90.0,0.0581,0.0039
54,1244160,train,2026-05-17 12:14:16,0.125,5.2282,90.0,0.0581,0.0039
55,1267200,train,2026-05-17 12:15:02,0.1367,5.3964,90.0,0.06,0.0078
56,1290240,train,2026-05-17 12:15:48,0.1172,5.0372,90.0,0.056,0.0078
57,1313280,train,2026-05-17 12:16:34,0.1094,4.7045,90.0,0.0523,0.0039
58,1336320,train,2026-05-17 12:17:20,0.1172,5.6896,90.0,0.0632,0.0156
