iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-14 21:49:56,0.0,0.7452,90.0,0.0083,0.0
1,23040,train,2026-07-14 21:51:12,0.0,0.7164,90.0,0.008,0.0
2,46080,train,2026-07-14 21:52:31,0.0,0.7784,90.0,0.0086,0.0
3,69120,train,2026-07-14 21:53:49,0.0,0.8711,90.0,0.0097,0.0
4,92160,train,2026-07-14 21:55:07,0.0,0.9302,90.0,0.0103,0.0
5,115200,train,2026-07-14 21:56:26,0.0,0.9326,90.0,0.0104,0.0
6,138240,train,2026-07-14 21:57:45,0.0,1.0287,90.0,0.0114,0.0
7,161280,train,2026-07-14 21:59:04,0.0,1.1195,90.0,0.0124,0.0
8,184320,train,2026-07-14 22:00:22,0.0,1.1521,90.0,0.0128,0.0
9,207360,train,2026-07-14 22:01:41,0.0,1.219,90.0,0.0135,0.0
10,230400,train,2026-07-14 22:03:00,0.0,1.3476,90.0,0.015,0.0
11,253440,train,2026-07-14 22:04:21,0.0,1.3788,90.0,0.0153,0.0
12,276480,train,2026-07-14 22:05:39,0.0,1.2796,90.0,0.0142,0.0
13,299520,train,2026-07-14 22:07:00,0.0,1.3683,90.0,0.0152,0.0
14,322560,train,2026-07-14 22:08:20,0.0117,1.8238,90.0,0.0203,0.0
15,345600,train,2026-07-14 22:09:40,0.0195,1.8758,90.0,0.0208,0.0039
16,368640,train,2026-07-14 22:11:00,0.0039,1.6909,90.0,0.0188,0.0
17,368640,eval,2026-07-14 22:12:25,0.0312,2.7722,90.0,0.0308,0.0
17,391680,train,2026-07-14 22:13:43,0.0117,1.9897,90.0,0.0221,0.0
18,414720,train,2026-07-14 22:15:02,0.0156,1.8167,90.0,0.0202,0.0039
19,437760,train,2026-07-14 22:16:22,0.0273,2.2649,90.0,0.0252,0.0
20,460800,train,2026-07-14 22:17:42,0.0195,2.195,90.0,0.0244,0.0
21,483840,train,2026-07-14 22:19:02,0.0195,2.5414,90.0,0.0282,0.0
22,506880,train,2026-07-14 22:20:21,0.0156,2.0843,90.0,0.0232,0.0
23,529920,train,2026-07-14 22:21:41,0.0352,2.5835,90.0,0.0287,0.0
24,552960,train,2026-07-14 22:23:00,0.0664,3.4765,90.0,0.0386,0.0078
25,576000,train,2026-07-14 22:24:20,0.0195,2.6983,90.0,0.03,0.0
26,599040,train,2026-07-14 22:25:40,0.0508,3.2427,90.0,0.036,0.0
27,622080,train,2026-07-14 22:27:02,0.0156,2.5151,90.0,0.0279,0.0039
28,645120,train,2026-07-14 22:28:20,0.0391,3.0053,90.0,0.0334,0.0039
29,668160,train,2026-07-14 22:29:42,0.0312,2.7684,90.0,0.0308,0.0
30,691200,train,2026-07-14 22:31:01,0.043,3.4577,90.0,0.0384,0.0
31,714240,train,2026-07-14 22:32:20,0.0273,3.1801,90.0,0.0353,0.0039
32,737280,train,2026-07-14 22:33:40,0.0547,3.075,90.0,0.0342,0.0
33,737280,eval,2026-07-14 22:35:07,0.0208,4.0226,90.0,0.0447,0.0104
33,760320,train,2026-07-14 22:36:27,0.0469,3.279,90.0,0.0364,0.0039
34,783360,train,2026-07-14 22:37:47,0.0547,3.4611,90.0,0.0385,0.0
35,806400,train,2026-07-14 22:39:07,0.0742,3.911,90.0,0.0435,0.0078
36,829440,train,2026-07-14 22:40:27,0.0859,3.9413,90.0,0.0438,0.0
37,852480,train,2026-07-14 22:41:47,0.0703,3.7474,90.0,0.0416,0.0195
38,875520,train,2026-07-14 22:43:08,0.0625,3.4181,90.0,0.038,0.0039
39,898560,train,2026-07-14 22:44:27,0.0742,4.1494,90.0,0.0461,0.0078
40,921600,train,2026-07-14 22:45:47,0.0859,4.5612,90.0,0.0507,0.0117
41,944640,train,2026-07-14 22:47:07,0.1055,5.0244,90.0,0.0558,0.0078
42,967680,train,2026-07-14 22:48:26,0.0859,4.7535,90.0,0.0528,0.0117
43,990720,train,2026-07-14 22:49:48,0.0781,4.2003,90.0,0.0467,0.0039
44,1013760,train,2026-07-14 22:51:07,0.1172,5.1951,90.0,0.0577,0.0039
45,1036800,train,2026-07-14 22:52:29,0.1289,5.3582,90.0,0.0595,0.0117
46,1059840,train,2026-07-14 22:53:51,0.1211,5.2252,90.0,0.0581,0.0078
47,1082880,train,2026-07-14 22:55:09,0.1289,4.9575,90.0,0.0551,0.0117
48,1105920,train,2026-07-14 22:56:29,0.0742,4.2303,90.0,0.047,0.0039
49,1105920,eval,2026-07-14 22:57:56,0.0938,6.8684,90.0,0.0763,0.0
49,1128960,train,2026-07-14 22:59:14,0.1289,5.3712,90.0,0.0597,0.0117
50,1152000,train,2026-07-14 23:00:33,0.1133,4.886,90.0,0.0543,0.0039
51,1175040,train,2026-07-14 23:01:53,0.0938,4.7739,90.0,0.053,0.0039
52,1198080,train,2026-07-14 23:03:13,0.1055,4.7859,90.0,0.0532,0.0
53,1221120,train,2026-07-14 23:04:33,0.125,5.2378,90.0,0.0582,0.0117
54,1244160,train,2026-07-14 23:05:51,0.1406,5.0505,90.0,0.0561,0.0156
55,1267200,train,2026-07-14 23:07:23,0.1523,5.9653,90.0,0.0663,0.0039
56,1290240,train,2026-07-14 23:08:50,0.1602,5.2304,90.0,0.0581,0.0039
57,1313280,train,2026-07-14 23:10:09,0.168,5.9326,90.0,0.0659,0.0117
58,1336320,train,2026-07-14 23:11:28,0.1484,5.0392,90.0,0.056,0.0039
59,1359360,train,2026-07-14 23:12:48,0.1562,5.9501,90.0,0.0661,0.0117
60,1382400,train,2026-07-14 23:14:07,0.1875,6.6452,90.0,0.0738,0.0156
61,1405440,train,2026-07-14 23:15:28,0.2383,7.1349,90.0,0.0793,0.0156
62,1428480,train,2026-07-14 23:16:47,0.1523,5.8927,90.0,0.0655,0.0039
