iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 06:37:30,0.0,0.7353,90.0,0.0082,0.0
1,23040,train,2026-07-02 06:38:29,0.0,0.7066,90.0,0.0079,0.0
2,46080,train,2026-07-02 06:39:28,0.0,0.8268,90.0,0.0092,0.0
3,69120,train,2026-07-02 06:40:28,0.0,0.8467,90.0,0.0094,0.0
4,92160,train,2026-07-02 06:41:28,0.0,0.8304,90.0,0.0092,0.0
5,115200,train,2026-07-02 06:42:27,0.0,0.8789,90.0,0.0098,0.0
6,138240,train,2026-07-02 06:43:27,0.0,0.886,90.0,0.0098,0.0
7,161280,train,2026-07-02 06:44:27,0.0,0.9485,90.0,0.0105,0.0
8,184320,train,2026-07-02 06:45:27,0.0,0.9918,90.0,0.011,0.0
9,207360,train,2026-07-02 06:46:27,0.0,0.9996,90.0,0.0111,0.0
10,230400,train,2026-07-02 06:47:27,0.0,0.959,90.0,0.0107,0.0
11,253440,train,2026-07-02 06:48:27,0.0,0.9453,90.0,0.0105,0.0
12,276480,train,2026-07-02 06:49:26,0.0,1.0052,90.0,0.0112,0.0
13,299520,train,2026-07-02 06:50:27,0.0,1.0567,90.0,0.0117,0.0
14,322560,train,2026-07-02 06:51:27,0.0,1.0712,90.0,0.0119,0.0
15,345600,train,2026-07-02 06:52:27,0.0,1.119,90.0,0.0124,0.0
16,368640,train,2026-07-02 06:53:27,0.0,1.1668,90.0,0.013,0.0
17,368640,eval,2026-07-02 06:54:37,0.0,1.4006,90.0,0.0156,0.0
17,391680,train,2026-07-02 06:55:36,0.0,1.3089,90.0,0.0145,0.0
18,414720,train,2026-07-02 06:56:35,0.0,1.2803,90.0,0.0142,0.0
19,437760,train,2026-07-02 06:57:35,0.0,1.4568,90.0,0.0162,0.0
20,460800,train,2026-07-02 06:58:35,0.0,1.524,90.0,0.0169,0.0
21,483840,train,2026-07-02 06:59:35,0.0,1.6877,90.0,0.0188,0.0
22,506880,train,2026-07-02 07:00:35,0.0039,1.7564,90.0,0.0195,0.0039
23,529920,train,2026-07-02 07:01:35,0.0039,1.7946,90.0,0.0199,0.0
24,552960,train,2026-07-02 07:02:36,0.0039,1.8519,90.0,0.0206,0.0
25,576000,train,2026-07-02 07:03:36,0.0,1.984,90.0,0.022,0.0
26,599040,train,2026-07-02 07:04:36,0.0,1.7405,90.0,0.0193,0.0
27,622080,train,2026-07-02 07:05:36,0.0078,2.0312,90.0,0.0226,0.0
28,645120,train,2026-07-02 07:06:37,0.0117,2.3477,90.0,0.0261,0.0
29,668160,train,2026-07-02 07:07:37,0.0117,1.9899,90.0,0.0221,0.0
30,691200,train,2026-07-02 07:08:37,0.0117,2.1763,90.0,0.0242,0.0078
31,714240,train,2026-07-02 07:09:38,0.0273,2.7038,90.0,0.03,0.0039
32,737280,train,2026-07-02 07:10:39,0.0234,2.695,90.0,0.0299,0.0
33,737280,eval,2026-07-02 07:11:52,0.0208,3.4827,90.0,0.0387,0.0
33,760320,train,2026-07-02 07:12:51,0.0195,2.3856,90.0,0.0265,0.0039
34,783360,train,2026-07-02 07:13:52,0.0312,2.7334,90.0,0.0304,0.0039
35,806400,train,2026-07-02 07:14:53,0.0273,3.0339,90.0,0.0337,0.0
36,829440,train,2026-07-02 07:15:53,0.0195,2.9457,90.0,0.0327,0.0
37,852480,train,2026-07-02 07:16:53,0.0508,3.4978,90.0,0.0389,0.0039
38,875520,train,2026-07-02 07:17:54,0.0547,3.6993,90.0,0.0411,0.0039
39,898560,train,2026-07-02 07:18:54,0.0703,4.0014,90.0,0.0445,0.0117
40,921600,train,2026-07-02 07:19:55,0.0586,3.82,90.0,0.0424,0.0078
41,944640,train,2026-07-02 07:20:55,0.0625,4.1108,90.0,0.0457,0.0039
42,967680,train,2026-07-02 07:21:55,0.0547,3.5627,90.0,0.0396,0.0039
43,990720,train,2026-07-02 07:22:56,0.0742,4.3694,90.0,0.0485,0.0078
44,1013760,train,2026-07-02 07:23:56,0.0391,3.5123,90.0,0.039,0.0078
45,1036800,train,2026-07-02 07:24:57,0.0859,4.3511,90.0,0.0483,0.0039
46,1059840,train,2026-07-02 07:25:57,0.0664,3.8395,90.0,0.0427,0.0039
47,1082880,train,2026-07-02 07:26:58,0.0664,4.1011,90.0,0.0456,0.0039
48,1105920,train,2026-07-02 07:27:58,0.0781,4.3242,90.0,0.048,0.0039
49,1105920,eval,2026-07-02 07:29:11,0.0625,4.7641,90.0,0.0529,0.0104
49,1128960,train,2026-07-02 07:30:11,0.0586,3.9485,90.0,0.0439,0.0
50,1152000,train,2026-07-02 07:31:11,0.0664,4.1593,90.0,0.0462,0.0078
51,1175040,train,2026-07-02 07:32:12,0.0664,3.7927,90.0,0.0421,0.0039
52,1198080,train,2026-07-02 07:33:12,0.0664,4.2037,90.0,0.0467,0.0039
53,1221120,train,2026-07-02 07:34:13,0.1055,4.7227,90.0,0.0525,0.0117
54,1244160,train,2026-07-02 07:35:13,0.0742,4.6481,90.0,0.0516,0.0039
55,1267200,train,2026-07-02 07:36:14,0.0938,4.821,90.0,0.0536,0.0117
56,1290240,train,2026-07-02 07:37:15,0.0742,4.5441,90.0,0.0505,0.0039
57,1313280,train,2026-07-02 07:38:15,0.1211,5.4443,90.0,0.0605,0.0156
58,1336320,train,2026-07-02 07:39:16,0.0469,4.2541,90.0,0.0473,0.0039
59,1359360,train,2026-07-02 07:40:17,0.0625,4.7961,90.0,0.0533,0.0078
60,1382400,train,2026-07-02 07:41:18,0.0859,4.2251,90.0,0.0469,0.0
61,1405440,train,2026-07-02 07:42:18,0.0977,4.9323,90.0,0.0548,0.0195
62,1428480,train,2026-07-02 07:43:19,0.1523,5.6797,90.0,0.0631,0.0156
63,1451520,train,2026-07-02 07:44:20,0.1094,5.5598,90.0,0.0618,0.0039
64,1474560,train,2026-07-02 07:45:20,0.082,4.5982,90.0,0.0511,0.0078
