iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-05 22:07:00,0.0,0.1932,90.0,0.0021,0.0
1,23040,train,2026-07-05 22:07:29,0.0,0.2259,90.0,0.0025,0.0
2,46080,train,2026-07-05 22:08:16,0.0,0.2151,90.0,0.0024,0.0
3,69120,train,2026-07-05 22:09:03,0.0,0.229,90.0,0.0025,0.0
4,92160,train,2026-07-05 22:09:50,0.0,0.2127,90.0,0.0024,0.0
5,115200,train,2026-07-05 22:10:37,0.0,0.2206,90.0,0.0025,0.0
6,138240,train,2026-07-05 22:11:23,0.0,0.241,90.0,0.0027,0.0
7,161280,train,2026-07-05 22:12:10,0.0,0.2806,90.0,0.0031,0.0
8,184320,train,2026-07-05 22:12:57,0.0,0.2686,90.0,0.003,0.0
9,207360,train,2026-07-05 22:13:44,0.0,0.2603,90.0,0.0029,0.0
10,230400,train,2026-07-05 22:14:31,0.0,0.2648,90.0,0.0029,0.0
11,253440,train,2026-07-05 22:15:18,0.0,0.278,90.0,0.0031,0.0
12,276480,train,2026-07-05 22:16:04,0.0,0.3062,90.0,0.0034,0.0
13,299520,train,2026-07-05 22:16:51,0.0,0.3257,90.0,0.0036,0.0
14,322560,train,2026-07-05 22:17:38,0.0,0.3382,90.0,0.0038,0.0
15,345600,train,2026-07-05 22:18:25,0.0,0.3433,90.0,0.0038,0.0
16,368640,train,2026-07-05 22:19:12,0.0,0.3034,90.0,0.0034,0.0
17,368640,eval,2026-07-05 22:20:29,0.0,0.3931,90.0,0.0044,0.0
17,391680,train,2026-07-05 22:20:58,0.0,0.3431,90.0,0.0038,0.0
18,414720,train,2026-07-05 22:21:45,0.0,0.3754,90.0,0.0042,0.0
19,437760,train,2026-07-05 22:22:31,0.0,0.4046,90.0,0.0045,0.0
20,460800,train,2026-07-05 22:23:18,0.0,0.4643,90.0,0.0052,0.0
21,483840,train,2026-07-05 22:24:05,0.0,0.4879,90.0,0.0054,0.0
22,506880,train,2026-07-05 22:24:52,0.0,0.4683,90.0,0.0052,0.0
23,529920,train,2026-07-05 22:25:39,0.0,0.5442,90.0,0.006,0.0
24,552960,train,2026-07-05 22:26:27,0.0,0.5627,90.0,0.0063,0.0
25,576000,train,2026-07-05 22:27:14,0.0,0.6002,90.0,0.0067,0.0
26,599040,train,2026-07-05 22:28:01,0.0,0.6632,90.0,0.0074,0.0
27,622080,train,2026-07-05 22:28:48,0.0,0.714,90.0,0.0079,0.0
28,645120,train,2026-07-05 22:29:36,0.0,0.7628,90.0,0.0085,0.0
29,668160,train,2026-07-05 22:30:23,0.0,0.8516,90.0,0.0095,0.0
30,691200,train,2026-07-05 22:31:10,0.0,0.8447,90.0,0.0094,0.0
31,714240,train,2026-07-05 22:31:58,0.0,0.9576,90.0,0.0106,0.0
32,737280,train,2026-07-05 22:32:46,0.0,0.8958,90.0,0.01,0.0
33,737280,eval,2026-07-05 22:34:07,0.0208,2.479,90.0,0.0275,0.0
33,760320,train,2026-07-05 22:34:37,0.0,1.0084,90.0,0.0112,0.0
34,783360,train,2026-07-05 22:35:24,0.0,1.2954,90.0,0.0144,0.0
35,806400,train,2026-07-05 22:36:12,0.0,1.3489,90.0,0.015,0.0
36,829440,train,2026-07-05 22:37:00,0.0,1.3628,90.0,0.0151,0.0
37,852480,train,2026-07-05 22:37:49,0.0,1.2406,90.0,0.0138,0.0
38,875520,train,2026-07-05 22:38:37,0.0,1.4343,90.0,0.0159,0.0
39,898560,train,2026-07-05 22:39:25,0.0078,1.3762,90.0,0.0153,0.0
40,921600,train,2026-07-05 22:40:14,0.0039,1.3889,90.0,0.0154,0.0
41,944640,train,2026-07-05 22:41:02,0.0,1.5929,90.0,0.0177,0.0
42,967680,train,2026-07-05 22:41:50,0.0039,1.9862,90.0,0.0221,0.0
