iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-06 02:51:01,0.0,0.1913,90.0,0.0021,0.0
1,23040,train,2026-07-06 02:51:31,0.0,0.2239,90.0,0.0025,0.0
2,46080,train,2026-07-06 02:52:20,0.0,0.2104,90.0,0.0023,0.0
3,69120,train,2026-07-06 02:53:09,0.0,0.2331,90.0,0.0026,0.0
4,92160,train,2026-07-06 02:53:59,0.0,0.2451,90.0,0.0027,0.0
5,115200,train,2026-07-06 02:54:49,0.0,0.278,90.0,0.0031,0.0
6,138240,train,2026-07-06 02:55:39,0.0,0.3065,90.0,0.0034,0.0
7,161280,train,2026-07-06 02:56:28,0.0,0.3083,90.0,0.0034,0.0
8,184320,train,2026-07-06 02:57:18,0.0,0.2841,90.0,0.0032,0.0
9,207360,train,2026-07-06 02:58:08,0.0,0.3011,90.0,0.0033,0.0
10,230400,train,2026-07-06 02:58:58,0.0,0.347,90.0,0.0039,0.0
11,253440,train,2026-07-06 02:59:47,0.0,0.339,90.0,0.0038,0.0
12,276480,train,2026-07-06 03:00:37,0.0,0.3503,90.0,0.0039,0.0
13,299520,train,2026-07-06 03:01:26,0.0,0.348,90.0,0.0039,0.0
14,322560,train,2026-07-06 03:02:16,0.0,0.3668,90.0,0.0041,0.0
15,345600,train,2026-07-06 03:03:06,0.0,0.3756,90.0,0.0042,0.0
16,368640,train,2026-07-06 03:03:55,0.0,0.3581,90.0,0.004,0.0
17,368640,eval,2026-07-06 03:05:13,0.0,0.4359,90.0,0.0048,0.0
17,391680,train,2026-07-06 03:05:42,0.0,0.3783,90.0,0.0042,0.0
18,414720,train,2026-07-06 03:06:32,0.0,0.3827,90.0,0.0043,0.0
19,437760,train,2026-07-06 03:07:21,0.0,0.3862,90.0,0.0043,0.0
20,460800,train,2026-07-06 03:08:11,0.0,0.4237,90.0,0.0047,0.0
21,483840,train,2026-07-06 03:09:01,0.0,0.4117,90.0,0.0046,0.0
22,506880,train,2026-07-06 03:09:50,0.0,0.3989,90.0,0.0044,0.0
23,529920,train,2026-07-06 03:10:40,0.0,0.4526,90.0,0.005,0.0
24,552960,train,2026-07-06 03:11:30,0.0,0.4503,90.0,0.005,0.0
25,576000,train,2026-07-06 03:12:20,0.0,0.4766,90.0,0.0053,0.0
26,599040,train,2026-07-06 03:13:09,0.0,0.5362,90.0,0.006,0.0
27,622080,train,2026-07-06 03:13:59,0.0,0.4902,90.0,0.0054,0.0
28,645120,train,2026-07-06 03:14:49,0.0,0.5331,90.0,0.0059,0.0
29,668160,train,2026-07-06 03:15:39,0.0,0.5626,90.0,0.0063,0.0
30,691200,train,2026-07-06 03:16:29,0.0,0.6254,90.0,0.0069,0.0
31,714240,train,2026-07-06 03:17:19,0.0,0.6339,90.0,0.007,0.0
32,737280,train,2026-07-06 03:18:09,0.0,0.6847,90.0,0.0076,0.0
33,737280,eval,2026-07-06 03:19:31,0.0,1.3255,90.0,0.0147,0.0
33,760320,train,2026-07-06 03:20:01,0.0,0.8169,90.0,0.0091,0.0
34,783360,train,2026-07-06 03:20:51,0.0,0.7083,90.0,0.0079,0.0
35,806400,train,2026-07-06 03:21:42,0.0,0.8048,90.0,0.0089,0.0
36,829440,train,2026-07-06 03:22:32,0.0,1.1076,90.0,0.0123,0.0
37,852480,train,2026-07-06 03:23:23,0.0,0.8861,90.0,0.0098,0.0
38,875520,train,2026-07-06 03:24:14,0.0,0.9593,90.0,0.0107,0.0
39,898560,train,2026-07-06 03:25:04,0.0,1.1122,90.0,0.0124,0.0
40,921600,train,2026-07-06 03:25:55,0.0,1.2174,90.0,0.0135,0.0
41,944640,train,2026-07-06 03:26:46,0.0,1.5396,90.0,0.0171,0.0
42,967680,train,2026-07-06 03:27:36,0.0,1.3991,90.0,0.0155,0.0
43,990720,train,2026-07-06 03:28:27,0.0,2.0222,90.0,0.0225,0.0
44,1013760,train,2026-07-06 03:29:18,0.0,1.6629,90.0,0.0185,0.0
