iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-06 07:29:03,0.0,0.194,90.0,0.0022,0.0
1,23040,train,2026-07-06 07:29:32,0.0,0.1814,90.0,0.002,0.0
2,46080,train,2026-07-06 07:30:19,0.0,0.2127,90.0,0.0024,0.0
3,69120,train,2026-07-06 07:31:06,0.0,0.2726,90.0,0.003,0.0
4,92160,train,2026-07-06 07:31:54,0.0,0.3,90.0,0.0033,0.0
5,115200,train,2026-07-06 07:32:42,0.0,0.2951,90.0,0.0033,0.0
6,138240,train,2026-07-06 07:33:29,0.0,0.2976,90.0,0.0033,0.0
7,161280,train,2026-07-06 07:34:17,0.0,0.2852,90.0,0.0032,0.0
8,184320,train,2026-07-06 07:35:04,0.0,0.272,90.0,0.003,0.0
9,207360,train,2026-07-06 07:35:52,0.0,0.2684,90.0,0.003,0.0
10,230400,train,2026-07-06 07:36:40,0.0,0.2606,90.0,0.0029,0.0
11,253440,train,2026-07-06 07:37:27,0.0,0.2745,90.0,0.0031,0.0
12,276480,train,2026-07-06 07:38:15,0.0,0.2642,90.0,0.0029,0.0
13,299520,train,2026-07-06 07:39:02,0.0,0.2845,90.0,0.0032,0.0
14,322560,train,2026-07-06 07:39:50,0.0,0.2954,90.0,0.0033,0.0
15,345600,train,2026-07-06 07:40:37,0.0,0.2865,90.0,0.0032,0.0
16,368640,train,2026-07-06 07:41:25,0.0,0.2872,90.0,0.0032,0.0
17,368640,eval,2026-07-06 07:42:40,0.0,0.3207,90.0,0.0036,0.0
17,391680,train,2026-07-06 07:43:09,0.0,0.3079,90.0,0.0034,0.0
18,414720,train,2026-07-06 07:43:56,0.0,0.3017,90.0,0.0034,0.0
19,437760,train,2026-07-06 07:44:43,0.0,0.3053,90.0,0.0034,0.0
20,460800,train,2026-07-06 07:45:31,0.0,0.3152,90.0,0.0035,0.0
21,483840,train,2026-07-06 07:46:18,0.0,0.3042,90.0,0.0034,0.0
22,506880,train,2026-07-06 07:47:06,0.0,0.2923,90.0,0.0032,0.0
23,529920,train,2026-07-06 07:47:53,0.0,0.3194,90.0,0.0035,0.0
24,552960,train,2026-07-06 07:48:41,0.0,0.3241,90.0,0.0036,0.0
25,576000,train,2026-07-06 07:49:29,0.0,0.3508,90.0,0.0039,0.0
26,599040,train,2026-07-06 07:50:17,0.0,0.3469,90.0,0.0039,0.0
27,622080,train,2026-07-06 07:51:05,0.0,0.3648,90.0,0.0041,0.0
28,645120,train,2026-07-06 07:51:53,0.0,0.3711,90.0,0.0041,0.0
29,668160,train,2026-07-06 07:52:40,0.0,0.394,90.0,0.0044,0.0
30,691200,train,2026-07-06 07:53:28,0.0,0.4115,90.0,0.0046,0.0
31,714240,train,2026-07-06 07:54:16,0.0,0.4254,90.0,0.0047,0.0
32,737280,train,2026-07-06 07:55:03,0.0,0.4251,90.0,0.0047,0.0
33,737280,eval,2026-07-06 07:56:20,0.0,0.4712,90.0,0.0052,0.0
33,760320,train,2026-07-06 07:56:49,0.0,0.4322,90.0,0.0048,0.0
34,783360,train,2026-07-06 07:57:37,0.0,0.4162,90.0,0.0046,0.0
35,806400,train,2026-07-06 07:58:24,0.0,0.4619,90.0,0.0051,0.0
36,829440,train,2026-07-06 07:59:12,0.0,0.4482,90.0,0.005,0.0
37,852480,train,2026-07-06 08:00:00,0.0,0.5436,90.0,0.006,0.0
38,875520,train,2026-07-06 08:00:48,0.0,0.5376,90.0,0.006,0.0
39,898560,train,2026-07-06 08:01:35,0.0,0.5617,90.0,0.0062,0.0
40,921600,train,2026-07-06 08:02:23,0.0,0.655,90.0,0.0073,0.0
41,944640,train,2026-07-06 08:03:12,0.0,0.6193,90.0,0.0069,0.0
42,967680,train,2026-07-06 08:04:00,0.0,0.6612,90.0,0.0073,0.0
43,990720,train,2026-07-06 08:04:48,0.0,0.6369,90.0,0.0071,0.0
44,1013760,train,2026-07-06 08:05:36,0.0,0.7063,90.0,0.0078,0.0
45,1036800,train,2026-07-06 08:06:24,0.0,0.8494,90.0,0.0094,0.0
