iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-14 07:39:09,0.0,0.1973,90.0,0.0022,0.0
1,23040,train,2026-07-14 07:40:26,0.0,0.1895,90.0,0.0021,0.0
2,46080,train,2026-07-14 07:41:44,0.0,0.2204,90.0,0.0024,0.0
3,69120,train,2026-07-14 07:43:03,0.0,0.2398,90.0,0.0027,0.0
4,92160,train,2026-07-14 07:44:21,0.0,0.2642,90.0,0.0029,0.0
5,115200,train,2026-07-14 07:45:40,0.0,0.2826,90.0,0.0031,0.0
6,138240,train,2026-07-14 07:47:04,0.0,0.286,90.0,0.0032,0.0
7,161280,train,2026-07-14 07:48:25,0.0,0.3144,90.0,0.0035,0.0
8,184320,train,2026-07-14 07:49:43,0.0,0.3,90.0,0.0033,0.0
9,207360,train,2026-07-14 07:51:01,0.0,0.3052,90.0,0.0034,0.0
10,230400,train,2026-07-14 07:52:20,0.0,0.3237,90.0,0.0036,0.0
11,253440,train,2026-07-14 07:53:44,0.0,0.3375,90.0,0.0038,0.0
12,276480,train,2026-07-14 07:55:02,0.0,0.3299,90.0,0.0037,0.0
13,299520,train,2026-07-14 07:56:20,0.0,0.3334,90.0,0.0037,0.0
14,322560,train,2026-07-14 07:57:38,0.0,0.3621,90.0,0.004,0.0
15,345600,train,2026-07-14 07:59:01,0.0,0.3881,90.0,0.0043,0.0
16,368640,train,2026-07-14 08:00:20,0.0,0.4019,90.0,0.0045,0.0
17,368640,eval,2026-07-14 08:01:46,0.0,0.4517,90.0,0.005,0.0
17,391680,train,2026-07-14 08:03:02,0.0,0.3968,90.0,0.0044,0.0
18,414720,train,2026-07-14 08:04:20,0.0,0.4192,90.0,0.0047,0.0
19,437760,train,2026-07-14 08:05:38,0.0,0.4632,90.0,0.0051,0.0
20,460800,train,2026-07-14 08:06:57,0.0,0.4966,90.0,0.0055,0.0
21,483840,train,2026-07-14 08:08:15,0.0,0.4809,90.0,0.0053,0.0
22,506880,train,2026-07-14 08:09:34,0.0,0.5457,90.0,0.0061,0.0
23,529920,train,2026-07-14 08:10:56,0.0,0.5495,90.0,0.0061,0.0
24,552960,train,2026-07-14 08:12:14,0.0,0.5521,90.0,0.0061,0.0
25,576000,train,2026-07-14 08:13:32,0.0,0.583,90.0,0.0065,0.0
26,599040,train,2026-07-14 08:14:50,0.0,0.6436,90.0,0.0072,0.0
27,622080,train,2026-07-14 08:16:08,0.0,0.6375,90.0,0.0071,0.0
28,645120,train,2026-07-14 08:17:26,0.0,0.6225,90.0,0.0069,0.0
29,668160,train,2026-07-14 08:18:44,0.0,0.6476,90.0,0.0072,0.0
30,691200,train,2026-07-14 08:20:01,0.0,0.6858,90.0,0.0076,0.0
31,714240,train,2026-07-14 08:21:20,0.0,0.808,90.0,0.009,0.0
32,737280,train,2026-07-14 08:22:37,0.0,0.7826,90.0,0.0087,0.0
33,737280,eval,2026-07-14 08:24:07,0.0104,1.208,90.0,0.0134,0.0
33,760320,train,2026-07-14 08:25:24,0.0,0.7597,90.0,0.0084,0.0
34,783360,train,2026-07-14 08:26:43,0.0,0.8179,90.0,0.0091,0.0
35,806400,train,2026-07-14 08:28:02,0.0,0.8981,90.0,0.01,0.0
36,829440,train,2026-07-14 08:29:21,0.0,0.9431,90.0,0.0105,0.0
