iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-05 18:39:53,0.0,0.2777,90.0,0.0031,0.0
1,23040,train,2026-07-05 18:40:22,0.0,0.2613,90.0,0.0029,0.0
2,46080,train,2026-07-05 18:41:10,0.0,0.2953,90.0,0.0033,0.0
3,69120,train,2026-07-05 18:41:58,0.0,0.3867,90.0,0.0043,0.0
4,92160,train,2026-07-05 18:42:46,0.0,0.4747,90.0,0.0053,0.0
5,115200,train,2026-07-05 18:43:35,0.0,0.5801,90.0,0.0064,0.0
6,138240,train,2026-07-05 18:44:23,0.0,0.518,90.0,0.0058,0.0
7,161280,train,2026-07-05 18:45:12,0.0039,0.6417,90.0,0.0071,0.0
8,184320,train,2026-07-05 18:46:01,0.0,0.5891,90.0,0.0065,0.0
9,207360,train,2026-07-05 18:46:50,0.0,0.6335,90.0,0.007,0.0
10,230400,train,2026-07-05 18:47:39,0.0,0.6448,90.0,0.0072,0.0
11,253440,train,2026-07-05 18:48:28,0.0,0.6129,90.0,0.0068,0.0
12,276480,train,2026-07-05 18:49:16,0.0,0.6192,90.0,0.0069,0.0
13,299520,train,2026-07-05 18:50:05,0.0,0.6396,90.0,0.0071,0.0
14,322560,train,2026-07-05 18:50:54,0.0,0.4835,90.0,0.0054,0.0
15,345600,train,2026-07-05 18:51:42,0.0,0.5028,90.0,0.0056,0.0
16,368640,train,2026-07-05 18:52:31,0.0,0.5517,90.0,0.0061,0.0
17,368640,eval,2026-07-05 18:53:49,0.0104,1.3232,90.0,0.0147,0.0
17,391680,train,2026-07-05 18:54:19,0.0,0.7147,90.0,0.0079,0.0
18,414720,train,2026-07-05 18:55:08,0.0,0.7156,90.0,0.008,0.0
19,437760,train,2026-07-05 18:55:57,0.0,0.7666,90.0,0.0085,0.0
20,460800,train,2026-07-05 18:56:46,0.0,0.9881,90.0,0.011,0.0
21,483840,train,2026-07-05 18:57:35,0.0,1.0744,90.0,0.0119,0.0
22,506880,train,2026-07-05 18:58:24,0.0,1.0316,90.0,0.0115,0.0
23,529920,train,2026-07-05 18:59:13,0.0,0.9748,90.0,0.0108,0.0
24,552960,train,2026-07-05 19:00:02,0.0,1.035,90.0,0.0115,0.0
25,576000,train,2026-07-05 19:00:50,0.0,0.9128,90.0,0.0101,0.0
26,599040,train,2026-07-05 19:01:39,0.0,0.9628,90.0,0.0107,0.0
27,622080,train,2026-07-05 19:02:28,0.0,1.1242,90.0,0.0125,0.0
28,645120,train,2026-07-05 19:03:16,0.0,1.126,90.0,0.0125,0.0
29,668160,train,2026-07-05 19:04:05,0.0,1.2005,90.0,0.0133,0.0
30,691200,train,2026-07-05 19:04:54,0.0,1.4347,90.0,0.0159,0.0
31,714240,train,2026-07-05 19:05:43,0.0,1.2718,90.0,0.0141,0.0
32,737280,train,2026-07-05 19:06:32,0.0,0.9427,90.0,0.0105,0.0
33,737280,eval,2026-07-05 19:07:51,0.0312,2.002,90.0,0.0222,0.0104
33,760320,train,2026-07-05 19:08:21,0.0,1.1778,90.0,0.0131,0.0
34,783360,train,2026-07-05 19:09:10,0.0,1.1708,90.0,0.013,0.0
35,806400,train,2026-07-05 19:09:59,0.0,1.4791,90.0,0.0164,0.0
36,829440,train,2026-07-05 19:10:48,0.0,1.225,90.0,0.0136,0.0
37,852480,train,2026-07-05 19:11:38,0.0,1.2142,90.0,0.0135,0.0
38,875520,train,2026-07-05 19:12:27,0.0,1.7793,90.0,0.0198,0.0
39,898560,train,2026-07-05 19:13:17,0.0039,2.1528,90.0,0.0239,0.0
40,921600,train,2026-07-05 19:14:06,0.0078,1.6942,90.0,0.0188,0.0039
41,944640,train,2026-07-05 19:14:55,0.0,1.9363,90.0,0.0215,0.0
42,967680,train,2026-07-05 19:15:44,0.0,2.0405,90.0,0.0227,0.0
43,990720,train,2026-07-05 19:16:34,0.0078,2.0093,90.0,0.0223,0.0
44,1013760,train,2026-07-05 19:17:23,0.0,2.6205,90.0,0.0291,0.0
45,1036800,train,2026-07-05 19:18:12,0.0039,3.0743,90.0,0.0342,0.0
46,1059840,train,2026-07-05 19:19:01,0.0039,3.2716,90.0,0.0364,0.0
47,1082880,train,2026-07-05 19:19:51,0.0156,3.3145,90.0,0.0368,0.0
48,1105920,train,2026-07-05 19:20:40,0.0039,3.0539,90.0,0.0339,0.0
49,1105920,eval,2026-07-05 19:22:01,0.5938,24.9739,90.0,0.2775,0.1771
49,1128960,train,2026-07-05 19:22:32,0.0234,3.5678,90.0,0.0396,0.0
50,1152000,train,2026-07-05 19:23:21,0.0078,3.6665,90.0,0.0407,0.0
51,1175040,train,2026-07-05 19:24:10,0.0078,4.4167,90.0,0.0491,0.0
52,1198080,train,2026-07-05 19:25:00,0.0156,3.9423,90.0,0.0438,0.0
53,1221120,train,2026-07-05 19:25:49,0.0156,4.5581,90.0,0.0506,0.0039
54,1244160,train,2026-07-05 19:26:39,0.0156,4.5175,90.0,0.0502,0.0
55,1267200,train,2026-07-05 19:27:29,0.0273,5.1279,90.0,0.057,0.0
56,1290240,train,2026-07-05 19:28:18,0.0234,5.5441,90.0,0.0616,0.0039
57,1313280,train,2026-07-05 19:29:08,0.0312,6.0374,90.0,0.0671,0.0039
58,1336320,train,2026-07-05 19:29:57,0.0312,6.7691,90.0,0.0752,0.0
59,1359360,train,2026-07-05 19:30:47,0.0156,5.4558,90.0,0.0606,0.0
60,1382400,train,2026-07-05 19:31:36,0.0195,5.5819,90.0,0.062,0.0
61,1405440,train,2026-07-05 19:32:26,0.0234,5.9878,90.0,0.0665,0.0
62,1428480,train,2026-07-05 19:33:16,0.0352,6.349,90.0,0.0705,0.0
63,1451520,train,2026-07-05 19:34:05,0.0156,4.802,90.0,0.0534,0.0
64,1474560,train,2026-07-05 19:34:55,0.0234,7.2628,90.0,0.0807,0.0039
65,1474560,eval,2026-07-05 19:36:17,0.375,13.9952,90.0,0.1555,0.1458
65,1497600,train,2026-07-05 19:36:48,0.0508,7.609,90.0,0.0845,0.0
66,1520640,train,2026-07-05 19:37:38,0.0156,6.6289,90.0,0.0737,0.0
67,1543680,train,2026-07-05 19:38:27,0.0234,4.9233,90.0,0.0547,0.0
68,1566720,train,2026-07-05 19:39:17,0.0352,8.0945,90.0,0.0899,0.0
69,1589760,train,2026-07-05 19:40:07,0.0547,9.9241,90.0,0.1103,0.0
70,1612800,train,2026-07-05 19:40:56,0.0469,8.6929,90.0,0.0966,0.0039
71,1635840,train,2026-07-05 19:41:46,0.0664,9.2679,90.0,0.103,0.0078
72,1658880,train,2026-07-05 19:42:36,0.0977,12.1833,90.0,0.1354,0.0078
73,1681920,train,2026-07-05 19:43:25,0.1055,11.5174,90.0,0.128,0.0039
74,1704960,train,2026-07-05 19:44:15,0.0977,11.839,90.0,0.1315,0.0156
75,1728000,train,2026-07-05 19:45:04,0.1133,10.386,90.0,0.1154,0.0039
76,1751040,train,2026-07-05 19:45:54,0.125,11.2993,90.0,0.1255,0.0
77,1774080,train,2026-07-05 19:46:43,0.1367,12.0788,90.0,0.1342,0.0039
78,1797120,train,2026-07-05 19:47:33,0.0938,10.8802,90.0,0.1209,0.0039
79,1820160,train,2026-07-05 19:48:23,0.1914,13.7885,90.0,0.1532,0.0039
80,1843200,train,2026-07-05 19:49:12,0.1289,13.795,90.0,0.1533,0.0
