iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-05 23:13:53,0.0,0.2748,90.0,0.0031,0.0
1,23040,train,2026-07-05 23:14:22,0.0,0.3218,90.0,0.0036,0.0
2,46080,train,2026-07-05 23:15:11,0.0,0.3145,90.0,0.0035,0.0
3,69120,train,2026-07-05 23:16:00,0.0,0.3519,90.0,0.0039,0.0
4,92160,train,2026-07-05 23:16:49,0.0,0.3709,90.0,0.0041,0.0
5,115200,train,2026-07-05 23:17:38,0.0,0.4529,90.0,0.005,0.0
6,138240,train,2026-07-05 23:18:27,0.0,0.4997,90.0,0.0056,0.0
7,161280,train,2026-07-05 23:19:16,0.0,0.5239,90.0,0.0058,0.0
8,184320,train,2026-07-05 23:20:05,0.0,0.5067,90.0,0.0056,0.0
9,207360,train,2026-07-05 23:20:54,0.0,0.5619,90.0,0.0062,0.0
10,230400,train,2026-07-05 23:21:43,0.0,0.6369,90.0,0.0071,0.0
11,253440,train,2026-07-05 23:22:32,0.0,0.6904,90.0,0.0077,0.0
12,276480,train,2026-07-05 23:23:21,0.0,0.6965,90.0,0.0077,0.0
13,299520,train,2026-07-05 23:24:11,0.0,0.7294,90.0,0.0081,0.0
14,322560,train,2026-07-05 23:25:00,0.0,0.6536,90.0,0.0073,0.0
15,345600,train,2026-07-05 23:25:50,0.0,0.6369,90.0,0.0071,0.0
16,368640,train,2026-07-05 23:26:39,0.0,0.6577,90.0,0.0073,0.0
17,368640,eval,2026-07-05 23:27:59,0.0312,1.0772,90.0,0.012,0.0
17,391680,train,2026-07-05 23:28:29,0.0,0.7679,90.0,0.0085,0.0
18,414720,train,2026-07-05 23:29:17,0.0,0.7438,90.0,0.0083,0.0
19,437760,train,2026-07-05 23:30:07,0.0,0.7741,90.0,0.0086,0.0
20,460800,train,2026-07-05 23:30:56,0.0,0.9481,90.0,0.0105,0.0
21,483840,train,2026-07-05 23:31:45,0.0,0.8724,90.0,0.0097,0.0
22,506880,train,2026-07-05 23:32:35,0.0,0.8989,90.0,0.01,0.0
23,529920,train,2026-07-05 23:33:25,0.0,1.0364,90.0,0.0115,0.0
24,552960,train,2026-07-05 23:34:14,0.0,1.0916,90.0,0.0121,0.0
25,576000,train,2026-07-05 23:35:04,0.0,1.1579,90.0,0.0129,0.0
26,599040,train,2026-07-05 23:35:54,0.0,1.111,90.0,0.0123,0.0
27,622080,train,2026-07-05 23:36:43,0.0,1.2092,90.0,0.0134,0.0
28,645120,train,2026-07-05 23:37:33,0.0039,1.3958,90.0,0.0155,0.0
29,668160,train,2026-07-05 23:38:23,0.0,1.3174,90.0,0.0146,0.0
30,691200,train,2026-07-05 23:39:13,0.0,1.404,90.0,0.0156,0.0
31,714240,train,2026-07-05 23:40:02,0.0,1.5472,90.0,0.0172,0.0
32,737280,train,2026-07-05 23:40:52,0.0,1.3872,90.0,0.0154,0.0
33,737280,eval,2026-07-05 23:42:13,0.0729,4.0391,90.0,0.0449,0.0
33,760320,train,2026-07-05 23:42:44,0.0,1.5932,90.0,0.0177,0.0
34,783360,train,2026-07-05 23:43:33,0.0,1.5494,90.0,0.0172,0.0
35,806400,train,2026-07-05 23:44:23,0.0,2.0286,90.0,0.0225,0.0
36,829440,train,2026-07-05 23:45:12,0.0,1.6653,90.0,0.0185,0.0
37,852480,train,2026-07-05 23:46:02,0.0,1.831,90.0,0.0203,0.0
38,875520,train,2026-07-05 23:46:52,0.0,1.7344,90.0,0.0193,0.0
39,898560,train,2026-07-05 23:47:42,0.0,1.5746,90.0,0.0175,0.0
40,921600,train,2026-07-05 23:48:32,0.0,1.5834,90.0,0.0176,0.0
41,944640,train,2026-07-05 23:49:22,0.0,1.6612,90.0,0.0185,0.0
42,967680,train,2026-07-05 23:50:11,0.0,1.5508,90.0,0.0172,0.0
43,990720,train,2026-07-05 23:51:01,0.0,1.7437,90.0,0.0194,0.0
44,1013760,train,2026-07-05 23:51:51,0.0,2.7354,90.0,0.0304,0.0
45,1036800,train,2026-07-05 23:52:41,0.0,2.5881,90.0,0.0288,0.0
46,1059840,train,2026-07-05 23:53:31,0.0039,2.7546,90.0,0.0306,0.0
47,1082880,train,2026-07-05 23:54:21,0.0,3.0494,90.0,0.0339,0.0
48,1105920,train,2026-07-05 23:55:11,0.0039,3.002,90.0,0.0334,0.0
49,1105920,eval,2026-07-05 23:56:33,0.1771,23.8129,90.0,0.2646,0.0208
49,1128960,train,2026-07-05 23:57:04,0.0,2.7836,90.0,0.0309,0.0
50,1152000,train,2026-07-05 23:57:53,0.0,3.126,90.0,0.0347,0.0
51,1175040,train,2026-07-05 23:58:43,0.0,3.6635,90.0,0.0407,0.0
52,1198080,train,2026-07-05 23:59:33,0.0,3.3625,90.0,0.0374,0.0
53,1221120,train,2026-07-06 00:00:23,0.0,3.0023,90.0,0.0334,0.0
54,1244160,train,2026-07-06 00:01:03,0.0156,3.9846,90.0,0.0443,0.0
55,1267200,train,2026-07-06 00:01:53,0.0039,3.9652,90.0,0.0441,0.0
56,1290240,train,2026-07-06 00:02:41,0.0039,4.006,90.0,0.0445,0.0
57,1313280,train,2026-07-06 00:03:29,0.0,4.3288,90.0,0.0481,0.0
58,1336320,train,2026-07-06 00:04:10,0.0156,5.3923,90.0,0.0599,0.0
59,1359360,train,2026-07-06 00:04:44,0.0,4.7687,90.0,0.053,0.0
60,1382400,train,2026-07-06 00:05:34,0.0078,5.4225,90.0,0.0602,0.0
61,1405440,train,2026-07-06 00:06:23,0.0078,5.0155,90.0,0.0557,0.0
62,1428480,train,2026-07-06 00:06:56,0.0039,4.9347,90.0,0.0548,0.0
63,1451520,train,2026-07-06 00:07:46,0.0039,5.8091,90.0,0.0645,0.0
64,1474560,train,2026-07-06 00:08:37,0.0039,5.5776,90.0,0.062,0.0
65,1474560,eval,2026-07-06 00:09:59,0.0312,23.0328,90.0,0.2559,0.0
65,1497600,train,2026-07-06 00:10:30,0.0156,5.6116,90.0,0.0624,0.0
66,1520640,train,2026-07-06 00:11:08,0.0117,6.1825,90.0,0.0687,0.0
67,1543680,train,2026-07-06 00:11:58,0.0156,7.172,90.0,0.0797,0.0
68,1566720,train,2026-07-06 00:12:48,0.0078,6.2052,90.0,0.0689,0.0
69,1589760,train,2026-07-06 00:13:30,0.0195,5.7225,90.0,0.0636,0.0
70,1612800,train,2026-07-06 00:14:04,0.0312,7.0146,90.0,0.0779,0.0
71,1635840,train,2026-07-06 00:14:39,0.0156,6.1927,90.0,0.0688,0.0
72,1658880,train,2026-07-06 00:15:19,0.0117,4.8697,90.0,0.0541,0.0
73,1681920,train,2026-07-06 00:16:01,0.0078,6.6829,90.0,0.0743,0.0
74,1704960,train,2026-07-06 00:16:41,0.0117,5.9909,90.0,0.0666,0.0
75,1728000,train,2026-07-06 00:17:19,0.0117,7.268,90.0,0.0808,0.0
76,1751040,train,2026-07-06 00:17:56,0.0156,5.5865,90.0,0.0621,0.0
77,1774080,train,2026-07-06 00:18:46,0.0,4.9981,90.0,0.0555,0.0
78,1797120,train,2026-07-06 00:19:35,0.0117,5.8485,90.0,0.065,0.0039
79,1820160,train,2026-07-06 00:20:11,0.0156,6.945,90.0,0.0772,0.0
80,1843200,train,2026-07-06 00:20:54,0.0195,5.5784,90.0,0.062,0.0039
81,1843200,eval,2026-07-06 00:22:17,0.0729,12.8283,90.0,0.1425,0.0
81,1866240,train,2026-07-06 00:22:47,0.0078,5.0948,90.0,0.0566,0.0
82,1889280,train,2026-07-06 00:23:37,0.0117,5.4575,90.0,0.0606,0.0
83,1912320,train,2026-07-06 00:24:27,0.0312,6.6221,90.0,0.0736,0.0
84,1935360,train,2026-07-06 00:25:07,0.0234,5.7572,90.0,0.064,0.0
85,1958400,train,2026-07-06 00:25:58,0.0117,6.2937,90.0,0.0699,0.0
86,1981440,train,2026-07-06 00:26:41,0.0195,6.7448,90.0,0.0749,0.0
87,2004480,train,2026-07-06 00:27:31,0.0234,7.9298,90.0,0.0881,0.0
88,2027520,train,2026-07-06 00:28:07,0.0234,7.4909,90.0,0.0832,0.0
89,2050560,train,2026-07-06 00:28:46,0.0156,6.6789,90.0,0.0742,0.0
90,2073600,train,2026-07-06 00:29:36,0.0234,6.031,90.0,0.067,0.0
91,2096640,train,2026-07-06 00:30:26,0.0195,7.0585,90.0,0.0784,0.0
92,2119680,train,2026-07-06 00:31:17,0.0156,7.7315,90.0,0.0859,0.0
93,2142720,train,2026-07-06 00:31:55,0.0273,6.1565,90.0,0.0684,0.0
94,2165760,train,2026-07-06 00:32:33,0.0195,7.018,90.0,0.078,0.0
95,2188800,train,2026-07-06 00:33:15,0.0195,6.287,90.0,0.0699,0.0
96,2211840,train,2026-07-06 00:33:50,0.0117,7.1429,90.0,0.0794,0.0
97,2211840,eval,2026-07-06 00:34:59,0.4271,30.4278,90.0,0.3381,0.0208
97,2234880,train,2026-07-06 00:35:30,0.0234,8.3403,90.0,0.0927,0.0
98,2257920,train,2026-07-06 00:36:11,0.0234,4.8186,90.0,0.0535,0.0
99,2280960,train,2026-07-06 00:36:54,0.0273,7.0378,90.0,0.0782,0.0
100,2304000,train,2026-07-06 00:37:44,0.0117,6.3323,90.0,0.0704,0.0
101,2327040,train,2026-07-06 00:38:26,0.0117,7.1058,90.0,0.079,0.0
102,2350080,train,2026-07-06 00:39:01,0.0195,8.9027,90.0,0.0989,0.0
103,2373120,train,2026-07-06 00:39:36,0.0078,7.3585,90.0,0.0818,0.0
104,2396160,train,2026-07-06 00:40:26,0.0156,6.8218,90.0,0.0758,0.0
105,2419200,train,2026-07-06 00:40:59,0.0117,7.4914,90.0,0.0832,0.0
