iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-06 06:47:05,0.0,0.2727,90.0,0.003,0.0
1,23040,train,2026-07-06 06:47:34,0.0,0.3148,90.0,0.0035,0.0
2,46080,train,2026-07-06 06:48:20,0.0,0.3581,90.0,0.004,0.0
3,69120,train,2026-07-06 06:49:07,0.0,0.4004,90.0,0.0044,0.0
4,92160,train,2026-07-06 06:49:54,0.0,0.4388,90.0,0.0049,0.0
5,115200,train,2026-07-06 06:50:41,0.0,0.4793,90.0,0.0053,0.0
6,138240,train,2026-07-06 06:51:28,0.0,0.493,90.0,0.0055,0.0
7,161280,train,2026-07-06 06:52:15,0.0,0.4964,90.0,0.0055,0.0
8,184320,train,2026-07-06 06:53:02,0.0,0.4695,90.0,0.0052,0.0
9,207360,train,2026-07-06 06:53:49,0.0,0.5169,90.0,0.0057,0.0
10,230400,train,2026-07-06 06:54:36,0.0,0.5494,90.0,0.0061,0.0
11,253440,train,2026-07-06 06:55:23,0.0,0.569,90.0,0.0063,0.0
12,276480,train,2026-07-06 06:56:10,0.0,0.5619,90.0,0.0062,0.0
13,299520,train,2026-07-06 06:56:57,0.0,0.5566,90.0,0.0062,0.0
14,322560,train,2026-07-06 06:57:43,0.0,0.5227,90.0,0.0058,0.0
15,345600,train,2026-07-06 06:58:30,0.0,0.5878,90.0,0.0065,0.0
16,368640,train,2026-07-06 06:59:17,0.0,0.5994,90.0,0.0067,0.0
17,368640,eval,2026-07-06 07:00:34,0.0,0.7,90.0,0.0078,0.0
17,391680,train,2026-07-06 07:01:03,0.0,0.6471,90.0,0.0072,0.0
18,414720,train,2026-07-06 07:01:50,0.0,0.6822,90.0,0.0076,0.0
19,437760,train,2026-07-06 07:02:37,0.0,0.7382,90.0,0.0082,0.0
20,460800,train,2026-07-06 07:03:24,0.0,0.833,90.0,0.0093,0.0
21,483840,train,2026-07-06 07:04:11,0.0,0.9054,90.0,0.0101,0.0
22,506880,train,2026-07-06 07:04:59,0.0,0.8909,90.0,0.0099,0.0
23,529920,train,2026-07-06 07:05:46,0.0,0.8804,90.0,0.0098,0.0
24,552960,train,2026-07-06 07:06:34,0.0,1.0307,90.0,0.0115,0.0
25,576000,train,2026-07-06 07:07:21,0.0,1.0228,90.0,0.0114,0.0
26,599040,train,2026-07-06 07:08:08,0.0,1.1196,90.0,0.0124,0.0
27,622080,train,2026-07-06 07:08:56,0.0,1.166,90.0,0.013,0.0
28,645120,train,2026-07-06 07:09:43,0.0,0.9353,90.0,0.0104,0.0
29,668160,train,2026-07-06 07:10:31,0.0,1.0642,90.0,0.0118,0.0
30,691200,train,2026-07-06 07:11:19,0.0,1.2192,90.0,0.0135,0.0
31,714240,train,2026-07-06 07:12:07,0.0,1.2904,90.0,0.0143,0.0
32,737280,train,2026-07-06 07:12:55,0.0,1.1967,90.0,0.0133,0.0
33,737280,eval,2026-07-06 07:14:15,0.0,1.5674,90.0,0.0174,0.0
33,760320,train,2026-07-06 07:14:45,0.0,1.5029,90.0,0.0167,0.0
34,783360,train,2026-07-06 07:15:33,0.0,1.482,90.0,0.0165,0.0
35,806400,train,2026-07-06 07:16:21,0.0,1.5896,90.0,0.0177,0.0
36,829440,train,2026-07-06 07:17:09,0.0,1.5149,90.0,0.0168,0.0
37,852480,train,2026-07-06 07:17:56,0.0117,1.9899,90.0,0.0221,0.0
38,875520,train,2026-07-06 07:18:44,0.0,1.6305,90.0,0.0181,0.0
39,898560,train,2026-07-06 07:19:32,0.0,2.0513,90.0,0.0228,0.0
40,921600,train,2026-07-06 07:20:19,0.0039,2.2215,90.0,0.0247,0.0
41,944640,train,2026-07-06 07:20:55,0.0039,2.9848,90.0,0.0332,0.0
42,967680,train,2026-07-06 07:21:43,0.0,2.4768,90.0,0.0275,0.0
43,990720,train,2026-07-06 07:22:31,0.0039,2.1868,90.0,0.0243,0.0
44,1013760,train,2026-07-06 07:23:19,0.0117,2.6961,90.0,0.03,0.0
45,1036800,train,2026-07-06 07:24:07,0.0039,2.8567,90.0,0.0317,0.0
46,1059840,train,2026-07-06 07:24:55,0.0039,2.6475,90.0,0.0294,0.0
47,1082880,train,2026-07-06 07:25:43,0.0,2.8534,90.0,0.0317,0.0
48,1105920,train,2026-07-06 07:26:31,0.0039,3.1128,90.0,0.0346,0.0
49,1105920,eval,2026-07-06 07:27:54,0.5729,24.1437,90.0,0.2683,0.2396
49,1128960,train,2026-07-06 07:28:24,0.0078,3.5121,90.0,0.039,0.0
50,1152000,train,2026-07-06 07:29:12,0.0039,3.7334,90.0,0.0415,0.0
51,1175040,train,2026-07-06 07:30:00,0.0039,4.5261,90.0,0.0503,0.0
52,1198080,train,2026-07-06 07:30:48,0.0,4.53,90.0,0.0503,0.0
53,1221120,train,2026-07-06 07:31:36,0.0039,4.0609,90.0,0.0451,0.0
54,1244160,train,2026-07-06 07:32:24,0.0156,5.3571,90.0,0.0595,0.0
55,1267200,train,2026-07-06 07:33:12,0.0117,4.953,90.0,0.055,0.0
56,1290240,train,2026-07-06 07:34:01,0.0117,5.1304,90.0,0.057,0.0
57,1313280,train,2026-07-06 07:34:49,0.0156,5.9376,90.0,0.066,0.0
58,1336320,train,2026-07-06 07:35:37,0.0117,6.2835,90.0,0.0698,0.0
59,1359360,train,2026-07-06 07:36:25,0.0117,4.6582,90.0,0.0518,0.0039
60,1382400,train,2026-07-06 07:37:13,0.0078,4.511,90.0,0.0501,0.0
61,1405440,train,2026-07-06 07:38:01,0.0117,4.3948,90.0,0.0488,0.0
62,1428480,train,2026-07-06 07:38:49,0.0273,5.8085,90.0,0.0645,0.0039
63,1451520,train,2026-07-06 07:39:38,0.0195,6.1752,90.0,0.0686,0.0
64,1474560,train,2026-07-06 07:40:26,0.0156,6.1941,90.0,0.0688,0.0
65,1474560,eval,2026-07-06 07:41:50,0.7812,27.3365,90.0,0.3037,0.1667
65,1497600,train,2026-07-06 07:42:20,0.0,5.7687,90.0,0.0641,0.0
66,1520640,train,2026-07-06 07:43:08,0.0352,6.7907,90.0,0.0755,0.0
67,1543680,train,2026-07-06 07:43:56,0.0117,8.4657,90.0,0.0941,0.0
68,1566720,train,2026-07-06 07:44:44,0.043,9.5538,90.0,0.1062,0.0
69,1589760,train,2026-07-06 07:45:33,0.0195,7.8078,90.0,0.0868,0.0039
70,1612800,train,2026-07-06 07:46:21,0.0156,8.3334,90.0,0.0926,0.0039
71,1635840,train,2026-07-06 07:47:09,0.0234,7.828,90.0,0.087,0.0
72,1658880,train,2026-07-06 07:47:57,0.0195,6.2651,90.0,0.0696,0.0
73,1681920,train,2026-07-06 07:48:46,0.0312,7.327,90.0,0.0814,0.0
74,1704960,train,2026-07-06 07:49:34,0.0195,7.7172,90.0,0.0857,0.0
75,1728000,train,2026-07-06 07:50:22,0.0117,9.2173,90.0,0.1024,0.0
76,1751040,train,2026-07-06 07:51:11,0.0352,9.8424,90.0,0.1094,0.0
77,1774080,train,2026-07-06 07:51:59,0.043,9.7589,90.0,0.1084,0.0039
78,1797120,train,2026-07-06 07:52:47,0.0273,9.3256,90.0,0.1036,0.0
79,1820160,train,2026-07-06 07:53:35,0.0273,7.1787,90.0,0.0798,0.0
80,1843200,train,2026-07-06 07:54:24,0.0273,9.275,90.0,0.1031,0.0
81,1843200,eval,2026-07-06 07:55:48,0.7917,28.3415,90.0,0.3149,0.0625
81,1866240,train,2026-07-06 07:56:19,0.0508,9.9026,90.0,0.11,0.0
82,1889280,train,2026-07-06 07:57:07,0.0703,11.0477,90.0,0.1228,0.0
83,1912320,train,2026-07-06 07:57:55,0.0625,10.9576,90.0,0.1218,0.0
84,1935360,train,2026-07-06 07:58:43,0.0625,10.4312,90.0,0.1159,0.0
85,1958400,train,2026-07-06 07:59:31,0.043,9.6758,90.0,0.1075,0.0
86,1981440,train,2026-07-06 08:00:16,0.0664,11.8327,90.0,0.1315,0.0
87,2004480,train,2026-07-06 08:01:04,0.0469,11.9863,90.0,0.1332,0.0
88,2027520,train,2026-07-06 08:01:53,0.0664,13.0487,90.0,0.145,0.0039
89,2050560,train,2026-07-06 08:02:41,0.0703,14.0534,90.0,0.1561,0.0039
90,2073600,train,2026-07-06 08:03:30,0.0703,12.5547,90.0,0.1395,0.0
91,2096640,train,2026-07-06 08:04:18,0.1367,16.8607,90.0,0.1873,0.0
92,2119680,train,2026-07-06 08:05:06,0.1055,14.8618,90.0,0.1651,0.0
93,2142720,train,2026-07-06 08:05:55,0.1523,14.4854,90.0,0.1609,0.0
94,2165760,train,2026-07-06 08:06:43,0.1133,15.1995,90.0,0.1689,0.0
95,2188800,train,2026-07-06 08:07:31,0.0898,15.9071,90.0,0.1767,0.0
96,2211840,train,2026-07-06 08:08:20,0.0938,15.0582,90.0,0.1673,0.0
97,2211840,eval,2026-07-06 08:09:44,0.8958,30.254,90.0,0.3362,0.0
97,2234880,train,2026-07-06 08:10:15,0.0664,16.0632,90.0,0.1785,0.0
98,2257920,train,2026-07-06 08:11:03,0.1562,14.1573,90.0,0.1573,0.0039
99,2280960,train,2026-07-06 08:11:37,0.1211,14.7388,90.0,0.1638,0.0
100,2304000,train,2026-07-06 08:12:26,0.1367,16.3066,90.0,0.1812,0.0
