iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-30 10:22:41,0.0,0.2777,90.0,0.0031,0.0
1,23040,train,2026-05-30 10:23:11,0.0,0.2613,90.0,0.0029,0.0
2,46080,train,2026-05-30 10:23:59,0.0,0.2953,90.0,0.0033,0.0
3,69120,train,2026-05-30 10:24:47,0.0,0.3876,90.0,0.0043,0.0
4,92160,train,2026-05-30 10:25:36,0.0,0.4634,90.0,0.0051,0.0
5,115200,train,2026-05-30 10:26:25,0.0,0.5397,90.0,0.006,0.0
6,138240,train,2026-05-30 10:27:14,0.0,0.5379,90.0,0.006,0.0
7,161280,train,2026-05-30 10:28:03,0.0,0.5744,90.0,0.0064,0.0
8,184320,train,2026-05-30 10:28:52,0.0,0.5573,90.0,0.0062,0.0
9,207360,train,2026-05-30 10:29:41,0.0,0.5731,90.0,0.0064,0.0
10,230400,train,2026-05-30 10:30:29,0.0,0.5395,90.0,0.006,0.0
11,253440,train,2026-05-30 10:31:18,0.0,0.5579,90.0,0.0062,0.0
12,276480,train,2026-05-30 10:32:07,0.0,0.5073,90.0,0.0056,0.0
13,299520,train,2026-05-30 10:32:55,0.0,0.4838,90.0,0.0054,0.0
14,322560,train,2026-05-30 10:33:44,0.0,0.3955,90.0,0.0044,0.0
15,345600,train,2026-05-30 10:34:32,0.0,0.3913,90.0,0.0043,0.0
16,368640,train,2026-05-30 10:35:21,0.0,0.3945,90.0,0.0044,0.0
17,391680,train,2026-05-30 10:36:09,0.0,0.4797,90.0,0.0053,0.0
18,414720,train,2026-05-30 10:36:58,0.0,0.5265,90.0,0.0059,0.0
19,437760,train,2026-05-30 10:37:47,0.0,0.6237,90.0,0.0069,0.0
20,460800,train,2026-05-30 10:38:35,0.0,0.6621,90.0,0.0074,0.0
21,483840,train,2026-05-30 10:39:24,0.0,0.7341,90.0,0.0082,0.0
22,506880,train,2026-05-30 10:40:13,0.0,0.859,90.0,0.0095,0.0
23,529920,train,2026-05-30 10:41:03,0.0,0.8989,90.0,0.01,0.0
24,552960,train,2026-05-30 10:41:52,0.0039,0.9158,90.0,0.0102,0.0
25,576000,train,2026-05-30 10:42:41,0.0,1.1039,90.0,0.0123,0.0
26,576000,eval,2026-05-30 10:44:00,0.0,1.4136,90.0,0.0157,0.0
26,599040,train,2026-05-30 10:44:30,0.0,1.2312,90.0,0.0137,0.0
27,622080,train,2026-05-30 10:45:19,0.0,1.1083,90.0,0.0123,0.0
28,645120,train,2026-05-30 10:46:08,0.0,1.2231,90.0,0.0136,0.0
29,668160,train,2026-05-30 10:46:58,0.0,1.3178,90.0,0.0146,0.0
30,691200,train,2026-05-30 10:47:47,0.0,1.3029,90.0,0.0145,0.0
31,714240,train,2026-05-30 10:48:37,0.0039,1.3197,90.0,0.0147,0.0
32,737280,train,2026-05-30 10:49:27,0.0,1.4926,90.0,0.0166,0.0
33,760320,train,2026-05-30 10:50:16,0.0039,1.8828,90.0,0.0209,0.0
34,783360,train,2026-05-30 10:51:06,0.0039,1.8097,90.0,0.0201,0.0
35,806400,train,2026-05-30 10:51:56,0.0,1.7079,90.0,0.019,0.0
36,829440,train,2026-05-30 10:52:45,0.0117,1.6769,90.0,0.0186,0.0
37,852480,train,2026-05-30 10:53:35,0.0078,2.1009,90.0,0.0233,0.0
38,875520,train,2026-05-30 10:54:25,0.0,1.9677,90.0,0.0219,0.0
39,898560,train,2026-05-30 10:55:15,0.0,2.0793,90.0,0.0231,0.0
40,921600,train,2026-05-30 10:56:05,0.0039,2.2594,90.0,0.0251,0.0
