iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-31 02:17:34,0.0,0.2748,90.0,0.0031,0.0
1,23040,train,2026-05-31 02:18:04,0.0,0.3218,90.0,0.0036,0.0
2,46080,train,2026-05-31 02:18:52,0.0,0.3145,90.0,0.0035,0.0
3,69120,train,2026-05-31 02:19:41,0.0,0.3517,90.0,0.0039,0.0
4,92160,train,2026-05-31 02:20:30,0.0,0.381,90.0,0.0042,0.0
5,115200,train,2026-05-31 02:21:19,0.0,0.4576,90.0,0.0051,0.0
6,138240,train,2026-05-31 02:22:07,0.0,0.4902,90.0,0.0054,0.0
7,161280,train,2026-05-31 02:22:56,0.0,0.4802,90.0,0.0053,0.0
8,184320,train,2026-05-31 02:23:45,0.0,0.4541,90.0,0.005,0.0
9,207360,train,2026-05-31 02:24:35,0.0,0.4945,90.0,0.0055,0.0
10,230400,train,2026-05-31 02:25:24,0.0,0.5577,90.0,0.0062,0.0
11,253440,train,2026-05-31 02:26:14,0.0,0.5798,90.0,0.0064,0.0
12,276480,train,2026-05-31 02:27:03,0.0,0.5997,90.0,0.0067,0.0
13,299520,train,2026-05-31 02:27:52,0.0,0.6446,90.0,0.0072,0.0
14,322560,train,2026-05-31 02:28:42,0.0,0.6972,90.0,0.0077,0.0
15,345600,train,2026-05-31 02:29:31,0.0,0.6838,90.0,0.0076,0.0
16,368640,train,2026-05-31 02:30:20,0.0,0.6901,90.0,0.0077,0.0
17,391680,train,2026-05-31 02:31:09,0.0,0.7523,90.0,0.0084,0.0
18,414720,train,2026-05-31 02:31:58,0.0,0.8832,90.0,0.0098,0.0
19,437760,train,2026-05-31 02:32:48,0.0,0.9792,90.0,0.0109,0.0
20,460800,train,2026-05-31 02:33:37,0.0039,1.0698,90.0,0.0119,0.0
21,483840,train,2026-05-31 02:34:26,0.0,1.0748,90.0,0.0119,0.0
22,506880,train,2026-05-31 02:35:16,0.0,1.0897,90.0,0.0121,0.0
23,529920,train,2026-05-31 02:36:05,0.0,1.0745,90.0,0.0119,0.0
24,552960,train,2026-05-31 02:36:54,0.0,1.1776,90.0,0.0131,0.0
25,576000,train,2026-05-31 02:37:44,0.0,1.364,90.0,0.0152,0.0
26,576000,eval,2026-05-31 02:39:04,0.0104,1.8164,90.0,0.0202,0.0
26,599040,train,2026-05-31 02:39:34,0.0,1.4468,90.0,0.0161,0.0
27,622080,train,2026-05-31 02:40:24,0.0,1.4707,90.0,0.0163,0.0
28,645120,train,2026-05-31 02:41:13,0.0,1.372,90.0,0.0152,0.0
29,668160,train,2026-05-31 02:42:03,0.0,1.3537,90.0,0.015,0.0
30,691200,train,2026-05-31 02:42:52,0.0,1.2554,90.0,0.0139,0.0
31,714240,train,2026-05-31 02:43:42,0.0039,1.6578,90.0,0.0184,0.0
32,737280,train,2026-05-31 02:44:32,0.0,1.7329,90.0,0.0193,0.0
33,760320,train,2026-05-31 02:45:21,0.0,1.6516,90.0,0.0184,0.0
34,783360,train,2026-05-31 02:46:11,0.0039,1.9399,90.0,0.0216,0.0
35,806400,train,2026-05-31 02:47:01,0.0,2.2904,90.0,0.0254,0.0
36,829440,train,2026-05-31 02:47:50,0.0,2.1352,90.0,0.0237,0.0
37,852480,train,2026-05-31 02:48:40,0.0039,2.4501,90.0,0.0272,0.0
38,875520,train,2026-05-31 02:49:30,0.0,2.3298,90.0,0.0259,0.0
39,898560,train,2026-05-31 02:50:20,0.0,3.2413,90.0,0.036,0.0
40,921600,train,2026-05-31 02:51:10,0.0039,3.0701,90.0,0.0341,0.0
41,944640,train,2026-05-31 02:52:00,0.0039,2.855,90.0,0.0317,0.0
42,967680,train,2026-05-31 02:52:51,0.0,2.9737,90.0,0.033,0.0
43,990720,train,2026-05-31 02:53:41,0.0039,2.9293,90.0,0.0325,0.0
44,1013760,train,2026-05-31 02:54:32,0.0,3.505,90.0,0.0389,0.0
45,1036800,train,2026-05-31 02:55:22,0.0039,4.153,90.0,0.0461,0.0
46,1059840,train,2026-05-31 02:55:58,0.0,3.4417,90.0,0.0382,0.0
47,1082880,train,2026-05-31 02:56:49,0.0,4.1145,90.0,0.0457,0.0
48,1105920,train,2026-05-31 02:57:27,0.0078,4.4963,90.0,0.05,0.0
49,1128960,train,2026-05-31 02:58:17,0.0078,2.8893,90.0,0.0321,0.0
50,1152000,train,2026-05-31 02:59:07,0.0039,3.5082,90.0,0.039,0.0
51,1152000,eval,2026-05-31 03:00:15,0.0417,9.9904,90.0,0.111,0.0
51,1175040,train,2026-05-31 03:00:45,0.0,3.7763,90.0,0.042,0.0
52,1198080,train,2026-05-31 03:01:35,0.0039,4.0035,90.0,0.0445,0.0
53,1221120,train,2026-05-31 03:02:25,0.0156,5.0477,90.0,0.0561,0.0
54,1244160,train,2026-05-31 03:03:15,0.0117,5.6402,90.0,0.0627,0.0
55,1267200,train,2026-05-31 03:03:54,0.0078,5.1532,90.0,0.0573,0.0
56,1290240,train,2026-05-31 03:04:34,0.0195,5.0266,90.0,0.0559,0.0
57,1313280,train,2026-05-31 03:05:12,0.0039,5.1687,90.0,0.0574,0.0
58,1336320,train,2026-05-31 03:05:48,0.0156,4.6593,90.0,0.0518,0.0
59,1359360,train,2026-05-31 03:06:37,0.0039,3.1449,90.0,0.0349,0.0
60,1382400,train,2026-05-31 03:07:27,0.0117,3.8696,90.0,0.043,0.0
61,1405440,train,2026-05-31 03:08:03,0.0,4.7869,90.0,0.0532,0.0
62,1428480,train,2026-05-31 03:08:45,0.0117,3.4178,90.0,0.038,0.0
63,1451520,train,2026-05-31 03:09:32,0.0039,4.6074,90.0,0.0512,0.0
64,1474560,train,2026-05-31 03:10:10,0.0039,3.7089,90.0,0.0412,0.0
65,1497600,train,2026-05-31 03:10:45,0.0078,4.5504,90.0,0.0506,0.0039
66,1520640,train,2026-05-31 03:11:35,0.0156,4.3629,90.0,0.0485,0.0
67,1543680,train,2026-05-31 03:12:25,0.0117,5.4014,90.0,0.06,0.0
68,1566720,train,2026-05-31 03:13:01,0.0117,6.2408,90.0,0.0693,0.0
69,1589760,train,2026-05-31 03:13:51,0.0078,6.9206,90.0,0.0769,0.0
70,1612800,train,2026-05-31 03:14:37,0.0039,4.6384,90.0,0.0515,0.0
71,1635840,train,2026-05-31 03:15:27,0.0195,3.611,90.0,0.0401,0.0
72,1658880,train,2026-05-31 03:16:01,0.0078,5.94,90.0,0.066,0.0
73,1681920,train,2026-05-31 03:16:51,0.0312,5.8231,90.0,0.0647,0.0
74,1704960,train,2026-05-31 03:17:37,0.0078,5.7695,90.0,0.0641,0.0
75,1728000,train,2026-05-31 03:18:12,0.0312,7.1523,90.0,0.0795,0.0039
76,1728000,eval,2026-05-31 03:19:22,0.0521,22.6205,90.0,0.2513,0.0104
76,1751040,train,2026-05-31 03:19:52,0.0,4.8993,90.0,0.0544,0.0
77,1774080,train,2026-05-31 03:20:42,0.0039,7.3772,90.0,0.082,0.0
78,1797120,train,2026-05-31 03:21:28,0.0039,4.7491,90.0,0.0528,0.0
79,1820160,train,2026-05-31 03:22:09,0.0078,4.5699,90.0,0.0508,0.0
80,1843200,train,2026-05-31 03:22:50,0.0117,7.3425,90.0,0.0816,0.0
81,1866240,train,2026-05-31 03:23:40,0.0078,5.5278,90.0,0.0614,0.0
82,1889280,train,2026-05-31 03:24:19,0.0117,6.5789,90.0,0.0731,0.0
83,1912320,train,2026-05-31 03:25:10,0.0234,6.8548,90.0,0.0762,0.0
84,1935360,train,2026-05-31 03:26:00,0.0039,5.1583,90.0,0.0573,0.0
85,1958400,train,2026-05-31 03:26:34,0.0234,6.5837,90.0,0.0732,0.0039
86,1981440,train,2026-05-31 03:27:25,0.0195,5.7018,90.0,0.0634,0.0
87,2004480,train,2026-05-31 03:28:03,0.0234,5.1197,90.0,0.0569,0.0
88,2027520,train,2026-05-31 03:28:54,0.0273,6.0751,90.0,0.0675,0.0039
89,2050560,train,2026-05-31 03:29:44,0.0312,7.1638,90.0,0.0796,0.0
90,2073600,train,2026-05-31 03:30:27,0.0312,5.5544,90.0,0.0617,0.0
91,2096640,train,2026-05-31 03:31:17,0.0156,6.2072,90.0,0.069,0.0
92,2119680,train,2026-05-31 03:31:53,0.0039,4.7974,90.0,0.0533,0.0
93,2142720,train,2026-05-31 03:32:43,0.0117,4.9158,90.0,0.0546,0.0
94,2165760,train,2026-05-31 03:33:16,0.0117,6.6678,90.0,0.0741,0.0
95,2188800,train,2026-05-31 03:33:59,0.0156,5.2023,90.0,0.0578,0.0
96,2211840,train,2026-05-31 03:34:32,0.0195,6.0134,90.0,0.0668,0.0
97,2234880,train,2026-05-31 03:35:16,0.0039,5.7754,90.0,0.0642,0.0
98,2257920,train,2026-05-31 03:35:56,0.0195,5.817,90.0,0.0646,0.0
99,2280960,train,2026-05-31 03:36:32,0.0195,7.9818,90.0,0.0887,0.0
100,2304000,train,2026-05-31 03:37:07,0.0352,6.1234,90.0,0.068,0.0
101,2304000,eval,2026-05-31 03:38:28,0.125,19.3963,90.0,0.2155,0.0208
101,2327040,train,2026-05-31 03:38:59,0.0078,5.0832,90.0,0.0565,0.0
102,2350080,train,2026-05-31 03:39:49,0.0,4.8307,90.0,0.0537,0.0
103,2373120,train,2026-05-31 03:40:25,0.0039,3.9097,90.0,0.0434,0.0
104,2396160,train,2026-05-31 03:41:15,0.0195,5.0985,90.0,0.0567,0.0
105,2419200,train,2026-05-31 03:42:05,0.0234,5.5296,90.0,0.0614,0.0
106,2442240,train,2026-05-31 03:42:56,0.0234,6.2904,90.0,0.0699,0.0039
107,2465280,train,2026-05-31 03:43:46,0.0117,5.9752,90.0,0.0664,0.0
108,2488320,train,2026-05-31 03:44:36,0.0117,5.8023,90.0,0.0645,0.0
109,2511360,train,2026-05-31 03:45:27,0.0195,7.3764,90.0,0.082,0.0039
110,2534400,train,2026-05-31 03:46:17,0.0273,7.1424,90.0,0.0794,0.0078
111,2557440,train,2026-05-31 03:47:07,0.0234,7.4148,90.0,0.0824,0.0
112,2580480,train,2026-05-31 03:47:56,0.0234,5.8789,90.0,0.0653,0.0
113,2603520,train,2026-05-31 03:48:35,0.0117,7.5847,90.0,0.0843,0.0
114,2626560,train,2026-05-31 03:49:10,0.0156,5.9462,90.0,0.0661,0.0
115,2649600,train,2026-05-31 03:49:52,0.0195,7.3028,90.0,0.0811,0.0
116,2672640,train,2026-05-31 03:50:43,0.0312,7.3783,90.0,0.082,0.0
117,2695680,train,2026-05-31 03:51:33,0.0117,6.743,90.0,0.0749,0.0
118,2718720,train,2026-05-31 03:52:11,0.0156,8.2093,90.0,0.0912,0.0
119,2741760,train,2026-05-31 03:53:01,0.0352,6.9654,90.0,0.0774,0.0039
120,2764800,train,2026-05-31 03:53:43,0.0312,8.4541,90.0,0.0939,0.0
121,2787840,train,2026-05-31 03:54:20,0.0508,10.3332,90.0,0.1148,0.0
122,2810880,train,2026-05-31 03:55:09,0.0469,9.6649,90.0,0.1074,0.0
123,2833920,train,2026-05-31 03:55:49,0.0508,9.0198,90.0,0.1002,0.0
124,2856960,train,2026-05-31 03:56:26,0.0508,10.2156,90.0,0.1135,0.0039
125,2880000,train,2026-05-31 03:57:08,0.0469,9.6843,90.0,0.1076,0.0
126,2880000,eval,2026-05-31 03:58:16,0.4375,29.919,90.0,0.3324,0.0104
126,2903040,train,2026-05-31 03:58:47,0.0352,10.9015,90.0,0.1211,0.0
127,2926080,train,2026-05-31 03:59:37,0.0391,10.7614,90.0,0.1196,0.0
128,2949120,train,2026-05-31 04:00:28,0.0469,10.5016,90.0,0.1167,0.0
129,2972160,train,2026-05-31 04:01:02,0.0391,9.6891,90.0,0.1077,0.0
130,2995200,train,2026-05-31 04:01:43,0.0234,6.6049,90.0,0.0734,0.0
131,3018240,train,2026-05-31 04:02:18,0.043,9.3068,90.0,0.1034,0.0
132,3041280,train,2026-05-31 04:03:01,0.043,10.7266,90.0,0.1192,0.0
133,3064320,train,2026-05-31 04:03:51,0.0547,10.6158,90.0,0.118,0.0
134,3087360,train,2026-05-31 04:04:41,0.0547,10.3596,90.0,0.1151,0.0
135,3110400,train,2026-05-31 04:05:17,0.0273,10.7456,90.0,0.1194,0.0
136,3133440,train,2026-05-31 04:06:04,0.0273,11.1754,90.0,0.1242,0.0
137,3156480,train,2026-05-31 04:06:40,0.0391,10.1932,90.0,0.1133,0.0
138,3179520,train,2026-05-31 04:07:15,0.0391,10.3437,90.0,0.1149,0.0
139,3202560,train,2026-05-31 04:08:00,0.0352,11.4426,90.0,0.1271,0.0039
140,3225600,train,2026-05-31 04:08:48,0.0508,12.571,90.0,0.1397,0.0
141,3248640,train,2026-05-31 04:09:36,0.0469,11.6565,90.0,0.1295,0.0
142,3271680,train,2026-05-31 04:10:11,0.0469,11.6834,90.0,0.1298,0.0
143,3294720,train,2026-05-31 04:10:45,0.043,12.8009,90.0,0.1422,0.0
144,3317760,train,2026-05-31 04:11:23,0.0234,11.0019,90.0,0.1222,0.0
145,3340800,train,2026-05-31 04:11:59,0.0352,10.7951,90.0,0.1199,0.0
146,3363840,train,2026-05-31 04:12:42,0.0352,11.8719,90.0,0.1319,0.0
147,3386880,train,2026-05-31 04:13:17,0.0273,9.9368,90.0,0.1104,0.0
148,3409920,train,2026-05-31 04:14:06,0.0078,6.8099,90.0,0.0757,0.0
149,3432960,train,2026-05-31 04:14:45,0.0312,9.3417,90.0,0.1038,0.0
150,3456000,train,2026-05-31 04:15:22,0.0234,7.9038,90.0,0.0878,0.0
151,3456000,eval,2026-05-31 04:16:29,0.8021,32.7284,90.0,0.3636,0.1562
151,3479040,train,2026-05-31 04:17:00,0.0469,10.9505,90.0,0.1217,0.0
152,3502080,train,2026-05-31 04:17:45,0.082,12.5186,90.0,0.1391,0.0
153,3525120,train,2026-05-31 04:18:35,0.0312,12.4702,90.0,0.1386,0.0
154,3548160,train,2026-05-31 04:19:26,0.0391,12.5782,90.0,0.1398,0.0
155,3571200,train,2026-05-31 04:20:01,0.0898,13.3971,90.0,0.1489,0.0039
156,3594240,train,2026-05-31 04:20:52,0.0469,12.5106,90.0,0.139,0.0
157,3617280,train,2026-05-31 04:21:34,0.0273,13.5221,90.0,0.1502,0.0
158,3640320,train,2026-05-31 04:22:09,0.0312,13.1949,90.0,0.1466,0.0039
159,3663360,train,2026-05-31 04:22:43,0.0391,12.8228,90.0,0.1425,0.0
160,3686400,train,2026-05-31 04:23:22,0.0703,13.2543,90.0,0.1473,0.0078
161,3709440,train,2026-05-31 04:24:00,0.0469,12.2959,90.0,0.1366,0.0
162,3732480,train,2026-05-31 04:24:50,0.0664,12.3013,90.0,0.1367,0.0117
163,3755520,train,2026-05-31 04:25:34,0.0273,9.5643,90.0,0.1063,0.0
164,3778560,train,2026-05-31 04:26:17,0.0508,11.3342,90.0,0.1259,0.0
165,3801600,train,2026-05-31 04:26:59,0.0508,11.8828,90.0,0.132,0.0
166,3824640,train,2026-05-31 04:27:39,0.0312,11.0971,90.0,0.1233,0.0
167,3847680,train,2026-05-31 04:28:13,0.0781,12.9207,90.0,0.1436,0.0
168,3870720,train,2026-05-31 04:29:04,0.0508,13.2857,90.0,0.1476,0.0
169,3893760,train,2026-05-31 04:29:54,0.0703,14.2454,90.0,0.1583,0.0
170,3916800,train,2026-05-31 04:30:33,0.043,12.7527,90.0,0.1417,0.0
171,3939840,train,2026-05-31 04:31:21,0.0508,13.8626,90.0,0.154,0.0
172,3962880,train,2026-05-31 04:31:55,0.0703,14.9922,90.0,0.1666,0.0
173,3985920,train,2026-05-31 04:32:45,0.0508,15.8086,90.0,0.1757,0.0
174,4008960,train,2026-05-31 04:33:25,0.0742,15.168,90.0,0.1685,0.0
175,4032000,train,2026-05-31 04:34:04,0.0547,12.7658,90.0,0.1418,0.0039
176,4032000,eval,2026-05-31 04:35:23,0.8333,36.7825,90.0,0.4087,0.2292
176,4055040,train,2026-05-31 04:35:54,0.0586,14.8108,90.0,0.1646,0.0039
177,4078080,train,2026-05-31 04:36:34,0.0859,14.9663,90.0,0.1663,0.0
178,4101120,train,2026-05-31 04:37:12,0.082,15.4302,90.0,0.1714,0.0
179,4124160,train,2026-05-31 04:37:51,0.0703,13.6167,90.0,0.1513,0.0078
180,4147200,train,2026-05-31 04:38:36,0.1016,16.0543,90.0,0.1784,0.0117
181,4170240,train,2026-05-31 04:39:24,0.0312,14.1022,90.0,0.1567,0.0
182,4193280,train,2026-05-31 04:39:59,0.1016,16.8991,90.0,0.1878,0.0
183,4216320,train,2026-05-31 04:40:49,0.1484,17.3515,90.0,0.1928,0.0039
184,4239360,train,2026-05-31 04:41:27,0.0938,15.816,90.0,0.1757,0.0039
