iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-31 20:47:59,0.0,0.2727,90.0,0.003,0.0
1,23040,train,2026-05-31 20:48:29,0.0,0.3148,90.0,0.0035,0.0
2,46080,train,2026-05-31 20:49:18,0.0,0.3581,90.0,0.004,0.0
3,69120,train,2026-05-31 20:50:05,0.0,0.398,90.0,0.0044,0.0
4,92160,train,2026-05-31 20:50:53,0.0,0.4299,90.0,0.0048,0.0
5,115200,train,2026-05-31 20:51:42,0.0,0.4771,90.0,0.0053,0.0
6,138240,train,2026-05-31 20:52:30,0.0,0.5217,90.0,0.0058,0.0
7,161280,train,2026-05-31 20:53:19,0.0,0.5373,90.0,0.006,0.0
8,184320,train,2026-05-31 20:54:07,0.0,0.5052,90.0,0.0056,0.0
9,207360,train,2026-05-31 20:54:56,0.0,0.5177,90.0,0.0058,0.0
10,230400,train,2026-05-31 20:55:44,0.0,0.5194,90.0,0.0058,0.0
11,253440,train,2026-05-31 20:56:32,0.0,0.5565,90.0,0.0062,0.0
12,276480,train,2026-05-31 20:57:20,0.0,0.5321,90.0,0.0059,0.0
13,299520,train,2026-05-31 20:58:09,0.0,0.5306,90.0,0.0059,0.0
14,322560,train,2026-05-31 20:58:57,0.0,0.5502,90.0,0.0061,0.0
15,345600,train,2026-05-31 20:59:45,0.0,0.5519,90.0,0.0061,0.0
16,368640,train,2026-05-31 21:00:33,0.0,0.5535,90.0,0.0062,0.0
17,391680,train,2026-05-31 21:01:22,0.0,0.5874,90.0,0.0065,0.0
18,414720,train,2026-05-31 21:02:10,0.0,0.571,90.0,0.0063,0.0
19,437760,train,2026-05-31 21:02:58,0.0,0.6183,90.0,0.0069,0.0
20,460800,train,2026-05-31 21:03:46,0.0,0.6345,90.0,0.0071,0.0
21,483840,train,2026-05-31 21:04:34,0.0,0.6852,90.0,0.0076,0.0
22,506880,train,2026-05-31 21:05:23,0.0,0.8022,90.0,0.0089,0.0
23,529920,train,2026-05-31 21:06:11,0.0,0.7028,90.0,0.0078,0.0
24,552960,train,2026-05-31 21:07:00,0.0,0.7891,90.0,0.0088,0.0
25,576000,train,2026-05-31 21:07:48,0.0,1.0357,90.0,0.0115,0.0
26,576000,eval,2026-05-31 21:09:07,0.0417,2.3138,90.0,0.0257,0.0
26,599040,train,2026-05-31 21:09:37,0.0,1.0376,90.0,0.0115,0.0
27,622080,train,2026-05-31 21:10:25,0.0,0.8683,90.0,0.0096,0.0
28,645120,train,2026-05-31 21:11:14,0.0,0.7839,90.0,0.0087,0.0
29,668160,train,2026-05-31 21:12:02,0.0,1.085,90.0,0.0121,0.0
30,691200,train,2026-05-31 21:12:51,0.0,1.0353,90.0,0.0115,0.0
31,714240,train,2026-05-31 21:13:39,0.0,1.1485,90.0,0.0128,0.0
32,737280,train,2026-05-31 21:14:28,0.0,1.1391,90.0,0.0127,0.0
33,760320,train,2026-05-31 21:15:16,0.0,1.3276,90.0,0.0148,0.0
34,783360,train,2026-05-31 21:16:05,0.0,1.4307,90.0,0.0159,0.0
35,806400,train,2026-05-31 21:16:54,0.0,1.3109,90.0,0.0146,0.0
36,829440,train,2026-05-31 21:17:42,0.0,1.3779,90.0,0.0153,0.0
37,852480,train,2026-05-31 21:18:31,0.0039,1.6191,90.0,0.018,0.0
38,875520,train,2026-05-31 21:19:20,0.0,1.4115,90.0,0.0157,0.0
39,898560,train,2026-05-31 21:20:09,0.0,1.1056,90.0,0.0123,0.0
40,921600,train,2026-05-31 21:20:57,0.0,1.5291,90.0,0.017,0.0
41,944640,train,2026-05-31 21:21:46,0.0,1.485,90.0,0.0165,0.0
42,967680,train,2026-05-31 21:22:35,0.0,1.8377,90.0,0.0204,0.0
43,990720,train,2026-05-31 21:23:23,0.0,2.1359,90.0,0.0237,0.0
44,1013760,train,2026-05-31 21:24:13,0.0,2.146,90.0,0.0238,0.0
45,1036800,train,2026-05-31 21:25:02,0.0,2.6294,90.0,0.0292,0.0
46,1059840,train,2026-05-31 21:25:51,0.0,2.1854,90.0,0.0243,0.0
