iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-17 03:00:34,0.0,0.2678,90.0,0.003,0.0
1,23040,train,2026-05-17 03:01:06,0.0,0.2725,90.0,0.003,0.0
2,46080,train,2026-05-17 03:01:38,0.0,0.3202,90.0,0.0036,0.0
3,69120,train,2026-05-17 03:02:11,0.0,0.4111,90.0,0.0046,0.0
4,92160,train,2026-05-17 03:02:43,0.0,0.4553,90.0,0.0051,0.0
5,115200,train,2026-05-17 03:03:16,0.0,0.5035,90.0,0.0056,0.0
6,138240,train,2026-05-17 03:03:49,0.0,0.5436,90.0,0.006,0.0
7,161280,train,2026-05-17 03:04:21,0.0,0.6201,90.0,0.0069,0.0
8,184320,train,2026-05-17 03:04:54,0.0,0.6315,90.0,0.007,0.0
9,207360,train,2026-05-17 03:05:26,0.0,0.6428,90.0,0.0071,0.0
10,230400,train,2026-05-17 03:05:59,0.0,0.7259,90.0,0.0081,0.0
11,253440,train,2026-05-17 03:06:31,0.0,0.714,90.0,0.0079,0.0
12,276480,train,2026-05-17 03:07:04,0.0,0.7708,90.0,0.0086,0.0
13,299520,train,2026-05-17 03:07:37,0.0,0.8902,90.0,0.0099,0.0
14,322560,train,2026-05-17 03:08:10,0.0,0.9553,90.0,0.0106,0.0
15,345600,train,2026-05-17 03:08:43,0.0,1.0255,90.0,0.0114,0.0
16,368640,train,2026-05-17 03:09:15,0.0,1.1472,90.0,0.0127,0.0
17,391680,train,2026-05-17 03:09:48,0.0,0.9974,90.0,0.0111,0.0
18,414720,train,2026-05-17 03:10:21,0.0,1.0196,90.0,0.0113,0.0
19,437760,train,2026-05-17 03:10:53,0.0,1.2526,90.0,0.0139,0.0
20,460800,train,2026-05-17 03:11:26,0.0,1.4335,90.0,0.0159,0.0
21,483840,train,2026-05-17 03:12:00,0.0,1.4914,90.0,0.0166,0.0
22,506880,train,2026-05-17 03:12:33,0.0,1.8327,90.0,0.0204,0.0
23,529920,train,2026-05-17 03:13:06,0.0,1.8383,90.0,0.0204,0.0
24,552960,train,2026-05-17 03:13:39,0.0,2.0296,90.0,0.0226,0.0
25,576000,train,2026-05-17 03:14:12,0.0,2.0174,90.0,0.0224,0.0
26,576000,eval,2026-05-17 03:16:18,0.0365,3.8645,90.0,0.0429,0.0052
26,599040,train,2026-05-17 03:16:50,0.0,2.3071,90.0,0.0256,0.0
27,622080,train,2026-05-17 03:17:23,0.0,2.7877,90.0,0.031,0.0
28,645120,train,2026-05-17 03:17:56,0.0,2.5995,90.0,0.0289,0.0
29,668160,train,2026-05-17 03:18:29,0.0039,2.9996,90.0,0.0333,0.0
30,691200,train,2026-05-17 03:19:03,0.0039,2.9992,90.0,0.0333,0.0
31,714240,train,2026-05-17 03:19:36,0.0078,3.7961,90.0,0.0422,0.0
32,737280,train,2026-05-17 03:20:09,0.0,3.8704,90.0,0.043,0.0
33,760320,train,2026-05-17 03:20:43,0.0039,3.6036,90.0,0.04,0.0
34,783360,train,2026-05-17 03:21:16,0.0078,3.6957,90.0,0.0411,0.0
35,806400,train,2026-05-17 03:21:50,0.0039,4.6312,90.0,0.0515,0.0
36,829440,train,2026-05-17 03:22:23,0.0039,4.5216,90.0,0.0502,0.0
37,852480,train,2026-05-17 03:22:57,0.0117,5.2726,90.0,0.0586,0.0
38,875520,train,2026-05-17 03:23:30,0.0156,5.8272,90.0,0.0647,0.0
39,898560,train,2026-05-17 03:24:04,0.0156,5.9417,90.0,0.066,0.0
40,921600,train,2026-05-17 03:24:38,0.0117,6.1811,90.0,0.0687,0.0
41,944640,train,2026-05-17 03:25:11,0.0078,6.2786,90.0,0.0698,0.0
42,967680,train,2026-05-17 03:25:45,0.0234,7.743,90.0,0.086,0.0
43,990720,train,2026-05-17 03:26:18,0.0117,7.1304,90.0,0.0792,0.0
44,1013760,train,2026-05-17 03:26:52,0.0273,8.3575,90.0,0.0929,0.0
45,1036800,train,2026-05-17 03:27:26,0.0156,7.4515,90.0,0.0828,0.0
46,1059840,train,2026-05-17 03:27:59,0.0078,6.9997,90.0,0.0778,0.0
47,1082880,train,2026-05-17 03:28:33,0.0312,9.0502,90.0,0.1006,0.0
48,1105920,train,2026-05-17 03:29:07,0.0195,9.8397,90.0,0.1093,0.0
49,1128960,train,2026-05-17 03:29:40,0.0117,8.3464,90.0,0.0927,0.0
50,1152000,train,2026-05-17 03:30:14,0.0352,8.64,90.0,0.096,0.0
51,1152000,eval,2026-05-17 03:32:24,0.8594,36.3356,90.0,0.4037,0.5729
51,1175040,train,2026-05-17 03:32:57,0.0234,9.9626,90.0,0.1107,0.0
52,1198080,train,2026-05-17 03:33:30,0.0312,9.8028,90.0,0.1089,0.0
53,1221120,train,2026-05-17 03:34:04,0.0273,9.8769,90.0,0.1097,0.0
54,1244160,train,2026-05-17 03:34:37,0.0742,10.7561,90.0,0.1195,0.0
55,1267200,train,2026-05-17 03:35:11,0.0469,10.7893,90.0,0.1199,0.0039
56,1290240,train,2026-05-17 03:35:44,0.0312,10.7076,90.0,0.119,0.0039
57,1313280,train,2026-05-17 03:36:18,0.0625,12.4953,90.0,0.1388,0.0
58,1336320,train,2026-05-17 03:36:51,0.0234,11.9207,90.0,0.1325,0.0
59,1359360,train,2026-05-17 03:37:25,0.0391,11.6872,90.0,0.1299,0.0
60,1382400,train,2026-05-17 03:37:58,0.0391,12.2617,90.0,0.1362,0.0039
61,1405440,train,2026-05-17 03:38:32,0.0586,13.277,90.0,0.1475,0.0039
62,1428480,train,2026-05-17 03:39:06,0.0391,13.1922,90.0,0.1466,0.0
63,1451520,train,2026-05-17 03:39:39,0.0703,13.1504,90.0,0.1461,0.0
64,1474560,train,2026-05-17 03:40:13,0.0859,13.5715,90.0,0.1508,0.0
65,1497600,train,2026-05-17 03:40:46,0.082,12.8075,90.0,0.1423,0.0
66,1520640,train,2026-05-17 03:41:20,0.0352,13.3877,90.0,0.1488,0.0
67,1543680,train,2026-05-17 03:41:53,0.0625,14.7336,90.0,0.1637,0.0039
68,1566720,train,2026-05-17 03:42:27,0.1172,15.3773,90.0,0.1709,0.0
69,1589760,train,2026-05-17 03:43:00,0.0859,15.7636,90.0,0.1752,0.0
70,1612800,train,2026-05-17 03:43:34,0.1016,15.7482,90.0,0.175,0.0078
71,1635840,train,2026-05-17 03:44:07,0.0859,16.3526,90.0,0.1817,0.0
72,1658880,train,2026-05-17 03:44:41,0.1328,16.0891,90.0,0.1788,0.0156
73,1681920,train,2026-05-17 03:45:15,0.1602,16.2714,90.0,0.1808,0.0
74,1704960,train,2026-05-17 03:45:48,0.1094,16.4832,90.0,0.1831,0.0
75,1728000,train,2026-05-17 03:46:22,0.1055,16.2478,90.0,0.1805,0.0
76,1728000,eval,2026-05-17 03:48:33,0.8333,41.6534,90.0,0.4628,0.526
76,1751040,train,2026-05-17 03:49:06,0.1406,16.2378,90.0,0.1804,0.0039
77,1774080,train,2026-05-17 03:49:39,0.0898,14.5101,90.0,0.1612,0.0039
78,1797120,train,2026-05-17 03:50:12,0.1133,14.8734,90.0,0.1653,0.0
79,1820160,train,2026-05-17 03:50:46,0.1914,18.5719,90.0,0.2064,0.0039
80,1843200,train,2026-05-17 03:51:20,0.1328,16.3592,90.0,0.1818,0.0117
81,1866240,train,2026-05-17 03:51:53,0.1094,18.2143,90.0,0.2024,0.0078
82,1889280,train,2026-05-17 03:52:27,0.082,15.8103,90.0,0.1757,0.0
83,1912320,train,2026-05-17 03:53:01,0.1328,17.3912,90.0,0.1932,0.0
84,1935360,train,2026-05-17 03:53:35,0.0898,17.767,90.0,0.1974,0.0
85,1958400,train,2026-05-17 03:54:08,0.1172,17.3136,90.0,0.1924,0.0
86,1981440,train,2026-05-17 03:54:42,0.1406,18.7229,90.0,0.208,0.0
87,2004480,train,2026-05-17 03:55:16,0.1055,18.3146,90.0,0.2035,0.0039
88,2027520,train,2026-05-17 03:55:50,0.0859,17.367,90.0,0.193,0.0
89,2050560,train,2026-05-17 03:56:24,0.0664,16.7176,90.0,0.1858,0.0039
90,2073600,train,2026-05-17 03:56:57,0.1055,17.5976,90.0,0.1955,0.0
91,2096640,train,2026-05-17 03:57:31,0.0938,17.6365,90.0,0.196,0.0039
92,2119680,train,2026-05-17 03:58:05,0.1016,19.747,90.0,0.2194,0.0039
93,2142720,train,2026-05-17 03:58:39,0.125,18.6187,90.0,0.2069,0.0
94,2165760,train,2026-05-17 03:59:13,0.1133,17.4222,90.0,0.1936,0.0039
95,2188800,train,2026-05-17 03:59:46,0.1094,18.5326,90.0,0.2059,0.0078
96,2211840,train,2026-05-17 04:00:20,0.1055,16.0495,90.0,0.1783,0.0078
97,2234880,train,2026-05-17 04:00:54,0.1055,17.6231,90.0,0.1958,0.0039
98,2257920,train,2026-05-17 04:01:27,0.1055,17.1877,90.0,0.191,0.0078
99,2280960,train,2026-05-17 04:02:01,0.1172,17.5487,90.0,0.195,0.0
100,2304000,train,2026-05-17 04:02:35,0.1172,17.9207,90.0,0.1991,0.0039
101,2304000,eval,2026-05-17 04:04:44,0.8385,40.374,90.0,0.4486,0.4583
101,2327040,train,2026-05-17 04:05:17,0.1484,18.649,90.0,0.2072,0.0039
102,2350080,train,2026-05-17 04:05:51,0.0977,19.9663,90.0,0.2218,0.0
103,2373120,train,2026-05-17 04:06:24,0.1094,18.9021,90.0,0.21,0.0039
104,2396160,train,2026-05-17 04:06:58,0.1133,19.0996,90.0,0.2122,0.0117
105,2419200,train,2026-05-17 04:07:32,0.1133,21.7095,90.0,0.2412,0.0039
106,2442240,train,2026-05-17 04:08:05,0.125,20.2913,90.0,0.2255,0.0039
107,2465280,train,2026-05-17 04:08:39,0.1367,20.0453,90.0,0.2227,0.0078
108,2488320,train,2026-05-17 04:09:12,0.1094,19.5937,90.0,0.2177,0.0039
109,2511360,train,2026-05-17 04:09:46,0.1484,20.1291,90.0,0.2237,0.0
110,2534400,train,2026-05-17 04:10:20,0.168,21.7604,90.0,0.2418,0.0156
111,2557440,train,2026-05-17 04:10:53,0.1328,19.6614,90.0,0.2185,0.0078
112,2580480,train,2026-05-17 04:11:27,0.1836,19.9218,90.0,0.2214,0.0156
113,2603520,train,2026-05-17 04:12:01,0.1445,21.882,90.0,0.2431,0.0039
114,2626560,train,2026-05-17 04:12:34,0.1328,21.4926,90.0,0.2388,0.0078
115,2649600,train,2026-05-17 04:13:08,0.2109,21.8753,90.0,0.2431,0.0078
116,2672640,train,2026-05-17 04:13:41,0.1836,22.0305,90.0,0.2448,0.0117
117,2695680,train,2026-05-17 04:14:15,0.1641,22.5633,90.0,0.2507,0.0
118,2718720,train,2026-05-17 04:14:49,0.1445,21.6392,90.0,0.2404,0.0039
