iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-17 13:44:24,0.0,0.2711,90.0,0.003,0.0
1,23040,train,2026-05-17 13:45:08,0.0,0.3189,90.0,0.0035,0.0
2,46080,train,2026-05-17 13:45:53,0.0,0.3416,90.0,0.0038,0.0
3,69120,train,2026-05-17 13:46:39,0.0,0.3971,90.0,0.0044,0.0
4,92160,train,2026-05-17 13:47:24,0.0,0.4345,90.0,0.0048,0.0
5,115200,train,2026-05-17 13:48:10,0.0,0.5025,90.0,0.0056,0.0
6,138240,train,2026-05-17 13:48:55,0.0,0.5481,90.0,0.0061,0.0
7,161280,train,2026-05-17 13:49:41,0.0,0.5612,90.0,0.0062,0.0
8,184320,train,2026-05-17 13:50:27,0.0,0.5707,90.0,0.0063,0.0
9,207360,train,2026-05-17 13:51:12,0.0,0.6142,90.0,0.0068,0.0
10,230400,train,2026-05-17 13:51:58,0.0,0.6767,90.0,0.0075,0.0
11,253440,train,2026-05-17 13:52:44,0.0,0.6987,90.0,0.0078,0.0
12,276480,train,2026-05-17 13:53:29,0.0,0.7097,90.0,0.0079,0.0
13,299520,train,2026-05-17 13:54:15,0.0,0.8087,90.0,0.009,0.0
14,322560,train,2026-05-17 13:55:01,0.0,0.7382,90.0,0.0082,0.0
15,345600,train,2026-05-17 13:55:48,0.0,0.7505,90.0,0.0083,0.0
16,368640,train,2026-05-17 13:56:34,0.0,0.7562,90.0,0.0084,0.0
17,391680,train,2026-05-17 13:57:20,0.0,0.9455,90.0,0.0105,0.0
18,414720,train,2026-05-17 13:58:06,0.0,0.8951,90.0,0.0099,0.0
19,437760,train,2026-05-17 13:58:53,0.0,0.8814,90.0,0.0098,0.0
20,460800,train,2026-05-17 13:59:39,0.0,1.005,90.0,0.0112,0.0
21,483840,train,2026-05-17 14:00:25,0.0039,1.1209,90.0,0.0125,0.0
22,506880,train,2026-05-17 14:01:11,0.0,0.8443,90.0,0.0094,0.0
23,529920,train,2026-05-17 14:01:58,0.0,1.1693,90.0,0.013,0.0
24,552960,train,2026-05-17 14:02:44,0.0,1.3411,90.0,0.0149,0.0
25,576000,train,2026-05-17 14:03:31,0.0,1.4948,90.0,0.0166,0.0
26,576000,eval,2026-05-17 14:04:43,0.0417,3.5923,90.0,0.0399,0.0208
26,599040,train,2026-05-17 14:05:28,0.0,1.4286,90.0,0.0159,0.0
27,622080,train,2026-05-17 14:06:15,0.0,1.4411,90.0,0.016,0.0
28,645120,train,2026-05-17 14:07:01,0.0,1.6599,90.0,0.0184,0.0
29,668160,train,2026-05-17 14:07:47,0.0,1.8554,90.0,0.0206,0.0
30,691200,train,2026-05-17 14:08:34,0.0,1.7905,90.0,0.0199,0.0
31,714240,train,2026-05-17 14:09:21,0.0039,2.6425,90.0,0.0294,0.0
32,737280,train,2026-05-17 14:10:07,0.0,2.5905,90.0,0.0288,0.0
33,760320,train,2026-05-17 14:10:54,0.0078,2.861,90.0,0.0318,0.0
34,783360,train,2026-05-17 14:11:41,0.0,3.2065,90.0,0.0356,0.0
35,806400,train,2026-05-17 14:12:27,0.0039,3.7626,90.0,0.0418,0.0
36,829440,train,2026-05-17 14:13:14,0.0156,3.9736,90.0,0.0442,0.0
37,852480,train,2026-05-17 14:14:01,0.0078,4.4645,90.0,0.0496,0.0
38,875520,train,2026-05-17 14:14:48,0.0039,4.848,90.0,0.0539,0.0
39,898560,train,2026-05-17 14:15:34,0.0039,4.8003,90.0,0.0533,0.0
40,921600,train,2026-05-17 14:16:21,0.0078,5.0542,90.0,0.0562,0.0
41,944640,train,2026-05-17 14:17:08,0.0039,5.5838,90.0,0.062,0.0
42,967680,train,2026-05-17 14:17:55,0.0039,5.671,90.0,0.063,0.0
43,990720,train,2026-05-17 14:18:42,0.0195,5.9114,90.0,0.0657,0.0
44,1013760,train,2026-05-17 14:19:29,0.0195,6.495,90.0,0.0722,0.0
45,1036800,train,2026-05-17 14:20:16,0.0391,8.1852,90.0,0.0909,0.0
46,1059840,train,2026-05-17 14:21:03,0.0117,6.5913,90.0,0.0732,0.0
47,1082880,train,2026-05-17 14:21:50,0.0195,8.0723,90.0,0.0897,0.0
48,1105920,train,2026-05-17 14:22:36,0.0352,8.358,90.0,0.0929,0.0039
49,1128960,train,2026-05-17 14:23:23,0.0273,7.4916,90.0,0.0832,0.0039
50,1152000,train,2026-05-17 14:24:10,0.0625,8.8856,90.0,0.0987,0.0
51,1152000,eval,2026-05-17 14:25:26,0.4167,25.6611,90.0,0.2851,0.1354
51,1175040,train,2026-05-17 14:26:11,0.0664,7.9781,90.0,0.0886,0.0
52,1198080,train,2026-05-17 14:26:58,0.0469,8.1365,90.0,0.0904,0.0
53,1221120,train,2026-05-17 14:27:45,0.0547,9.2984,90.0,0.1033,0.0
54,1244160,train,2026-05-17 14:28:32,0.0625,8.8596,90.0,0.0984,0.0
55,1267200,train,2026-05-17 14:29:19,0.0547,9.6998,90.0,0.1078,0.0
56,1290240,train,2026-05-17 14:30:06,0.0859,10.1402,90.0,0.1127,0.0
57,1313280,train,2026-05-17 14:30:53,0.0703,10.3298,90.0,0.1148,0.0078
58,1336320,train,2026-05-17 14:31:40,0.1211,10.6055,90.0,0.1178,0.0078
59,1359360,train,2026-05-17 14:32:27,0.0977,9.9216,90.0,0.1102,0.0039
60,1382400,train,2026-05-17 14:33:14,0.1055,10.7863,90.0,0.1198,0.0039
61,1405440,train,2026-05-17 14:34:01,0.1172,10.2858,90.0,0.1143,0.0039
62,1428480,train,2026-05-17 14:34:48,0.0938,9.6408,90.0,0.1071,0.0078
63,1451520,train,2026-05-17 14:35:35,0.1328,11.2459,90.0,0.125,0.0039
64,1474560,train,2026-05-17 14:36:22,0.0859,9.9423,90.0,0.1105,0.0039
65,1497600,train,2026-05-17 14:37:09,0.0977,11.319,90.0,0.1258,0.0078
66,1520640,train,2026-05-17 14:37:56,0.1133,11.1965,90.0,0.1244,0.0039
67,1543680,train,2026-05-17 14:38:43,0.1211,11.7109,90.0,0.1301,0.0078
68,1566720,train,2026-05-17 14:39:30,0.1133,10.4437,90.0,0.116,0.0
69,1589760,train,2026-05-17 14:40:17,0.168,11.976,90.0,0.1331,0.0
70,1612800,train,2026-05-17 14:41:04,0.1289,12.5289,90.0,0.1392,0.0
71,1635840,train,2026-05-17 14:41:51,0.1211,11.8589,90.0,0.1318,0.0078
72,1658880,train,2026-05-17 14:42:37,0.1094,11.0055,90.0,0.1223,0.0039
73,1681920,train,2026-05-17 14:43:24,0.1289,11.3492,90.0,0.1261,0.0156
74,1704960,train,2026-05-17 14:44:11,0.1367,12.5255,90.0,0.1392,0.0078
75,1728000,train,2026-05-17 14:44:58,0.1523,13.107,90.0,0.1456,0.0039
76,1728000,eval,2026-05-17 14:46:12,0.4062,23.5862,90.0,0.2621,0.1667
76,1751040,train,2026-05-17 14:46:57,0.1211,11.3832,90.0,0.1265,0.0039
77,1774080,train,2026-05-17 14:47:43,0.1328,12.6333,90.0,0.1404,0.0
78,1797120,train,2026-05-17 14:48:30,0.1016,12.1924,90.0,0.1355,0.0
79,1820160,train,2026-05-17 14:49:17,0.1211,12.5016,90.0,0.1389,0.0078
80,1843200,train,2026-05-17 14:50:04,0.0781,12.0832,90.0,0.1343,0.0039
81,1866240,train,2026-05-17 14:50:51,0.1055,12.9655,90.0,0.1441,0.0078
82,1889280,train,2026-05-17 14:51:37,0.1016,13.02,90.0,0.1447,0.0
83,1912320,train,2026-05-17 14:52:24,0.1367,13.0169,90.0,0.1446,0.0078
84,1935360,train,2026-05-17 14:53:11,0.0898,12.0558,90.0,0.134,0.0078
85,1958400,train,2026-05-17 14:53:58,0.1289,13.7107,90.0,0.1523,0.0
86,1981440,train,2026-05-17 14:54:44,0.168,14.4503,90.0,0.1606,0.0078
87,2004480,train,2026-05-17 14:55:31,0.1523,13.3077,90.0,0.1479,0.0039
88,2027520,train,2026-05-17 14:56:18,0.1641,14.6501,90.0,0.1628,0.0039
89,2050560,train,2026-05-17 14:57:05,0.1641,14.7492,90.0,0.1639,0.0039
90,2073600,train,2026-05-17 14:57:52,0.1836,16.1266,90.0,0.1792,0.0117
91,2096640,train,2026-05-17 14:58:39,0.1758,13.5324,90.0,0.1504,0.0
92,2119680,train,2026-05-17 14:59:26,0.1719,13.819,90.0,0.1535,0.0
93,2142720,train,2026-05-17 15:00:13,0.2109,17.085,90.0,0.1898,0.0117
94,2165760,train,2026-05-17 15:01:04,0.2148,16.3959,90.0,0.1822,0.0039
95,2188800,train,2026-05-17 15:01:51,0.1797,15.3627,90.0,0.1707,0.0078
96,2211840,train,2026-05-17 15:02:38,0.2266,16.3697,90.0,0.1819,0.0039
97,2234880,train,2026-05-17 15:03:25,0.1992,16.1588,90.0,0.1795,0.0039
98,2257920,train,2026-05-17 15:04:11,0.1758,14.9322,90.0,0.1659,0.0
99,2280960,train,2026-05-17 15:04:58,0.2344,16.5935,90.0,0.1844,0.0078
