iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-25 01:08:36,0.0,0.2708,90.0,0.003,0.0
1,23040,train,2026-05-25 01:09:08,0.0,0.3186,90.0,0.0035,0.0
2,46080,train,2026-05-25 01:09:41,0.0,0.3534,90.0,0.0039,0.0
3,69120,train,2026-05-25 01:10:13,0.0,0.379,90.0,0.0042,0.0
4,92160,train,2026-05-25 01:10:46,0.0,0.4173,90.0,0.0046,0.0
5,115200,train,2026-05-25 01:11:18,0.0,0.4716,90.0,0.0052,0.0
6,138240,train,2026-05-25 01:11:51,0.0,0.5203,90.0,0.0058,0.0
7,161280,train,2026-05-25 01:12:24,0.0,0.5811,90.0,0.0065,0.0
8,184320,train,2026-05-25 01:12:56,0.0,0.6188,90.0,0.0069,0.0
9,207360,train,2026-05-25 01:13:29,0.0,0.6697,90.0,0.0074,0.0
10,230400,train,2026-05-25 01:14:02,0.0,0.654,90.0,0.0073,0.0
11,253440,train,2026-05-25 01:14:35,0.0,0.6968,90.0,0.0077,0.0
12,276480,train,2026-05-25 01:15:13,0.0,0.76,90.0,0.0084,0.0
13,299520,train,2026-05-25 01:15:46,0.0,0.7962,90.0,0.0088,0.0
14,322560,train,2026-05-25 01:16:19,0.0,0.8996,90.0,0.01,0.0
15,345600,train,2026-05-25 01:16:52,0.0,0.9665,90.0,0.0107,0.0
16,368640,train,2026-05-25 01:17:25,0.0,1.021,90.0,0.0113,0.0
17,391680,train,2026-05-25 01:17:58,0.0,1.178,90.0,0.0131,0.0
18,414720,train,2026-05-25 01:18:30,0.0,0.9405,90.0,0.0105,0.0
19,437760,train,2026-05-25 01:19:03,0.0,1.0811,90.0,0.012,0.0
20,460800,train,2026-05-25 01:19:36,0.0,1.0505,90.0,0.0117,0.0
21,483840,train,2026-05-25 01:20:09,0.0,1.0637,90.0,0.0118,0.0
22,506880,train,2026-05-25 01:20:42,0.0,1.1654,90.0,0.0129,0.0
23,529920,train,2026-05-25 01:21:15,0.0,1.1636,90.0,0.0129,0.0
24,552960,train,2026-05-25 01:21:48,0.0,1.3658,90.0,0.0152,0.0
25,576000,train,2026-05-25 01:22:21,0.0,1.5884,90.0,0.0176,0.0
26,576000,eval,2026-05-25 01:23:23,0.1979,12.9143,90.0,0.1435,0.1562
26,599040,train,2026-05-25 01:23:55,0.0,1.6653,90.0,0.0185,0.0
27,622080,train,2026-05-25 01:24:28,0.0,1.8607,90.0,0.0207,0.0
28,645120,train,2026-05-25 01:25:01,0.0,2.0605,90.0,0.0229,0.0
